"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_przecietny_czas_trwania_budowy_nowych_budynkow_mieszkalnych_wielorodzinnych_mc"
"27558",1210000,"Powiat nowosądecki",2002,NA
"27559",1211000,"Powiat nowotarski",2002,NA
"27560",1212000,"Powiat olkuski",2002,NA
"27561",1213000,"Powiat oświęcimski",2002,NA
"27562",1214000,"Powiat proszowicki",2002,NA
"27563",1215000,"Powiat suski",2002,NA
"27564",1216000,"Powiat tarnowski",2002,NA
"27565",1217000,"Powiat tatrzański",2002,NA
"27566",1218000,"Powiat wadowicki",2002,NA
"27567",1219000,"Powiat wielicki",2002,NA
"27568",1261000,"Powiat m.Kraków",2002,NA
"27569",1262000,"Powiat m.Nowy Sącz",2002,NA
"27570",1263000,"Powiat m.Tarnów",2002,NA
"27571",1401000,"Powiat białobrzeski",2002,NA
"27572",1402000,"Powiat ciechanowski",2002,NA
"27573",1403000,"Powiat garwoliński",2002,NA
"27574",1404000,"Powiat gostyniński",2002,NA
"27575",1405000,"Powiat grodziski",2002,NA
"27576",1406000,"Powiat grójecki",2002,NA
"27577",1407000,"Powiat kozienicki",2002,NA
"27578",1408000,"Powiat legionowski",2002,NA
"27579",1409000,"Powiat lipski",2002,NA
"27580",1410000,"Powiat łosicki",2002,NA
"27581",1411000,"Powiat makowski",2002,NA
"27582",1412000,"Powiat miński",2002,NA
"27583",1413000,"Powiat mławski",2002,NA
"27584",1414000,"Powiat nowodworski",2002,NA
"27585",1415000,"Powiat ostrołęcki",2002,NA
"27586",1416000,"Powiat ostrowski",2002,NA
"27587",1417000,"Powiat otwocki",2002,NA
"27588",1418000,"Powiat piaseczyński",2002,NA
"27589",1419000,"Powiat płocki",2002,NA
"27590",1420000,"Powiat płoński",2002,NA
"27591",1421000,"Powiat pruszkowski",2002,NA
"27592",1422000,"Powiat przasnyski",2002,NA
"27593",1423000,"Powiat przysuski",2002,NA
"27594",1424000,"Powiat pułtuski",2002,NA
"27595",1425000,"Powiat radomski",2002,NA
"27596",1426000,"Powiat siedlecki",2002,NA
"27597",1427000,"Powiat sierpecki",2002,NA
"27598",1428000,"Powiat sochaczewski",2002,NA
"27599",1429000,"Powiat sokołowski",2002,NA
"27600",1430000,"Powiat szydłowiecki",2002,NA
