"","Kod","Nazwa","rok","Osoby_w_zamachach_samobojczych_liczba_samobojstw_zakonczonych_zgonem_na_100_tys_ludnosci_ogolem_osoba"
"2412",1217000,"Powiat tatrzański",2018,26
"2413",1218000,"Powiat wadowicki",2018,42
"2414",1219000,"Powiat wielicki",2018,33
"2415",1261000,"Powiat m.Kraków",2018,34
"2416",1262000,"Powiat m.Nowy Sącz",2018,89
"2417",1263000,"Powiat m.Tarnów",2018,130
"2418",1401000,"Powiat białobrzeski",2018,45
"2419",1402000,"Powiat ciechanowski",2018,31
"2420",1403000,"Powiat garwoliński",2018,25
"2421",1404000,"Powiat gostyniński",2018,29
"2422",1405000,"Powiat grodziski",2018,15
"2423",1406000,"Powiat grójecki",2018,25
"2424",1407000,"Powiat kozienicki",2018,13
"2425",1408000,"Powiat legionowski",2018,22
"2426",1409000,"Powiat lipski",2018,35
"2427",1410000,"Powiat łosicki",2018,35
"2428",1411000,"Powiat makowski",2018,33
"2429",1412000,"Powiat miński",2018,31
"2430",1413000,"Powiat mławski",2018,14
"2431",1414000,"Powiat nowodworski",2018,28
"2432",1415000,"Powiat ostrołęcki",2018,36
"2433",1416000,"Powiat ostrowski",2018,22
"2434",1417000,"Powiat otwocki",2018,15
"2435",1418000,"Powiat piaseczyński",2018,16
"2436",1419000,"Powiat płocki",2018,115
"2437",1420000,"Powiat płoński",2018,27
"2438",1421000,"Powiat pruszkowski",2018,10
"2439",1422000,"Powiat przasnyski",2018,28
"2440",1423000,"Powiat przysuski",2018,29
"2441",1424000,"Powiat pułtuski",2018,27
"2442",1425000,"Powiat radomski",2018,33
"2443",1426000,"Powiat siedlecki",2018,44
"2444",1427000,"Powiat sierpecki",2018,56
"2445",1428000,"Powiat sochaczewski",2018,11
"2446",1429000,"Powiat sokołowski",2018,33
"2447",1430000,"Powiat szydłowiecki",2018,20
"2448",1432000,"Powiat warszawski zachodni",2018,10
"2449",1433000,"Powiat węgrowski",2018,32
"2450",1434000,"Powiat wołomiński",2018,13
"2451",1435000,"Powiat wyszkowski",2018,32
"2452",1436000,"Powiat zwoleński",2018,25
"2453",1437000,"Powiat żuromiński",2018,26
"2454",1438000,"Powiat żyrardowski",2018,9
"2455",1461000,"Powiat m.Ostrołęka",2018,61
"2456",1462000,"Powiat m.Płock",2018,107
"2457",1463000,"Powiat m.Radom",2018,23
"2458",1464000,"Powiat m.Siedlce",2018,46
"2459",1465000,"Powiat m. st. Warszawa",2018,16
"2460",1601000,"Powiat brzeski",2018,19
"2461",1602000,"Powiat głubczycki",2018,11
"2462",1603000,"Powiat kędzierzyńsko-kozielski",2018,22
