"","Kod","Nazwa","rok","Lekarze_wskazniki_lekarze_personel_pracujacy_ogolem_na_10_tys_ludnosci_osoba"
"5447",1212000,"Powiat olkuski",2012,NA
"5448",1213000,"Powiat oświęcimski",2012,NA
"5449",1214000,"Powiat proszowicki",2012,NA
"5450",1215000,"Powiat suski",2012,NA
"5451",1216000,"Powiat tarnowski",2012,NA
"5452",1217000,"Powiat tatrzański",2012,NA
"5453",1218000,"Powiat wadowicki",2012,NA
"5454",1219000,"Powiat wielicki",2012,NA
"5455",1261000,"Powiat m.Kraków",2012,NA
"5456",1262000,"Powiat m.Nowy Sącz",2012,NA
"5457",1263000,"Powiat m.Tarnów",2012,NA
"5458",1401000,"Powiat białobrzeski",2012,NA
"5459",1402000,"Powiat ciechanowski",2012,NA
"5460",1403000,"Powiat garwoliński",2012,NA
"5461",1404000,"Powiat gostyniński",2012,NA
"5462",1405000,"Powiat grodziski",2012,NA
"5463",1406000,"Powiat grójecki",2012,NA
"5464",1407000,"Powiat kozienicki",2012,NA
"5465",1408000,"Powiat legionowski",2012,NA
"5466",1409000,"Powiat lipski",2012,NA
"5467",1410000,"Powiat łosicki",2012,NA
"5468",1411000,"Powiat makowski",2012,NA
"5469",1412000,"Powiat miński",2012,NA
"5470",1413000,"Powiat mławski",2012,NA
"5471",1414000,"Powiat nowodworski",2012,NA
"5472",1415000,"Powiat ostrołęcki",2012,NA
"5473",1416000,"Powiat ostrowski",2012,NA
"5474",1417000,"Powiat otwocki",2012,NA
"5475",1418000,"Powiat piaseczyński",2012,NA
"5476",1419000,"Powiat płocki",2012,NA
"5477",1420000,"Powiat płoński",2012,NA
"5478",1421000,"Powiat pruszkowski",2012,NA
"5479",1422000,"Powiat przasnyski",2012,NA
"5480",1423000,"Powiat przysuski",2012,NA
"5481",1424000,"Powiat pułtuski",2012,NA
"5482",1425000,"Powiat radomski",2012,NA
"5483",1426000,"Powiat siedlecki",2012,NA
"5484",1427000,"Powiat sierpecki",2012,NA
"5485",1428000,"Powiat sochaczewski",2012,NA
"5486",1429000,"Powiat sokołowski",2012,NA
"5487",1430000,"Powiat szydłowiecki",2012,NA
"5488",1432000,"Powiat warszawski zachodni",2012,NA
"5489",1433000,"Powiat węgrowski",2012,NA
"5490",1434000,"Powiat wołomiński",2012,NA
"5491",1435000,"Powiat wyszkowski",2012,NA
"5492",1436000,"Powiat zwoleński",2012,NA
"5493",1437000,"Powiat żuromiński",2012,NA
"5494",1438000,"Powiat żyrardowski",2012,NA
"5495",1461000,"Powiat m.Ostrołęka",2012,NA
"5496",1462000,"Powiat m.Płock",2012,NA
"5497",1463000,"Powiat m.Radom",2012,NA
"5498",1464000,"Powiat m.Siedlce",2012,NA
"5499",1465000,"Powiat m. st. Warszawa",2012,NA
"5500",1601000,"Powiat brzeski",2012,NA
"5501",1602000,"Powiat głubczycki",2012,NA
"5502",1603000,"Powiat kędzierzyńsko-kozielski",2012,NA
"5503",1604000,"Powiat kluczborski",2012,NA
"5504",1605000,"Powiat krapkowicki",2012,NA
"5505",1606000,"Powiat namysłowski",2012,NA
"5506",1607000,"Powiat nyski",2012,NA
"5507",1608000,"Powiat oleski",2012,NA
"5508",1609000,"Powiat opolski",2012,NA
"5509",1610000,"Powiat prudnicki",2012,NA
"5510",1611000,"Powiat strzelecki",2012,NA
"5511",1661000,"Powiat m.Opole",2012,NA
"5512",1801000,"Powiat bieszczadzki",2012,NA
"5513",1802000,"Powiat brzozowski",2012,NA
"5514",1803000,"Powiat dębicki",2012,NA
"5515",1804000,"Powiat jarosławski",2012,NA
"5516",1805000,"Powiat jasielski",2012,NA
"5517",1806000,"Powiat kolbuszowski",2012,NA
"5518",1807000,"Powiat krośnieński",2012,NA
"5519",1808000,"Powiat leżajski",2012,NA
"5520",1809000,"Powiat lubaczowski",2012,NA
"5521",1810000,"Powiat łańcucki",2012,NA
"5522",1811000,"Powiat mielecki",2012,NA
"5523",1812000,"Powiat niżański",2012,NA
"5524",1813000,"Powiat przemyski",2012,NA
"5525",1814000,"Powiat przeworski",2012,NA
"5526",1815000,"Powiat ropczycko-sędziszowski",2012,NA
"5527",1816000,"Powiat rzeszowski",2012,NA
"5528",1817000,"Powiat sanocki",2012,NA
"5529",1818000,"Powiat stalowowolski",2012,NA
"5530",1819000,"Powiat strzyżowski",2012,NA
"5531",1820000,"Powiat tarnobrzeski",2012,NA
"5532",1821000,"Powiat leski",2012,NA
"5533",1861000,"Powiat m.Krosno",2012,NA
"5534",1862000,"Powiat m.Przemyśl",2012,NA
"5535",1863000,"Powiat m.Rzeszów",2012,NA
"5536",1864000,"Powiat m.Tarnobrzeg",2012,NA
"5537",2001000,"Powiat augustowski",2012,NA
"5538",2002000,"Powiat białostocki",2012,NA
"5539",2003000,"Powiat bielski",2012,NA
"5540",2004000,"Powiat grajewski",2012,NA
"5541",2005000,"Powiat hajnowski",2012,NA
"5542",2006000,"Powiat kolneński",2012,NA
"5543",2007000,"Powiat łomżyński",2012,NA
"5544",2008000,"Powiat moniecki",2012,NA
"5545",2009000,"Powiat sejneński",2012,NA
"5546",2010000,"Powiat siemiatycki",2012,NA
"5547",2011000,"Powiat sokólski",2012,NA
"5548",2012000,"Powiat suwalski",2012,NA
"5549",2013000,"Powiat wysokomazowiecki",2012,NA
"5550",2014000,"Powiat zambrowski",2012,NA
"5551",2061000,"Powiat m.Białystok",2012,NA
"5552",2062000,"Powiat m.Łomża",2012,NA
"5553",2063000,"Powiat m.Suwałki",2012,NA
"5554",2201000,"Powiat bytowski",2012,NA
"5555",2202000,"Powiat chojnicki",2012,NA
"5556",2203000,"Powiat człuchowski",2012,NA
"5557",2204000,"Powiat gdański",2012,NA
"5558",2205000,"Powiat kartuski",2012,NA
"5559",2206000,"Powiat kościerski",2012,NA
"5560",2207000,"Powiat kwidzyński",2012,NA
"5561",2208000,"Powiat lęborski",2012,NA
"5562",2209000,"Powiat malborski",2012,NA
"5563",2210000,"Powiat nowodworski",2012,NA
"5564",2211000,"Powiat pucki",2012,NA
"5565",2212000,"Powiat słupski",2012,NA
"5566",2213000,"Powiat starogardzki",2012,NA
"5567",2214000,"Powiat tczewski",2012,NA
"5568",2215000,"Powiat wejherowski",2012,NA
"5569",2216000,"Powiat sztumski",2012,NA
"5570",2261000,"Powiat m.Gdańsk",2012,NA
"5571",2262000,"Powiat m.Gdynia",2012,NA
"5572",2263000,"Powiat m.Słupsk",2012,NA
"5573",2264000,"Powiat m.Sopot",2012,NA
"5574",2401000,"Powiat będziński",2012,NA
"5575",2402000,"Powiat bielski",2012,NA
"5576",2403000,"Powiat cieszyński",2012,NA
"5577",2404000,"Powiat częstochowski",2012,NA
"5578",2405000,"Powiat gliwicki",2012,NA
"5579",2406000,"Powiat kłobucki",2012,NA
"5580",2407000,"Powiat lubliniecki",2012,NA
"5581",2408000,"Powiat mikołowski",2012,NA
"5582",2409000,"Powiat myszkowski",2012,NA
"5583",2410000,"Powiat pszczyński",2012,NA
"5584",2411000,"Powiat raciborski",2012,NA
"5585",2412000,"Powiat rybnicki",2012,NA
"5586",2413000,"Powiat tarnogórski",2012,NA
"5587",2414000,"Powiat bieruńsko-lędziński",2012,NA
"5588",2415000,"Powiat wodzisławski",2012,NA
"5589",2416000,"Powiat zawierciański",2012,NA
"5590",2417000,"Powiat żywiecki",2012,NA
"5591",2461000,"Powiat m.Bielsko-Biała",2012,NA
"5592",2462000,"Powiat m.Bytom",2012,NA
"5593",2463000,"Powiat m.Chorzów",2012,NA
"5594",2464000,"Powiat m.Częstochowa",2012,NA
"5595",2465000,"Powiat m.Dąbrowa Górnicza",2012,NA
"5596",2466000,"Powiat m.Gliwice",2012,NA
"5597",2467000,"Powiat m.Jastrzębie-Zdrój",2012,NA
"5598",2468000,"Powiat m.Jaworzno",2012,NA
"5599",2469000,"Powiat m.Katowice",2012,NA
"5600",2470000,"Powiat m.Mysłowice",2012,NA
"5601",2471000,"Powiat m.Piekary Śląskie",2012,NA
"5602",2472000,"Powiat m.Ruda Śląska",2012,NA
"5603",2473000,"Powiat m.Rybnik",2012,NA
"5604",2474000,"Powiat m.Siemianowice Śląskie",2012,NA
"5605",2475000,"Powiat m.Sosnowiec",2012,NA
"5606",2476000,"Powiat m.Świętochłowice",2012,NA
"5607",2477000,"Powiat m.Tychy",2012,NA
"5608",2478000,"Powiat m.Zabrze",2012,NA
"5609",2479000,"Powiat m.Żory",2012,NA
"5610",2601000,"Powiat buski",2012,NA
"5611",2602000,"Powiat jędrzejowski",2012,NA
"5612",2603000,"Powiat kazimierski",2012,NA
"5613",2604000,"Powiat kielecki",2012,NA
"5614",2605000,"Powiat konecki",2012,NA
"5615",2606000,"Powiat opatowski",2012,NA
"5616",2607000,"Powiat ostrowiecki",2012,NA
"5617",2608000,"Powiat pińczowski",2012,NA
"5618",2609000,"Powiat sandomierski",2012,NA
"5619",2610000,"Powiat skarżyski",2012,NA
"5620",2611000,"Powiat starachowicki",2012,NA
"5621",2612000,"Powiat staszowski",2012,NA
"5622",2613000,"Powiat włoszczowski",2012,NA
"5623",2661000,"Powiat m.Kielce",2012,NA
"5624",2801000,"Powiat bartoszycki",2012,NA
"5625",2802000,"Powiat braniewski",2012,NA
"5626",2803000,"Powiat działdowski",2012,NA
"5627",2804000,"Powiat elbląski",2012,NA
"5628",2805000,"Powiat ełcki",2012,NA
"5629",2806000,"Powiat giżycki",2012,NA
"5630",2807000,"Powiat iławski",2012,NA
"5631",2808000,"Powiat kętrzyński",2012,NA
"5632",2809000,"Powiat lidzbarski",2012,NA
"5633",2810000,"Powiat mrągowski",2012,NA
"5634",2811000,"Powiat nidzicki",2012,NA
"5635",2812000,"Powiat nowomiejski",2012,NA
"5636",2813000,"Powiat olecki",2012,NA
"5637",2814000,"Powiat olsztyński",2012,NA
"5638",2815000,"Powiat ostródzki",2012,NA
"5639",2816000,"Powiat piski",2012,NA
"5640",2817000,"Powiat szczycieński",2012,NA
"5641",2818000,"Powiat gołdapski",2012,NA
"5642",2819000,"Powiat węgorzewski",2012,NA
"5643",2861000,"Powiat m.Elbląg",2012,NA
"5644",2862000,"Powiat m.Olsztyn",2012,NA
"5645",3001000,"Powiat chodzieski",2012,NA
"5646",3002000,"Powiat czarnkowsko-trzcianecki",2012,NA
"5647",3003000,"Powiat gnieźnieński",2012,NA
"5648",3004000,"Powiat gostyński",2012,NA
"5649",3005000,"Powiat grodziski",2012,NA
"5650",3006000,"Powiat jarociński",2012,NA
"5651",3007000,"Powiat kaliski",2012,NA
"5652",3008000,"Powiat kępiński",2012,NA
"5653",3009000,"Powiat kolski",2012,NA
"5654",3010000,"Powiat koniński",2012,NA
"5655",3011000,"Powiat kościański",2012,NA
"5656",3012000,"Powiat krotoszyński",2012,NA
"5657",3013000,"Powiat leszczyński",2012,NA
"5658",3014000,"Powiat międzychodzki",2012,NA
"5659",3015000,"Powiat nowotomyski",2012,NA
"5660",3016000,"Powiat obornicki",2012,NA
"5661",3017000,"Powiat ostrowski",2012,NA
"5662",3018000,"Powiat ostrzeszowski",2012,NA
"5663",3019000,"Powiat pilski",2012,NA
"5664",3020000,"Powiat pleszewski",2012,NA
"5665",3021000,"Powiat poznański",2012,NA
"5666",3022000,"Powiat rawicki",2012,NA
"5667",3023000,"Powiat słupecki",2012,NA
"5668",3024000,"Powiat szamotulski",2012,NA
"5669",3025000,"Powiat średzki",2012,NA
"5670",3026000,"Powiat śremski",2012,NA
"5671",3027000,"Powiat turecki",2012,NA
"5672",3028000,"Powiat wągrowiecki",2012,NA
"5673",3029000,"Powiat wolsztyński",2012,NA
"5674",3030000,"Powiat wrzesiński",2012,NA
"5675",3031000,"Powiat złotowski",2012,NA
"5676",3061000,"Powiat m.Kalisz",2012,NA
"5677",3062000,"Powiat m.Konin",2012,NA
"5678",3063000,"Powiat m.Leszno",2012,NA
"5679",3064000,"Powiat m.Poznań",2012,NA
"5680",3201000,"Powiat białogardzki",2012,NA
"5681",3202000,"Powiat choszczeński",2012,NA
"5682",3203000,"Powiat drawski",2012,NA
