"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_od_40_do_60_m2_zl"
"22801",201000,"Powiat bolesławiecki",2015,2614
"22802",202000,"Powiat dzierżoniowski",2015,1942
"22803",203000,"Powiat głogowski",2015,2901
"22804",204000,"Powiat górowski",2015,2236
"22805",205000,"Powiat jaworski",2015,2400
"22806",206000,"Powiat jeleniogórski",2015,2252
"22807",207000,"Powiat kamiennogórski",2015,1523
"22808",208000,"Powiat kłodzki",2015,2024
"22809",209000,"Powiat legnicki",2015,2037
"22810",210000,"Powiat lubański",2015,1903
"22811",211000,"Powiat lubiński",2015,2857
"22812",212000,"Powiat lwówecki",2015,1264
"22813",213000,"Powiat milicki",2015,2458
"22814",214000,"Powiat oleśnicki",2015,3068
"22815",215000,"Powiat oławski",2015,3228
"22816",216000,"Powiat polkowicki",2015,2511
"22817",217000,"Powiat strzeliński",2015,2106
"22818",218000,"Powiat średzki",2015,3770
"22819",219000,"Powiat świdnicki",2015,2250
"22820",220000,"Powiat trzebnicki",2015,3487
"22821",221000,"Powiat wałbrzyski",2015,1410
"22822",222000,"Powiat wołowski",2015,2538
"22823",223000,"Powiat wrocławski",2015,3822
"22824",224000,"Powiat ząbkowicki",2015,1868
"22825",225000,"Powiat zgorzelecki",2015,1085
"22826",226000,"Powiat złotoryjski",2015,2168
"22827",261000,"Powiat m.Jelenia Góra",2015,2425
"22828",262000,"Powiat m.Legnica",2015,2627
"22829",264000,"Powiat m.Wrocław",2015,4935
"22830",265000,"Powiat m.Wałbrzych od 2013",2015,1986
"22831",401000,"Powiat aleksandrowski",2015,2546
"22832",402000,"Powiat brodnicki",2015,2449
"22833",403000,"Powiat bydgoski",2015,2538
"22834",404000,"Powiat chełmiński",2015,2375
"22835",405000,"Powiat golubsko-dobrzyński",2015,2416
"22836",406000,"Powiat grudziądzki",2015,1635
"22837",407000,"Powiat inowrocławski",2015,2725
"22838",408000,"Powiat lipnowski",2015,2311
"22839",409000,"Powiat mogileński",2015,1764
"22840",410000,"Powiat nakielski",2015,2562
"22841",411000,"Powiat radziejowski",2015,1917
"22842",412000,"Powiat rypiński",2015,2036
"22843",413000,"Powiat sępoleński",2015,1674
"22844",414000,"Powiat świecki",2015,2465
"22845",415000,"Powiat toruński",2015,2464
"22846",416000,"Powiat tucholski",2015,2180
"22847",417000,"Powiat wąbrzeski",2015,2281
"22848",418000,"Powiat włocławski",2015,1538
"22849",419000,"Powiat żniński",2015,2526
"22850",461000,"Powiat m.Bydgoszcz",2015,3450
"22851",462000,"Powiat m.Grudziądz",2015,2344
"22852",463000,"Powiat m.Toruń",2015,3918
"22853",464000,"Powiat m.Włocławek",2015,2470
"22854",601000,"Powiat bialski",2015,2449
"22855",602000,"Powiat biłgorajski",2015,2899
"22856",603000,"Powiat chełmski",2015,2132
"22857",604000,"Powiat hrubieszowski",2015,2351
"22858",605000,"Powiat janowski",2015,3073
"22859",606000,"Powiat krasnostawski",2015,2257
"22860",607000,"Powiat kraśnicki",2015,2206
"22861",608000,"Powiat lubartowski",2015,3377
"22862",609000,"Powiat lubelski",2015,3556
"22863",610000,"Powiat łęczyński",2015,3172
"22864",611000,"Powiat łukowski",2015,2955
"22865",612000,"Powiat opolski",2015,2452
"22866",613000,"Powiat parczewski",2015,2802
"22867",614000,"Powiat puławski",2015,3487
"22868",615000,"Powiat radzyński",2015,2637
"22869",616000,"Powiat rycki",2015,2355
"22870",617000,"Powiat świdnicki",2015,3589
"22871",618000,"Powiat tomaszowski",2015,2863
"22872",619000,"Powiat włodawski",2015,2038
"22873",620000,"Powiat zamojski",2015,2071
"22874",661000,"Powiat m.Biała Podlaska",2015,3012
"22875",662000,"Powiat m.Chełm",2015,2614
"22876",663000,"Powiat m.Lublin",2015,4538
"22877",664000,"Powiat m.Zamość",2015,2751
"22878",801000,"Powiat gorzowski",2015,2366
"22879",802000,"Powiat krośnieński",2015,2127
"22880",803000,"Powiat międzyrzecki",2015,2280
"22881",804000,"Powiat nowosolski",2015,2129
"22882",805000,"Powiat słubicki",2015,2806
"22883",806000,"Powiat strzelecko-drezdenecki",2015,2405
"22884",807000,"Powiat sulęciński",2015,1674
"22885",808000,"Powiat świebodziński",2015,2500
"22886",809000,"Powiat zielonogórski",2015,2237
"22887",810000,"Powiat żagański",2015,1952
"22888",811000,"Powiat żarski",2015,2170
"22889",812000,"Powiat wschowski",2015,1914
"22890",861000,"Powiat m.Gorzów Wielkopolski",2015,2701
"22891",862000,"Powiat m.Zielona Góra",2015,2981
"22892",1001000,"Powiat bełchatowski",2015,2495
"22893",1002000,"Powiat kutnowski",2015,1907
"22894",1003000,"Powiat łaski",2015,2572
"22895",1004000,"Powiat łęczycki",2015,2471
"22896",1005000,"Powiat łowicki",2015,2729
"22897",1006000,"Powiat łódzki wschodni",2015,1159
"22898",1007000,"Powiat opoczyński",2015,2708
"22899",1008000,"Powiat pabianicki",2015,2495
"22900",1009000,"Powiat pajęczański",2015,2729
"22901",1010000,"Powiat piotrkowski",2015,1679
"22902",1011000,"Powiat poddębicki",2015,2342
"22903",1012000,"Powiat radomszczański",2015,2429
"22904",1013000,"Powiat rawski",2015,2853
"22905",1014000,"Powiat sieradzki",2015,2282
"22906",1015000,"Powiat skierniewicki",2015,0
"22907",1016000,"Powiat tomaszowski",2015,2672
"22908",1017000,"Powiat wieluński",2015,2946
"22909",1018000,"Powiat wieruszowski",2015,2644
"22910",1019000,"Powiat zduńskowolski",2015,2488
"22911",1020000,"Powiat zgierski",2015,2604
"22912",1021000,"Powiat brzeziński",2015,2838
"22913",1061000,"Powiat m.Łódź",2015,3233
"22914",1062000,"Powiat m.Piotrków Trybunalski",2015,2593
"22915",1063000,"Powiat m.Skierniewice",2015,3154
"22916",1201000,"Powiat bocheński",2015,3360
"22917",1202000,"Powiat brzeski",2015,3172
"22918",1203000,"Powiat chrzanowski",2015,2763
"22919",1204000,"Powiat dąbrowski",2015,2547
"22920",1205000,"Powiat gorlicki",2015,2588
"22921",1206000,"Powiat krakowski",2015,4107
"22922",1207000,"Powiat limanowski",2015,2967
"22923",1208000,"Powiat miechowski",2015,2659
"22924",1209000,"Powiat myślenicki",2015,4482
"22925",1210000,"Powiat nowosądecki",2015,2617
"22926",1211000,"Powiat nowotarski",2015,4094
"22927",1212000,"Powiat olkuski",2015,2737
"22928",1213000,"Powiat oświęcimski",2015,2645
"22929",1214000,"Powiat proszowicki",2015,3305
"22930",1215000,"Powiat suski",2015,936
"22931",1216000,"Powiat tarnowski",2015,0
"22932",1217000,"Powiat tatrzański",2015,5690
"22933",1218000,"Powiat wadowicki",2015,2832
"22934",1219000,"Powiat wielicki",2015,4806
"22935",1261000,"Powiat m.Kraków",2015,5652
"22936",1262000,"Powiat m.Nowy Sącz",2015,3041
"22937",1263000,"Powiat m.Tarnów",2015,2910
"22938",1401000,"Powiat białobrzeski",2015,2850
"22939",1402000,"Powiat ciechanowski",2015,3000
"22940",1403000,"Powiat garwoliński",2015,1809
"22941",1404000,"Powiat gostyniński",2015,2485
"22942",1405000,"Powiat grodziski",2015,4125
"22943",1406000,"Powiat grójecki",2015,1931
"22944",1407000,"Powiat kozienicki",2015,2977
"22945",1408000,"Powiat legionowski",2015,4492
"22946",1409000,"Powiat lipski",2015,0
"22947",1410000,"Powiat łosicki",2015,2885
"22948",1411000,"Powiat makowski",2015,0
"22949",1412000,"Powiat miński",2015,3393
"22950",1413000,"Powiat mławski",2015,2333
"22951",1414000,"Powiat nowodworski",2015,3655
"22952",1415000,"Powiat ostrołęcki",2015,0
"22953",1416000,"Powiat ostrowski",2015,2656
"22954",1417000,"Powiat otwocki",2015,4608
"22955",1418000,"Powiat piaseczyński",2015,5387
"22956",1419000,"Powiat płocki",2015,1649
"22957",1420000,"Powiat płoński",2015,2778
"22958",1421000,"Powiat pruszkowski",2015,4809
"22959",1422000,"Powiat przasnyski",2015,2604
"22960",1423000,"Powiat przysuski",2015,2160
"22961",1424000,"Powiat pułtuski",2015,2747
"22962",1425000,"Powiat radomski",2015,1822
"22963",1426000,"Powiat siedlecki",2015,1174
"22964",1427000,"Powiat sierpecki",2015,2302
"22965",1428000,"Powiat sochaczewski",2015,3027
"22966",1429000,"Powiat sokołowski",2015,3329
"22967",1430000,"Powiat szydłowiecki",2015,2180
"22968",1432000,"Powiat warszawski zachodni",2015,4121
"22969",1433000,"Powiat węgrowski",2015,2290
"22970",1434000,"Powiat wołomiński",2015,4690
"22971",1435000,"Powiat wyszkowski",2015,3549
"22972",1436000,"Powiat zwoleński",2015,0
"22973",1437000,"Powiat żuromiński",2015,2707
"22974",1438000,"Powiat żyrardowski",2015,2653
"22975",1461000,"Powiat m.Ostrołęka",2015,2739
"22976",1462000,"Powiat m.Płock",2015,3167
"22977",1463000,"Powiat m.Radom",2015,2679
"22978",1464000,"Powiat m.Siedlce",2015,3772
"22979",1465000,"Powiat m. st. Warszawa",2015,7073
"22980",1601000,"Powiat brzeski",2015,2466
"22981",1602000,"Powiat głubczycki",2015,1292
"22982",1603000,"Powiat kędzierzyńsko-kozielski",2015,2315
"22983",1604000,"Powiat kluczborski",2015,1978
"22984",1605000,"Powiat krapkowicki",2015,2335
"22985",1606000,"Powiat namysłowski",2015,3032
"22986",1607000,"Powiat nyski",2015,2191
"22987",1608000,"Powiat oleski",2015,2212
"22988",1609000,"Powiat opolski",2015,2206
"22989",1610000,"Powiat prudnicki",2015,1531
"22990",1611000,"Powiat strzelecki",2015,2178
"22991",1661000,"Powiat m.Opole",2015,3888
"22992",1801000,"Powiat bieszczadzki",2015,1832
"22993",1802000,"Powiat brzozowski",2015,2551
"22994",1803000,"Powiat dębicki",2015,2642
"22995",1804000,"Powiat jarosławski",2015,2891
"22996",1805000,"Powiat jasielski",2015,2170
"22997",1806000,"Powiat kolbuszowski",2015,0
"22998",1807000,"Powiat krośnieński",2015,1596
"22999",1808000,"Powiat leżajski",2015,1836
"23000",1809000,"Powiat lubaczowski",2015,2009
"23001",1810000,"Powiat łańcucki",2015,3167
"23002",1811000,"Powiat mielecki",2015,2874
"23003",1812000,"Powiat niżański",2015,2412
"23004",1813000,"Powiat przemyski",2015,2615
"23005",1814000,"Powiat przeworski",2015,2767
"23006",1815000,"Powiat ropczycko-sędziszowski",2015,3184
"23007",1816000,"Powiat rzeszowski",2015,3111
"23008",1817000,"Powiat sanocki",2015,2667
"23009",1818000,"Powiat stalowowolski",2015,2513
"23010",1819000,"Powiat strzyżowski",2015,3155
"23011",1820000,"Powiat tarnobrzeski",2015,1980
"23012",1821000,"Powiat leski",2015,2700
"23013",1861000,"Powiat m.Krosno",2015,2785
"23014",1862000,"Powiat m.Przemyśl",2015,2734
"23015",1863000,"Powiat m.Rzeszów",2015,4371
"23016",1864000,"Powiat m.Tarnobrzeg",2015,2474
"23017",2001000,"Powiat augustowski",2015,3931
"23018",2002000,"Powiat białostocki",2015,2475
"23019",2003000,"Powiat bielski",2015,0
"23020",2004000,"Powiat grajewski",2015,2455
"23021",2005000,"Powiat hajnowski",2015,2101
"23022",2006000,"Powiat kolneński",2015,2602
"23023",2007000,"Powiat łomżyński",2015,0
"23024",2008000,"Powiat moniecki",2015,2103
"23025",2009000,"Powiat sejneński",2015,0
"23026",2010000,"Powiat siemiatycki",2015,2517
"23027",2011000,"Powiat sokólski",2015,3044
"23028",2012000,"Powiat suwalski",2015,1276
"23029",2013000,"Powiat wysokomazowiecki",2015,1250
"23030",2014000,"Powiat zambrowski",2015,2552
"23031",2061000,"Powiat m.Białystok",2015,3963
"23032",2062000,"Powiat m.Łomża",2015,3257
"23033",2063000,"Powiat m.Suwałki",2015,2890
"23034",2201000,"Powiat bytowski",2015,3013
"23035",2202000,"Powiat chojnicki",2015,2733
"23036",2203000,"Powiat człuchowski",2015,1894
"23037",2204000,"Powiat gdański",2015,3897
"23038",2205000,"Powiat kartuski",2015,2898
"23039",2206000,"Powiat kościerski",2015,2881
"23040",2207000,"Powiat kwidzyński",2015,2238
"23041",2208000,"Powiat lęborski",2015,2539
"23042",2209000,"Powiat malborski",2015,2468
"23043",2210000,"Powiat nowodworski",2015,3594
"23044",2211000,"Powiat pucki",2015,4407
"23045",2212000,"Powiat słupski",2015,3460
"23046",2213000,"Powiat starogardzki",2015,2936
"23047",2214000,"Powiat tczewski",2015,3276
"23048",2215000,"Powiat wejherowski",2015,3578
"23049",2216000,"Powiat sztumski",2015,1650
"23050",2261000,"Powiat m.Gdańsk",2015,5000
"23051",2262000,"Powiat m.Gdynia",2015,4545
"23052",2263000,"Powiat m.Słupsk",2015,3095
"23053",2264000,"Powiat m.Sopot",2015,6846
"23054",2401000,"Powiat będziński",2015,2265
"23055",2402000,"Powiat bielski",2015,2662
"23056",2403000,"Powiat cieszyński",2015,2860
"23057",2404000,"Powiat częstochowski",2015,1575
"23058",2405000,"Powiat gliwicki",2015,2405
"23059",2406000,"Powiat kłobucki",2015,2629
"23060",2407000,"Powiat lubliniecki",2015,2555
"23061",2408000,"Powiat mikołowski",2015,2582
"23062",2409000,"Powiat myszkowski",2015,1917
"23063",2410000,"Powiat pszczyński",2015,2200
"23064",2411000,"Powiat raciborski",2015,1771
"23065",2412000,"Powiat rybnicki",2015,2083
"23066",2413000,"Powiat tarnogórski",2015,2387
"23067",2414000,"Powiat bieruńsko-lędziński",2015,2262
"23068",2415000,"Powiat wodzisławski",2015,1849
"23069",2416000,"Powiat zawierciański",2015,1880
"23070",2417000,"Powiat żywiecki",2015,2998
"23071",2461000,"Powiat m.Bielsko-Biała",2015,2934
"23072",2462000,"Powiat m.Bytom",2015,1884
"23073",2463000,"Powiat m.Chorzów",2015,2599
"23074",2464000,"Powiat m.Częstochowa",2015,2538
"23075",2465000,"Powiat m.Dąbrowa Górnicza",2015,2534
"23076",2466000,"Powiat m.Gliwice",2015,2953
"23077",2467000,"Powiat m.Jastrzębie-Zdrój",2015,2154
"23078",2468000,"Powiat m.Jaworzno",2015,2807
"23079",2469000,"Powiat m.Katowice",2015,3132
"23080",2470000,"Powiat m.Mysłowice",2015,2397
"23081",2471000,"Powiat m.Piekary Śląskie",2015,2124
"23082",2472000,"Powiat m.Ruda Śląska",2015,2190
"23083",2473000,"Powiat m.Rybnik",2015,2271
"23084",2474000,"Powiat m.Siemianowice Śląskie",2015,2593
"23085",2475000,"Powiat m.Sosnowiec",2015,2461
"23086",2476000,"Powiat m.Świętochłowice",2015,2414
"23087",2477000,"Powiat m.Tychy",2015,3139
"23088",2478000,"Powiat m.Zabrze",2015,2333
"23089",2479000,"Powiat m.Żory",2015,2334
"23090",2601000,"Powiat buski",2015,2553
"23091",2602000,"Powiat jędrzejowski",2015,2376
"23092",2603000,"Powiat kazimierski",2015,1436
"23093",2604000,"Powiat kielecki",2015,0
"23094",2605000,"Powiat konecki",2015,2281
"23095",2606000,"Powiat opatowski",2015,1804
"23096",2607000,"Powiat ostrowiecki",2015,1876
"23097",2608000,"Powiat pińczowski",2015,1983
"23098",2609000,"Powiat sandomierski",2015,2774
"23099",2610000,"Powiat skarżyski",2015,1996
"23100",2611000,"Powiat starachowicki",2015,2045
"23101",2612000,"Powiat staszowski",2015,2561
"23102",2613000,"Powiat włoszczowski",2015,2582
"23103",2661000,"Powiat m.Kielce",2015,3455
"23104",2801000,"Powiat bartoszycki",2015,1617
"23105",2802000,"Powiat braniewski",2015,2073
"23106",2803000,"Powiat działdowski",2015,2233
"23107",2804000,"Powiat elbląski",2015,2245
"23108",2805000,"Powiat ełcki",2015,2512
"23109",2806000,"Powiat giżycki",2015,2845
"23110",2807000,"Powiat iławski",2015,3148
"23111",2808000,"Powiat kętrzyński",2015,1905
"23112",2809000,"Powiat lidzbarski",2015,2204
"23113",2810000,"Powiat mrągowski",2015,2613
"23114",2811000,"Powiat nidzicki",2015,2323
"23115",2812000,"Powiat nowomiejski",2015,2313
"23116",2813000,"Powiat olecki",2015,2900
"23117",2814000,"Powiat olsztyński",2015,2614
"23118",2815000,"Powiat ostródzki",2015,2495
"23119",2816000,"Powiat piski",2015,2076
"23120",2817000,"Powiat szczycieński",2015,2651
"23121",2818000,"Powiat gołdapski",2015,1688
"23122",2819000,"Powiat węgorzewski",2015,2922
"23123",2861000,"Powiat m.Elbląg",2015,2791
"23124",2862000,"Powiat m.Olsztyn",2015,4075
"23125",3001000,"Powiat chodzieski",2015,2567
"23126",3002000,"Powiat czarnkowsko-trzcianecki",2015,1928
"23127",3003000,"Powiat gnieźnieński",2015,2905
"23128",3004000,"Powiat gostyński",2015,2003
"23129",3005000,"Powiat grodziski",2015,2710
"23130",3006000,"Powiat jarociński",2015,2771
"23131",3007000,"Powiat kaliski",2015,1444
"23132",3008000,"Powiat kępiński",2015,0
"23133",3009000,"Powiat kolski",2015,2700
"23134",3010000,"Powiat koniński",2015,2076
"23135",3011000,"Powiat kościański",2015,2411
"23136",3012000,"Powiat krotoszyński",2015,2437
"23137",3013000,"Powiat leszczyński",2015,2650
"23138",3014000,"Powiat międzychodzki",2015,2228
"23139",3015000,"Powiat nowotomyski",2015,2888
"23140",3016000,"Powiat obornicki",2015,2959
"23141",3017000,"Powiat ostrowski",2015,2227
"23142",3018000,"Powiat ostrzeszowski",2015,3234
"23143",3019000,"Powiat pilski",2015,2713
"23144",3020000,"Powiat pleszewski",2015,3354
"23145",3021000,"Powiat poznański",2015,4171
"23146",3022000,"Powiat rawicki",2015,2449
"23147",3023000,"Powiat słupecki",2015,2495
"23148",3024000,"Powiat szamotulski",2015,2046
"23149",3025000,"Powiat średzki",2015,2952
"23150",3026000,"Powiat śremski",2015,2614
"23151",3027000,"Powiat turecki",2015,2245
"23152",3028000,"Powiat wągrowiecki",2015,3101
"23153",3029000,"Powiat wolsztyński",2015,2778
"23154",3030000,"Powiat wrzesiński",2015,3440
"23155",3031000,"Powiat złotowski",2015,2396
"23156",3061000,"Powiat m.Kalisz",2015,2746
"23157",3062000,"Powiat m.Konin",2015,2848
"23158",3063000,"Powiat m.Leszno",2015,3039
"23159",3064000,"Powiat m.Poznań",2015,4989
"23160",3201000,"Powiat białogardzki",2015,2141
"23161",3202000,"Powiat choszczeński",2015,2291
"23162",3203000,"Powiat drawski",2015,2403
"23163",3204000,"Powiat goleniowski",2015,2857
"23164",3205000,"Powiat gryficki",2015,2369
"23165",3206000,"Powiat gryfiński",2015,2830
"23166",3207000,"Powiat kamieński",2015,3211
"23167",3208000,"Powiat kołobrzeski",2015,4055
"23168",3209000,"Powiat koszaliński",2015,1893
"23169",3210000,"Powiat myśliborski",2015,2054
"23170",3211000,"Powiat policki",2015,3810
"23171",3212000,"Powiat pyrzycki",2015,2196
"23172",3213000,"Powiat sławieński",2015,2503
"23173",3214000,"Powiat stargardzki",2015,3110
"23174",3215000,"Powiat szczecinecki",2015,2490
"23175",3216000,"Powiat świdwiński",2015,1659
"23176",3217000,"Powiat wałecki",2015,2368
"23177",3218000,"Powiat łobeski",2015,1670
"23178",3261000,"Powiat m.Koszalin",2015,3201
"23179",3262000,"Powiat m.Szczecin",2015,3801
"23180",3263000,"Powiat m.Świnoujście",2015,4371
"23181",201000,"Powiat bolesławiecki",2016,2653
"23182",202000,"Powiat dzierżoniowski",2016,1923
"23183",203000,"Powiat głogowski",2016,3063
"23184",204000,"Powiat górowski",2016,2309
"23185",205000,"Powiat jaworski",2016,2114
"23186",206000,"Powiat jeleniogórski",2016,2267
"23187",207000,"Powiat kamiennogórski",2016,1456
"23188",208000,"Powiat kłodzki",2016,2010
"23189",209000,"Powiat legnicki",2016,2381
"23190",210000,"Powiat lubański",2016,2015
"23191",211000,"Powiat lubiński",2016,2917
"23192",212000,"Powiat lwówecki",2016,1487
"23193",213000,"Powiat milicki",2016,2667
"23194",214000,"Powiat oleśnicki",2016,3321
"23195",215000,"Powiat oławski",2016,3152
"23196",216000,"Powiat polkowicki",2016,2779
"23197",217000,"Powiat strzeliński",2016,2317
"23198",218000,"Powiat średzki",2016,3958
"23199",219000,"Powiat świdnicki",2016,2561
"23200",220000,"Powiat trzebnicki",2016,3539
"23201",221000,"Powiat wałbrzyski",2016,1386
"23202",222000,"Powiat wołowski",2016,2583
"23203",223000,"Powiat wrocławski",2016,4109
"23204",224000,"Powiat ząbkowicki",2016,1856
"23205",225000,"Powiat zgorzelecki",2016,1893
"23206",226000,"Powiat złotoryjski",2016,2509
"23207",261000,"Powiat m.Jelenia Góra",2016,2553
"23208",262000,"Powiat m.Legnica",2016,2638
"23209",264000,"Powiat m.Wrocław",2016,5042
"23210",265000,"Powiat m.Wałbrzych od 2013",2016,1916
"23211",401000,"Powiat aleksandrowski",2016,3049
"23212",402000,"Powiat brodnicki",2016,2490
"23213",403000,"Powiat bydgoski",2016,2652
"23214",404000,"Powiat chełmiński",2016,2542
"23215",405000,"Powiat golubsko-dobrzyński",2016,2311
"23216",406000,"Powiat grudziądzki",2016,1547
"23217",407000,"Powiat inowrocławski",2016,2780
"23218",408000,"Powiat lipnowski",2016,2141
"23219",409000,"Powiat mogileński",2016,2236
"23220",410000,"Powiat nakielski",2016,2856
"23221",411000,"Powiat radziejowski",2016,3248
"23222",412000,"Powiat rypiński",2016,1862
"23223",413000,"Powiat sępoleński",2016,1759
"23224",414000,"Powiat świecki",2016,2547
"23225",415000,"Powiat toruński",2016,2641
"23226",416000,"Powiat tucholski",2016,2160
"23227",417000,"Powiat wąbrzeski",2016,1931
"23228",418000,"Powiat włocławski",2016,1844
"23229",419000,"Powiat żniński",2016,2219
"23230",461000,"Powiat m.Bydgoszcz",2016,3704
"23231",462000,"Powiat m.Grudziądz",2016,2474
"23232",463000,"Powiat m.Toruń",2016,4199
