"","Kod","Nazwa","rok","WYPADKI_DROGOWE_CTAB_wypadki_drogowe_na_100_tys_ludnosci_osoba"
"133",1218000,"Powiat wadowicki",2002,NA
"134",1219000,"Powiat wielicki",2002,NA
"135",1261000,"Powiat m.Kraków",2002,NA
"136",1262000,"Powiat m.Nowy Sącz",2002,NA
"137",1263000,"Powiat m.Tarnów",2002,NA
"138",1401000,"Powiat białobrzeski",2002,NA
"139",1402000,"Powiat ciechanowski",2002,NA
"140",1403000,"Powiat garwoliński",2002,NA
"141",1404000,"Powiat gostyniński",2002,NA
"142",1405000,"Powiat grodziski",2002,NA
"143",1406000,"Powiat grójecki",2002,NA
"144",1407000,"Powiat kozienicki",2002,NA
"145",1408000,"Powiat legionowski",2002,NA
"146",1409000,"Powiat lipski",2002,NA
"147",1410000,"Powiat łosicki",2002,NA
"148",1411000,"Powiat makowski",2002,NA
"149",1412000,"Powiat miński",2002,NA
"150",1413000,"Powiat mławski",2002,NA
"151",1414000,"Powiat nowodworski",2002,NA
"152",1415000,"Powiat ostrołęcki",2002,NA
"153",1416000,"Powiat ostrowski",2002,NA
"154",1417000,"Powiat otwocki",2002,NA
"155",1418000,"Powiat piaseczyński",2002,NA
"156",1419000,"Powiat płocki",2002,NA
"157",1420000,"Powiat płoński",2002,NA
"158",1421000,"Powiat pruszkowski",2002,NA
"159",1422000,"Powiat przasnyski",2002,NA
"160",1423000,"Powiat przysuski",2002,NA
"161",1424000,"Powiat pułtuski",2002,NA
"162",1425000,"Powiat radomski",2002,NA
"163",1426000,"Powiat siedlecki",2002,NA
"164",1427000,"Powiat sierpecki",2002,NA
"165",1428000,"Powiat sochaczewski",2002,NA
"166",1429000,"Powiat sokołowski",2002,NA
"167",1430000,"Powiat szydłowiecki",2002,NA
"168",1432000,"Powiat warszawski zachodni",2002,NA
"169",1433000,"Powiat węgrowski",2002,NA
"170",1434000,"Powiat wołomiński",2002,NA
"171",1435000,"Powiat wyszkowski",2002,NA
"172",1436000,"Powiat zwoleński",2002,NA
"173",1437000,"Powiat żuromiński",2002,NA
"174",1438000,"Powiat żyrardowski",2002,NA
"175",1461000,"Powiat m.Ostrołęka",2002,NA
"176",1462000,"Powiat m.Płock",2002,NA
"177",1463000,"Powiat m.Radom",2002,NA
"178",1464000,"Powiat m.Siedlce",2002,NA
"179",1465000,"Powiat m. st. Warszawa",2002,NA
"180",1601000,"Powiat brzeski",2002,NA
"181",1602000,"Powiat głubczycki",2002,NA
"182",1603000,"Powiat kędzierzyńsko-kozielski",2002,NA
"183",1604000,"Powiat kluczborski",2002,NA
"184",1605000,"Powiat krapkowicki",2002,NA
"185",1606000,"Powiat namysłowski",2002,NA
"186",1607000,"Powiat nyski",2002,NA
"187",1608000,"Powiat oleski",2002,NA
"188",1609000,"Powiat opolski",2002,NA
"189",1610000,"Powiat prudnicki",2002,NA
"190",1611000,"Powiat strzelecki",2002,NA
"191",1661000,"Powiat m.Opole",2002,NA
"192",1801000,"Powiat bieszczadzki",2002,NA
"193",1802000,"Powiat brzozowski",2002,NA
"194",1803000,"Powiat dębicki",2002,NA
"195",1804000,"Powiat jarosławski",2002,NA
"196",1805000,"Powiat jasielski",2002,NA
"197",1806000,"Powiat kolbuszowski",2002,NA
"198",1807000,"Powiat krośnieński",2002,NA
"199",1808000,"Powiat leżajski",2002,NA
"200",1809000,"Powiat lubaczowski",2002,NA
"201",1810000,"Powiat łańcucki",2002,NA
"202",1811000,"Powiat mielecki",2002,NA
"203",1812000,"Powiat niżański",2002,NA
"204",1813000,"Powiat przemyski",2002,NA
"205",1814000,"Powiat przeworski",2002,NA
"206",1815000,"Powiat ropczycko-sędziszowski",2002,NA
"207",1816000,"Powiat rzeszowski",2002,NA
"208",1817000,"Powiat sanocki",2002,NA
"209",1818000,"Powiat stalowowolski",2002,NA
"210",1819000,"Powiat strzyżowski",2002,NA
"211",1820000,"Powiat tarnobrzeski",2002,NA
"212",1821000,"Powiat leski",2002,NA
"213",1861000,"Powiat m.Krosno",2002,NA
"214",1862000,"Powiat m.Przemyśl",2002,NA
"215",1863000,"Powiat m.Rzeszów",2002,NA
"216",1864000,"Powiat m.Tarnobrzeg",2002,NA
"217",2001000,"Powiat augustowski",2002,NA
"218",2002000,"Powiat białostocki",2002,NA
"219",2003000,"Powiat bielski",2002,NA
"220",2004000,"Powiat grajewski",2002,NA
"221",2005000,"Powiat hajnowski",2002,NA
"222",2006000,"Powiat kolneński",2002,NA
"223",2007000,"Powiat łomżyński",2002,NA
"224",2008000,"Powiat moniecki",2002,NA
"225",2009000,"Powiat sejneński",2002,NA
"226",2010000,"Powiat siemiatycki",2002,NA
"227",2011000,"Powiat sokólski",2002,NA
"228",2012000,"Powiat suwalski",2002,NA
"229",2013000,"Powiat wysokomazowiecki",2002,NA
"230",2014000,"Powiat zambrowski",2002,NA
"231",2061000,"Powiat m.Białystok",2002,NA
"232",2062000,"Powiat m.Łomża",2002,NA
"233",2063000,"Powiat m.Suwałki",2002,NA
"234",2201000,"Powiat bytowski",2002,NA
"235",2202000,"Powiat chojnicki",2002,NA
"236",2203000,"Powiat człuchowski",2002,NA
"237",2204000,"Powiat gdański",2002,NA
"238",2205000,"Powiat kartuski",2002,NA
"239",2206000,"Powiat kościerski",2002,NA
"240",2207000,"Powiat kwidzyński",2002,NA
"241",2208000,"Powiat lęborski",2002,NA
"242",2209000,"Powiat malborski",2002,NA
"243",2210000,"Powiat nowodworski",2002,NA
"244",2211000,"Powiat pucki",2002,NA
"245",2212000,"Powiat słupski",2002,NA
"246",2213000,"Powiat starogardzki",2002,NA
"247",2214000,"Powiat tczewski",2002,NA
"248",2215000,"Powiat wejherowski",2002,NA
"249",2216000,"Powiat sztumski",2002,NA
"250",2261000,"Powiat m.Gdańsk",2002,NA
"251",2262000,"Powiat m.Gdynia",2002,NA
"252",2263000,"Powiat m.Słupsk",2002,NA
"253",2264000,"Powiat m.Sopot",2002,NA
"254",2401000,"Powiat będziński",2002,NA
"255",2402000,"Powiat bielski",2002,NA
"256",2403000,"Powiat cieszyński",2002,NA
"257",2404000,"Powiat częstochowski",2002,NA
"258",2405000,"Powiat gliwicki",2002,NA
"259",2406000,"Powiat kłobucki",2002,NA
"260",2407000,"Powiat lubliniecki",2002,NA
"261",2408000,"Powiat mikołowski",2002,NA
"262",2409000,"Powiat myszkowski",2002,NA
"263",2410000,"Powiat pszczyński",2002,NA
"264",2411000,"Powiat raciborski",2002,NA
