"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_40_do_60_m2_zl"
"3801",201000,"Powiat bolesławiecki",2015,2626
"3802",202000,"Powiat dzierżoniowski",2015,2096
"3803",203000,"Powiat głogowski",2015,3026
"3804",204000,"Powiat górowski",2015,2236
"3805",205000,"Powiat jaworski",2015,2400
"3806",206000,"Powiat jeleniogórski",2015,5763
"3807",207000,"Powiat kamiennogórski",2015,1523
"3808",208000,"Powiat kłodzki",2015,2169
"3809",209000,"Powiat legnicki",2015,2087
"3810",210000,"Powiat lubański",2015,1977
"3811",211000,"Powiat lubiński",2015,2881
"3812",212000,"Powiat lwówecki",2015,1264
"3813",213000,"Powiat milicki",2015,2987
"3814",214000,"Powiat oleśnicki",2015,3133
"3815",215000,"Powiat oławski",2015,3292
"3816",216000,"Powiat polkowicki",2015,2559
"3817",217000,"Powiat strzeliński",2015,3145
"3818",218000,"Powiat średzki",2015,3786
"3819",219000,"Powiat świdnicki",2015,2424
"3820",220000,"Powiat trzebnicki",2015,3750
"3821",221000,"Powiat wałbrzyski",2015,1421
"3822",222000,"Powiat wołowski",2015,2963
"3823",223000,"Powiat wrocławski",2015,4196
"3824",224000,"Powiat ząbkowicki",2015,1868
"3825",225000,"Powiat zgorzelecki",2015,1085
"3826",226000,"Powiat złotoryjski",2015,2168
"3827",261000,"Powiat m.Jelenia Góra",2015,2582
"3828",262000,"Powiat m.Legnica",2015,2727
"3829",264000,"Powiat m.Wrocław",2015,5244
"3830",265000,"Powiat m.Wałbrzych od 2013",2015,1993
"3831",401000,"Powiat aleksandrowski",2015,3106
"3832",402000,"Powiat brodnicki",2015,3027
"3833",403000,"Powiat bydgoski",2015,3008
"3834",404000,"Powiat chełmiński",2015,2378
"3835",405000,"Powiat golubsko-dobrzyński",2015,2904
"3836",406000,"Powiat grudziądzki",2015,1635
"3837",407000,"Powiat inowrocławski",2015,2920
"3838",408000,"Powiat lipnowski",2015,2311
"3839",409000,"Powiat mogileński",2015,1810
"3840",410000,"Powiat nakielski",2015,2596
"3841",411000,"Powiat radziejowski",2015,2104
"3842",412000,"Powiat rypiński",2015,2039
"3843",413000,"Powiat sępoleński",2015,1674
"3844",414000,"Powiat świecki",2015,2599
"3845",415000,"Powiat toruński",2015,2714
"3846",416000,"Powiat tucholski",2015,2371
"3847",417000,"Powiat wąbrzeski",2015,2281
"3848",418000,"Powiat włocławski",2015,2246
"3849",419000,"Powiat żniński",2015,2571
"3850",461000,"Powiat m.Bydgoszcz",2015,3884
"3851",462000,"Powiat m.Grudziądz",2015,2482
"3852",463000,"Powiat m.Toruń",2015,3919
"3853",464000,"Powiat m.Włocławek",2015,2554
"3854",601000,"Powiat bialski",2015,2449
"3855",602000,"Powiat biłgorajski",2015,2899
"3856",603000,"Powiat chełmski",2015,2132
"3857",604000,"Powiat hrubieszowski",2015,2376
"3858",605000,"Powiat janowski",2015,3099
"3859",606000,"Powiat krasnostawski",2015,2490
"3860",607000,"Powiat kraśnicki",2015,2229
"3861",608000,"Powiat lubartowski",2015,3377
"3862",609000,"Powiat lubelski",2015,3728
"3863",610000,"Powiat łęczyński",2015,2987
"3864",611000,"Powiat łukowski",2015,2955
"3865",612000,"Powiat opolski",2015,2614
