"","Kod","Nazwa","rok","Dochody_powiatu_na_1_mieszkanca_ogolem_zl"
"142",1425000,"Powiat radomski",2002,314
"143",1426000,"Powiat siedlecki",2002,185
"144",1427000,"Powiat sierpecki",2002,511
"145",1428000,"Powiat sochaczewski",2002,480
"146",1429000,"Powiat sokołowski",2002,521
"147",1430000,"Powiat szydłowiecki",2002,465
"148",1432000,"Powiat warszawski zachodni",2002,398
"149",1433000,"Powiat węgrowski",2002,478
"150",1434000,"Powiat wołomiński",2002,310
"151",1435000,"Powiat wyszkowski",2002,560
"152",1436000,"Powiat zwoleński",2002,430
"153",1437000,"Powiat żuromiński",2002,492
"154",1438000,"Powiat żyrardowski",2002,480
"155",1601000,"Powiat brzeski",2002,592
"156",1602000,"Powiat głubczycki",2002,667
"157",1603000,"Powiat kędzierzyńsko-kozielski",2002,479
"158",1604000,"Powiat kluczborski",2002,595
"159",1605000,"Powiat krapkowicki",2002,316
"160",1606000,"Powiat namysłowski",2002,558
"161",1607000,"Powiat nyski",2002,502
"162",1608000,"Powiat oleski",2002,510
"163",1609000,"Powiat opolski",2002,261
"164",1610000,"Powiat prudnicki",2002,516
"165",1611000,"Powiat strzelecki",2002,467
"166",1801000,"Powiat bieszczadzki",2002,806
"167",1802000,"Powiat brzozowski",2002,415
"168",1803000,"Powiat dębicki",2002,458
"169",1804000,"Powiat jarosławski",2002,554
"170",1805000,"Powiat jasielski",2002,488
"171",1806000,"Powiat kolbuszowski",2002,362
"172",1807000,"Powiat krośnieński",2002,296
"173",1808000,"Powiat leżajski",2002,506
"174",1809000,"Powiat lubaczowski",2002,778
"175",1810000,"Powiat łańcucki",2002,415
"176",1811000,"Powiat mielecki",2002,505
"177",1812000,"Powiat niżański",2002,424
"178",1813000,"Powiat przemyski",2002,209
"179",1814000,"Powiat przeworski",2002,366
"180",1815000,"Powiat ropczycko-sędziszowski",2002,486
"181",1816000,"Powiat rzeszowski",2002,261
"182",1817000,"Powiat sanocki",2002,519
"183",1818000,"Powiat stalowowolski",2002,476
"184",1819000,"Powiat strzyżowski",2002,482
