"","Kod","Nazwa","rok","ludnosc_grupy_ekonomiczne_w_wieku_poprodukcyjnym_proc"
"13839",1207000,"Powiat limanowski",2002,13.4
"13840",1208000,"Powiat miechowski",2002,19.6
"13841",1209000,"Powiat myślenicki",2002,13.1
"13842",1210000,"Powiat nowosądecki",2002,12.9
"13843",1211000,"Powiat nowotarski",2002,13.2
"13844",1212000,"Powiat olkuski",2002,15.5
"13845",1213000,"Powiat oświęcimski",2002,15.3
"13846",1214000,"Powiat proszowicki",2002,16.9
"13847",1215000,"Powiat suski",2002,15.4
"13848",1216000,"Powiat tarnowski",2002,14.6
"13849",1217000,"Powiat tatrzański",2002,15.6
"13850",1218000,"Powiat wadowicki",2002,14.2
"13851",1219000,"Powiat wielicki",2002,14.5
"13852",1261000,"Powiat m.Kraków",2002,16.6
"13853",1262000,"Powiat m.Nowy Sącz",2002,12.9
"13854",1263000,"Powiat m.Tarnów",2002,14.9
"13855",1401000,"Powiat białobrzeski",2002,15.9
"13856",1402000,"Powiat ciechanowski",2002,14.2
"13857",1403000,"Powiat garwoliński",2002,15.5
"13858",1404000,"Powiat gostyniński",2002,15.3
"13859",1405000,"Powiat grodziski",2002,16.2
"13860",1406000,"Powiat grójecki",2002,16.2
"13861",1407000,"Powiat kozienicki",2002,15.8
"13862",1408000,"Powiat legionowski",2002,12.7
"13863",1409000,"Powiat lipski",2002,20.2
"13864",1410000,"Powiat łosicki",2002,19.2
"13865",1411000,"Powiat makowski",2002,16.8
"13866",1412000,"Powiat miński",2002,15.6
"13867",1413000,"Powiat mławski",2002,16
"13868",1414000,"Powiat nowodworski",2002,14.1
"13869",1415000,"Powiat ostrołęcki",2002,15.9
"13870",1416000,"Powiat ostrowski",2002,17
"13871",1417000,"Powiat otwocki",2002,16
"13872",1418000,"Powiat piaseczyński",2002,13.8
"13873",1419000,"Powiat płocki",2002,15.9
"13874",1420000,"Powiat płoński",2002,15.9
"13875",1421000,"Powiat pruszkowski",2002,15.5
"13876",1422000,"Powiat przasnyski",2002,16.1
"13877",1423000,"Powiat przysuski",2002,19
"13878",1424000,"Powiat pułtuski",2002,15.4
"13879",1425000,"Powiat radomski",2002,14
"13880",1426000,"Powiat siedlecki",2002,17.7
"13881",1427000,"Powiat sierpecki",2002,15.9
"13882",1428000,"Powiat sochaczewski",2002,15.3
"13883",1429000,"Powiat sokołowski",2002,19.4
"13884",1430000,"Powiat szydłowiecki",2002,15.8
"13885",1432000,"Powiat warszawski zachodni",2002,14.7
"13886",1433000,"Powiat węgrowski",2002,17.4
"13887",1434000,"Powiat wołomiński",2002,13.5
"13888",1435000,"Powiat wyszkowski",2002,13.8
"13889",1436000,"Powiat zwoleński",2002,17.6
"13890",1437000,"Powiat żuromiński",2002,17
"13891",1438000,"Powiat żyrardowski",2002,15.9
"13892",1461000,"Powiat m.Ostrołęka",2002,10.1
"13893",1462000,"Powiat m.Płock",2002,12.6
"13894",1463000,"Powiat m.Radom",2002,14.4
"13895",1464000,"Powiat m.Siedlce",2002,11.5
"13896",1465000,"Powiat m. st. Warszawa",2002,19.5
"13897",1601000,"Powiat brzeski",2002,14.8
"13898",1602000,"Powiat głubczycki",2002,16.3
"13899",1603000,"Powiat kędzierzyńsko-kozielski",2002,15.4
"13900",1604000,"Powiat kluczborski",2002,14.6
"13901",1605000,"Powiat krapkowicki",2002,14
"13902",1606000,"Powiat namysłowski",2002,14.5
"13903",1607000,"Powiat nyski",2002,15
"13904",1608000,"Powiat oleski",2002,15.6
"13905",1609000,"Powiat opolski",2002,14.9
"13906",1610000,"Powiat prudnicki",2002,17
"13907",1611000,"Powiat strzelecki",2002,15.1
"13908",1661000,"Powiat m.Opole",2002,14.6
"13909",1801000,"Powiat bieszczadzki",2002,12.6
"13910",1802000,"Powiat brzozowski",2002,15.4
"13911",1803000,"Powiat dębicki",2002,13.4
"13912",1804000,"Powiat jarosławski",2002,14.7
"13913",1805000,"Powiat jasielski",2002,15.3
"13914",1806000,"Powiat kolbuszowski",2002,14.3
"13915",1807000,"Powiat krośnieński",2002,15.7
"13916",1808000,"Powiat leżajski",2002,14.1
"13917",1809000,"Powiat lubaczowski",2002,15.5
"13918",1810000,"Powiat łańcucki",2002,15.9
"13919",1811000,"Powiat mielecki",2002,14.2
"13920",1812000,"Powiat niżański",2002,14.7
"13921",1813000,"Powiat przemyski",2002,15.2
"13922",1814000,"Powiat przeworski",2002,16.2
"13923",1815000,"Powiat ropczycko-sędziszowski",2002,13.6
"13924",1816000,"Powiat rzeszowski",2002,15.4
"13925",1817000,"Powiat sanocki",2002,13.7
"13926",1818000,"Powiat stalowowolski",2002,13.6
"13927",1819000,"Powiat strzyżowski",2002,16.1
"13928",1820000,"Powiat tarnobrzeski",2002,13.9
"13929",1821000,"Powiat leski",2002,13.7
"13930",1861000,"Powiat m.Krosno",2002,13.7
"13931",1862000,"Powiat m.Przemyśl",2002,15
"13932",1863000,"Powiat m.Rzeszów",2002,13.4
"13933",1864000,"Powiat m.Tarnobrzeg",2002,11.7
"13934",2001000,"Powiat augustowski",2002,16.7
"13935",2002000,"Powiat białostocki",2002,17.1
"13936",2003000,"Powiat bielski",2002,21.8
"13937",2004000,"Powiat grajewski",2002,14.3
"13938",2005000,"Powiat hajnowski",2002,23.5
