"","Kod","Nazwa","rok","TURYSTYCZNE_OBIEKTY_NOCLEGOWE_I_ICH_WYKORZYSTANIE_CTAB_noclegi_udzielone_turystom_krajowym_w_turystycznych_obiektach_noclegowych_ogolem_na_10_tys_mieszkancow_ogolem"
"61847",1209000,"Powiat myślenicki",2002,3845
"61848",1210000,"Powiat nowosądecki",2002,77105
"61849",1211000,"Powiat nowotarski",2002,39473
"61850",1212000,"Powiat olkuski",2002,3059
"61851",1213000,"Powiat oświęcimski",2002,1848
"61852",1214000,"Powiat proszowicki",2002,267
"61853",1215000,"Powiat suski",2002,26594
"61854",1216000,"Powiat tarnowski",2002,1520
"61855",1217000,"Powiat tatrzański",2002,183768
"61856",1218000,"Powiat wadowicki",2002,6345
"61857",1219000,"Powiat wielicki",2002,2600
"61858",1261000,"Powiat m.Kraków",2002,9193
"61859",1262000,"Powiat m.Nowy Sącz",2002,2011
"61860",1263000,"Powiat m.Tarnów",2002,3199
"61861",1401000,"Powiat białobrzeski",2002,8876
"61862",1402000,"Powiat ciechanowski",2002,3434
"61863",1403000,"Powiat garwoliński",2002,8965
"61864",1404000,"Powiat gostyniński",2002,993
"61865",1405000,"Powiat grodziski",2002,504
"61866",1406000,"Powiat grójecki",2002,1723
"61867",1407000,"Powiat kozienicki",2002,2682
"61868",1408000,"Powiat legionowski",2002,11396
"61869",1409000,"Powiat lipski",2002,0
"61870",1410000,"Powiat łosicki",2002,10206
"61871",1411000,"Powiat makowski",2002,648
"61872",1412000,"Powiat miński",2002,1552
"61873",1413000,"Powiat mławski",2002,1557
"61874",1414000,"Powiat nowodworski",2002,3178
"61875",1415000,"Powiat ostrołęcki",2002,1
"61876",1416000,"Powiat ostrowski",2002,2331
"61877",1417000,"Powiat otwocki",2002,4968
"61878",1418000,"Powiat piaseczyński",2002,10423
"61879",1419000,"Powiat płocki",2002,5987
"61880",1420000,"Powiat płoński",2002,1625
"61881",1421000,"Powiat pruszkowski",2002,3294
"61882",1422000,"Powiat przasnyski",2002,0
"61883",1423000,"Powiat przysuski",2002,1748
"61884",1424000,"Powiat pułtuski",2002,3650
"61885",1425000,"Powiat radomski",2002,911
"61886",1426000,"Powiat siedlecki",2002,489
"61887",1427000,"Powiat sierpecki",2002,2892
"61888",1428000,"Powiat sochaczewski",2002,1586
"61889",1429000,"Powiat sokołowski",2002,2006
"61890",1430000,"Powiat szydłowiecki",2002,1862
"61891",1432000,"Powiat warszawski zachodni",2002,896
"61892",1433000,"Powiat węgrowski",2002,2128
"61893",1434000,"Powiat wołomiński",2002,1834
"61894",1435000,"Powiat wyszkowski",2002,7515
"61895",1436000,"Powiat zwoleński",2002,109
"61896",1437000,"Powiat żuromiński",2002,129
"61897",1438000,"Powiat żyrardowski",2002,4054
"61898",1461000,"Powiat m.Ostrołęka",2002,3657
"61899",1462000,"Powiat m.Płock",2002,2454
"61900",1463000,"Powiat m.Radom",2002,2897
"61901",1464000,"Powiat m.Siedlce",2002,2707
"61902",1465000,"Powiat m. st. Warszawa",2002,7676
"61903",1601000,"Powiat brzeski",2002,1315
"61904",1602000,"Powiat głubczycki",2002,2406
"61905",1603000,"Powiat kędzierzyńsko-kozielski",2002,254
"61906",1604000,"Powiat kluczborski",2002,2627
"61907",1605000,"Powiat krapkowicki",2002,1734
"61908",1606000,"Powiat namysłowski",2002,1315
"61909",1607000,"Powiat nyski",2002,8797
"61910",1608000,"Powiat oleski",2002,795
"61911",1609000,"Powiat opolski",2002,2957
"61912",1610000,"Powiat prudnicki",2002,1252
"61913",1611000,"Powiat strzelecki",2002,1984
"61914",1661000,"Powiat m.Opole",2002,3745
"61915",1801000,"Powiat bieszczadzki",2002,40440
"61916",1802000,"Powiat brzozowski",2002,1735
"61917",1803000,"Powiat dębicki",2002,5039
"61918",1804000,"Powiat jarosławski",2002,2536
"61919",1805000,"Powiat jasielski",2002,2363
"61920",1806000,"Powiat kolbuszowski",2002,1140
"61921",1807000,"Powiat krośnieński",2002,16138
"61922",1808000,"Powiat leżajski",2002,2923
"61923",1809000,"Powiat lubaczowski",2002,2345
"61924",1810000,"Powiat łańcucki",2002,2551
"61925",1811000,"Powiat mielecki",2002,1203
"61926",1812000,"Powiat niżański",2002,2612
"61927",1813000,"Powiat przemyski",2002,2072
"61928",1814000,"Powiat przeworski",2002,1489
"61929",1815000,"Powiat ropczycko-sędziszowski",2002,4061
"61930",1816000,"Powiat rzeszowski",2002,1293
"61931",1817000,"Powiat sanocki",2002,3922
"61932",1818000,"Powiat stalowowolski",2002,1272
"61933",1819000,"Powiat strzyżowski",2002,387
"61934",1820000,"Powiat tarnobrzeski",2002,2056
"61935",1821000,"Powiat leski",2002,142940
"61936",1861000,"Powiat m.Krosno",2002,3138
"61937",1862000,"Powiat m.Przemyśl",2002,6174
"61938",1863000,"Powiat m.Rzeszów",2002,7133
"61939",1864000,"Powiat m.Tarnobrzeg",2002,2473
"61940",2001000,"Powiat augustowski",2002,37935
"61941",2002000,"Powiat białostocki",2002,2884
"61942",2003000,"Powiat bielski",2002,1726
"61943",2004000,"Powiat grajewski",2002,8539
"61944",2005000,"Powiat hajnowski",2002,7803
"61945",2006000,"Powiat kolneński",2002,659
"61946",2007000,"Powiat łomżyński",2002,8922
"61947",2008000,"Powiat moniecki",2002,1063
"61948",2009000,"Powiat sejneński",2002,7745
"61949",2010000,"Powiat siemiatycki",2002,3773
"61950",2011000,"Powiat sokólski",2002,2915
"61951",2012000,"Powiat suwalski",2002,13293
"61952",2013000,"Powiat wysokomazowiecki",2002,839
"61953",2014000,"Powiat zambrowski",2002,909
"61954",2061000,"Powiat m.Białystok",2002,3046
"61955",2062000,"Powiat m.Łomża",2002,1664
"61956",2063000,"Powiat m.Suwałki",2002,3530
"61957",2201000,"Powiat bytowski",2002,9764
"61958",2202000,"Powiat chojnicki",2002,17327
"61959",2203000,"Powiat człuchowski",2002,5223
"61960",2204000,"Powiat gdański",2002,6844
"61961",2205000,"Powiat kartuski",2002,14742
"61962",2206000,"Powiat kościerski",2002,34389
"61963",2207000,"Powiat kwidzyński",2002,3413
"61964",2208000,"Powiat lęborski",2002,88882
"61965",2209000,"Powiat malborski",2002,9879
"61966",2210000,"Powiat nowodworski",2002,138155
"61967",2211000,"Powiat pucki",2002,104783
"61968",2212000,"Powiat słupski",2002,96952
"61969",2213000,"Powiat starogardzki",2002,4678
"61970",2214000,"Powiat tczewski",2002,1352
"61971",2215000,"Powiat wejherowski",2002,3886
"61972",2216000,"Powiat sztumski",2002,471
"61973",2261000,"Powiat m.Gdańsk",2002,12079
"61974",2262000,"Powiat m.Gdynia",2002,5735
"61975",2263000,"Powiat m.Słupsk",2002,3540
"61976",2264000,"Powiat m.Sopot",2002,56872
"61977",2401000,"Powiat będziński",2002,1158
"61978",2402000,"Powiat bielski",2002,17884
"61979",2403000,"Powiat cieszyński",2002,52406
"61980",2404000,"Powiat częstochowski",2002,3011
"61981",2405000,"Powiat gliwicki",2002,1644
"61982",2406000,"Powiat kłobucki",2002,2944
"61983",2407000,"Powiat lubliniecki",2002,1848
"61984",2408000,"Powiat mikołowski",2002,1425
"61985",2409000,"Powiat myszkowski",2002,2113
"61986",2410000,"Powiat pszczyński",2002,746
"61987",2411000,"Powiat raciborski",2002,2435
"61988",2412000,"Powiat rybnicki",2002,78
"61989",2413000,"Powiat tarnogórski",2002,632
"61990",2414000,"Powiat bieruńsko-lędziński",2002,1190
"61991",2415000,"Powiat wodzisławski",2002,316
"61992",2416000,"Powiat zawierciański",2002,2098
"61993",2417000,"Powiat żywiecki",2002,14503
"61994",2461000,"Powiat m.Bielsko-Biała",2002,5751
"61995",2462000,"Powiat m.Bytom",2002,359
"61996",2463000,"Powiat m.Chorzów",2002,4829
"61997",2464000,"Powiat m.Częstochowa",2002,7060
"61998",2465000,"Powiat m.Dąbrowa Górnicza",2002,334
"61999",2466000,"Powiat m.Gliwice",2002,1630
"62000",2467000,"Powiat m.Jastrzębie-Zdrój",2002,1176
"62001",2468000,"Powiat m.Jaworzno",2002,785
"62002",2469000,"Powiat m.Katowice",2002,3663
"62003",2470000,"Powiat m.Mysłowice",2002,1236
"62004",2471000,"Powiat m.Piekary Śląskie",2002,357
"62005",2472000,"Powiat m.Ruda Śląska",2002,74
"62006",2473000,"Powiat m.Rybnik",2002,1833
"62007",2474000,"Powiat m.Siemianowice Śląskie",2002,363
"62008",2475000,"Powiat m.Sosnowiec",2002,829
"62009",2476000,"Powiat m.Świętochłowice",2002,0
"62010",2477000,"Powiat m.Tychy",2002,1989
"62011",2478000,"Powiat m.Zabrze",2002,1585
"62012",2479000,"Powiat m.Żory",2002,1867
"62013",2601000,"Powiat buski",2002,3719
"62014",2602000,"Powiat jędrzejowski",2002,2801
"62015",2603000,"Powiat kazimierski",2002,354
"62016",2604000,"Powiat kielecki",2002,7729
"62017",2605000,"Powiat konecki",2002,9550
"62018",2606000,"Powiat opatowski",2002,681
"62019",2607000,"Powiat ostrowiecki",2002,773
"62020",2608000,"Powiat pińczowski",2002,4170
"62021",2609000,"Powiat sandomierski",2002,1963
"62022",2610000,"Powiat skarżyski",2002,1971
"62023",2611000,"Powiat starachowicki",2002,1201
"62024",2612000,"Powiat staszowski",2002,4687
"62025",2613000,"Powiat włoszczowski",2002,226
"62026",2661000,"Powiat m.Kielce",2002,6037
"62027",2801000,"Powiat bartoszycki",2002,659
"62028",2802000,"Powiat braniewski",2002,3914
"62029",2803000,"Powiat działdowski",2002,2919
"62030",2804000,"Powiat elbląski",2002,3067
"62031",2805000,"Powiat ełcki",2002,4288
"62032",2806000,"Powiat giżycki",2002,11769
"62033",2807000,"Powiat iławski",2002,6411
"62034",2808000,"Powiat kętrzyński",2002,4815
"62035",2809000,"Powiat lidzbarski",2002,4541
"62036",2810000,"Powiat mrągowski",2002,49493
"62037",2811000,"Powiat nidzicki",2002,5902
"62038",2812000,"Powiat nowomiejski",2002,3941
"62039",2813000,"Powiat olecki",2002,7276
