"","Kod","Nazwa","rok","TURYSTYCZNE_OBIEKTY_NOCLEGOWE_I_ICH_WYKORZYSTANIE_CTAB_noclegi_udzielone_turystom_krajowym_w_turystycznych_obiektach_noclegowych_ogolem_na_10_tys_mieszkancow_ogolem"
"63341",1003000,"Powiat łaski",2006,3239
"63342",1004000,"Powiat łęczycki",2006,1504
"63343",1005000,"Powiat łowicki",2006,3503
"63344",1006000,"Powiat łódzki wschodni",2006,7192
"63345",1007000,"Powiat opoczyński",2006,729
"63346",1008000,"Powiat pabianicki",2006,1819
"63347",1009000,"Powiat pajęczański",2006,397
"63348",1010000,"Powiat piotrkowski",2006,10599
"63349",1011000,"Powiat poddębicki",2006,2574
"63350",1012000,"Powiat radomszczański",2006,2641
"63351",1013000,"Powiat rawski",2006,1755
"63352",1014000,"Powiat sieradzki",2006,1294
"63353",1015000,"Powiat skierniewicki",2006,3066
"63354",1016000,"Powiat tomaszowski",2006,21019
"63355",1017000,"Powiat wieluński",2006,8637
"63356",1018000,"Powiat wieruszowski",2006,3604
"63357",1019000,"Powiat zduńskowolski",2006,1396
"63358",1020000,"Powiat zgierski",2006,4337
"63359",1021000,"Powiat brzeziński",2006,5070
"63360",1061000,"Powiat m.Łódź",2006,5097
"63361",1062000,"Powiat m.Piotrków Trybunalski",2006,3049
"63362",1063000,"Powiat m.Skierniewice",2006,2661
"63363",1201000,"Powiat bocheński",2006,7208
"63364",1202000,"Powiat brzeski",2006,3400
"63365",1203000,"Powiat chrzanowski",2006,218
"63366",1204000,"Powiat dąbrowski",2006,85
"63367",1205000,"Powiat gorlicki",2006,16852
"63368",1206000,"Powiat krakowski",2006,4046
"63369",1207000,"Powiat limanowski",2006,6825
"63370",1208000,"Powiat miechowski",2006,215
"63371",1209000,"Powiat myślenicki",2006,4230
"63372",1210000,"Powiat nowosądecki",2006,72680
"63373",1211000,"Powiat nowotarski",2006,43077
"63374",1212000,"Powiat olkuski",2006,3387
"63375",1213000,"Powiat oświęcimski",2006,1807
"63376",1214000,"Powiat proszowicki",2006,699
"63377",1215000,"Powiat suski",2006,18846
"63378",1216000,"Powiat tarnowski",2006,1903
"63379",1217000,"Powiat tatrzański",2006,195057
"63380",1218000,"Powiat wadowicki",2006,4914
"63381",1219000,"Powiat wielicki",2006,1558
"63382",1261000,"Powiat m.Kraków",2006,13075
"63383",1262000,"Powiat m.Nowy Sącz",2006,3708
"63384",1263000,"Powiat m.Tarnów",2006,4737
"63385",1401000,"Powiat białobrzeski",2006,1031
"63386",1402000,"Powiat ciechanowski",2006,4027
"63387",1403000,"Powiat garwoliński",2006,5222
"63388",1404000,"Powiat gostyniński",2006,2280
"63389",1405000,"Powiat grodziski",2006,614
"63390",1406000,"Powiat grójecki",2006,1086
"63391",1407000,"Powiat kozienicki",2006,3415
"63392",1408000,"Powiat legionowski",2006,15253
"63393",1409000,"Powiat lipski",2006,1142
"63394",1410000,"Powiat łosicki",2006,11824
"63395",1411000,"Powiat makowski",2006,911
"63396",1412000,"Powiat miński",2006,2302
"63397",1413000,"Powiat mławski",2006,4372
"63398",1414000,"Powiat nowodworski",2006,2433
"63399",1415000,"Powiat ostrołęcki",2006,0
"63400",1416000,"Powiat ostrowski",2006,3316
"63401",1417000,"Powiat otwocki",2006,4380
"63402",1418000,"Powiat piaseczyński",2006,4943
"63403",1419000,"Powiat płocki",2006,3770
"63404",1420000,"Powiat płoński",2006,1826
"63405",1421000,"Powiat pruszkowski",2006,3897
"63406",1422000,"Powiat przasnyski",2006,36
"63407",1423000,"Powiat przysuski",2006,1113
"63408",1424000,"Powiat pułtuski",2006,5633
"63409",1425000,"Powiat radomski",2006,1283
"63410",1426000,"Powiat siedlecki",2006,716
"63411",1427000,"Powiat sierpecki",2006,3183
"63412",1428000,"Powiat sochaczewski",2006,1509
"63413",1429000,"Powiat sokołowski",2006,1211
"63414",1430000,"Powiat szydłowiecki",2006,4870
"63415",1432000,"Powiat warszawski zachodni",2006,928
"63416",1433000,"Powiat węgrowski",2006,1234
"63417",1434000,"Powiat wołomiński",2006,1629
"63418",1435000,"Powiat wyszkowski",2006,7644
"63419",1436000,"Powiat zwoleński",2006,0
"63420",1437000,"Powiat żuromiński",2006,218
"63421",1438000,"Powiat żyrardowski",2006,4750
"63422",1461000,"Powiat m.Ostrołęka",2006,4650
"63423",1462000,"Powiat m.Płock",2006,4064
"63424",1463000,"Powiat m.Radom",2006,2579
"63425",1464000,"Powiat m.Siedlce",2006,4487
"63426",1465000,"Powiat m. st. Warszawa",2006,11221
"63427",1601000,"Powiat brzeski",2006,638
"63428",1602000,"Powiat głubczycki",2006,3239
"63429",1603000,"Powiat kędzierzyńsko-kozielski",2006,1645
"63430",1604000,"Powiat kluczborski",2006,1906
"63431",1605000,"Powiat krapkowicki",2006,3086
"63432",1606000,"Powiat namysłowski",2006,2091
"63433",1607000,"Powiat nyski",2006,15307
"63434",1608000,"Powiat oleski",2006,1750
"63435",1609000,"Powiat opolski",2006,2880
"63436",1610000,"Powiat prudnicki",2006,1565
"63437",1611000,"Powiat strzelecki",2006,1832
"63438",1661000,"Powiat m.Opole",2006,5263
"63439",1801000,"Powiat bieszczadzki",2006,41090
"63440",1802000,"Powiat brzozowski",2006,2267
"63441",1803000,"Powiat dębicki",2006,6081
"63442",1804000,"Powiat jarosławski",2006,3133
"63443",1805000,"Powiat jasielski",2006,2136
"63444",1806000,"Powiat kolbuszowski",2006,1329
"63445",1807000,"Powiat krośnieński",2006,16880
"63446",1808000,"Powiat leżajski",2006,1195
"63447",1809000,"Powiat lubaczowski",2006,13859
"63448",1810000,"Powiat łańcucki",2006,3103
"63449",1811000,"Powiat mielecki",2006,1594
"63450",1812000,"Powiat niżański",2006,1830
"63451",1813000,"Powiat przemyski",2006,2626
"63452",1814000,"Powiat przeworski",2006,643
"63453",1815000,"Powiat ropczycko-sędziszowski",2006,3035
"63454",1816000,"Powiat rzeszowski",2006,2881
"63455",1817000,"Powiat sanocki",2006,5444
"63456",1818000,"Powiat stalowowolski",2006,3922
"63457",1819000,"Powiat strzyżowski",2006,1513
"63458",1820000,"Powiat tarnobrzeski",2006,2450
"63459",1821000,"Powiat leski",2006,178800
"63460",1861000,"Powiat m.Krosno",2006,1189
"63461",1862000,"Powiat m.Przemyśl",2006,8478
"63462",1863000,"Powiat m.Rzeszów",2006,8678
"63463",1864000,"Powiat m.Tarnobrzeg",2006,3507
"63464",2001000,"Powiat augustowski",2006,38831
"63465",2002000,"Powiat białostocki",2006,2723
"63466",2003000,"Powiat bielski",2006,1834
"63467",2004000,"Powiat grajewski",2006,7171
"63468",2005000,"Powiat hajnowski",2006,14660
"63469",2006000,"Powiat kolneński",2006,1783
"63470",2007000,"Powiat łomżyński",2006,5024
"63471",2008000,"Powiat moniecki",2006,1731
"63472",2009000,"Powiat sejneński",2006,8148
"63473",2010000,"Powiat siemiatycki",2006,1591
"63474",2011000,"Powiat sokólski",2006,3716
"63475",2012000,"Powiat suwalski",2006,10117
"63476",2013000,"Powiat wysokomazowiecki",2006,1016
"63477",2014000,"Powiat zambrowski",2006,288
"63478",2061000,"Powiat m.Białystok",2006,4700
"63479",2062000,"Powiat m.Łomża",2006,2066
"63480",2063000,"Powiat m.Suwałki",2006,5602
"63481",2201000,"Powiat bytowski",2006,11099
"63482",2202000,"Powiat chojnicki",2006,12809
"63483",2203000,"Powiat człuchowski",2006,8010
"63484",2204000,"Powiat gdański",2006,8146
"63485",2205000,"Powiat kartuski",2006,10812
"63486",2206000,"Powiat kościerski",2006,33028
"63487",2207000,"Powiat kwidzyński",2006,3353
"63488",2208000,"Powiat lęborski",2006,90836
"63489",2209000,"Powiat malborski",2006,9909
"63490",2210000,"Powiat nowodworski",2006,133919
"63491",2211000,"Powiat pucki",2006,124864
"63492",2212000,"Powiat słupski",2006,88390
"63493",2213000,"Powiat starogardzki",2006,4030
"63494",2214000,"Powiat tczewski",2006,2293
"63495",2215000,"Powiat wejherowski",2006,4401
"63496",2216000,"Powiat sztumski",2006,354
"63497",2261000,"Powiat m.Gdańsk",2006,12219
"63498",2262000,"Powiat m.Gdynia",2006,6344
"63499",2263000,"Powiat m.Słupsk",2006,4347
"63500",2264000,"Powiat m.Sopot",2006,94610
"63501",2401000,"Powiat będziński",2006,3189
"63502",2402000,"Powiat bielski",2006,25984
"63503",2403000,"Powiat cieszyński",2006,85571
"63504",2404000,"Powiat częstochowski",2006,2330
"63505",2405000,"Powiat gliwicki",2006,1275
"63506",2406000,"Powiat kłobucki",2006,3063
"63507",2407000,"Powiat lubliniecki",2006,3097
"63508",2408000,"Powiat mikołowski",2006,2000
"63509",2409000,"Powiat myszkowski",2006,2661
"63510",2410000,"Powiat pszczyński",2006,8605
"63511",2411000,"Powiat raciborski",2006,3292
"63512",2412000,"Powiat rybnicki",2006,107
"63513",2413000,"Powiat tarnogórski",2006,1504
"63514",2414000,"Powiat bieruńsko-lędziński",2006,2034
"63515",2415000,"Powiat wodzisławski",2006,659
"63516",2416000,"Powiat zawierciański",2006,6064
"63517",2417000,"Powiat żywiecki",2006,13969
"63518",2461000,"Powiat m.Bielsko-Biała",2006,5841
"63519",2462000,"Powiat m.Bytom",2006,342
"63520",2463000,"Powiat m.Chorzów",2006,4690
"63521",2464000,"Powiat m.Częstochowa",2006,7931
"63522",2465000,"Powiat m.Dąbrowa Górnicza",2006,405
"63523",2466000,"Powiat m.Gliwice",2006,5145
"63524",2467000,"Powiat m.Jastrzębie-Zdrój",2006,6011
"63525",2468000,"Powiat m.Jaworzno",2006,3516
"63526",2469000,"Powiat m.Katowice",2006,7019
"63527",2470000,"Powiat m.Mysłowice",2006,394
"63528",2471000,"Powiat m.Piekary Śląskie",2006,769
"63529",2472000,"Powiat m.Ruda Śląska",2006,666
"63530",2473000,"Powiat m.Rybnik",2006,4318
"63531",2474000,"Powiat m.Siemianowice Śląskie",2006,858
"63532",2475000,"Powiat m.Sosnowiec",2006,1629
"63533",2476000,"Powiat m.Świętochłowice",2006,0
"63534",2477000,"Powiat m.Tychy",2006,3274
"63535",2478000,"Powiat m.Zabrze",2006,4602
"63536",2479000,"Powiat m.Żory",2006,5382
"63537",2601000,"Powiat buski",2006,28417
"63538",2602000,"Powiat jędrzejowski",2006,3384
"63539",2603000,"Powiat kazimierski",2006,720
"63540",2604000,"Powiat kielecki",2006,8474
"63541",2605000,"Powiat konecki",2006,6694
"63542",2606000,"Powiat opatowski",2006,916
"63543",2607000,"Powiat ostrowiecki",2006,2431
"63544",2608000,"Powiat pińczowski",2006,2891
"63545",2609000,"Powiat sandomierski",2006,2477
"63546",2610000,"Powiat skarżyski",2006,2308
"63547",2611000,"Powiat starachowicki",2006,2919
"63548",2612000,"Powiat staszowski",2006,4816
"63549",2613000,"Powiat włoszczowski",2006,292
"63550",2661000,"Powiat m.Kielce",2006,6131
"63551",2801000,"Powiat bartoszycki",2006,1062
"63552",2802000,"Powiat braniewski",2006,5853
"63553",2803000,"Powiat działdowski",2006,6157
"63554",2804000,"Powiat elbląski",2006,3570
"63555",2805000,"Powiat ełcki",2006,6387
"63556",2806000,"Powiat giżycki",2006,27567
"63557",2807000,"Powiat iławski",2006,7403
"63558",2808000,"Powiat kętrzyński",2006,2869
"63559",2809000,"Powiat lidzbarski",2006,4477
"63560",2810000,"Powiat mrągowski",2006,54747
"63561",2811000,"Powiat nidzicki",2006,3887
"63562",2812000,"Powiat nowomiejski",2006,1958
"63563",2813000,"Powiat olecki",2006,6769
"63564",2814000,"Powiat olsztyński",2006,23934
"63565",2815000,"Powiat ostródzki",2006,18451
"63566",2816000,"Powiat piski",2006,13445
"63567",2817000,"Powiat szczycieński",2006,13963
"63568",2818000,"Powiat gołdapski",2006,57832
"63569",2819000,"Powiat węgorzewski",2006,17314
"63570",2861000,"Powiat m.Elbląg",2006,3877
"63571",2862000,"Powiat m.Olsztyn",2006,10765
"63572",3001000,"Powiat chodzieski",2006,4374
"63573",3002000,"Powiat czarnkowsko-trzcianecki",2006,4522
"63574",3003000,"Powiat gnieźnieński",2006,11143
"63575",3004000,"Powiat gostyński",2006,1625
"63576",3005000,"Powiat grodziski",2006,813
"63577",3006000,"Powiat jarociński",2006,1086
"63578",3007000,"Powiat kaliski",2006,1000
"63579",3008000,"Powiat kępiński",2006,3785
"63580",3009000,"Powiat kolski",2006,1863
"63581",3010000,"Powiat koniński",2006,18106
"63582",3011000,"Powiat kościański",2006,2216
"63583",3012000,"Powiat krotoszyński",2006,700
"63584",3013000,"Powiat leszczyński",2006,20913
"63585",3014000,"Powiat międzychodzki",2006,30865
"63586",3015000,"Powiat nowotomyski",2006,5264
"63587",3016000,"Powiat obornicki",2006,3229
"63588",3017000,"Powiat ostrowski",2006,3238
"63589",3018000,"Powiat ostrzeszowski",2006,7841
"63590",3019000,"Powiat pilski",2006,4602
"63591",3020000,"Powiat pleszewski",2006,4070
"63592",3021000,"Powiat poznański",2006,5473
"63593",3022000,"Powiat rawicki",2006,1097
"63594",3023000,"Powiat słupecki",2006,3881
"63595",3024000,"Powiat szamotulski",2006,3300
"63596",3025000,"Powiat średzki",2006,4557
"63597",3026000,"Powiat śremski",2006,2369
"63598",3027000,"Powiat turecki",2006,1788
"63599",3028000,"Powiat wągrowiecki",2006,9981
"63600",3029000,"Powiat wolsztyński",2006,14484
"63601",3030000,"Powiat wrzesiński",2006,2088
"63602",3031000,"Powiat złotowski",2006,3127
"63603",3061000,"Powiat m.Kalisz",2006,4579
"63604",3062000,"Powiat m.Konin",2006,3708
"63605",3063000,"Powiat m.Leszno",2006,4446
"63606",3064000,"Powiat m.Poznań",2006,9613
"63607",3201000,"Powiat białogardzki",2006,3422
"63608",3202000,"Powiat choszczeński",2006,1730
"63609",3203000,"Powiat drawski",2006,13119
"63610",3204000,"Powiat goleniowski",2006,2529
"63611",3205000,"Powiat gryficki",2006,153664
"63612",3206000,"Powiat gryfiński",2006,6084
"63613",3207000,"Powiat kamieński",2006,254580
"63614",3208000,"Powiat kołobrzeski",2006,226764
"63615",3209000,"Powiat koszaliński",2006,113732
"63616",3210000,"Powiat myśliborski",2006,4613
"63617",3211000,"Powiat policki",2006,5147
"63618",3212000,"Powiat pyrzycki",2006,1251
"63619",3213000,"Powiat sławieński",2006,155792
"63620",3214000,"Powiat stargardzki",2006,7303
"63621",3215000,"Powiat szczecinecki",2006,6828
"63622",3216000,"Powiat świdwiński",2006,5105
"63623",3217000,"Powiat wałecki",2006,15840
"63624",3218000,"Powiat łobeski",2006,0
"63625",3261000,"Powiat m.Koszalin",2006,3682
"63626",3262000,"Powiat m.Szczecin",2006,7547
"63627",3263000,"Powiat m.Świnoujście",2006,161096
"63628",201000,"Powiat bolesławiecki",2007,4691
"63629",202000,"Powiat dzierżoniowski",2007,6636
"63630",203000,"Powiat głogowski",2007,2926
"63631",204000,"Powiat górowski",2007,180
"63632",205000,"Powiat jaworski",2007,3940
"63633",206000,"Powiat jeleniogórski",2007,186754
"63634",207000,"Powiat kamiennogórski",2007,4523
"63635",208000,"Powiat kłodzki",2007,42908
"63636",209000,"Powiat legnicki",2007,5008
"63637",210000,"Powiat lubański",2007,20044
"63638",211000,"Powiat lubiński",2007,4138
"63639",212000,"Powiat lwówecki",2007,5555
"63640",213000,"Powiat milicki",2007,9339
"63641",214000,"Powiat oleśnicki",2007,2690
"63642",215000,"Powiat oławski",2007,1851
"63643",216000,"Powiat polkowicki",2007,6171
"63644",217000,"Powiat strzeliński",2007,1732
"63645",218000,"Powiat średzki",2007,3583
"63646",219000,"Powiat świdnicki",2007,3836
"63647",220000,"Powiat trzebnicki",2007,4379
"63648",221000,"Powiat wałbrzyski",2007,5918
"63649",222000,"Powiat wołowski",2007,11429
"63650",223000,"Powiat wrocławski",2007,4413
"63651",224000,"Powiat ząbkowicki",2007,5185
"63652",225000,"Powiat zgorzelecki",2007,7416
"63653",226000,"Powiat złotoryjski",2007,1673
"63654",261000,"Powiat m.Jelenia Góra",2007,12838
"63655",262000,"Powiat m.Legnica",2007,9002
"63656",263000,"Powiat m.Wałbrzych do 2002",2007,NA
"63657",264000,"Powiat m.Wrocław",2007,14340
"63658",265000,"Powiat m.Wałbrzych od 2013",2007,NA
"63659",401000,"Powiat aleksandrowski",2007,161345
"63660",402000,"Powiat brodnicki",2007,9736
"63661",403000,"Powiat bydgoski",2007,10575
"63662",404000,"Powiat chełmiński",2007,2835
"63663",405000,"Powiat golubsko-dobrzyński",2007,3320
"63664",406000,"Powiat grudziądzki",2007,3507
"63665",407000,"Powiat inowrocławski",2007,30244
"63666",408000,"Powiat lipnowski",2007,1608
"63667",409000,"Powiat mogileński",2007,13905
"63668",410000,"Powiat nakielski",2007,718
"63669",411000,"Powiat radziejowski",2007,1341
"63670",412000,"Powiat rypiński",2007,3848
"63671",413000,"Powiat sępoleński",2007,6104
"63672",414000,"Powiat świecki",2007,4484
"63673",415000,"Powiat toruński",2007,4303
"63674",416000,"Powiat tucholski",2007,16406
"63675",417000,"Powiat wąbrzeski",2007,2545
"63676",418000,"Powiat włocławski",2007,14136
"63677",419000,"Powiat żniński",2007,10907
"63678",461000,"Powiat m.Bydgoszcz",2007,5182
"63679",462000,"Powiat m.Grudziądz",2007,5239
"63680",463000,"Powiat m.Toruń",2007,9595
"63681",464000,"Powiat m.Włocławek",2007,6203
"63682",601000,"Powiat bialski",2007,2863
"63683",602000,"Powiat biłgorajski",2007,1237
"63684",603000,"Powiat chełmski",2007,769
"63685",604000,"Powiat hrubieszowski",2007,712
"63686",605000,"Powiat janowski",2007,12194
"63687",606000,"Powiat krasnostawski",2007,1911
"63688",607000,"Powiat kraśnicki",2007,419
"63689",608000,"Powiat lubartowski",2007,4949
"63690",609000,"Powiat lubelski",2007,623
"63691",610000,"Powiat łęczyński",2007,1522
"63692",611000,"Powiat łukowski",2007,2047
"63693",612000,"Powiat opolski",2007,1579
"63694",613000,"Powiat parczewski",2007,4385
"63695",614000,"Powiat puławski",2007,30452
"63696",615000,"Powiat radzyński",2007,947
"63697",616000,"Powiat rycki",2007,0
"63698",617000,"Powiat świdnicki",2007,1042
"63699",618000,"Powiat tomaszowski",2007,5042
"63700",619000,"Powiat włodawski",2007,29128
"63701",620000,"Powiat zamojski",2007,8979
"63702",661000,"Powiat m.Biała Podlaska",2007,7029
"63703",662000,"Powiat m.Chełm",2007,7356
"63704",663000,"Powiat m.Lublin",2007,6733
"63705",664000,"Powiat m.Zamość",2007,8146
"63706",801000,"Powiat gorzowski",2007,3733
"63707",802000,"Powiat krośnieński",2007,7208
"63708",803000,"Powiat międzyrzecki",2007,19764
"63709",804000,"Powiat nowosolski",2007,4461
"63710",805000,"Powiat słubicki",2007,15038
"63711",806000,"Powiat strzelecko-drezdenecki",2007,28164
"63712",807000,"Powiat sulęciński",2007,20824
"63713",808000,"Powiat świebodziński",2007,33976
"63714",809000,"Powiat zielonogórski",2007,6358
"63715",810000,"Powiat żagański",2007,3573
"63716",811000,"Powiat żarski",2007,3948
"63717",812000,"Powiat wschowski",2007,36280
"63718",861000,"Powiat m.Gorzów Wielkopolski",2007,10261
"63719",862000,"Powiat m.Zielona Góra",2007,7126
"63720",1001000,"Powiat bełchatowski",2007,11973
"63721",1002000,"Powiat kutnowski",2007,1517
"63722",1003000,"Powiat łaski",2007,2481
"63723",1004000,"Powiat łęczycki",2007,1389
"63724",1005000,"Powiat łowicki",2007,4739
"63725",1006000,"Powiat łódzki wschodni",2007,7442
"63726",1007000,"Powiat opoczyński",2007,813
"63727",1008000,"Powiat pabianicki",2007,2126
"63728",1009000,"Powiat pajęczański",2007,212
"63729",1010000,"Powiat piotrkowski",2007,10515
"63730",1011000,"Powiat poddębicki",2007,2633
"63731",1012000,"Powiat radomszczański",2007,2512
"63732",1013000,"Powiat rawski",2007,3406
"63733",1014000,"Powiat sieradzki",2007,1313
"63734",1015000,"Powiat skierniewicki",2007,2906
"63735",1016000,"Powiat tomaszowski",2007,23160
"63736",1017000,"Powiat wieluński",2007,8819
"63737",1018000,"Powiat wieruszowski",2007,3707
"63738",1019000,"Powiat zduńskowolski",2007,1791
"63739",1020000,"Powiat zgierski",2007,5750
"63740",1021000,"Powiat brzeziński",2007,7515
"63741",1061000,"Powiat m.Łódź",2007,6020
"63742",1062000,"Powiat m.Piotrków Trybunalski",2007,3120
"63743",1063000,"Powiat m.Skierniewice",2007,3741
"63744",1201000,"Powiat bocheński",2007,8854
"63745",1202000,"Powiat brzeski",2007,4404
"63746",1203000,"Powiat chrzanowski",2007,241
"63747",1204000,"Powiat dąbrowski",2007,116
"63748",1205000,"Powiat gorlicki",2007,16582
"63749",1206000,"Powiat krakowski",2007,4648
"63750",1207000,"Powiat limanowski",2007,6977
"63751",1208000,"Powiat miechowski",2007,196
"63752",1209000,"Powiat myślenicki",2007,3956
"63753",1210000,"Powiat nowosądecki",2007,74530
"63754",1211000,"Powiat nowotarski",2007,47908
"63755",1212000,"Powiat olkuski",2007,3109
"63756",1213000,"Powiat oświęcimski",2007,1344
"63757",1214000,"Powiat proszowicki",2007,511
"63758",1215000,"Powiat suski",2007,18132
"63759",1216000,"Powiat tarnowski",2007,1876
"63760",1217000,"Powiat tatrzański",2007,200486
"63761",1218000,"Powiat wadowicki",2007,4646
"63762",1219000,"Powiat wielicki",2007,3191
"63763",1261000,"Powiat m.Kraków",2007,14326
"63764",1262000,"Powiat m.Nowy Sącz",2007,4234
"63765",1263000,"Powiat m.Tarnów",2007,4429
"63766",1401000,"Powiat białobrzeski",2007,1434
"63767",1402000,"Powiat ciechanowski",2007,4073
"63768",1403000,"Powiat garwoliński",2007,4060
"63769",1404000,"Powiat gostyniński",2007,2835
"63770",1405000,"Powiat grodziski",2007,1632
"63771",1406000,"Powiat grójecki",2007,1082
"63772",1407000,"Powiat kozienicki",2007,2925
"63773",1408000,"Powiat legionowski",2007,17980
"63774",1409000,"Powiat lipski",2007,1071
"63775",1410000,"Powiat łosicki",2007,10470
"63776",1411000,"Powiat makowski",2007,957
"63777",1412000,"Powiat miński",2007,2627
"63778",1413000,"Powiat mławski",2007,3702
"63779",1414000,"Powiat nowodworski",2007,2781
"63780",1415000,"Powiat ostrołęcki",2007,0
"63781",1416000,"Powiat ostrowski",2007,4400
"63782",1417000,"Powiat otwocki",2007,4596
"63783",1418000,"Powiat piaseczyński",2007,6619
"63784",1419000,"Powiat płocki",2007,4088
"63785",1420000,"Powiat płoński",2007,2058
"63786",1421000,"Powiat pruszkowski",2007,4200
"63787",1422000,"Powiat przasnyski",2007,69
"63788",1423000,"Powiat przysuski",2007,167
"63789",1424000,"Powiat pułtuski",2007,4901
"63790",1425000,"Powiat radomski",2007,1516
"63791",1426000,"Powiat siedlecki",2007,736
"63792",1427000,"Powiat sierpecki",2007,2596
"63793",1428000,"Powiat sochaczewski",2007,1698
"63794",1429000,"Powiat sokołowski",2007,1328
"63795",1430000,"Powiat szydłowiecki",2007,6304
"63796",1432000,"Powiat warszawski zachodni",2007,1634
"63797",1433000,"Powiat węgrowski",2007,1686
"63798",1434000,"Powiat wołomiński",2007,1520
"63799",1435000,"Powiat wyszkowski",2007,8073
"63800",1436000,"Powiat zwoleński",2007,0
"63801",1437000,"Powiat żuromiński",2007,290
"63802",1438000,"Powiat żyrardowski",2007,4380
"63803",1461000,"Powiat m.Ostrołęka",2007,4721
"63804",1462000,"Powiat m.Płock",2007,3571
"63805",1463000,"Powiat m.Radom",2007,2721
"63806",1464000,"Powiat m.Siedlce",2007,5157
"63807",1465000,"Powiat m. st. Warszawa",2007,12269
"63808",1601000,"Powiat brzeski",2007,1325
"63809",1602000,"Powiat głubczycki",2007,3310
"63810",1603000,"Powiat kędzierzyńsko-kozielski",2007,1593
"63811",1604000,"Powiat kluczborski",2007,1659
"63812",1605000,"Powiat krapkowicki",2007,4599
"63813",1606000,"Powiat namysłowski",2007,1616
"63814",1607000,"Powiat nyski",2007,17317
"63815",1608000,"Powiat oleski",2007,1505
"63816",1609000,"Powiat opolski",2007,3529
"63817",1610000,"Powiat prudnicki",2007,1112
"63818",1611000,"Powiat strzelecki",2007,1917
"63819",1661000,"Powiat m.Opole",2007,4965
"63820",1801000,"Powiat bieszczadzki",2007,49826
"63821",1802000,"Powiat brzozowski",2007,2219
"63822",1803000,"Powiat dębicki",2007,6193
"63823",1804000,"Powiat jarosławski",2007,3762
"63824",1805000,"Powiat jasielski",2007,649
"63825",1806000,"Powiat kolbuszowski",2007,1158
"63826",1807000,"Powiat krośnieński",2007,23425
"63827",1808000,"Powiat leżajski",2007,1182
"63828",1809000,"Powiat lubaczowski",2007,14590
"63829",1810000,"Powiat łańcucki",2007,2611
"63830",1811000,"Powiat mielecki",2007,1480
"63831",1812000,"Powiat niżański",2007,2052
"63832",1813000,"Powiat przemyski",2007,4276
"63833",1814000,"Powiat przeworski",2007,860
"63834",1815000,"Powiat ropczycko-sędziszowski",2007,2259
"63835",1816000,"Powiat rzeszowski",2007,3088
"63836",1817000,"Powiat sanocki",2007,4907
"63837",1818000,"Powiat stalowowolski",2007,4556
"63838",1819000,"Powiat strzyżowski",2007,1820
"63839",1820000,"Powiat tarnobrzeski",2007,2815
"63840",1821000,"Powiat leski",2007,192587
"63841",1861000,"Powiat m.Krosno",2007,1715
"63842",1862000,"Powiat m.Przemyśl",2007,8427
"63843",1863000,"Powiat m.Rzeszów",2007,7672
"63844",1864000,"Powiat m.Tarnobrzeg",2007,4216
"63845",2001000,"Powiat augustowski",2007,40708
"63846",2002000,"Powiat białostocki",2007,4134
"63847",2003000,"Powiat bielski",2007,1905
"63848",2004000,"Powiat grajewski",2007,7351
"63849",2005000,"Powiat hajnowski",2007,13703
"63850",2006000,"Powiat kolneński",2007,1412
"63851",2007000,"Powiat łomżyński",2007,5028
"63852",2008000,"Powiat moniecki",2007,2686
"63853",2009000,"Powiat sejneński",2007,11237
"63854",2010000,"Powiat siemiatycki",2007,1847
"63855",2011000,"Powiat sokólski",2007,3083
"63856",2012000,"Powiat suwalski",2007,12512
"63857",2013000,"Powiat wysokomazowiecki",2007,639
"63858",2014000,"Powiat zambrowski",2007,247
"63859",2061000,"Powiat m.Białystok",2007,6560
"63860",2062000,"Powiat m.Łomża",2007,1810
"63861",2063000,"Powiat m.Suwałki",2007,6627
"63862",2201000,"Powiat bytowski",2007,10696
"63863",2202000,"Powiat chojnicki",2007,12916
"63864",2203000,"Powiat człuchowski",2007,8399
"63865",2204000,"Powiat gdański",2007,10788
"63866",2205000,"Powiat kartuski",2007,9777
"63867",2206000,"Powiat kościerski",2007,32712
"63868",2207000,"Powiat kwidzyński",2007,3411
"63869",2208000,"Powiat lęborski",2007,100876
"63870",2209000,"Powiat malborski",2007,11022
"63871",2210000,"Powiat nowodworski",2007,142140
"63872",2211000,"Powiat pucki",2007,138769
"63873",2212000,"Powiat słupski",2007,95059
"63874",2213000,"Powiat starogardzki",2007,5289
"63875",2214000,"Powiat tczewski",2007,2647
"63876",2215000,"Powiat wejherowski",2007,5668
"63877",2216000,"Powiat sztumski",2007,439
"63878",2261000,"Powiat m.Gdańsk",2007,14182
"63879",2262000,"Powiat m.Gdynia",2007,7134
"63880",2263000,"Powiat m.Słupsk",2007,4715
"63881",2264000,"Powiat m.Sopot",2007,129184
"63882",2401000,"Powiat będziński",2007,3120
"63883",2402000,"Powiat bielski",2007,20199
"63884",2403000,"Powiat cieszyński",2007,84156
"63885",2404000,"Powiat częstochowski",2007,2702
"63886",2405000,"Powiat gliwicki",2007,3310
"63887",2406000,"Powiat kłobucki",2007,2076
"63888",2407000,"Powiat lubliniecki",2007,4104
"63889",2408000,"Powiat mikołowski",2007,2111
"63890",2409000,"Powiat myszkowski",2007,2848
"63891",2410000,"Powiat pszczyński",2007,1368
"63892",2411000,"Powiat raciborski",2007,3559
"63893",2412000,"Powiat rybnicki",2007,153
