"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_ogolem_szt"
"138",1401000,"Powiat białobrzeski",2015,12
"139",1402000,"Powiat ciechanowski",2015,253
"140",1403000,"Powiat garwoliński",2015,4
"141",1404000,"Powiat gostyniński",2015,42
"142",1405000,"Powiat grodziski",2015,117
"143",1406000,"Powiat grójecki",2015,20
"144",1407000,"Powiat kozienicki",2015,102
"145",1408000,"Powiat legionowski",2015,303
"146",1409000,"Powiat lipski",2015,0
"147",1410000,"Powiat łosicki",2015,48
"148",1411000,"Powiat makowski",2015,0
"149",1412000,"Powiat miński",2015,416
"150",1413000,"Powiat mławski",2015,237
"151",1414000,"Powiat nowodworski",2015,416
"152",1415000,"Powiat ostrołęcki",2015,3
"153",1416000,"Powiat ostrowski",2015,66
"154",1417000,"Powiat otwocki",2015,168
"155",1418000,"Powiat piaseczyński",2015,734
"156",1419000,"Powiat płocki",2015,34
"157",1420000,"Powiat płoński",2015,136
"158",1421000,"Powiat pruszkowski",2015,665
"159",1422000,"Powiat przasnyski",2015,90
"160",1423000,"Powiat przysuski",2015,8
"161",1424000,"Powiat pułtuski",2015,111
"162",1425000,"Powiat radomski",2015,51
"163",1426000,"Powiat siedlecki",2015,8
"164",1427000,"Powiat sierpecki",2015,51
"165",1428000,"Powiat sochaczewski",2015,108
"166",1429000,"Powiat sokołowski",2015,114
"167",1430000,"Powiat szydłowiecki",2015,18
"168",1432000,"Powiat warszawski zachodni",2015,550
"169",1433000,"Powiat węgrowski",2015,27
"170",1434000,"Powiat wołomiński",2015,1132
"171",1435000,"Powiat wyszkowski",2015,58
"172",1436000,"Powiat zwoleński",2015,7
"173",1437000,"Powiat żuromiński",2015,29
"174",1438000,"Powiat żyrardowski",2015,164
"175",1461000,"Powiat m.Ostrołęka",2015,137
"176",1462000,"Powiat m.Płock",2015,599
"177",1463000,"Powiat m.Radom",2015,396
"178",1464000,"Powiat m.Siedlce",2015,676
"179",1465000,"Powiat m. st. Warszawa",2015,21912
"180",1601000,"Powiat brzeski",2015,313
"181",1602000,"Powiat głubczycki",2015,95
"182",1603000,"Powiat kędzierzyńsko-kozielski",2015,255
"183",1604000,"Powiat kluczborski",2015,185
"184",1605000,"Powiat krapkowicki",2015,123
"185",1606000,"Powiat namysłowski",2015,163
"186",1607000,"Powiat nyski",2015,304
"187",1608000,"Powiat oleski",2015,48
"188",1609000,"Powiat opolski",2015,88
"189",1610000,"Powiat prudnicki",2015,90
"190",1611000,"Powiat strzelecki",2015,100
"191",1661000,"Powiat m.Opole",2015,841
"192",1801000,"Powiat bieszczadzki",2015,41
"193",1802000,"Powiat brzozowski",2015,24
"194",1803000,"Powiat dębicki",2015,118
"195",1804000,"Powiat jarosławski",2015,138
"196",1805000,"Powiat jasielski",2015,70
"197",1806000,"Powiat kolbuszowski",2015,4
"198",1807000,"Powiat krośnieński",2015,24
"199",1808000,"Powiat leżajski",2015,42
"200",1809000,"Powiat lubaczowski",2015,32
"201",1810000,"Powiat łańcucki",2015,34
"202",1811000,"Powiat mielecki",2015,131
