"","Kod","Nazwa","rok","Gestosc_zaludnienia_oraz_wskazniki_ludnosc_na_1_km2_osoba"
"126",1210000,"Powiat nowosądecki",2002,125
"127",1211000,"Powiat nowotarski",2002,122
"128",1212000,"Powiat olkuski",2002,185
"129",1213000,"Powiat oświęcimski",2002,378
"130",1214000,"Powiat proszowicki",2002,105
"131",1215000,"Powiat suski",2002,119
"132",1216000,"Powiat tarnowski",2002,137
"133",1217000,"Powiat tatrzański",2002,138
"134",1218000,"Powiat wadowicki",2002,237
"135",1219000,"Powiat wielicki",2002,240
"136",1261000,"Powiat m.Kraków",2002,2318
"137",1262000,"Powiat m.Nowy Sącz",2002,1480
"138",1263000,"Powiat m.Tarnów",2002,1652
"139",1401000,"Powiat białobrzeski",2002,53
"140",1402000,"Powiat ciechanowski",2002,86
"141",1403000,"Powiat garwoliński",2002,83
"142",1404000,"Powiat gostyniński",2002,78
"143",1405000,"Powiat grodziski",2002,204
"144",1406000,"Powiat grójecki",2002,77
"145",1407000,"Powiat kozienicki",2002,68
"146",1408000,"Powiat legionowski",2002,236
"147",1409000,"Powiat lipski",2002,51
"148",1410000,"Powiat łosicki",2002,43
"149",1411000,"Powiat makowski",2002,44
"150",1412000,"Powiat miński",2002,119
"151",1413000,"Powiat mławski",2002,63
"152",1414000,"Powiat nowodworski",2002,109
"153",1415000,"Powiat ostrołęcki",2002,40
"154",1416000,"Powiat ostrowski",2002,62
"155",1417000,"Powiat otwocki",2002,185
"156",1418000,"Powiat piaseczyński",2002,244
"157",1419000,"Powiat płocki",2002,58
"158",1420000,"Powiat płoński",2002,64
"159",1421000,"Powiat pruszkowski",2002,577
"160",1422000,"Powiat przasnyski",2002,44
"161",1423000,"Powiat przysuski",2002,56
"162",1424000,"Powiat pułtuski",2002,62
"163",1425000,"Powiat radomski",2002,93
"164",1426000,"Powiat siedlecki",2002,50
"165",1427000,"Powiat sierpecki",2002,64
"166",1428000,"Powiat sochaczewski",2002,114
"167",1429000,"Powiat sokołowski",2002,52
"168",1430000,"Powiat szydłowiecki",2002,88
"169",1432000,"Powiat warszawski zachodni",2002,180
"170",1433000,"Powiat węgrowski",2002,56
"171",1434000,"Powiat wołomiński",2002,204
"172",1435000,"Powiat wyszkowski",2002,81
"173",1436000,"Powiat zwoleński",2002,66
"174",1437000,"Powiat żuromiński",2002,51
"175",1438000,"Powiat żyrardowski",2002,140
"176",1461000,"Powiat m.Ostrołęka",2002,1869
"177",1462000,"Powiat m.Płock",2002,1456
"178",1463000,"Powiat m.Radom",2002,2051
"179",1464000,"Powiat m.Siedlce",2002,2406
"180",1465000,"Powiat m. st. Warszawa",2002,3266
"181",1601000,"Powiat brzeski",2002,106
"182",1602000,"Powiat głubczycki",2002,77
"183",1603000,"Powiat kędzierzyńsko-kozielski",2002,167
"184",1604000,"Powiat kluczborski",2002,84
"185",1605000,"Powiat krapkowicki",2002,157
"186",1606000,"Powiat namysłowski",2002,59
"187",1607000,"Powiat nyski",2002,121
"188",1608000,"Powiat oleski",2002,72
"189",1609000,"Powiat opolski",2002,86
"190",1610000,"Powiat prudnicki",2002,108
"191",1611000,"Powiat strzelecki",2002,111
"192",1661000,"Powiat m.Opole",2002,1344
"193",1801000,"Powiat bieszczadzki",2002,20
"194",1802000,"Powiat brzozowski",2002,121
"195",1803000,"Powiat dębicki",2002,170
"196",1804000,"Powiat jarosławski",2002,118
"197",1805000,"Powiat jasielski",2002,136
"198",1806000,"Powiat kolbuszowski",2002,79
"199",1807000,"Powiat krośnieński",2002,118
"200",1808000,"Powiat leżajski",2002,119
"201",1809000,"Powiat lubaczowski",2002,44
"202",1810000,"Powiat łańcucki",2002,171
"203",1811000,"Powiat mielecki",2002,151
"204",1812000,"Powiat niżański",2002,85
"205",1813000,"Powiat przemyski",2002,59
"206",1814000,"Powiat przeworski",2002,113
"207",1815000,"Powiat ropczycko-sędziszowski",2002,129
"208",1816000,"Powiat rzeszowski",2002,139
"209",1817000,"Powiat sanocki",2002,77
"210",1818000,"Powiat stalowowolski",2002,133
"211",1819000,"Powiat strzyżowski",2002,123
"212",1820000,"Powiat tarnobrzeski",2002,104
"213",1821000,"Powiat leski",2002,32
"214",1861000,"Powiat m.Krosno",2002,1110
"215",1862000,"Powiat m.Przemyśl",2002,1553
"216",1863000,"Powiat m.Rzeszów",2002,2976
