"","Kod","Nazwa","rok","DZIALALNOSC_TRANSPORTOWA_CTAB_liczba_taksowek_ogolem_szt"
"1246",1219000,"Powiat wielicki",2017,109
"1247",1261000,"Powiat m.Kraków",2017,4296
"1248",1262000,"Powiat m.Nowy Sącz",2017,163
"1249",1263000,"Powiat m.Tarnów",2017,425
"1250",1401000,"Powiat białobrzeski",2017,2
"1251",1402000,"Powiat ciechanowski",2017,44
"1252",1403000,"Powiat garwoliński",2017,29
"1253",1404000,"Powiat gostyniński",2017,28
"1254",1405000,"Powiat grodziski",2017,57
"1255",1406000,"Powiat grójecki",2017,19
"1256",1407000,"Powiat kozienicki",2017,21
"1257",1408000,"Powiat legionowski",2017,42
"1258",1409000,"Powiat lipski",2017,2
"1259",1411000,"Powiat makowski",2017,5
"1260",1412000,"Powiat miński",2017,102
"1261",1413000,"Powiat mławski",2017,25
"1262",1414000,"Powiat nowodworski",2017,91
"1263",1415000,"Powiat ostrołęcki",2017,2
"1264",1416000,"Powiat ostrowski",2017,33
"1265",1417000,"Powiat otwocki",2017,105
"1266",1418000,"Powiat piaseczyński",2017,77
"1267",1419000,"Powiat płocki",2017,11
"1268",1420000,"Powiat płoński",2017,22
"1269",1421000,"Powiat pruszkowski",2017,111
"1270",1422000,"Powiat przasnyski",2017,13
"1271",1423000,"Powiat przysuski",2017,2
"1272",1424000,"Powiat pułtuski",2017,21
"1273",1425000,"Powiat radomski",2017,10
"1274",1427000,"Powiat sierpecki",2017,4
"1275",1428000,"Powiat sochaczewski",2017,37
"1276",1429000,"Powiat sokołowski",2017,5
"1277",1432000,"Powiat warszawski zachodni",2017,48
"1278",1433000,"Powiat węgrowski",2017,13
"1279",1434000,"Powiat wołomiński",2017,132
"1280",1435000,"Powiat wyszkowski",2017,5
"1281",1436000,"Powiat zwoleński",2017,2
"1282",1437000,"Powiat żuromiński",2017,3
"1283",1438000,"Powiat żyrardowski",2017,49
"1284",1461000,"Powiat m.Ostrołęka",2017,182
"1285",1462000,"Powiat m.Płock",2017,379
"1286",1463000,"Powiat m.Radom",2017,496
"1287",1464000,"Powiat m.Siedlce",2017,123
"1288",1465000,"Powiat m. st. Warszawa",2017,11647
"1289",1601000,"Powiat brzeski",2017,71
"1290",1602000,"Powiat głubczycki",2017,4
"1291",1603000,"Powiat kędzierzyńsko-kozielski",2017,65
"1292",1604000,"Powiat kluczborski",2017,8
"1293",1605000,"Powiat krapkowicki",2017,27
"1294",1606000,"Powiat namysłowski",2017,11
"1295",1607000,"Powiat nyski",2017,54
"1296",1608000,"Powiat oleski",2017,1
"1297",1609000,"Powiat opolski",2017,5
"1298",1610000,"Powiat prudnicki",2017,12
"1299",1611000,"Powiat strzelecki",2017,10
"1300",1661000,"Powiat m.Opole",2017,350
"1301",1801000,"Powiat bieszczadzki",2017,9
"1302",1802000,"Powiat brzozowski",2017,4
"1303",1803000,"Powiat dębicki",2017,44
"1304",1804000,"Powiat jarosławski",2017,55
"1305",1805000,"Powiat jasielski",2017,29
"1306",1806000,"Powiat kolbuszowski",2017,7
"1307",1807000,"Powiat krośnieński",2017,7
"1308",1808000,"Powiat leżajski",2017,1
"1309",1809000,"Powiat lubaczowski",2017,1
"1310",1810000,"Powiat łańcucki",2017,21
"1311",1811000,"Powiat mielecki",2017,73
"1312",1812000,"Powiat niżański",2017,6
"1313",1813000,"Powiat przemyski",2017,1
"1314",1814000,"Powiat przeworski",2017,4
"1315",1815000,"Powiat ropczycko-sędziszowski",2017,12
"1316",1816000,"Powiat rzeszowski",2017,125
"1317",1817000,"Powiat sanocki",2017,47
"1318",1818000,"Powiat stalowowolski",2017,56
"1319",1819000,"Powiat strzyżowski",2017,17
"1320",1820000,"Powiat tarnobrzeski",2017,2
"1321",1821000,"Powiat leski",2017,6
"1322",1861000,"Powiat m.Krosno",2017,93
"1323",1862000,"Powiat m.Przemyśl",2017,196
"1324",1863000,"Powiat m.Rzeszów",2017,616
"1325",1864000,"Powiat m.Tarnobrzeg",2017,15
"1326",2001000,"Powiat augustowski",2017,69
"1327",2002000,"Powiat białostocki",2017,12
"1328",2003000,"Powiat bielski",2017,16
"1329",2004000,"Powiat grajewski",2017,28
"1330",2005000,"Powiat hajnowski",2017,9
"1331",2006000,"Powiat kolneński",2017,2
"1332",2007000,"Powiat łomżyński",2017,18
"1333",2008000,"Powiat moniecki",2017,5
"1334",2009000,"Powiat sejneński",2017,7
"1335",2010000,"Powiat siemiatycki",2017,7
"1336",2011000,"Powiat sokólski",2017,37
"1337",2013000,"Powiat wysokomazowiecki",2017,10
"1338",2014000,"Powiat zambrowski",2017,28
"1339",2061000,"Powiat m.Białystok",2017,1389
"1340",2062000,"Powiat m.Łomża",2017,146
"1341",2063000,"Powiat m.Suwałki",2017,203
"1342",2201000,"Powiat bytowski",2017,31
"1343",2202000,"Powiat chojnicki",2017,64
"1344",2203000,"Powiat człuchowski",2017,9
"1345",2204000,"Powiat gdański",2017,68
"1346",2205000,"Powiat kartuski",2017,35
"1347",2206000,"Powiat kościerski",2017,29
"1348",2207000,"Powiat kwidzyński",2017,105
"1349",2208000,"Powiat lęborski",2017,54
"1350",2209000,"Powiat malborski",2017,40
"1351",2210000,"Powiat nowodworski",2017,14
"1352",2211000,"Powiat pucki",2017,202
"1353",2212000,"Powiat słupski",2017,40
"1354",2213000,"Powiat starogardzki",2017,45
"1355",2214000,"Powiat tczewski",2017,137
"1356",2215000,"Powiat wejherowski",2017,332
"1357",2216000,"Powiat sztumski",2017,11
"1358",2261000,"Powiat m.Gdańsk",2017,3074
"1359",2262000,"Powiat m.Gdynia",2017,2148
"1360",2263000,"Powiat m.Słupsk",2017,234
"1361",2264000,"Powiat m.Sopot",2017,597
"1362",2401000,"Powiat będziński",2017,154
"1363",2402000,"Powiat bielski",2017,51
"1364",2403000,"Powiat cieszyński",2017,194
"1365",2405000,"Powiat gliwicki",2017,34
"1366",2406000,"Powiat kłobucki",2017,5
"1367",2407000,"Powiat lubliniecki",2017,8
"1368",2408000,"Powiat mikołowski",2017,86
"1369",2409000,"Powiat myszkowski",2017,14
"1370",2410000,"Powiat pszczyński",2017,38
"1371",2411000,"Powiat raciborski",2017,58
"1372",2412000,"Powiat rybnicki",2017,10
"1373",2413000,"Powiat tarnogórski",2017,292
"1374",2414000,"Powiat bieruńsko-lędziński",2017,3
"1375",2415000,"Powiat wodzisławski",2017,130
"1376",2416000,"Powiat zawierciański",2017,73
"1377",2417000,"Powiat żywiecki",2017,67
"1378",2461000,"Powiat m.Bielsko-Biała",2017,473
"1379",2462000,"Powiat m.Bytom",2017,433
"1380",2463000,"Powiat m.Chorzów",2017,259
"1381",2464000,"Powiat m.Częstochowa",2017,570
"1382",2465000,"Powiat m.Dąbrowa Górnicza",2017,143
"1383",2466000,"Powiat m.Gliwice",2017,468
"1384",2467000,"Powiat m.Jastrzębie-Zdrój",2017,157
"1385",2468000,"Powiat m.Jaworzno",2017,123
"1386",2469000,"Powiat m.Katowice",2017,1073
"1387",2470000,"Powiat m.Mysłowice",2017,64
"1388",2471000,"Powiat m.Piekary Śląskie",2017,19
"1389",2472000,"Powiat m.Ruda Śląska",2017,237
"1390",2473000,"Powiat m.Rybnik",2017,186
"1391",2474000,"Powiat m.Siemianowice Śląskie",2017,96
"1392",2475000,"Powiat m.Sosnowiec",2017,470
"1393",2476000,"Powiat m.Świętochłowice",2017,86
"1394",2477000,"Powiat m.Tychy",2017,243
"1395",2478000,"Powiat m.Zabrze",2017,248
"1396",2479000,"Powiat m.Żory",2017,108
"1397",2601000,"Powiat buski",2017,27
"1398",2602000,"Powiat jędrzejowski",2017,12
"1399",2603000,"Powiat kazimierski",2017,1
"1400",2604000,"Powiat kielecki",2017,5
"1401",2605000,"Powiat konecki",2017,47
"1402",2606000,"Powiat opatowski",2017,10
"1403",2607000,"Powiat ostrowiecki",2017,219
"1404",2608000,"Powiat pińczowski",2017,4
"1405",2609000,"Powiat sandomierski",2017,13
"1406",2610000,"Powiat skarżyski",2017,38
"1407",2611000,"Powiat starachowicki",2017,78
"1408",2612000,"Powiat staszowski",2017,29
"1409",2613000,"Powiat włoszczowski",2017,2
"1410",2661000,"Powiat m.Kielce",2017,375
