"","Kod","Nazwa","rok","Mieszkania_oddane_do_uzytkowania_ogolem_mieszkania"
"138",1263000,"Powiat m.Tarnów",1995,138
"139",1401000,"Powiat białobrzeski",1995,112
"140",1402000,"Powiat ciechanowski",1995,38
"141",1403000,"Powiat garwoliński",1995,284
"142",1404000,"Powiat gostyniński",1995,90
"143",1405000,"Powiat grodziski",1995,278
"144",1406000,"Powiat grójecki",1995,241
"145",1407000,"Powiat kozienicki",1995,90
"146",1408000,"Powiat legionowski",1995,177
"147",1409000,"Powiat lipski",1995,82
"148",1410000,"Powiat łosicki",1995,132
"149",1411000,"Powiat makowski",1995,102
"150",1412000,"Powiat miński",1995,491
"151",1413000,"Powiat mławski",1995,148
"152",1414000,"Powiat nowodworski",1995,128
"153",1415000,"Powiat ostrołęcki",1995,90
"154",1416000,"Powiat ostrowski",1995,144
"155",1417000,"Powiat otwocki",1995,193
"156",1418000,"Powiat piaseczyński",1995,212
"157",1419000,"Powiat płocki",1995,253
"158",1420000,"Powiat płoński",1995,71
"159",1421000,"Powiat pruszkowski",1995,462
"160",1422000,"Powiat przasnyski",1995,40
"161",1423000,"Powiat przysuski",1995,93
"162",1424000,"Powiat pułtuski",1995,133
"163",1425000,"Powiat radomski",1995,320
"164",1426000,"Powiat siedlecki",1995,225
"165",1427000,"Powiat sierpecki",1995,83
"166",1428000,"Powiat sochaczewski",1995,112
"167",1429000,"Powiat sokołowski",1995,128
"168",1430000,"Powiat szydłowiecki",1995,60
"169",1431000,"Powiat warszawski",1995,3877
"170",1432000,"Powiat warszawski zachodni",1995,245
"171",1433000,"Powiat węgrowski",1995,144
"172",1434000,"Powiat wołomiński",1995,488
"173",1435000,"Powiat wyszkowski",1995,58
"174",1436000,"Powiat zwoleński",1995,64
"175",1437000,"Powiat żuromiński",1995,12
"176",1438000,"Powiat żyrardowski",1995,81
"177",1461000,"Powiat m.Ostrołęka",1995,234
"178",1462000,"Powiat m.Płock",1995,362
"179",1463000,"Powiat m.Radom",1995,780
"180",1464000,"Powiat m.Siedlce",1995,384
"181",1465000,"Powiat m. st. Warszawa",1995,NA
"182",1601000,"Powiat brzeski",1995,156
"183",1602000,"Powiat głubczycki",1995,51
"184",1603000,"Powiat kędzierzyńsko-kozielski",1995,79
"185",1604000,"Powiat kluczborski",1995,41
"186",1605000,"Powiat krapkowicki",1995,29
"187",1606000,"Powiat namysłowski",1995,24
"188",1607000,"Powiat nyski",1995,169
"189",1608000,"Powiat oleski",1995,68
"190",1609000,"Powiat opolski",1995,76
"191",1610000,"Powiat prudnicki",1995,15
"192",1611000,"Powiat strzelecki",1995,34
"193",1661000,"Powiat m.Opole",1995,230
