"","Kod","Nazwa","rok","URODZENIA_ZGONY_przyrost_naturalny_na_ludnosci"
"13041",1206000,"Powiat krakowski",2003,-0.66
"13042",1207000,"Powiat limanowski",2003,5.85
"13043",1208000,"Powiat miechowski",2003,-3.65
"13044",1209000,"Powiat myślenicki",2003,3.35
"13045",1210000,"Powiat nowosądecki",2003,5.54
"13046",1211000,"Powiat nowotarski",2003,4.01
"13047",1212000,"Powiat olkuski",2003,-0.48
"13048",1213000,"Powiat oświęcimski",2003,-0.01
"13049",1214000,"Powiat proszowicki",2003,-2.31
"13050",1215000,"Powiat suski",2003,0.7
"13051",1216000,"Powiat tarnowski",2003,2.59
"13052",1217000,"Powiat tatrzański",2003,0.72
"13053",1218000,"Powiat wadowicki",2003,2.48
"13054",1219000,"Powiat wielicki",2003,0.2
"13055",1261000,"Powiat m.Kraków",2003,-1.26
"13056",1262000,"Powiat m.Nowy Sącz",2003,2.85
"13057",1263000,"Powiat m.Tarnów",2003,-0.86
"13058",1401000,"Powiat białobrzeski",2003,-0.03
"13059",1402000,"Powiat ciechanowski",2003,1.29
"13060",1403000,"Powiat garwoliński",2003,0.61
"13061",1404000,"Powiat gostyniński",2003,-1.84
"13062",1405000,"Powiat grodziski",2003,-2.02
"13063",1406000,"Powiat grójecki",2003,-1.62
"13064",1407000,"Powiat kozienicki",2003,-1.08
"13065",1408000,"Powiat legionowski",2003,0.47
"13066",1409000,"Powiat lipski",2003,-5.54
"13067",1410000,"Powiat łosicki",2003,-3.47
"13068",1411000,"Powiat makowski",2003,-1.09
"13069",1412000,"Powiat miński",2003,-0.99
"13070",1413000,"Powiat mławski",2003,-0.39
"13071",1414000,"Powiat nowodworski",2003,0.37
"13072",1415000,"Powiat ostrołęcki",2003,1.37
"13073",1416000,"Powiat ostrowski",2003,-0.98
"13074",1417000,"Powiat otwocki",2003,-2.2
"13075",1418000,"Powiat piaseczyński",2003,-0.66
"13076",1419000,"Powiat płocki",2003,-0.7
"13077",1420000,"Powiat płoński",2003,-0.94
"13078",1421000,"Powiat pruszkowski",2003,-0.18
"13079",1422000,"Powiat przasnyski",2003,1.59
"13080",1423000,"Powiat przysuski",2003,-2.73
"13081",1424000,"Powiat pułtuski",2003,-1.45
"13082",1425000,"Powiat radomski",2003,1.35
"13083",1426000,"Powiat siedlecki",2003,-0.37
"13084",1427000,"Powiat sierpecki",2003,-0.67
"13085",1428000,"Powiat sochaczewski",2003,-1.28
"13086",1429000,"Powiat sokołowski",2003,-3.03
"13087",1430000,"Powiat szydłowiecki",2003,-1.47
"13088",1432000,"Powiat warszawski zachodni",2003,-1.4
"13089",1433000,"Powiat węgrowski",2003,-1.61
"13090",1434000,"Powiat wołomiński",2003,2.04
"13091",1435000,"Powiat wyszkowski",2003,1.46
"13092",1436000,"Powiat zwoleński",2003,-2.02
"13093",1437000,"Powiat żuromiński",2003,-1.52
"13094",1438000,"Powiat żyrardowski",2003,-1.69
"13095",1461000,"Powiat m.Ostrołęka",2003,3.1
"13096",1462000,"Powiat m.Płock",2003,1.46
"13097",1463000,"Powiat m.Radom",2003,0.43
"13098",1464000,"Powiat m.Siedlce",2003,3.58
"13099",1465000,"Powiat m. st. Warszawa",2003,-3.04
"13100",1601000,"Powiat brzeski",2003,-0.13
"13101",1602000,"Powiat głubczycki",2003,-2.91
"13102",1603000,"Powiat kędzierzyńsko-kozielski",2003,-0.97
"13103",1604000,"Powiat kluczborski",2003,-1.37
"13104",1605000,"Powiat krapkowicki",2003,0.01
"13105",1606000,"Powiat namysłowski",2003,-1.45
"13106",1607000,"Powiat nyski",2003,-1.5
"13107",1608000,"Powiat oleski",2003,-2.54
"13108",1609000,"Powiat opolski",2003,-1.1
"13109",1610000,"Powiat prudnicki",2003,-2.03
"13110",1611000,"Powiat strzelecki",2003,-1.46
"13111",1661000,"Powiat m.Opole",2003,-0.66
"13112",1801000,"Powiat bieszczadzki",2003,3.57
"13113",1802000,"Powiat brzozowski",2003,2.22
"13114",1803000,"Powiat dębicki",2003,2.48
"13115",1804000,"Powiat jarosławski",2003,0.96
"13116",1805000,"Powiat jasielski",2003,0.93
"13117",1806000,"Powiat kolbuszowski",2003,1.68
"13118",1807000,"Powiat krośnieński",2003,0.34
"13119",1808000,"Powiat leżajski",2003,1.64
"13120",1809000,"Powiat lubaczowski",2003,1.82
"13121",1810000,"Powiat łańcucki",2003,0.77
"13122",1811000,"Powiat mielecki",2003,1.58
"13123",1812000,"Powiat niżański",2003,-0.22
