"","Kod","Nazwa","rok","BEZROBOCIE_ogolem_w_proc_bezrobotnych_ogolem_proc"
"6584",1209000,"Powiat myślenicki",2003,50.2
"6585",1210000,"Powiat nowosądecki",2003,55.4
"6586",1211000,"Powiat nowotarski",2003,49.5
"6587",1212000,"Powiat olkuski",2003,54.8
"6588",1213000,"Powiat oświęcimski",2003,48
"6589",1214000,"Powiat proszowicki",2003,55.9
"6590",1215000,"Powiat suski",2003,52.7
"6591",1216000,"Powiat tarnowski",2003,52
"6592",1217000,"Powiat tatrzański",2003,50.1
"6593",1218000,"Powiat wadowicki",2003,48.3
"6594",1219000,"Powiat wielicki",2003,51.3
"6595",1261000,"Powiat m.Kraków",2003,47.7
"6596",1262000,"Powiat m.Nowy Sącz",2003,51.8
"6597",1263000,"Powiat m.Tarnów",2003,44.8
"6598",1401000,"Powiat białobrzeski",2003,64.9
"6599",1402000,"Powiat ciechanowski",2003,57.4
"6600",1403000,"Powiat garwoliński",2003,59.5
"6601",1404000,"Powiat gostyniński",2003,61
"6602",1405000,"Powiat grodziski",2003,45.7
"6603",1406000,"Powiat grójecki",2003,53.9
"6604",1407000,"Powiat kozienicki",2003,60
"6605",1408000,"Powiat legionowski",2003,46.6
"6606",1409000,"Powiat lipski",2003,56.1
"6607",1410000,"Powiat łosicki",2003,63.1
"6608",1411000,"Powiat makowski",2003,63.5
"6609",1412000,"Powiat miński",2003,50.2
"6610",1413000,"Powiat mławski",2003,64.9
"6611",1414000,"Powiat nowodworski",2003,50.1
"6612",1415000,"Powiat ostrołęcki",2003,64.1
"6613",1416000,"Powiat ostrowski",2003,62.5
"6614",1417000,"Powiat otwocki",2003,50.3
"6615",1418000,"Powiat piaseczyński",2003,40
"6616",1419000,"Powiat płocki",2003,62.3
"6617",1420000,"Powiat płoński",2003,62.8
"6618",1421000,"Powiat pruszkowski",2003,46.7
"6619",1422000,"Powiat przasnyski",2003,57.2
"6620",1423000,"Powiat przysuski",2003,64.2
"6621",1424000,"Powiat pułtuski",2003,60.3
"6622",1425000,"Powiat radomski",2003,61.2
"6623",1426000,"Powiat siedlecki",2003,57.6
"6624",1427000,"Powiat sierpecki",2003,58.6
"6625",1428000,"Powiat sochaczewski",2003,52
