"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_ogolem_zl"
"19126",1211000,"Powiat nowotarski",2015,3858
"19127",1212000,"Powiat olkuski",2015,2587
"19128",1213000,"Powiat oświęcimski",2015,2627
"19129",1214000,"Powiat proszowicki",2015,3381
"19130",1215000,"Powiat suski",2015,1009
"19131",1216000,"Powiat tarnowski",2015,0
"19132",1217000,"Powiat tatrzański",2015,5957
"19133",1218000,"Powiat wadowicki",2015,2941
"19134",1219000,"Powiat wielicki",2015,4667
"19135",1261000,"Powiat m.Kraków",2015,5787
"19136",1262000,"Powiat m.Nowy Sącz",2015,2892
"19137",1263000,"Powiat m.Tarnów",2015,2827
"19138",1401000,"Powiat białobrzeski",2015,3001
"19139",1402000,"Powiat ciechanowski",2015,2995
"19140",1403000,"Powiat garwoliński",2015,1305
"19141",1404000,"Powiat gostyniński",2015,2176
"19142",1405000,"Powiat grodziski",2015,4083
"19143",1406000,"Powiat grójecki",2015,2289
"19144",1407000,"Powiat kozienicki",2015,2935
"19145",1408000,"Powiat legionowski",2015,4416
"19146",1409000,"Powiat lipski",2015,0
"19147",1410000,"Powiat łosicki",2015,2881
"19148",1411000,"Powiat makowski",2015,0
"19149",1412000,"Powiat miński",2015,3602
"19150",1413000,"Powiat mławski",2015,2377
"19151",1414000,"Powiat nowodworski",2015,3474
"19152",1415000,"Powiat ostrołęcki",2015,1174
"19153",1416000,"Powiat ostrowski",2015,2588
"19154",1417000,"Powiat otwocki",2015,4658
"19155",1418000,"Powiat piaseczyński",2015,5301
"19156",1419000,"Powiat płocki",2015,2355
"19157",1420000,"Powiat płoński",2015,2671
"19158",1421000,"Powiat pruszkowski",2015,4827
"19159",1422000,"Powiat przasnyski",2015,2603
"19160",1423000,"Powiat przysuski",2015,2160
"19161",1424000,"Powiat pułtuski",2015,2830
"19162",1425000,"Powiat radomski",2015,1743
"19163",1426000,"Powiat siedlecki",2015,1231
"19164",1427000,"Powiat sierpecki",2015,2353
"19165",1428000,"Powiat sochaczewski",2015,3055
"19166",1429000,"Powiat sokołowski",2015,3242
"19167",1430000,"Powiat szydłowiecki",2015,1967
"19168",1432000,"Powiat warszawski zachodni",2015,4121
"19169",1433000,"Powiat węgrowski",2015,2431
"19170",1434000,"Powiat wołomiński",2015,4447
"19171",1435000,"Powiat wyszkowski",2015,3549
"19172",1436000,"Powiat zwoleński",2015,2113
"19173",1437000,"Powiat żuromiński",2015,2554
"19174",1438000,"Powiat żyrardowski",2015,2759
"19175",1461000,"Powiat m.Ostrołęka",2015,2753
"19176",1462000,"Powiat m.Płock",2015,3276
