"","Kod","Nazwa","rok","DROGI_PUBLICZNE_POWIATOWE_CTAB_drogi_gminne_i_powiatowe_o_twardej_nawierzchni_na_10_tys_ludnosci_km"
"5823",1208000,"Powiat miechowski",2005,189.9
"5824",1209000,"Powiat myślenicki",2005,59
"5825",1210000,"Powiat nowosądecki",2005,116.5
"5826",1211000,"Powiat nowotarski",2005,58.9
"5827",1212000,"Powiat olkuski",2005,61.7
"5828",1213000,"Powiat oświęcimski",2005,44.3
"5829",1214000,"Powiat proszowicki",2005,159.6
"5830",1215000,"Powiat suski",2005,57.4
"5831",1216000,"Powiat tarnowski",2005,95.6
"5832",1217000,"Powiat tatrzański",2005,54.9
"5833",1218000,"Powiat wadowicki",2005,70
"5834",1219000,"Powiat wielicki",2005,77.1
"5835",1261000,"Powiat m.Kraków",2005,11.9
"5836",1262000,"Powiat m.Nowy Sącz",2005,22.8
"5837",1263000,"Powiat m.Tarnów",2005,22.5
"5838",1401000,"Powiat białobrzeski",2005,125.4
"5839",1402000,"Powiat ciechanowski",2005,82.3
"5840",1403000,"Powiat garwoliński",2005,74.3
"5841",1404000,"Powiat gostyniński",2005,79.1
"5842",1405000,"Powiat grodziski",2005,41.1
"5843",1406000,"Powiat grójecki",2005,96.4
"5844",1407000,"Powiat kozienicki",2005,75.3
"5845",1408000,"Powiat legionowski",2005,33.6
"5846",1409000,"Powiat lipski",2005,110.1
"5847",1410000,"Powiat łosicki",2005,134.9
"5848",1411000,"Powiat makowski",2005,101.7
"5849",1412000,"Powiat miński",2005,54.8
"5850",1413000,"Powiat mławski",2005,105.1
"5851",1414000,"Powiat nowodworski",2005,57.8
"5852",1415000,"Powiat ostrołęcki",2005,123
"5853",1416000,"Powiat ostrowski",2005,85.6
"5854",1417000,"Powiat otwocki",2005,34.7
"5855",1418000,"Powiat piaseczyński",2005,42.1
"5856",1419000,"Powiat płocki",2005,79.8
"5857",1420000,"Powiat płoński",2005,110.8
"5858",1421000,"Powiat pruszkowski",2005,35.5
"5859",1422000,"Powiat przasnyski",2005,115.1
"5860",1423000,"Powiat przysuski",2005,102.5
"5861",1424000,"Powiat pułtuski",2005,123.8
"5862",1425000,"Powiat radomski",2005,64.9
"5863",1426000,"Powiat siedlecki",2005,108.3
"5864",1427000,"Powiat sierpecki",2005,88.9
"5865",1428000,"Powiat sochaczewski",2005,65.4
"5866",1429000,"Powiat sokołowski",2005,104
"5867",1430000,"Powiat szydłowiecki",2005,84.8
"5868",1432000,"Powiat warszawski zachodni",2005,46.1
"5869",1433000,"Powiat węgrowski",2005,80.4
"5870",1434000,"Powiat wołomiński",2005,48.7
"5871",1435000,"Powiat wyszkowski",2005,69.1
"5872",1436000,"Powiat zwoleński",2005,91
"5873",1437000,"Powiat żuromiński",2005,112
"5874",1438000,"Powiat żyrardowski",2005,55.4
"5875",1461000,"Powiat m.Ostrołęka",2005,17.3
"5876",1462000,"Powiat m.Płock",2005,13.2
"5877",1463000,"Powiat m.Radom",2005,14.1
"5878",1464000,"Powiat m.Siedlce",2005,13.5
"5879",1465000,"Powiat m. st. Warszawa",2005,10
"5880",1601000,"Powiat brzeski",2005,53.3
"5881",1602000,"Powiat głubczycki",2005,100
"5882",1603000,"Powiat kędzierzyńsko-kozielski",2005,47.8
"5883",1604000,"Powiat kluczborski",2005,75.2
"5884",1605000,"Powiat krapkowicki",2005,53.1
"5885",1606000,"Powiat namysłowski",2005,103.7
"5886",1607000,"Powiat nyski",2005,56.6
"5887",1608000,"Powiat oleski",2005,91.1
"5888",1609000,"Powiat opolski",2005,81.2
"5889",1610000,"Powiat prudnicki",2005,69.4
"5890",1611000,"Powiat strzelecki",2005,76.5
"5891",1661000,"Powiat m.Opole",2005,13.4
"5892",1801000,"Powiat bieszczadzki",2005,153.8
"5893",1802000,"Powiat brzozowski",2005,52.2
"5894",1803000,"Powiat dębicki",2005,71.4
"5895",1804000,"Powiat jarosławski",2005,58.8
"5896",1805000,"Powiat jasielski",2005,54.1
"5897",1806000,"Powiat kolbuszowski",2005,68.4
"5898",1807000,"Powiat krośnieński",2005,62.3
"5899",1808000,"Powiat leżajski",2005,51.9
"5900",1809000,"Powiat lubaczowski",2005,87.4
"5901",1810000,"Powiat łańcucki",2005,49.8
"5902",1811000,"Powiat mielecki",2005,60.1
"5903",1812000,"Powiat niżański",2005,71.6
"5904",1813000,"Powiat przemyski",2005,85
"5905",1814000,"Powiat przeworski",2005,61.2
"5906",1815000,"Powiat ropczycko-sędziszowski",2005,61.4
"5907",1816000,"Powiat rzeszowski",2005,65.3
"5908",1817000,"Powiat sanocki",2005,46.8
"5909",1818000,"Powiat stalowowolski",2005,34.7
"5910",1819000,"Powiat strzyżowski",2005,69.8
"5911",1820000,"Powiat tarnobrzeski",2005,69.3
"5912",1821000,"Powiat leski",2005,79.3
"5913",1861000,"Powiat m.Krosno",2005,24.9
"5914",1862000,"Powiat m.Przemyśl",2005,17.8
"5915",1863000,"Powiat m.Rzeszów",2005,9.7
"5916",1864000,"Powiat m.Tarnobrzeg",2005,23
"5917",2001000,"Powiat augustowski",2005,79.8
"5918",2002000,"Powiat białostocki",2005,83.5
"5919",2003000,"Powiat bielski",2005,115
"5920",2004000,"Powiat grajewski",2005,98.1
"5921",2005000,"Powiat hajnowski",2005,98.9
"5922",2006000,"Powiat kolneński",2005,112.4
"5923",2007000,"Powiat łomżyński",2005,108.1
"5924",2008000,"Powiat moniecki",2005,123.9
"5925",2009000,"Powiat sejneński",2005,104
"5926",2010000,"Powiat siemiatycki",2005,135.5
"5927",2011000,"Powiat sokólski",2005,118.8
"5928",2012000,"Powiat suwalski",2005,157.8
"5929",2013000,"Powiat wysokomazowiecki",2005,137
"5930",2014000,"Powiat zambrowski",2005,87.3
"5931",2061000,"Powiat m.Białystok",2005,9.4
"5932",2062000,"Powiat m.Łomża",2005,11.3
"5933",2063000,"Powiat m.Suwałki",2005,13.4
"5934",2201000,"Powiat bytowski",2005,97.1
"5935",2202000,"Powiat chojnicki",2005,48.1
"5936",2203000,"Powiat człuchowski",2005,110.7
"5937",2204000,"Powiat gdański",2005,61
"5938",2205000,"Powiat kartuski",2005,46.7
"5939",2206000,"Powiat kościerski",2005,65.5
"5940",2207000,"Powiat kwidzyński",2005,45.7
"5941",2208000,"Powiat lęborski",2005,48.2
"5942",2209000,"Powiat malborski",2005,56.6
"5943",2210000,"Powiat nowodworski",2005,131.4
"5944",2211000,"Powiat pucki",2005,45.9
"5945",2212000,"Powiat słupski",2005,97.2
"5946",2213000,"Powiat starogardzki",2005,43.3
"5947",2214000,"Powiat tczewski",2005,36.1
"5948",2215000,"Powiat wejherowski",2005,36.1
"5949",2216000,"Powiat sztumski",2005,71.3
"5950",2261000,"Powiat m.Gdańsk",2005,11.5
"5951",2262000,"Powiat m.Gdynia",2005,10.9
"5952",2263000,"Powiat m.Słupsk",2005,10.5
"5953",2264000,"Powiat m.Sopot",2005,13.8
"5954",2401000,"Powiat będziński",2005,39.9
"5955",2402000,"Powiat bielski",2005,77.7
"5956",2403000,"Powiat cieszyński",2005,92.3
"5957",2404000,"Powiat częstochowski",2005,81.3
"5958",2405000,"Powiat gliwicki",2005,58.1
"5959",2406000,"Powiat kłobucki",2005,101.3
"5960",2407000,"Powiat lubliniecki",2005,90.3
"5961",2408000,"Powiat mikołowski",2005,46.8
"5962",2409000,"Powiat myszkowski",2005,65.8
"5963",2410000,"Powiat pszczyński",2005,53.4
"5964",2411000,"Powiat raciborski",2005,48.2
"5965",2412000,"Powiat rybnicki",2005,51.8
"5966",2413000,"Powiat tarnogórski",2005,45
"5967",2414000,"Powiat bieruńsko-lędziński",2005,60.3
"5968",2415000,"Powiat wodzisławski",2005,43.5
"5969",2416000,"Powiat zawierciański",2005,88.7
