"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_do_40_m2_zl"
"2027",1212000,"Powiat olkuski",2015,2588
"2028",1213000,"Powiat oświęcimski",2015,2538
"2029",1214000,"Powiat proszowicki",2015,3909
"2030",1215000,"Powiat suski",2015,1173
"2031",1216000,"Powiat tarnowski",2015,0
"2032",1217000,"Powiat tatrzański",2015,11223
"2033",1218000,"Powiat wadowicki",2015,2979
"2034",1219000,"Powiat wielicki",2015,4948
"2035",1261000,"Powiat m.Kraków",2015,6154
"2036",1262000,"Powiat m.Nowy Sącz",2015,2870
"2037",1263000,"Powiat m.Tarnów",2015,2661
"2038",1401000,"Powiat białobrzeski",2015,0
"2039",1402000,"Powiat ciechanowski",2015,2965
"2040",1403000,"Powiat garwoliński",2015,0
"2041",1404000,"Powiat gostyniński",2015,2086
"2042",1405000,"Powiat grodziski",2015,4376
"2043",1406000,"Powiat grójecki",2015,2039
"2044",1407000,"Powiat kozienicki",2015,3034
"2045",1408000,"Powiat legionowski",2015,4390
"2046",1409000,"Powiat lipski",2015,0
"2047",1410000,"Powiat łosicki",2015,2825
"2048",1411000,"Powiat makowski",2015,0
"2049",1412000,"Powiat miński",2015,3964
"2050",1413000,"Powiat mławski",2015,2903
"2051",1414000,"Powiat nowodworski",2015,4033
"2052",1415000,"Powiat ostrołęcki",2015,0
"2053",1416000,"Powiat ostrowski",2015,2793
"2054",1417000,"Powiat otwocki",2015,4694
"2055",1418000,"Powiat piaseczyński",2015,5285
"2056",1419000,"Powiat płocki",2015,2381
"2057",1420000,"Powiat płoński",2015,2676
"2058",1421000,"Powiat pruszkowski",2015,5367
"2059",1422000,"Powiat przasnyski",2015,2632
"2060",1423000,"Powiat przysuski",2015,0
"2061",1424000,"Powiat pułtuski",2015,3242
"2062",1425000,"Powiat radomski",2015,1481
"2063",1426000,"Powiat siedlecki",2015,1625
"2064",1427000,"Powiat sierpecki",2015,2674
"2065",1428000,"Powiat sochaczewski",2015,3094
"2066",1429000,"Powiat sokołowski",2015,2712
"2067",1430000,"Powiat szydłowiecki",2015,1618
"2068",1432000,"Powiat warszawski zachodni",2015,4345
"2069",1433000,"Powiat węgrowski",2015,2606
"2070",1434000,"Powiat wołomiński",2015,4765
"2071",1435000,"Powiat wyszkowski",2015,3588
"2072",1436000,"Powiat zwoleński",2015,2113
"2073",1437000,"Powiat żuromiński",2015,3051
"2074",1438000,"Powiat żyrardowski",2015,3082
"2075",1461000,"Powiat m.Ostrołęka",2015,2787
"2076",1462000,"Powiat m.Płock",2015,3500
"2077",1463000,"Powiat m.Radom",2015,3030
"2078",1464000,"Powiat m.Siedlce",2015,3696
"2079",1465000,"Powiat m. st. Warszawa",2015,7454
"2080",1601000,"Powiat brzeski",2015,2604
"2081",1602000,"Powiat głubczycki",2015,1551
"2082",1603000,"Powiat kędzierzyńsko-kozielski",2015,2003
"2083",1604000,"Powiat kluczborski",2015,1836
"2084",1605000,"Powiat krapkowicki",2015,2361
"2085",1606000,"Powiat namysłowski",2015,2876
"2086",1607000,"Powiat nyski",2015,2151
"2087",1608000,"Powiat oleski",2015,1992
"2088",1609000,"Powiat opolski",2015,2175
"2089",1610000,"Powiat prudnicki",2015,1469
"2090",1611000,"Powiat strzelecki",2015,1834
"2091",1661000,"Powiat m.Opole",2015,4162
"2092",1801000,"Powiat bieszczadzki",2015,2012
"2093",1802000,"Powiat brzozowski",2015,2340
"2094",1803000,"Powiat dębicki",2015,2676
"2095",1804000,"Powiat jarosławski",2015,3053
"2096",1805000,"Powiat jasielski",2015,2167
"2097",1806000,"Powiat kolbuszowski",2015,0
"2098",1807000,"Powiat krośnieński",2015,0
"2099",1808000,"Powiat leżajski",2015,2334
"2100",1809000,"Powiat lubaczowski",2015,1884
"2101",1810000,"Powiat łańcucki",2015,3500
"2102",1811000,"Powiat mielecki",2015,2858
"2103",1812000,"Powiat niżański",2015,2374
"2104",1813000,"Powiat przemyski",2015,2770
"2105",1814000,"Powiat przeworski",2015,2833
"2106",1815000,"Powiat ropczycko-sędziszowski",2015,2857
"2107",1816000,"Powiat rzeszowski",2015,3810
"2108",1817000,"Powiat sanocki",2015,2276
"2109",1818000,"Powiat stalowowolski",2015,2544
"2110",1819000,"Powiat strzyżowski",2015,2456
"2111",1820000,"Powiat tarnobrzeski",2015,1829
"2112",1821000,"Powiat leski",2015,2541
"2113",1861000,"Powiat m.Krosno",2015,3257
"2114",1862000,"Powiat m.Przemyśl",2015,2600
"2115",1863000,"Powiat m.Rzeszów",2015,4778
"2116",1864000,"Powiat m.Tarnobrzeg",2015,2432
"2117",2001000,"Powiat augustowski",2015,3715
"2118",2002000,"Powiat białostocki",2015,2716
"2119",2003000,"Powiat bielski",2015,0
"2120",2004000,"Powiat grajewski",2015,1762
"2121",2005000,"Powiat hajnowski",2015,1855
"2122",2006000,"Powiat kolneński",2015,1830
"2123",2007000,"Powiat łomżyński",2015,0
"2124",2008000,"Powiat moniecki",2015,0
"2125",2009000,"Powiat sejneński",2015,2000
"2126",2010000,"Powiat siemiatycki",2015,0
"2127",2011000,"Powiat sokólski",2015,2976
"2128",2012000,"Powiat suwalski",2015,2188
"2129",2013000,"Powiat wysokomazowiecki",2015,0
"2130",2014000,"Powiat zambrowski",2015,2778
"2131",2061000,"Powiat m.Białystok",2015,4472
"2132",2062000,"Powiat m.Łomża",2015,3408
"2133",2063000,"Powiat m.Suwałki",2015,3279
"2134",2201000,"Powiat bytowski",2015,2926
"2135",2202000,"Powiat chojnicki",2015,2873
"2136",2203000,"Powiat człuchowski",2015,2117
"2137",2204000,"Powiat gdański",2015,4223
"2138",2205000,"Powiat kartuski",2015,3116
"2139",2206000,"Powiat kościerski",2015,3264
"2140",2207000,"Powiat kwidzyński",2015,2440
"2141",2208000,"Powiat lęborski",2015,2353
"2142",2209000,"Powiat malborski",2015,3026
"2143",2210000,"Powiat nowodworski",2015,6000
"2144",2211000,"Powiat pucki",2015,5275
"2145",2212000,"Powiat słupski",2015,3472
"2146",2213000,"Powiat starogardzki",2015,2725
"2147",2214000,"Powiat tczewski",2015,3513
"2148",2215000,"Powiat wejherowski",2015,4117
"2149",2216000,"Powiat sztumski",2015,1955
"2150",2261000,"Powiat m.Gdańsk",2015,5258
"2151",2262000,"Powiat m.Gdynia",2015,5421
"2152",2263000,"Powiat m.Słupsk",2015,3076
"2153",2264000,"Powiat m.Sopot",2015,7453
"2154",2401000,"Powiat będziński",2015,2115
"2155",2402000,"Powiat bielski",2015,2945
"2156",2403000,"Powiat cieszyński",2015,2906
"2157",2404000,"Powiat częstochowski",2015,1882
"2158",2405000,"Powiat gliwicki",2015,2320
"2159",2406000,"Powiat kłobucki",2015,2286
"2160",2407000,"Powiat lubliniecki",2015,2240
"2161",2408000,"Powiat mikołowski",2015,2035
"2162",2409000,"Powiat myszkowski",2015,1787
"2163",2410000,"Powiat pszczyński",2015,2293
"2164",2411000,"Powiat raciborski",2015,1840
"2165",2412000,"Powiat rybnicki",2015,1981
"2166",2413000,"Powiat tarnogórski",2015,2316
"2167",2414000,"Powiat bieruńsko-lędziński",2015,2466
"2168",2415000,"Powiat wodzisławski",2015,1815
"2169",2416000,"Powiat zawierciański",2015,1250
"2170",2417000,"Powiat żywiecki",2015,3184
"2171",2461000,"Powiat m.Bielsko-Biała",2015,3215
"2172",2462000,"Powiat m.Bytom",2015,1773
"2173",2463000,"Powiat m.Chorzów",2015,2403
"2174",2464000,"Powiat m.Częstochowa",2015,2280
"2175",2465000,"Powiat m.Dąbrowa Górnicza",2015,2483
"2176",2466000,"Powiat m.Gliwice",2015,3023
"2177",2467000,"Powiat m.Jastrzębie-Zdrój",2015,2319
"2178",2468000,"Powiat m.Jaworzno",2015,2853
"2179",2469000,"Powiat m.Katowice",2015,3372
"2180",2470000,"Powiat m.Mysłowice",2015,2352
"2181",2471000,"Powiat m.Piekary Śląskie",2015,1982
"2182",2472000,"Powiat m.Ruda Śląska",2015,2078
