"","Kod","Nazwa","rok","Budynki_mieszkalne_w_gminie_ogolem"
"1076",2813000,"Powiat olecki",2010,4645
"1077",2814000,"Powiat olsztyński",2010,19920
"1078",2815000,"Powiat ostródzki",2010,13385
"1079",2816000,"Powiat piski",2010,7378
"1080",2817000,"Powiat szczycieński",2010,11766
"1081",2818000,"Powiat gołdapski",2010,3496
"1082",2819000,"Powiat węgorzewski",2010,3814
"1083",2861000,"Powiat m.Elbląg",2010,6455
"1084",2862000,"Powiat m.Olsztyn",2010,9322
"1085",3001000,"Powiat chodzieski",2010,7466
"1086",3002000,"Powiat czarnkowsko-trzcianecki",2010,14776
"1087",3003000,"Powiat gnieźnieński",2010,17875
"1088",3004000,"Powiat gostyński",2010,12730
"1089",3005000,"Powiat grodziski",2010,9265
"1090",3006000,"Powiat jarociński",2010,12476
"1091",3007000,"Powiat kaliski",2010,19368
"1092",3008000,"Powiat kępiński",2010,11014
"1093",3009000,"Powiat kolski",2010,18806
"1094",3010000,"Powiat koniński",2010,30992
"1095",3011000,"Powiat kościański",2010,13280
"1096",3012000,"Powiat krotoszyński",2010,13625
"1097",3013000,"Powiat leszczyński",2010,10617
"1098",3014000,"Powiat międzychodzki",2010,5830
"1099",3015000,"Powiat nowotomyski",2010,13224
"1100",3016000,"Powiat obornicki",2010,8414
"1101",3017000,"Powiat ostrowski",2010,29056
"1102",3018000,"Powiat ostrzeszowski",2010,12618
"1103",3019000,"Powiat pilski",2010,16013
"1104",3020000,"Powiat pleszewski",2010,11770
"1105",3021000,"Powiat poznański",2010,62679
"1106",3022000,"Powiat rawicki",2010,10095
"1107",3023000,"Powiat słupecki",2010,12541
"1108",3024000,"Powiat szamotulski",2010,15101
"1109",3025000,"Powiat średzki",2010,8687
"1110",3026000,"Powiat śremski",2010,7196
"1111",3027000,"Powiat turecki",2010,17132
"1112",3028000,"Powiat wągrowiecki",2010,10831
"1113",3029000,"Powiat wolsztyński",2010,10658
"1114",3030000,"Powiat wrzesiński",2010,13073
"1115",3031000,"Powiat złotowski",2010,10281
"1116",3061000,"Powiat m.Kalisz",2010,9080
"1117",3062000,"Powiat m.Konin",2010,6757
"1118",3063000,"Powiat m.Leszno",2010,6898
"1119",3064000,"Powiat m.Poznań",2010,38996
"1120",3201000,"Powiat białogardzki",2010,5533
"1121",3202000,"Powiat choszczeński",2010,6994
"1122",3203000,"Powiat drawski",2010,7784
"1123",3204000,"Powiat goleniowski",2010,10688
"1124",3205000,"Powiat gryficki",2010,8159
"1125",3206000,"Powiat gryfiński",2010,10622
"1126",3207000,"Powiat kamieński",2010,7779
"1127",3208000,"Powiat kołobrzeski",2010,8493
"1128",3209000,"Powiat koszaliński",2010,10333
"1129",3210000,"Powiat myśliborski",2010,8418
"1130",3211000,"Powiat policki",2010,8373
"1131",3212000,"Powiat pyrzycki",2010,5681
"1132",3213000,"Powiat sławieński",2010,9032
"1133",3214000,"Powiat stargardzki",2010,11836
"1134",3215000,"Powiat szczecinecki",2010,8471
"1135",3216000,"Powiat świdwiński",2010,5842
"1136",3217000,"Powiat wałecki",2010,6530
"1137",3218000,"Powiat łobeski",2010,5287
"1138",3261000,"Powiat m.Koszalin",2010,7430
"1139",3262000,"Powiat m.Szczecin",2010,24603
"1140",3263000,"Powiat m.Świnoujście",2010,2731
"1141",201000,"Powiat bolesławiecki",2011,13503
"1142",202000,"Powiat dzierżoniowski",2011,11483
"1143",203000,"Powiat głogowski",2011,8145
"1144",204000,"Powiat górowski",2011,6612
"1145",205000,"Powiat jaworski",2011,7074
"1146",206000,"Powiat jeleniogórski",2011,11064
"1147",207000,"Powiat kamiennogórski",2011,5461
"1148",208000,"Powiat kłodzki",2011,23750
"1149",209000,"Powiat legnicki",2011,9648
"1150",210000,"Powiat lubański",2011,8536
"1151",211000,"Powiat lubiński",2011,9989
"1152",212000,"Powiat lwówecki",2011,8877
"1153",213000,"Powiat milicki",2011,6551
"1154",214000,"Powiat oleśnicki",2011,15464
"1155",215000,"Powiat oławski",2011,9736
"1156",216000,"Powiat polkowicki",2011,8496
"1157",217000,"Powiat strzeliński",2011,7703
"1158",218000,"Powiat średzki",2011,9973
"1159",219000,"Powiat świdnicki",2011,15917
"1160",220000,"Powiat trzebnicki",2011,15639
"1161",221000,"Powiat wałbrzyski",2011,14727
"1162",222000,"Powiat wołowski",2011,7669
"1163",223000,"Powiat wrocławski",2011,27554
"1164",224000,"Powiat ząbkowicki",2011,11425
"1165",225000,"Powiat zgorzelecki",2011,12898
"1166",226000,"Powiat złotoryjski",2011,6678
"1167",261000,"Powiat m.Jelenia Góra",2011,7413
"1168",262000,"Powiat m.Legnica",2011,6551
"1169",264000,"Powiat m.Wrocław",2011,37763
"1170",265000,"Powiat m.Wałbrzych od 2013",2011,NA
"1171",401000,"Powiat aleksandrowski",2011,12194
"1172",402000,"Powiat brodnicki",2011,14434
"1173",403000,"Powiat bydgoski",2011,23005
"1174",404000,"Powiat chełmiński",2011,7539
"1175",405000,"Powiat golubsko-dobrzyński",2011,8319
"1176",406000,"Powiat grudziądzki",2011,7612
"1177",407000,"Powiat inowrocławski",2011,17717
"1178",408000,"Powiat lipnowski",2011,14038
"1179",409000,"Powiat mogileński",2011,8198
"1180",410000,"Powiat nakielski",2011,12403
"1181",411000,"Powiat radziejowski",2011,9509
"1182",412000,"Powiat rypiński",2011,8060
"1183",413000,"Powiat sępoleński",2011,6773
"1184",414000,"Powiat świecki",2011,16473
"1185",415000,"Powiat toruński",2011,19215
"1186",416000,"Powiat tucholski",2011,9740
"1187",417000,"Powiat wąbrzeski",2011,5879
"1188",418000,"Powiat włocławski",2011,20627
"1189",419000,"Powiat żniński",2011,10774
"1190",461000,"Powiat m.Bydgoszcz",2011,22789
"1191",462000,"Powiat m.Grudziądz",2011,5431
"1192",463000,"Powiat m.Toruń",2011,13490
"1193",464000,"Powiat m.Włocławek",2011,8182
"1194",601000,"Powiat bialski",2011,31604
"1195",602000,"Powiat biłgorajski",2011,24778
"1196",603000,"Powiat chełmski",2011,24282
"1197",604000,"Powiat hrubieszowski",2011,16097
"1198",605000,"Powiat janowski",2011,11440
"1199",606000,"Powiat krasnostawski",2011,19289
"1200",607000,"Powiat kraśnicki",2011,20954
"1201",608000,"Powiat lubartowski",2011,23156
"1202",609000,"Powiat lubelski",2011,40911
"1203",610000,"Powiat łęczyński",2011,10982
"1204",611000,"Powiat łukowski",2011,25001
"1205",612000,"Powiat opolski",2011,15148
"1206",613000,"Powiat parczewski",2011,9610
"1207",614000,"Powiat puławski",2011,23189
"1208",615000,"Powiat radzyński",2011,15500
"1209",616000,"Powiat rycki",2011,14133
"1210",617000,"Powiat świdnicki",2011,12349
"1211",618000,"Powiat tomaszowski",2011,22441
"1212",619000,"Powiat włodawski",2011,9421
"1213",620000,"Powiat zamojski",2011,33210
"1214",661000,"Powiat m.Biała Podlaska",2011,8143
"1215",662000,"Powiat m.Chełm",2011,6534
"1216",663000,"Powiat m.Lublin",2011,21682
"1217",664000,"Powiat m.Zamość",2011,6049
"1218",801000,"Powiat gorzowski",2011,12908
"1219",802000,"Powiat krośnieński",2011,9907
"1220",803000,"Powiat międzyrzecki",2011,8635
"1221",804000,"Powiat nowosolski",2011,12203
"1222",805000,"Powiat słubicki",2011,6892
"1223",806000,"Powiat strzelecko-drezdenecki",2011,8166
"1224",807000,"Powiat sulęciński",2011,6348
"1225",808000,"Powiat świebodziński",2011,8134
"1226",809000,"Powiat zielonogórski",2011,17913
"1227",810000,"Powiat żagański",2011,11258
"1228",811000,"Powiat żarski",2011,14961
"1229",812000,"Powiat wschowski",2011,6746
"1230",861000,"Powiat m.Gorzów Wielkopolski",2011,7285
"1231",862000,"Powiat m.Zielona Góra",2011,8153
"1232",1001000,"Powiat bełchatowski",2011,21251
"1233",1002000,"Powiat kutnowski",2011,16585
"1234",1003000,"Powiat łaski",2011,12924
"1235",1004000,"Powiat łęczycki",2011,10706
"1236",1005000,"Powiat łowicki",2011,18991
"1237",1006000,"Powiat łódzki wschodni",2011,18463
"1238",1007000,"Powiat opoczyński",2011,19611
"1239",1008000,"Powiat pabianicki",2011,19686
"1240",1009000,"Powiat pajęczański",2011,14276
"1241",1010000,"Powiat piotrkowski",2011,26524
"1242",1011000,"Powiat poddębicki",2011,12138
"1243",1012000,"Powiat radomszczański",2011,29439
"1244",1013000,"Powiat rawski",2011,11001
"1245",1014000,"Powiat sieradzki",2011,24593
"1246",1015000,"Powiat skierniewicki",2011,11458
"1247",1016000,"Powiat tomaszowski",2011,23747
"1248",1017000,"Powiat wieluński",2011,17707
"1249",1018000,"Powiat wieruszowski",2011,10784
"1250",1019000,"Powiat zduńskowolski",2011,11945
"1251",1020000,"Powiat zgierski",2011,31523
"1252",1021000,"Powiat brzeziński",2011,7684
"1253",1061000,"Powiat m.Łódź",2011,43814
"1254",1062000,"Powiat m.Piotrków Trybunalski",2011,7144
"1255",1063000,"Powiat m.Skierniewice",2011,6186
"1256",1201000,"Powiat bocheński",2011,24496
"1257",1202000,"Powiat brzeski",2011,23024
"1258",1203000,"Powiat chrzanowski",2011,23442
"1259",1204000,"Powiat dąbrowski",2011,14489
"1260",1205000,"Powiat gorlicki",2011,23007
"1261",1206000,"Powiat krakowski",2011,68743
"1262",1207000,"Powiat limanowski",2011,28922
"1263",1208000,"Powiat miechowski",2011,13922
"1264",1209000,"Powiat myślenicki",2011,28608
"1265",1210000,"Powiat nowosądecki",2011,44605
"1266",1211000,"Powiat nowotarski",2011,41716
"1267",1212000,"Powiat olkuski",2011,22395
"1268",1213000,"Powiat oświęcimski",2011,26014
"1269",1214000,"Powiat proszowicki",2011,11034
"1270",1215000,"Powiat suski",2011,20639
"1271",1216000,"Powiat tarnowski",2011,49196
"1272",1217000,"Powiat tatrzański",2011,16520
"1273",1218000,"Powiat wadowicki",2011,33047
"1274",1219000,"Powiat wielicki",2011,30208
"1275",1261000,"Powiat m.Kraków",2011,45252
"1276",1262000,"Powiat m.Nowy Sącz",2011,11272
"1277",1263000,"Powiat m.Tarnów",2011,10644
"1278",1401000,"Powiat białobrzeski",2011,9870
"1279",1402000,"Powiat ciechanowski",2011,16913
"1280",1403000,"Powiat garwoliński",2011,27476
"1281",1404000,"Powiat gostyniński",2011,9705
"1282",1405000,"Powiat grodziski",2011,21279
"1283",1406000,"Powiat grójecki",2011,24320
"1284",1407000,"Powiat kozienicki",2011,15181
"1285",1408000,"Powiat legionowski",2011,20879
"1286",1409000,"Powiat lipski",2011,11648
"1287",1410000,"Powiat łosicki",2011,9288
"1288",1411000,"Powiat makowski",2011,11712
"1289",1412000,"Powiat miński",2011,37195
"1290",1413000,"Powiat mławski",2011,15520
"1291",1414000,"Powiat nowodworski",2011,16016
"1292",1415000,"Powiat ostrołęcki",2011,22297
"1293",1416000,"Powiat ostrowski",2011,18410
"1294",1417000,"Powiat otwocki",2011,28189
"1295",1418000,"Powiat piaseczyński",2011,40527
"1296",1419000,"Powiat płocki",2011,28861
"1297",1420000,"Powiat płoński",2011,20606
"1298",1421000,"Powiat pruszkowski",2011,30717
"1299",1422000,"Powiat przasnyski",2011,11074
"1300",1423000,"Powiat przysuski",2011,12752
"1301",1424000,"Powiat pułtuski",2011,12474
"1302",1425000,"Powiat radomski",2011,35499
"1303",1426000,"Powiat siedlecki",2011,24261
"1304",1427000,"Powiat sierpecki",2011,11086
"1305",1428000,"Powiat sochaczewski",2011,18309
"1306",1429000,"Powiat sokołowski",2011,15587
"1307",1430000,"Powiat szydłowiecki",2011,10367
"1308",1432000,"Powiat warszawski zachodni",2011,28507
"1309",1433000,"Powiat węgrowski",2011,19582
"1310",1434000,"Powiat wołomiński",2011,48461
"1311",1435000,"Powiat wyszkowski",2011,16127
"1312",1436000,"Powiat zwoleński",2011,10408
"1313",1437000,"Powiat żuromiński",2011,8864
"1314",1438000,"Powiat żyrardowski",2011,14239
"1315",1461000,"Powiat m.Ostrołęka",2011,5015
"1316",1462000,"Powiat m.Płock",2011,9280
"1317",1463000,"Powiat m.Radom",2011,20382
"1318",1464000,"Powiat m.Siedlce",2011,7456
"1319",1465000,"Powiat m. st. Warszawa",2011,88544
"1320",1601000,"Powiat brzeski",2011,12188
"1321",1602000,"Powiat głubczycki",2011,9080
"1322",1603000,"Powiat kędzierzyńsko-kozielski",2011,15059
"1323",1604000,"Powiat kluczborski",2011,10408
"1324",1605000,"Powiat krapkowicki",2011,11876
"1325",1606000,"Powiat namysłowski",2011,7885
"1326",1607000,"Powiat nyski",2011,21221
"1327",1608000,"Powiat oleski",2011,13922
"1328",1609000,"Powiat opolski",2011,31126
"1329",1610000,"Powiat prudnicki",2011,10720
"1330",1611000,"Powiat strzelecki",2011,14471
"1331",1661000,"Powiat m.Opole",2011,9876
"1332",1801000,"Powiat bieszczadzki",2011,3548
"1333",1802000,"Powiat brzozowski",2011,16375
"1334",1803000,"Powiat dębicki",2011,25420
"1335",1804000,"Powiat jarosławski",2011,24040
"1336",1805000,"Powiat jasielski",2011,24979
"1337",1806000,"Powiat kolbuszowski",2011,15130
"1338",1807000,"Powiat krośnieński",2011,27792
"1339",1808000,"Powiat leżajski",2011,15040
"1340",1809000,"Powiat lubaczowski",2011,12663
"1341",1810000,"Powiat łańcucki",2011,20236
"1342",1811000,"Powiat mielecki",2011,24423
"1343",1812000,"Powiat niżański",2011,16625
"1344",1813000,"Powiat przemyski",2011,17876
"1345",1814000,"Powiat przeworski",2011,19410
"1346",1815000,"Powiat ropczycko-sędziszowski",2011,16716
"1347",1816000,"Powiat rzeszowski",2011,43606
"1348",1817000,"Powiat sanocki",2011,17235
"1349",1818000,"Powiat stalowowolski",2011,16187
"1350",1819000,"Powiat strzyżowski",2011,15253
"1351",1820000,"Powiat tarnobrzeski",2011,10834
"1352",1821000,"Powiat leski",2011,5620
"1353",1861000,"Powiat m.Krosno",2011,6080
"1354",1862000,"Powiat m.Przemyśl",2011,5104
"1355",1863000,"Powiat m.Rzeszów",2011,17570
"1356",1864000,"Powiat m.Tarnobrzeg",2011,4118
"1357",2001000,"Powiat augustowski",2011,12259
"1358",2002000,"Powiat białostocki",2011,37396
"1359",2003000,"Powiat bielski",2011,17017
"1360",2004000,"Powiat grajewski",2011,8748
"1361",2005000,"Powiat hajnowski",2011,15769
"1362",2006000,"Powiat kolneński",2011,7701
"1363",2007000,"Powiat łomżyński",2011,13820
"1364",2008000,"Powiat moniecki",2011,10349
"1365",2009000,"Powiat sejneński",2011,5406
"1366",2010000,"Powiat siemiatycki",2011,14164
"1367",2011000,"Powiat sokólski",2011,19364
"1368",2012000,"Powiat suwalski",2011,9350
"1369",2013000,"Powiat wysokomazowiecki",2011,14664
"1370",2014000,"Powiat zambrowski",2011,7009
"1371",2061000,"Powiat m.Białystok",2011,20743
"1372",2062000,"Powiat m.Łomża",2011,4849
"1373",2063000,"Powiat m.Suwałki",2011,4955
"1374",2201000,"Powiat bytowski",2011,11829
"1375",2202000,"Powiat chojnicki",2011,15516
"1376",2203000,"Powiat człuchowski",2011,7668
"1377",2204000,"Powiat gdański",2011,17180
"1378",2205000,"Powiat kartuski",2011,25212
"1379",2206000,"Powiat kościerski",2011,12855
"1380",2207000,"Powiat kwidzyński",2011,10086
"1381",2208000,"Powiat lęborski",2011,8037
"1382",2209000,"Powiat malborski",2011,7002
"1383",2210000,"Powiat nowodworski",2011,6671
"1384",2211000,"Powiat pucki",2011,16518
"1385",2212000,"Powiat słupski",2011,14927
"1386",2213000,"Powiat starogardzki",2011,22005
"1387",2214000,"Powiat tczewski",2011,11835
"1388",2215000,"Powiat wejherowski",2011,31428
"1389",2216000,"Powiat sztumski",2011,5783
"1390",2261000,"Powiat m.Gdańsk",2011,27650
"1391",2262000,"Powiat m.Gdynia",2011,17482
"1392",2263000,"Powiat m.Słupsk",2011,5152
"1393",2264000,"Powiat m.Sopot",2011,2770
"1394",2401000,"Powiat będziński",2011,25213
"1395",2402000,"Powiat bielski",2011,36178
"1396",2403000,"Powiat cieszyński",2011,37476
"1397",2404000,"Powiat częstochowski",2011,40310
"1398",2405000,"Powiat gliwicki",2011,17224
"1399",2406000,"Powiat kłobucki",2011,23260
"1400",2407000,"Powiat lubliniecki",2011,16775
"1401",2408000,"Powiat mikołowski",2011,15574
"1402",2409000,"Powiat myszkowski",2011,19648
"1403",2410000,"Powiat pszczyński",2011,19990
"1404",2411000,"Powiat raciborski",2011,17994
"1405",2412000,"Powiat rybnicki",2011,14604
"1406",2413000,"Powiat tarnogórski",2011,23971
"1407",2414000,"Powiat bieruńsko-lędziński",2011,10636
"1408",2415000,"Powiat wodzisławski",2011,27945
"1409",2416000,"Powiat zawierciański",2011,27963
"1410",2417000,"Powiat żywiecki",2011,40326
"1411",2461000,"Powiat m.Bielsko-Biała",2011,20001
"1412",2462000,"Powiat m.Bytom",2011,8501
"1413",2463000,"Powiat m.Chorzów",2011,4393
"1414",2464000,"Powiat m.Częstochowa",2011,23917
"1415",2465000,"Powiat m.Dąbrowa Górnicza",2011,12348
"1416",2466000,"Powiat m.Gliwice",2011,13841
"1417",2467000,"Powiat m.Jastrzębie-Zdrój",2011,6546
"1418",2468000,"Powiat m.Jaworzno",2011,12171
"1419",2469000,"Powiat m.Katowice",2011,18463
"1420",2470000,"Powiat m.Mysłowice",2011,7464
"1421",2471000,"Powiat m.Piekary Śląskie",2011,5609
"1422",2472000,"Powiat m.Ruda Śląska",2011,7736
"1423",2473000,"Powiat m.Rybnik",2011,18751
"1424",2474000,"Powiat m.Siemianowice Śląskie",2011,2952
"1425",2475000,"Powiat m.Sosnowiec",2011,11875
"1426",2476000,"Powiat m.Świętochłowice",2011,2071
"1427",2477000,"Powiat m.Tychy",2011,7537
"1428",2478000,"Powiat m.Zabrze",2011,9899
"1429",2479000,"Powiat m.Żory",2011,5358
"1430",2601000,"Powiat buski",2011,19680
"1431",2602000,"Powiat jędrzejowski",2011,22660
"1432",2603000,"Powiat kazimierski",2011,9426
"1433",2604000,"Powiat kielecki",2011,51844
"1434",2605000,"Powiat konecki",2011,22012
"1435",2606000,"Powiat opatowski",2011,15112
"1436",2607000,"Powiat ostrowiecki",2011,20533
"1437",2608000,"Powiat pińczowski",2011,10674
"1438",2609000,"Powiat sandomierski",2011,18594
"1439",2610000,"Powiat skarżyski",2011,13544
"1440",2611000,"Powiat starachowicki",2011,17305
"1441",2612000,"Powiat staszowski",2011,17984
"1442",2613000,"Powiat włoszczowski",2011,13222
"1443",2661000,"Powiat m.Kielce",2011,15157
"1444",2801000,"Powiat bartoszycki",2011,7365
"1445",2802000,"Powiat braniewski",2011,5405
"1446",2803000,"Powiat działdowski",2011,11522
"1447",2804000,"Powiat elbląski",2011,9379
"1448",2805000,"Powiat ełcki",2011,8012
"1449",2806000,"Powiat giżycki",2011,7144
"1450",2807000,"Powiat iławski",2011,13020
"1451",2808000,"Powiat kętrzyński",2011,6807
"1452",2809000,"Powiat lidzbarski",2011,5546
"1453",2810000,"Powiat mrągowski",2011,7370
"1454",2811000,"Powiat nidzicki",2011,5211
"1455",2812000,"Powiat nowomiejski",2011,8917
"1456",2813000,"Powiat olecki",2011,4779
"1457",2814000,"Powiat olsztyński",2011,21384
"1458",2815000,"Powiat ostródzki",2011,13769
"1459",2816000,"Powiat piski",2011,7580
"1460",2817000,"Powiat szczycieński",2011,12294
"1461",2818000,"Powiat gołdapski",2011,3585
"1462",2819000,"Powiat węgorzewski",2011,3872
"1463",2861000,"Powiat m.Elbląg",2011,6555
"1464",2862000,"Powiat m.Olsztyn",2011,9486
"1465",3001000,"Powiat chodzieski",2011,7604
"1466",3002000,"Powiat czarnkowsko-trzcianecki",2011,15173
"1467",3003000,"Powiat gnieźnieński",2011,19145
"1468",3004000,"Powiat gostyński",2011,12956
"1469",3005000,"Powiat grodziski",2011,9384
"1470",3006000,"Powiat jarociński",2011,12595
"1471",3007000,"Powiat kaliski",2011,19619
"1472",3008000,"Powiat kępiński",2011,11162
"1473",3009000,"Powiat kolski",2011,18615
"1474",3010000,"Powiat koniński",2011,31015
"1475",3011000,"Powiat kościański",2011,13726
"1476",3012000,"Powiat krotoszyński",2011,13795
"1477",3013000,"Powiat leszczyński",2011,11143
"1478",3014000,"Powiat międzychodzki",2011,6216
"1479",3015000,"Powiat nowotomyski",2011,13665
"1480",3016000,"Powiat obornicki",2011,8726
"1481",3017000,"Powiat ostrowski",2011,29580
"1482",3018000,"Powiat ostrzeszowski",2011,12761
"1483",3019000,"Powiat pilski",2011,16601
"1484",3020000,"Powiat pleszewski",2011,11903
"1485",3021000,"Powiat poznański",2011,69805
"1486",3022000,"Powiat rawicki",2011,10447
"1487",3023000,"Powiat słupecki",2011,12579
"1488",3024000,"Powiat szamotulski",2011,16245
"1489",3025000,"Powiat średzki",2011,8942
"1490",3026000,"Powiat śremski",2011,7593
"1491",3027000,"Powiat turecki",2011,17019
"1492",3028000,"Powiat wągrowiecki",2011,11308
"1493",3029000,"Powiat wolsztyński",2011,10607
"1494",3030000,"Powiat wrzesiński",2011,13200
"1495",3031000,"Powiat złotowski",2011,10593
"1496",3061000,"Powiat m.Kalisz",2011,9284
"1497",3062000,"Powiat m.Konin",2011,6886
"1498",3063000,"Powiat m.Leszno",2011,7354
"1499",3064000,"Powiat m.Poznań",2011,40609
"1500",3201000,"Powiat białogardzki",2011,5620
"1501",3202000,"Powiat choszczeński",2011,7280
"1502",3203000,"Powiat drawski",2011,7898
"1503",3204000,"Powiat goleniowski",2011,11399
"1504",3205000,"Powiat gryficki",2011,8627
"1505",3206000,"Powiat gryfiński",2011,11056
"1506",3207000,"Powiat kamieński",2011,8269
"1507",3208000,"Powiat kołobrzeski",2011,8876
"1508",3209000,"Powiat koszaliński",2011,10886
"1509",3210000,"Powiat myśliborski",2011,8763
"1510",3211000,"Powiat policki",2011,9385
"1511",3212000,"Powiat pyrzycki",2011,5833
"1512",3213000,"Powiat sławieński",2011,9136
"1513",3214000,"Powiat stargardzki",2011,12595
"1514",3215000,"Powiat szczecinecki",2011,8653
"1515",3216000,"Powiat świdwiński",2011,5904
"1516",3217000,"Powiat wałecki",2011,6636
"1517",3218000,"Powiat łobeski",2011,5336
"1518",3261000,"Powiat m.Koszalin",2011,7659
"1519",3262000,"Powiat m.Szczecin",2011,25588
"1520",3263000,"Powiat m.Świnoujście",2011,2834
"1521",201000,"Powiat bolesławiecki",2012,13671
"1522",202000,"Powiat dzierżoniowski",2012,11525
"1523",203000,"Powiat głogowski",2012,8204
"1524",204000,"Powiat górowski",2012,6650
"1525",205000,"Powiat jaworski",2012,7127
"1526",206000,"Powiat jeleniogórski",2012,11183
"1527",207000,"Powiat kamiennogórski",2012,5491
"1528",208000,"Powiat kłodzki",2012,23950
"1529",209000,"Powiat legnicki",2012,9774
"1530",210000,"Powiat lubański",2012,8617
"1531",211000,"Powiat lubiński",2012,10157
"1532",212000,"Powiat lwówecki",2012,8924
"1533",213000,"Powiat milicki",2012,6588
"1534",214000,"Powiat oleśnicki",2012,15716
"1535",215000,"Powiat oławski",2012,9869
"1536",216000,"Powiat polkowicki",2012,8572
"1537",217000,"Powiat strzeliński",2012,7757
"1538",218000,"Powiat średzki",2012,10190
"1539",219000,"Powiat świdnicki",2012,16051
"1540",220000,"Powiat trzebnicki",2012,15832
"1541",221000,"Powiat wałbrzyski",2012,14770
"1542",222000,"Powiat wołowski",2012,7712
"1543",223000,"Powiat wrocławski",2012,28750
"1544",224000,"Powiat ząbkowicki",2012,11483
"1545",225000,"Powiat zgorzelecki",2012,13017
"1546",226000,"Powiat złotoryjski",2012,6726
"1547",261000,"Powiat m.Jelenia Góra",2012,7464
"1548",262000,"Powiat m.Legnica",2012,6589
"1549",264000,"Powiat m.Wrocław",2012,38278
"1550",265000,"Powiat m.Wałbrzych od 2013",2012,NA
"1551",401000,"Powiat aleksandrowski",2012,12256
"1552",402000,"Powiat brodnicki",2012,14615
"1553",403000,"Powiat bydgoski",2012,23481
"1554",404000,"Powiat chełmiński",2012,7632
"1555",405000,"Powiat golubsko-dobrzyński",2012,8411
"1556",406000,"Powiat grudziądzki",2012,7712
"1557",407000,"Powiat inowrocławski",2012,17916
"1558",408000,"Powiat lipnowski",2012,14135
"1559",409000,"Powiat mogileński",2012,8264
"1560",410000,"Powiat nakielski",2012,12542
"1561",411000,"Powiat radziejowski",2012,9553
"1562",412000,"Powiat rypiński",2012,8136
"1563",413000,"Powiat sępoleński",2012,6828
"1564",414000,"Powiat świecki",2012,16598
"1565",415000,"Powiat toruński",2012,19656
"1566",416000,"Powiat tucholski",2012,9837
"1567",417000,"Powiat wąbrzeski",2012,5888
"1568",418000,"Powiat włocławski",2012,20827
"1569",419000,"Powiat żniński",2012,10878
"1570",461000,"Powiat m.Bydgoszcz",2012,22870
"1571",462000,"Powiat m.Grudziądz",2012,5497
"1572",463000,"Powiat m.Toruń",2012,13581
"1573",464000,"Powiat m.Włocławek",2012,8220
"1574",601000,"Powiat bialski",2012,31833
"1575",602000,"Powiat biłgorajski",2012,24933
"1576",603000,"Powiat chełmski",2012,24404
"1577",604000,"Powiat hrubieszowski",2012,16135
"1578",605000,"Powiat janowski",2012,11482
"1579",606000,"Powiat krasnostawski",2012,19331
"1580",607000,"Powiat kraśnicki",2012,21019
"1581",608000,"Powiat lubartowski",2012,23340
"1582",609000,"Powiat lubelski",2012,41662
"1583",610000,"Powiat łęczyński",2012,11116
"1584",611000,"Powiat łukowski",2012,25137
"1585",612000,"Powiat opolski",2012,15180
"1586",613000,"Powiat parczewski",2012,9657
"1587",614000,"Powiat puławski",2012,23415
"1588",615000,"Powiat radzyński",2012,15555
"1589",616000,"Powiat rycki",2012,14220
"1590",617000,"Powiat świdnicki",2012,12470
"1591",618000,"Powiat tomaszowski",2012,22498
"1592",619000,"Powiat włodawski",2012,9472
"1593",620000,"Powiat zamojski",2012,33410
"1594",661000,"Powiat m.Biała Podlaska",2012,8160
"1595",662000,"Powiat m.Chełm",2012,6586
"1596",663000,"Powiat m.Lublin",2012,21961
"1597",664000,"Powiat m.Zamość",2012,6091
"1598",801000,"Powiat gorzowski",2012,13155
"1599",802000,"Powiat krośnieński",2012,9964
"1600",803000,"Powiat międzyrzecki",2012,8717
"1601",804000,"Powiat nowosolski",2012,12345
"1602",805000,"Powiat słubicki",2012,6970
"1603",806000,"Powiat strzelecko-drezdenecki",2012,8240
"1604",807000,"Powiat sulęciński",2012,6412
"1605",808000,"Powiat świebodziński",2012,8237
"1606",809000,"Powiat zielonogórski",2012,18238
"1607",810000,"Powiat żagański",2012,11329
"1608",811000,"Powiat żarski",2012,15064
"1609",812000,"Powiat wschowski",2012,6829
"1610",861000,"Powiat m.Gorzów Wielkopolski",2012,7333
"1611",862000,"Powiat m.Zielona Góra",2012,8269
"1612",1001000,"Powiat bełchatowski",2012,21474
"1613",1002000,"Powiat kutnowski",2012,16676
"1614",1003000,"Powiat łaski",2012,13009
"1615",1004000,"Powiat łęczycki",2012,10739
"1616",1005000,"Powiat łowicki",2012,19075
"1617",1006000,"Powiat łódzki wschodni",2012,18695
"1618",1007000,"Powiat opoczyński",2012,19759
"1619",1008000,"Powiat pabianicki",2012,19866
"1620",1009000,"Powiat pajęczański",2012,14311
"1621",1010000,"Powiat piotrkowski",2012,26727
"1622",1011000,"Powiat poddębicki",2012,12201
"1623",1012000,"Powiat radomszczański",2012,29597
"1624",1013000,"Powiat rawski",2012,11049
"1625",1014000,"Powiat sieradzki",2012,24679
"1626",1015000,"Powiat skierniewicki",2012,11535
"1627",1016000,"Powiat tomaszowski",2012,23914
"1628",1017000,"Powiat wieluński",2012,17819
"1629",1018000,"Powiat wieruszowski",2012,10855
"1630",1019000,"Powiat zduńskowolski",2012,12014
"1631",1020000,"Powiat zgierski",2012,31882
"1632",1021000,"Powiat brzeziński",2012,7751
