"","Kod","Nazwa","rok","Budynki_mieszkalne_w_gminie_ogolem"
"134",1219000,"Powiat wielicki",2008,27505
"135",1261000,"Powiat m.Kraków",2008,42841
"136",1262000,"Powiat m.Nowy Sącz",2008,10448
"137",1263000,"Powiat m.Tarnów",2008,10302
"138",1401000,"Powiat białobrzeski",2008,9633
"139",1402000,"Powiat ciechanowski",2008,16305
"140",1403000,"Powiat garwoliński",2008,26891
"141",1404000,"Powiat gostyniński",2008,9462
"142",1405000,"Powiat grodziski",2008,19919
"143",1406000,"Powiat grójecki",2008,23754
"144",1407000,"Powiat kozienicki",2008,14731
"145",1408000,"Powiat legionowski",2008,18217
"146",1409000,"Powiat lipski",2008,11568
"147",1410000,"Powiat łosicki",2008,9282
"148",1411000,"Powiat makowski",2008,11385
"149",1412000,"Powiat miński",2008,35272
"150",1413000,"Powiat mławski",2008,15315
"151",1414000,"Powiat nowodworski",2008,15350
"152",1415000,"Powiat ostrołęcki",2008,21698
"153",1416000,"Powiat ostrowski",2008,17781
"154",1417000,"Powiat otwocki",2008,26342
"155",1418000,"Powiat piaseczyński",2008,34441
"156",1419000,"Powiat płocki",2008,27121
"157",1420000,"Powiat płoński",2008,19569
"158",1421000,"Powiat pruszkowski",2008,28039
"159",1422000,"Powiat przasnyski",2008,10988
"160",1423000,"Powiat przysuski",2008,12513
"161",1424000,"Powiat pułtuski",2008,11401
"162",1425000,"Powiat radomski",2008,34053
"163",1426000,"Powiat siedlecki",2008,23656
"164",1427000,"Powiat sierpecki",2008,10976
"165",1428000,"Powiat sochaczewski",2008,17733
"166",1429000,"Powiat sokołowski",2008,15859
"167",1430000,"Powiat szydłowiecki",2008,10066
"168",1432000,"Powiat warszawski zachodni",2008,25700
"169",1433000,"Powiat węgrowski",2008,19039
"170",1434000,"Powiat wołomiński",2008,45647
"171",1435000,"Powiat wyszkowski",2008,15261
"172",1436000,"Powiat zwoleński",2008,10247
"173",1437000,"Powiat żuromiński",2008,8876
"174",1438000,"Powiat żyrardowski",2008,13854
"175",1461000,"Powiat m.Ostrołęka",2008,4799
"176",1462000,"Powiat m.Płock",2008,8575
"177",1463000,"Powiat m.Radom",2008,19428
"178",1464000,"Powiat m.Siedlce",2008,7171
"179",1465000,"Powiat m. st. Warszawa",2008,82207
"180",1601000,"Powiat brzeski",2008,11714
"181",1602000,"Powiat głubczycki",2008,9066
"182",1603000,"Powiat kędzierzyńsko-kozielski",2008,14782
"183",1604000,"Powiat kluczborski",2008,10237
"184",1605000,"Powiat krapkowicki",2008,11709
"185",1606000,"Powiat namysłowski",2008,7530
"186",1607000,"Powiat nyski",2008,20534
"187",1608000,"Powiat oleski",2008,14002
"188",1609000,"Powiat opolski",2008,30292
"189",1610000,"Powiat prudnicki",2008,10679
"190",1611000,"Powiat strzelecki",2008,14292
"191",1661000,"Powiat m.Opole",2008,9334
"192",1801000,"Powiat bieszczadzki",2008,3432
"193",1802000,"Powiat brzozowski",2008,16572
"194",1803000,"Powiat dębicki",2008,25458
"195",1804000,"Powiat jarosławski",2008,23806
"196",1805000,"Powiat jasielski",2008,24962
"197",1806000,"Powiat kolbuszowski",2008,15029
"198",1807000,"Powiat krośnieński",2008,27655
"199",1808000,"Powiat leżajski",2008,14877
"200",1809000,"Powiat lubaczowski",2008,12337
"201",1810000,"Powiat łańcucki",2008,19629
"202",1811000,"Powiat mielecki",2008,23483
"203",1812000,"Powiat niżański",2008,16881
"204",1813000,"Powiat przemyski",2008,17564
"205",1814000,"Powiat przeworski",2008,19576
"206",1815000,"Powiat ropczycko-sędziszowski",2008,16135
"207",1816000,"Powiat rzeszowski",2008,44454
"208",1817000,"Powiat sanocki",2008,16803
"209",1818000,"Powiat stalowowolski",2008,15869
"210",1819000,"Powiat strzyżowski",2008,15442
"211",1820000,"Powiat tarnobrzeski",2008,10646
"212",1821000,"Powiat leski",2008,5327
"213",1861000,"Powiat m.Krosno",2008,5893
"214",1862000,"Powiat m.Przemyśl",2008,4958
"215",1863000,"Powiat m.Rzeszów",2008,14154
"216",1864000,"Powiat m.Tarnobrzeg",2008,4017
"217",2001000,"Powiat augustowski",2008,12068
"218",2002000,"Powiat białostocki",2008,35824
"219",2003000,"Powiat bielski",2008,16834
"220",2004000,"Powiat grajewski",2008,8718
"221",2005000,"Powiat hajnowski",2008,15798
"222",2006000,"Powiat kolneński",2008,7794
"223",2007000,"Powiat łomżyński",2008,13806
"224",2008000,"Powiat moniecki",2008,10499
"225",2009000,"Powiat sejneński",2008,5280
"226",2010000,"Powiat siemiatycki",2008,14354
"227",2011000,"Powiat sokólski",2008,19329
"228",2012000,"Powiat suwalski",2008,9056
"229",2013000,"Powiat wysokomazowiecki",2008,14742
"230",2014000,"Powiat zambrowski",2008,6990
"231",2061000,"Powiat m.Białystok",2008,20020
"232",2062000,"Powiat m.Łomża",2008,4674
"233",2063000,"Powiat m.Suwałki",2008,4843
"234",2201000,"Powiat bytowski",2008,10960
"235",2202000,"Powiat chojnicki",2008,13898
"236",2203000,"Powiat człuchowski",2008,7199
"237",2204000,"Powiat gdański",2008,14367
"238",2205000,"Powiat kartuski",2008,21137
"239",2206000,"Powiat kościerski",2008,11794
"240",2207000,"Powiat kwidzyński",2008,9327
"241",2208000,"Powiat lęborski",2008,7178
"242",2209000,"Powiat malborski",2008,6588
"243",2210000,"Powiat nowodworski",2008,6183
"244",2211000,"Powiat pucki",2008,14017
"245",2212000,"Powiat słupski",2008,12893
"246",2213000,"Powiat starogardzki",2008,20229
"247",2214000,"Powiat tczewski",2008,11072
"248",2215000,"Powiat wejherowski",2008,26964
"249",2216000,"Powiat sztumski",2008,5466
"250",2261000,"Powiat m.Gdańsk",2008,26152
"251",2262000,"Powiat m.Gdynia",2008,16646
"252",2263000,"Powiat m.Słupsk",2008,4929
"253",2264000,"Powiat m.Sopot",2008,2698
"254",2401000,"Powiat będziński",2008,24407
"255",2402000,"Powiat bielski",2008,34140
"256",2403000,"Powiat cieszyński",2008,35974
"257",2404000,"Powiat częstochowski",2008,38404
"258",2405000,"Powiat gliwicki",2008,16362
"259",2406000,"Powiat kłobucki",2008,22393
"260",2407000,"Powiat lubliniecki",2008,15875
"261",2408000,"Powiat mikołowski",2008,14782
"262",2409000,"Powiat myszkowski",2008,18895
"263",2410000,"Powiat pszczyński",2008,18691
"264",2411000,"Powiat raciborski",2008,17666
"265",2412000,"Powiat rybnicki",2008,14097
"266",2413000,"Powiat tarnogórski",2008,22862
"267",2414000,"Powiat bieruńsko-lędziński",2008,10134
"268",2415000,"Powiat wodzisławski",2008,27471
"269",2416000,"Powiat zawierciański",2008,27395
"270",2417000,"Powiat żywiecki",2008,39027
"271",2461000,"Powiat m.Bielsko-Biała",2008,18899
"272",2462000,"Powiat m.Bytom",2008,8339
"273",2463000,"Powiat m.Chorzów",2008,4230
"274",2464000,"Powiat m.Częstochowa",2008,22821
"275",2465000,"Powiat m.Dąbrowa Górnicza",2008,12098
"276",2466000,"Powiat m.Gliwice",2008,12936
"277",2467000,"Powiat m.Jastrzębie-Zdrój",2008,6266
"278",2468000,"Powiat m.Jaworzno",2008,11668
"279",2469000,"Powiat m.Katowice",2008,17508
"280",2470000,"Powiat m.Mysłowice",2008,6913
"281",2471000,"Powiat m.Piekary Śląskie",2008,5528
"282",2472000,"Powiat m.Ruda Śląska",2008,7278
"283",2473000,"Powiat m.Rybnik",2008,18038
"284",2474000,"Powiat m.Siemianowice Śląskie",2008,2838
"285",2475000,"Powiat m.Sosnowiec",2008,11672
"286",2476000,"Powiat m.Świętochłowice",2008,2004
"287",2477000,"Powiat m.Tychy",2008,7016
"288",2478000,"Powiat m.Zabrze",2008,9664
"289",2479000,"Powiat m.Żory",2008,4997
"290",2601000,"Powiat buski",2008,19396
"291",2602000,"Powiat jędrzejowski",2008,22660
"292",2603000,"Powiat kazimierski",2008,9682
"293",2604000,"Powiat kielecki",2008,50122
"294",2605000,"Powiat konecki",2008,21405
"295",2606000,"Powiat opatowski",2008,15573
"296",2607000,"Powiat ostrowiecki",2008,20497
"297",2608000,"Powiat pińczowski",2008,10580
"298",2609000,"Powiat sandomierski",2008,18655
"299",2610000,"Powiat skarżyski",2008,13333
"300",2611000,"Powiat starachowicki",2008,16895
"301",2612000,"Powiat staszowski",2008,16977
"302",2613000,"Powiat włoszczowski",2008,12785
"303",2661000,"Powiat m.Kielce",2008,14854
"304",2801000,"Powiat bartoszycki",2008,7180
"305",2802000,"Powiat braniewski",2008,4960
"306",2803000,"Powiat działdowski",2008,11105
"307",2804000,"Powiat elbląski",2008,8516
"308",2805000,"Powiat ełcki",2008,7348
"309",2806000,"Powiat giżycki",2008,6825
"310",2807000,"Powiat iławski",2008,12178
"311",2808000,"Powiat kętrzyński",2008,6664
"312",2809000,"Powiat lidzbarski",2008,5226
"313",2810000,"Powiat mrągowski",2008,6986
"314",2811000,"Powiat nidzicki",2008,5023
"315",2812000,"Powiat nowomiejski",2008,8612
"316",2813000,"Powiat olecki",2008,4551
"317",2814000,"Powiat olsztyński",2008,19127
"318",2815000,"Powiat ostródzki",2008,12816
"319",2816000,"Powiat piski",2008,7218
"320",2817000,"Powiat szczycieński",2008,11445
"321",2818000,"Powiat gołdapski",2008,3439
"322",2819000,"Powiat węgorzewski",2008,3756
"323",2861000,"Powiat m.Elbląg",2008,6304
"324",2862000,"Powiat m.Olsztyn",2008,9155
"325",3001000,"Powiat chodzieski",2008,7339
"326",3002000,"Powiat czarnkowsko-trzcianecki",2008,14533
"327",3003000,"Powiat gnieźnieński",2008,17340
"328",3004000,"Powiat gostyński",2008,12570
"329",3005000,"Powiat grodziski",2008,9113
"330",3006000,"Powiat jarociński",2008,12338
"331",3007000,"Powiat kaliski",2008,19012
