"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_od_40_do_60_m2_szt"
"22932",1217000,"Powiat tatrzański",2015,8
"22933",1218000,"Powiat wadowicki",2015,52
"22934",1219000,"Powiat wielicki",2015,53
"22935",1261000,"Powiat m.Kraków",2015,1473
"22936",1262000,"Powiat m.Nowy Sącz",2015,124
"22937",1263000,"Powiat m.Tarnów",2015,134
"22938",1401000,"Powiat białobrzeski",2015,9
"22939",1402000,"Powiat ciechanowski",2015,136
"22940",1403000,"Powiat garwoliński",2015,3
"22941",1404000,"Powiat gostyniński",2015,12
"22942",1405000,"Powiat grodziski",2015,38
"22943",1406000,"Powiat grójecki",2015,6
"22944",1407000,"Powiat kozienicki",2015,49
"22945",1408000,"Powiat legionowski",2015,85
"22946",1409000,"Powiat lipski",2015,0
"22947",1410000,"Powiat łosicki",2015,27
"22948",1411000,"Powiat makowski",2015,0
"22949",1412000,"Powiat miński",2015,38
"22950",1413000,"Powiat mławski",2015,47
"22951",1414000,"Powiat nowodworski",2015,81
"22952",1415000,"Powiat ostrołęcki",2015,0
"22953",1416000,"Powiat ostrowski",2015,27
"22954",1417000,"Powiat otwocki",2015,71
"22955",1418000,"Powiat piaseczyński",2015,222
"22956",1419000,"Powiat płocki",2015,8
"22957",1420000,"Powiat płoński",2015,37
"22958",1421000,"Powiat pruszkowski",2015,147
"22959",1422000,"Powiat przasnyski",2015,19
"22960",1423000,"Powiat przysuski",2015,4
"22961",1424000,"Powiat pułtuski",2015,13
"22962",1425000,"Powiat radomski",2015,30
"22963",1426000,"Powiat siedlecki",2015,3
"22964",1427000,"Powiat sierpecki",2015,31
"22965",1428000,"Powiat sochaczewski",2015,41
"22966",1429000,"Powiat sokołowski",2015,42
"22967",1430000,"Powiat szydłowiecki",2015,9
"22968",1432000,"Powiat warszawski zachodni",2015,85
"22969",1433000,"Powiat węgrowski",2015,8
"22970",1434000,"Powiat wołomiński",2015,219
"22971",1435000,"Powiat wyszkowski",2015,31
"22972",1436000,"Powiat zwoleński",2015,0
"22973",1437000,"Powiat żuromiński",2015,16
"22974",1438000,"Powiat żyrardowski",2015,41
"22975",1461000,"Powiat m.Ostrołęka",2015,57
"22976",1462000,"Powiat m.Płock",2015,171
"22977",1463000,"Powiat m.Radom",2015,113
"22978",1464000,"Powiat m.Siedlce",2015,185
"22979",1465000,"Powiat m. st. Warszawa",2015,4683
"22980",1601000,"Powiat brzeski",2015,135
"22981",1602000,"Powiat głubczycki",2015,45
"22982",1603000,"Powiat kędzierzyńsko-kozielski",2015,112
"22983",1604000,"Powiat kluczborski",2015,75
"22984",1605000,"Powiat krapkowicki",2015,65
"22985",1606000,"Powiat namysłowski",2015,70
"22986",1607000,"Powiat nyski",2015,140
"22987",1608000,"Powiat oleski",2015,22
"22988",1609000,"Powiat opolski",2015,34
"22989",1610000,"Powiat prudnicki",2015,38
"22990",1611000,"Powiat strzelecki",2015,42
"22991",1661000,"Powiat m.Opole",2015,231
"22992",1801000,"Powiat bieszczadzki",2015,15
"22993",1802000,"Powiat brzozowski",2015,7
"22994",1803000,"Powiat dębicki",2015,38
"22995",1804000,"Powiat jarosławski",2015,53
"22996",1805000,"Powiat jasielski",2015,23
"22997",1806000,"Powiat kolbuszowski",2015,0
"22998",1807000,"Powiat krośnieński",2015,13
"22999",1808000,"Powiat leżajski",2015,22
"23000",1809000,"Powiat lubaczowski",2015,12
"23001",1810000,"Powiat łańcucki",2015,16
"23002",1811000,"Powiat mielecki",2015,52
"23003",1812000,"Powiat niżański",2015,10
"23004",1813000,"Powiat przemyski",2015,19
"23005",1814000,"Powiat przeworski",2015,13
"23006",1815000,"Powiat ropczycko-sędziszowski",2015,21
"23007",1816000,"Powiat rzeszowski",2015,15
"23008",1817000,"Powiat sanocki",2015,22
"23009",1818000,"Powiat stalowowolski",2015,123
"23010",1819000,"Powiat strzyżowski",2015,6
"23011",1820000,"Powiat tarnobrzeski",2015,25
"23012",1821000,"Powiat leski",2015,9
"23013",1861000,"Powiat m.Krosno",2015,45
"23014",1862000,"Powiat m.Przemyśl",2015,66
"23015",1863000,"Powiat m.Rzeszów",2015,336
"23016",1864000,"Powiat m.Tarnobrzeg",2015,35
"23017",2001000,"Powiat augustowski",2015,63
"23018",2002000,"Powiat białostocki",2015,61
"23019",2003000,"Powiat bielski",2015,0
"23020",2004000,"Powiat grajewski",2015,21
"23021",2005000,"Powiat hajnowski",2015,28
"23022",2006000,"Powiat kolneński",2015,11
"23023",2007000,"Powiat łomżyński",2015,0
"23024",2008000,"Powiat moniecki",2015,3
"23025",2009000,"Powiat sejneński",2015,0
"23026",2010000,"Powiat siemiatycki",2015,4
"23027",2011000,"Powiat sokólski",2015,11
"23028",2012000,"Powiat suwalski",2015,10
"23029",2013000,"Powiat wysokomazowiecki",2015,3
"23030",2014000,"Powiat zambrowski",2015,36
"23031",2061000,"Powiat m.Białystok",2015,552
"23032",2062000,"Powiat m.Łomża",2015,61
"23033",2063000,"Powiat m.Suwałki",2015,73
"23034",2201000,"Powiat bytowski",2015,94
"23035",2202000,"Powiat chojnicki",2015,59
"23036",2203000,"Powiat człuchowski",2015,55
