"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_niepelnosprawnosc"
"9630",1215000,"Powiat suski",2014,958
"9631",1216000,"Powiat tarnowski",2014,1623
"9632",1217000,"Powiat tatrzański",2014,549
"9633",1218000,"Powiat wadowicki",2014,1232
"9634",1219000,"Powiat wielicki",2014,967
"9635",1261000,"Powiat m.Kraków",2014,7573
"9636",1262000,"Powiat m.Nowy Sącz",2014,1169
"9637",1263000,"Powiat m.Tarnów",2014,1411
"9638",1401000,"Powiat białobrzeski",2014,279
"9639",1402000,"Powiat ciechanowski",2014,698
"9640",1403000,"Powiat garwoliński",2014,615
"9641",1404000,"Powiat gostyniński",2014,490
"9642",1405000,"Powiat grodziski",2014,1076
"9643",1406000,"Powiat grójecki",2014,661
"9644",1407000,"Powiat kozienicki",2014,530
"9645",1408000,"Powiat legionowski",2014,927
"9646",1409000,"Powiat lipski",2014,377
"9647",1410000,"Powiat łosicki",2014,292
"9648",1411000,"Powiat makowski",2014,701
"9649",1412000,"Powiat miński",2014,854
"9650",1413000,"Powiat mławski",2014,566
"9651",1414000,"Powiat nowodworski",2014,895
"9652",1415000,"Powiat ostrołęcki",2014,674
"9653",1416000,"Powiat ostrowski",2014,970
"9654",1417000,"Powiat otwocki",2014,961
"9655",1418000,"Powiat piaseczyński",2014,715
"9656",1419000,"Powiat płocki",2014,1010
"9657",1420000,"Powiat płoński",2014,718
"9658",1421000,"Powiat pruszkowski",2014,1124
"9659",1422000,"Powiat przasnyski",2014,592
"9660",1423000,"Powiat przysuski",2014,356
"9661",1424000,"Powiat pułtuski",2014,477
"9662",1425000,"Powiat radomski",2014,1330
"9663",1426000,"Powiat siedlecki",2014,740
"9664",1427000,"Powiat sierpecki",2014,591
"9665",1428000,"Powiat sochaczewski",2014,761
"9666",1429000,"Powiat sokołowski",2014,469
"9667",1430000,"Powiat szydłowiecki",2014,518
"9668",1432000,"Powiat warszawski zachodni",2014,523
"9669",1433000,"Powiat węgrowski",2014,715
"9670",1434000,"Powiat wołomiński",2014,1762
"9671",1435000,"Powiat wyszkowski",2014,842
"9672",1436000,"Powiat zwoleński",2014,231
"9673",1437000,"Powiat żuromiński",2014,212
"9674",1438000,"Powiat żyrardowski",2014,713
"9675",1461000,"Powiat m.Ostrołęka",2014,745
"9676",1462000,"Powiat m.Płock",2014,1617
"9677",1463000,"Powiat m.Radom",2014,2817
"9678",1464000,"Powiat m.Siedlce",2014,897
"9679",1465000,"Powiat m. st. Warszawa",2014,13912
"9680",1601000,"Powiat brzeski",2014,975
"9681",1602000,"Powiat głubczycki",2014,516
"9682",1603000,"Powiat kędzierzyńsko-kozielski",2014,931
"9683",1604000,"Powiat kluczborski",2014,599
"9684",1605000,"Powiat krapkowicki",2014,555
"9685",1606000,"Powiat namysłowski",2014,415
"9686",1607000,"Powiat nyski",2014,1359
"9687",1608000,"Powiat oleski",2014,504
"9688",1609000,"Powiat opolski",2014,646
"9689",1610000,"Powiat prudnicki",2014,232
"9690",1611000,"Powiat strzelecki",2014,741
"9691",1661000,"Powiat m.Opole",2014,729
"9692",1801000,"Powiat bieszczadzki",2014,273
"9693",1802000,"Powiat brzozowski",2014,641
"9694",1803000,"Powiat dębicki",2014,1429
"9695",1804000,"Powiat jarosławski",2014,1212
"9696",1805000,"Powiat jasielski",2014,1783
"9697",1806000,"Powiat kolbuszowski",2014,888
"9698",1807000,"Powiat krośnieński",2014,1231
"9699",1808000,"Powiat leżajski",2014,576
"9700",1809000,"Powiat lubaczowski",2014,531
"9701",1810000,"Powiat łańcucki",2014,754
"9702",1811000,"Powiat mielecki",2014,1174
"9703",1812000,"Powiat niżański",2014,809
"9704",1813000,"Powiat przemyski",2014,954
"9705",1814000,"Powiat przeworski",2014,648
"9706",1815000,"Powiat ropczycko-sędziszowski",2014,670
"9707",1816000,"Powiat rzeszowski",2014,1626
"9708",1817000,"Powiat sanocki",2014,1073
"9709",1818000,"Powiat stalowowolski",2014,1409
"9710",1819000,"Powiat strzyżowski",2014,614
"9711",1820000,"Powiat tarnobrzeski",2014,743
"9712",1821000,"Powiat leski",2014,316
"9713",1861000,"Powiat m.Krosno",2014,536
"9714",1862000,"Powiat m.Przemyśl",2014,715
"9715",1863000,"Powiat m.Rzeszów",2014,1634
"9716",1864000,"Powiat m.Tarnobrzeg",2014,495
"9717",2001000,"Powiat augustowski",2014,417
"9718",2002000,"Powiat białostocki",2014,1568
"9719",2003000,"Powiat bielski",2014,862
"9720",2004000,"Powiat grajewski",2014,465
"9721",2005000,"Powiat hajnowski",2014,662
"9722",2006000,"Powiat kolneński",2014,269
"9723",2007000,"Powiat łomżyński",2014,378
"9724",2008000,"Powiat moniecki",2014,449
"9725",2009000,"Powiat sejneński",2014,192
"9726",2010000,"Powiat siemiatycki",2014,505
"9727",2011000,"Powiat sokólski",2014,753
"9728",2012000,"Powiat suwalski",2014,415
"9729",2013000,"Powiat wysokomazowiecki",2014,344
"9730",2014000,"Powiat zambrowski",2014,326
"9731",2061000,"Powiat m.Białystok",2014,3261
"9732",2062000,"Powiat m.Łomża",2014,475
"9733",2063000,"Powiat m.Suwałki",2014,1362
"9734",2201000,"Powiat bytowski",2014,1300
"9735",2202000,"Powiat chojnicki",2014,1570
"9736",2203000,"Powiat człuchowski",2014,1151
"9737",2204000,"Powiat gdański",2014,1131
"9738",2205000,"Powiat kartuski",2014,1527
"9739",2206000,"Powiat kościerski",2014,1179
"9740",2207000,"Powiat kwidzyński",2014,1583
"9741",2208000,"Powiat lęborski",2014,1646
"9742",2209000,"Powiat malborski",2014,1276
"9743",2210000,"Powiat nowodworski",2014,550
"9744",2211000,"Powiat pucki",2014,1023
"9745",2212000,"Powiat słupski",2014,2118
"9746",2213000,"Powiat starogardzki",2014,2006
"9747",2214000,"Powiat tczewski",2014,1779
"9748",2215000,"Powiat wejherowski",2014,2962
"9749",2216000,"Powiat sztumski",2014,751
"9750",2261000,"Powiat m.Gdańsk",2014,4007
"9751",2262000,"Powiat m.Gdynia",2014,2576
