"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_niepelnosprawnosc"
"10057",1463000,"Powiat m.Radom",2015,2750
"10058",1464000,"Powiat m.Siedlce",2015,872
"10059",1465000,"Powiat m. st. Warszawa",2015,13555
"10060",1601000,"Powiat brzeski",2015,981
"10061",1602000,"Powiat głubczycki",2015,520
"10062",1603000,"Powiat kędzierzyńsko-kozielski",2015,909
"10063",1604000,"Powiat kluczborski",2015,588
"10064",1605000,"Powiat krapkowicki",2015,543
"10065",1606000,"Powiat namysłowski",2015,419
"10066",1607000,"Powiat nyski",2015,1385
"10067",1608000,"Powiat oleski",2015,524
"10068",1609000,"Powiat opolski",2015,644
"10069",1610000,"Powiat prudnicki",2015,260
"10070",1611000,"Powiat strzelecki",2015,687
"10071",1661000,"Powiat m.Opole",2015,769
"10072",1801000,"Powiat bieszczadzki",2015,264
"10073",1802000,"Powiat brzozowski",2015,615
"10074",1803000,"Powiat dębicki",2015,1481
"10075",1804000,"Powiat jarosławski",2015,1225
"10076",1805000,"Powiat jasielski",2015,1776
"10077",1806000,"Powiat kolbuszowski",2015,901
"10078",1807000,"Powiat krośnieński",2015,1214
"10079",1808000,"Powiat leżajski",2015,640
"10080",1809000,"Powiat lubaczowski",2015,610
"10081",1810000,"Powiat łańcucki",2015,768
"10082",1811000,"Powiat mielecki",2015,1135
"10083",1812000,"Powiat niżański",2015,813
"10084",1813000,"Powiat przemyski",2015,959
"10085",1814000,"Powiat przeworski",2015,676
"10086",1815000,"Powiat ropczycko-sędziszowski",2015,685
"10087",1816000,"Powiat rzeszowski",2015,1545
"10088",1817000,"Powiat sanocki",2015,1063
"10089",1818000,"Powiat stalowowolski",2015,1336
"10090",1819000,"Powiat strzyżowski",2015,607
"10091",1820000,"Powiat tarnobrzeski",2015,675
"10092",1821000,"Powiat leski",2015,297
"10093",1861000,"Powiat m.Krosno",2015,535
"10094",1862000,"Powiat m.Przemyśl",2015,719
"10095",1863000,"Powiat m.Rzeszów",2015,1540
"10096",1864000,"Powiat m.Tarnobrzeg",2015,473
"10097",2001000,"Powiat augustowski",2015,430
"10098",2002000,"Powiat białostocki",2015,1556
"10099",2003000,"Powiat bielski",2015,840
"10100",2004000,"Powiat grajewski",2015,467
"10101",2005000,"Powiat hajnowski",2015,638
"10102",2006000,"Powiat kolneński",2015,260
"10103",2007000,"Powiat łomżyński",2015,380
"10104",2008000,"Powiat moniecki",2015,417
"10105",2009000,"Powiat sejneński",2015,184
"10106",2010000,"Powiat siemiatycki",2015,503
"10107",2011000,"Powiat sokólski",2015,704
"10108",2012000,"Powiat suwalski",2015,383
"10109",2013000,"Powiat wysokomazowiecki",2015,330
"10110",2014000,"Powiat zambrowski",2015,352
"10111",2061000,"Powiat m.Białystok",2015,3239
"10112",2062000,"Powiat m.Łomża",2015,504
"10113",2063000,"Powiat m.Suwałki",2015,1223
"10114",2201000,"Powiat bytowski",2015,1283
"10115",2202000,"Powiat chojnicki",2015,1582
"10116",2203000,"Powiat człuchowski",2015,1090
"10117",2204000,"Powiat gdański",2015,1125
"10118",2205000,"Powiat kartuski",2015,1663
"10119",2206000,"Powiat kościerski",2015,1172
"10120",2207000,"Powiat kwidzyński",2015,1503
"10121",2208000,"Powiat lęborski",2015,1618
"10122",2209000,"Powiat malborski",2015,1202
"10123",2210000,"Powiat nowodworski",2015,547
"10124",2211000,"Powiat pucki",2015,984
"10125",2212000,"Powiat słupski",2015,2108
"10126",2213000,"Powiat starogardzki",2015,1906
"10127",2214000,"Powiat tczewski",2015,1810
"10128",2215000,"Powiat wejherowski",2015,3010
"10129",2216000,"Powiat sztumski",2015,774
"10130",2261000,"Powiat m.Gdańsk",2015,3865
"10131",2262000,"Powiat m.Gdynia",2015,2558
"10132",2263000,"Powiat m.Słupsk",2015,2163
"10133",2264000,"Powiat m.Sopot",2015,610
"10134",2401000,"Powiat będziński",2015,1300
"10135",2402000,"Powiat bielski",2015,1027
"10136",2403000,"Powiat cieszyński",2015,1540
"10137",2404000,"Powiat częstochowski",2015,1043
"10138",2405000,"Powiat gliwicki",2015,673
"10139",2406000,"Powiat kłobucki",2015,653
"10140",2407000,"Powiat lubliniecki",2015,567
"10141",2408000,"Powiat mikołowski",2015,507
"10142",2409000,"Powiat myszkowski",2015,776
"10143",2410000,"Powiat pszczyński",2015,585
"10144",2411000,"Powiat raciborski",2015,679
"10145",2412000,"Powiat rybnicki",2015,310
"10146",2413000,"Powiat tarnogórski",2015,982
"10147",2414000,"Powiat bieruńsko-lędziński",2015,317
"10148",2415000,"Powiat wodzisławski",2015,754
"10149",2416000,"Powiat zawierciański",2015,1240
"10150",2417000,"Powiat żywiecki",2015,1086
"10151",2461000,"Powiat m.Bielsko-Biała",2015,1351
"10152",2462000,"Powiat m.Bytom",2015,2047
"10153",2463000,"Powiat m.Chorzów",2015,1333
"10154",2464000,"Powiat m.Częstochowa",2015,2797
"10155",2465000,"Powiat m.Dąbrowa Górnicza",2015,756
"10156",2466000,"Powiat m.Gliwice",2015,1416
"10157",2467000,"Powiat m.Jastrzębie-Zdrój",2015,454
"10158",2468000,"Powiat m.Jaworzno",2015,607
"10159",2469000,"Powiat m.Katowice",2015,2576
"10160",2470000,"Powiat m.Mysłowice",2015,628
"10161",2471000,"Powiat m.Piekary Śląskie",2015,422
"10162",2472000,"Powiat m.Ruda Śląska",2015,1537
"10163",2473000,"Powiat m.Rybnik",2015,1013
"10164",2474000,"Powiat m.Siemianowice Śląskie",2015,958
"10165",2475000,"Powiat m.Sosnowiec",2015,1935
"10166",2476000,"Powiat m.Świętochłowice",2015,521
"10167",2477000,"Powiat m.Tychy",2015,968
"10168",2478000,"Powiat m.Zabrze",2015,1423
"10169",2479000,"Powiat m.Żory",2015,256
"10170",2601000,"Powiat buski",2015,746
"10171",2602000,"Powiat jędrzejowski",2015,878
"10172",2603000,"Powiat kazimierski",2015,258
"10173",2604000,"Powiat kielecki",2015,2564
"10174",2605000,"Powiat konecki",2015,1335
"10175",2606000,"Powiat opatowski",2015,621
"10176",2607000,"Powiat ostrowiecki",2015,1693
"10177",2608000,"Powiat pińczowski",2015,409
"10178",2609000,"Powiat sandomierski",2015,927
"10179",2610000,"Powiat skarżyski",2015,697
"10180",2611000,"Powiat starachowicki",2015,1380
"10181",2612000,"Powiat staszowski",2015,1014
"10182",2613000,"Powiat włoszczowski",2015,512
"10183",2661000,"Powiat m.Kielce",2015,3441
"10184",2801000,"Powiat bartoszycki",2015,1350
"10185",2802000,"Powiat braniewski",2015,766
"10186",2803000,"Powiat działdowski",2015,877
"10187",2804000,"Powiat elbląski",2015,1401
"10188",2805000,"Powiat ełcki",2015,1328
"10189",2806000,"Powiat giżycki",2015,748
"10190",2807000,"Powiat iławski",2015,1792
"10191",2808000,"Powiat kętrzyński",2015,1310
"10192",2809000,"Powiat lidzbarski",2015,744
"10193",2810000,"Powiat mrągowski",2015,902
"10194",2811000,"Powiat nidzicki",2015,648
"10195",2812000,"Powiat nowomiejski",2015,973
"10196",2813000,"Powiat olecki",2015,219
"10197",2814000,"Powiat olsztyński",2015,1652
"10198",2815000,"Powiat ostródzki",2015,1673
"10199",2816000,"Powiat piski",2015,593
"10200",2817000,"Powiat szczycieński",2015,1384
"10201",2818000,"Powiat gołdapski",2015,295
"10202",2819000,"Powiat węgorzewski",2015,295
"10203",2861000,"Powiat m.Elbląg",2015,2385
"10204",2862000,"Powiat m.Olsztyn",2015,2308
"10205",3001000,"Powiat chodzieski",2015,499
"10206",3002000,"Powiat czarnkowsko-trzcianecki",2015,976
"10207",3003000,"Powiat gnieźnieński",2015,1437
"10208",3004000,"Powiat gostyński",2015,645
"10209",3005000,"Powiat grodziski",2015,468
"10210",3006000,"Powiat jarociński",2015,753
"10211",3007000,"Powiat kaliski",2015,709
"10212",3008000,"Powiat kępiński",2015,515
"10213",3009000,"Powiat kolski",2015,870
"10214",3010000,"Powiat koniński",2015,1197
"10215",3011000,"Powiat kościański",2015,890
"10216",3012000,"Powiat krotoszyński",2015,501
"10217",3013000,"Powiat leszczyński",2015,489
"10218",3014000,"Powiat międzychodzki",2015,562
"10219",3015000,"Powiat nowotomyski",2015,645
"10220",3016000,"Powiat obornicki",2015,665
"10221",3017000,"Powiat ostrowski",2015,1502
"10222",3018000,"Powiat ostrzeszowski",2015,570
"10223",3019000,"Powiat pilski",2015,1538
"10224",3020000,"Powiat pleszewski",2015,912
"10225",3021000,"Powiat poznański",2015,1777
"10226",3022000,"Powiat rawicki",2015,559
"10227",3023000,"Powiat słupecki",2015,506
"10228",3024000,"Powiat szamotulski",2015,791
"10229",3025000,"Powiat średzki",2015,481
"10230",3026000,"Powiat śremski",2015,708
"10231",3027000,"Powiat turecki",2015,839
"10232",3028000,"Powiat wągrowiecki",2015,875
"10233",3029000,"Powiat wolsztyński",2015,432
"10234",3030000,"Powiat wrzesiński",2015,938
"10235",3031000,"Powiat złotowski",2015,964
"10236",3061000,"Powiat m.Kalisz",2015,1354
"10237",3062000,"Powiat m.Konin",2015,638
"10238",3063000,"Powiat m.Leszno",2015,631
"10239",3064000,"Powiat m.Poznań",2015,3926
"10240",3201000,"Powiat białogardzki",2015,393
"10241",3202000,"Powiat choszczeński",2015,756
"10242",3203000,"Powiat drawski",2015,562
"10243",3204000,"Powiat goleniowski",2015,1061
"10244",3205000,"Powiat gryficki",2015,976
"10245",3206000,"Powiat gryfiński",2015,1183
"10246",3207000,"Powiat kamieński",2015,635
"10247",3208000,"Powiat kołobrzeski",2015,776
"10248",3209000,"Powiat koszaliński",2015,647
"10249",3210000,"Powiat myśliborski",2015,887
"10250",3211000,"Powiat policki",2015,722
"10251",3212000,"Powiat pyrzycki",2015,528
"10252",3213000,"Powiat sławieński",2015,794
"10253",3214000,"Powiat stargardzki",2015,1611
"10254",3215000,"Powiat szczecinecki",2015,1335
"10255",3216000,"Powiat świdwiński",2015,666
"10256",3217000,"Powiat wałecki",2015,572
"10257",3218000,"Powiat łobeski",2015,422
"10258",3261000,"Powiat m.Koszalin",2015,1167
"10259",3262000,"Powiat m.Szczecin",2015,3308
"10260",3263000,"Powiat m.Świnoujście",2015,404
"10261",201000,"Powiat bolesławiecki",2016,723
"10262",202000,"Powiat dzierżoniowski",2016,1012
"10263",203000,"Powiat głogowski",2016,680
"10264",204000,"Powiat górowski",2016,650
"10265",205000,"Powiat jaworski",2016,525
"10266",206000,"Powiat jeleniogórski",2016,653
"10267",207000,"Powiat kamiennogórski",2016,427
"10268",208000,"Powiat kłodzki",2016,1967
"10269",209000,"Powiat legnicki",2016,646
"10270",210000,"Powiat lubański",2016,533
"10271",211000,"Powiat lubiński",2016,840
"10272",212000,"Powiat lwówecki",2016,601
"10273",213000,"Powiat milicki",2016,405
"10274",214000,"Powiat oleśnicki",2016,893
"10275",215000,"Powiat oławski",2016,516
"10276",216000,"Powiat polkowicki",2016,617
"10277",217000,"Powiat strzeliński",2016,508
"10278",218000,"Powiat średzki",2016,383
"10279",219000,"Powiat świdnicki",2016,1586
"10280",220000,"Powiat trzebnicki",2016,573
"10281",221000,"Powiat wałbrzyski",2016,664
"10282",222000,"Powiat wołowski",2016,498
"10283",223000,"Powiat wrocławski",2016,639
"10284",224000,"Powiat ząbkowicki",2016,812
"10285",225000,"Powiat zgorzelecki",2016,924
"10286",226000,"Powiat złotoryjski",2016,651
"10287",261000,"Powiat m.Jelenia Góra",2016,968
"10288",262000,"Powiat m.Legnica",2016,1142
"10289",264000,"Powiat m.Wrocław",2016,2985
"10290",265000,"Powiat m.Wałbrzych od 2013",2016,2019
"10291",401000,"Powiat aleksandrowski",2016,702
"10292",402000,"Powiat brodnicki",2016,871
"10293",403000,"Powiat bydgoski",2016,1166
"10294",404000,"Powiat chełmiński",2016,660
"10295",405000,"Powiat golubsko-dobrzyński",2016,536
"10296",406000,"Powiat grudziądzki",2016,395
"10297",407000,"Powiat inowrocławski",2016,2436
"10298",408000,"Powiat lipnowski",2016,1064
"10299",409000,"Powiat mogileński",2016,496
"10300",410000,"Powiat nakielski",2016,1206
"10301",411000,"Powiat radziejowski",2016,613
"10302",412000,"Powiat rypiński",2016,635
"10303",413000,"Powiat sępoleński",2016,595
"10304",414000,"Powiat świecki",2016,1795
"10305",415000,"Powiat toruński",2016,954
"10306",416000,"Powiat tucholski",2016,759
"10307",417000,"Powiat wąbrzeski",2016,488
"10308",418000,"Powiat włocławski",2016,934
"10309",419000,"Powiat żniński",2016,860
"10310",461000,"Powiat m.Bydgoszcz",2016,3371
"10311",462000,"Powiat m.Grudziądz",2016,1512
"10312",463000,"Powiat m.Toruń",2016,1628
"10313",464000,"Powiat m.Włocławek",2016,1473
"10314",601000,"Powiat bialski",2016,1075
"10315",602000,"Powiat biłgorajski",2016,1039
"10316",603000,"Powiat chełmski",2016,954
"10317",604000,"Powiat hrubieszowski",2016,619
"10318",605000,"Powiat janowski",2016,487
"10319",606000,"Powiat krasnostawski",2016,810
"10320",607000,"Powiat kraśnicki",2016,1082
"10321",608000,"Powiat lubartowski",2016,860
"10322",609000,"Powiat lubelski",2016,1294
"10323",610000,"Powiat łęczyński",2016,494
"10324",611000,"Powiat łukowski",2016,896
"10325",612000,"Powiat opolski",2016,560
"10326",613000,"Powiat parczewski",2016,506
"10327",614000,"Powiat puławski",2016,1319
"10328",615000,"Powiat radzyński",2016,546
"10329",616000,"Powiat rycki",2016,624
"10330",617000,"Powiat świdnicki",2016,723
"10331",618000,"Powiat tomaszowski",2016,837
"10332",619000,"Powiat włodawski",2016,419
"10333",620000,"Powiat zamojski",2016,872
"10334",661000,"Powiat m.Biała Podlaska",2016,425
"10335",662000,"Powiat m.Chełm",2016,930
"10336",663000,"Powiat m.Lublin",2016,4518
"10337",664000,"Powiat m.Zamość",2016,811
"10338",801000,"Powiat gorzowski",2016,879
"10339",802000,"Powiat krośnieński",2016,868
"10340",803000,"Powiat międzyrzecki",2016,875
"10341",804000,"Powiat nowosolski",2016,1231
"10342",805000,"Powiat słubicki",2016,553
"10343",806000,"Powiat strzelecko-drezdenecki",2016,1134
"10344",807000,"Powiat sulęciński",2016,599
"10345",808000,"Powiat świebodziński",2016,694
"10346",809000,"Powiat zielonogórski",2016,1084
"10347",810000,"Powiat żagański",2016,1510
"10348",811000,"Powiat żarski",2016,2011
"10349",812000,"Powiat wschowski",2016,561
"10350",861000,"Powiat m.Gorzów Wielkopolski",2016,1677
"10351",862000,"Powiat m.Zielona Góra",2016,1613
"10352",1001000,"Powiat bełchatowski",2016,1446
"10353",1002000,"Powiat kutnowski",2016,1293
"10354",1003000,"Powiat łaski",2016,465
"10355",1004000,"Powiat łęczycki",2016,495
"10356",1005000,"Powiat łowicki",2016,534
"10357",1006000,"Powiat łódzki wschodni",2016,621
"10358",1007000,"Powiat opoczyński",2016,729
"10359",1008000,"Powiat pabianicki",2016,1027
"10360",1009000,"Powiat pajęczański",2016,407
"10361",1010000,"Powiat piotrkowski",2016,1011
"10362",1011000,"Powiat poddębicki",2016,466
"10363",1012000,"Powiat radomszczański",2016,1468
"10364",1013000,"Powiat rawski",2016,528
"10365",1014000,"Powiat sieradzki",2016,800
"10366",1015000,"Powiat skierniewicki",2016,272
"10367",1016000,"Powiat tomaszowski",2016,1698
"10368",1017000,"Powiat wieluński",2016,617
"10369",1018000,"Powiat wieruszowski",2016,298
"10370",1019000,"Powiat zduńskowolski",2016,750
"10371",1020000,"Powiat zgierski",2016,1707
"10372",1021000,"Powiat brzeziński",2016,402
"10373",1061000,"Powiat m.Łódź",2016,8812
"10374",1062000,"Powiat m.Piotrków Trybunalski",2016,1115
"10375",1063000,"Powiat m.Skierniewice",2016,380
"10376",1201000,"Powiat bocheński",2016,848
"10377",1202000,"Powiat brzeski",2016,612
"10378",1203000,"Powiat chrzanowski",2016,1477
"10379",1204000,"Powiat dąbrowski",2016,625
"10380",1205000,"Powiat gorlicki",2016,1638
"10381",1206000,"Powiat krakowski",2016,1941
"10382",1207000,"Powiat limanowski",2016,1382
"10383",1208000,"Powiat miechowski",2016,483
"10384",1209000,"Powiat myślenicki",2016,1197
"10385",1210000,"Powiat nowosądecki",2016,2307
"10386",1211000,"Powiat nowotarski",2016,1196
"10387",1212000,"Powiat olkuski",2016,979
"10388",1213000,"Powiat oświęcimski",2016,1835
"10389",1214000,"Powiat proszowicki",2016,309
"10390",1215000,"Powiat suski",2016,899
"10391",1216000,"Powiat tarnowski",2016,1657
"10392",1217000,"Powiat tatrzański",2016,493
"10393",1218000,"Powiat wadowicki",2016,1195
"10394",1219000,"Powiat wielicki",2016,936
"10395",1261000,"Powiat m.Kraków",2016,7359
"10396",1262000,"Powiat m.Nowy Sącz",2016,1131
"10397",1263000,"Powiat m.Tarnów",2016,1425
"10398",1401000,"Powiat białobrzeski",2016,288
"10399",1402000,"Powiat ciechanowski",2016,711
"10400",1403000,"Powiat garwoliński",2016,590
"10401",1404000,"Powiat gostyniński",2016,509
"10402",1405000,"Powiat grodziski",2016,980
"10403",1406000,"Powiat grójecki",2016,611
"10404",1407000,"Powiat kozienicki",2016,612
"10405",1408000,"Powiat legionowski",2016,903
"10406",1409000,"Powiat lipski",2016,364
"10407",1410000,"Powiat łosicki",2016,275
"10408",1411000,"Powiat makowski",2016,615
"10409",1412000,"Powiat miński",2016,900
"10410",1413000,"Powiat mławski",2016,603
"10411",1414000,"Powiat nowodworski",2016,863
"10412",1415000,"Powiat ostrołęcki",2016,681
"10413",1416000,"Powiat ostrowski",2016,949
"10414",1417000,"Powiat otwocki",2016,902
"10415",1418000,"Powiat piaseczyński",2016,730
"10416",1419000,"Powiat płocki",2016,982
"10417",1420000,"Powiat płoński",2016,743
"10418",1421000,"Powiat pruszkowski",2016,1064
"10419",1422000,"Powiat przasnyski",2016,514
"10420",1423000,"Powiat przysuski",2016,377
"10421",1424000,"Powiat pułtuski",2016,441
"10422",1425000,"Powiat radomski",2016,1333
"10423",1426000,"Powiat siedlecki",2016,720
"10424",1427000,"Powiat sierpecki",2016,581
"10425",1428000,"Powiat sochaczewski",2016,686
"10426",1429000,"Powiat sokołowski",2016,413
"10427",1430000,"Powiat szydłowiecki",2016,566
"10428",1432000,"Powiat warszawski zachodni",2016,545
"10429",1433000,"Powiat węgrowski",2016,713
"10430",1434000,"Powiat wołomiński",2016,1781
"10431",1435000,"Powiat wyszkowski",2016,830
"10432",1436000,"Powiat zwoleński",2016,247
"10433",1437000,"Powiat żuromiński",2016,217
"10434",1438000,"Powiat żyrardowski",2016,680
"10435",1461000,"Powiat m.Ostrołęka",2016,734
"10436",1462000,"Powiat m.Płock",2016,1010
"10437",1463000,"Powiat m.Radom",2016,2759
"10438",1464000,"Powiat m.Siedlce",2016,816
"10439",1465000,"Powiat m. st. Warszawa",2016,13624
"10440",1601000,"Powiat brzeski",2016,1004
"10441",1602000,"Powiat głubczycki",2016,490
"10442",1603000,"Powiat kędzierzyńsko-kozielski",2016,931
"10443",1604000,"Powiat kluczborski",2016,565
"10444",1605000,"Powiat krapkowicki",2016,566
"10445",1606000,"Powiat namysłowski",2016,414
"10446",1607000,"Powiat nyski",2016,1419
"10447",1608000,"Powiat oleski",2016,536
"10448",1609000,"Powiat opolski",2016,674
"10449",1610000,"Powiat prudnicki",2016,648
"10450",1611000,"Powiat strzelecki",2016,277
"10451",1661000,"Powiat m.Opole",2016,665
"10452",1801000,"Powiat bieszczadzki",2016,253
"10453",1802000,"Powiat brzozowski",2016,616
"10454",1803000,"Powiat dębicki",2016,1358
"10455",1804000,"Powiat jarosławski",2016,1152
"10456",1805000,"Powiat jasielski",2016,1711
"10457",1806000,"Powiat kolbuszowski",2016,950
"10458",1807000,"Powiat krośnieński",2016,534
"10459",1808000,"Powiat leżajski",2016,1173
"10460",1809000,"Powiat lubaczowski",2016,326
"10461",1810000,"Powiat łańcucki",2016,660
"10462",1811000,"Powiat mielecki",2016,543
"10463",1812000,"Powiat niżański",2016,759
"10464",1813000,"Powiat przemyski",2016,1132
"10465",1814000,"Powiat przeworski",2016,792
"10466",1815000,"Powiat ropczycko-sędziszowski",2016,1023
"10467",1816000,"Powiat rzeszowski",2016,697
"10468",1817000,"Powiat sanocki",2016,675
"10469",1818000,"Powiat stalowowolski",2016,689
"10470",1819000,"Powiat strzyżowski",2016,1519
"10471",1820000,"Powiat tarnobrzeski",2016,1488
"10472",1821000,"Powiat leski",2016,1011
"10473",1861000,"Powiat m.Krosno",2016,1354
"10474",1862000,"Powiat m.Przemyśl",2016,600
"10475",1863000,"Powiat m.Rzeszów",2016,441
"10476",1864000,"Powiat m.Tarnobrzeg",2016,662
"10477",2001000,"Powiat augustowski",2016,396
"10478",2002000,"Powiat białostocki",2016,1505
"10479",2003000,"Powiat bielski",2016,3162
"10480",2004000,"Powiat grajewski",2016,814
"10481",2005000,"Powiat hajnowski",2016,462
"10482",2006000,"Powiat kolneński",2016,638
"10483",2007000,"Powiat łomżyński",2016,262
"10484",2008000,"Powiat moniecki",2016,502
"10485",2009000,"Powiat sejneński",2016,398
"10486",2010000,"Powiat siemiatycki",2016,391
"10487",2011000,"Powiat sokólski",2016,178
"10488",2012000,"Powiat suwalski",2016,524
"10489",2013000,"Powiat wysokomazowiecki",2016,692
"10490",2014000,"Powiat zambrowski",2016,367
"10491",2061000,"Powiat m.Białystok",2016,1148
"10492",2062000,"Powiat m.Łomża",2016,343
"10493",2063000,"Powiat m.Suwałki",2016,347
"10494",2201000,"Powiat bytowski",2016,1256
"10495",2202000,"Powiat chojnicki",2016,1563
"10496",2203000,"Powiat człuchowski",2016,1088
"10497",2204000,"Powiat gdański",2016,3738
"10498",2205000,"Powiat kartuski",2016,1179
"10499",2206000,"Powiat kościerski",2016,2547
"10500",2207000,"Powiat kwidzyński",2016,1526
"10501",2208000,"Powiat lęborski",2016,1187
"10502",2209000,"Powiat malborski",2016,1449
"10503",2210000,"Powiat nowodworski",2016,1615
"10504",2211000,"Powiat pucki",2016,1266
"10505",2212000,"Powiat słupski",2016,586
"10506",2213000,"Powiat starogardzki",2016,922
"10507",2214000,"Powiat tczewski",2016,2077
"10508",2215000,"Powiat wejherowski",2016,2004
"10509",2216000,"Powiat sztumski",2016,576
"10510",2261000,"Powiat m.Gdańsk",2016,1940
"10511",2262000,"Powiat m.Gdynia",2016,757
"10512",2263000,"Powiat m.Słupsk",2016,1783
"10513",2264000,"Powiat m.Sopot",2016,2938
"10514",2401000,"Powiat będziński",2016,1304
"10515",2402000,"Powiat bielski",2016,987
"10516",2403000,"Powiat cieszyński",2016,1246
"10517",2404000,"Powiat częstochowski",2016,314
"10518",2405000,"Powiat gliwicki",2016,2027
"10519",2406000,"Powiat kłobucki",2016,1336
"10520",2407000,"Powiat lubliniecki",2016,1476
"10521",2408000,"Powiat mikołowski",2016,2879
"10522",2409000,"Powiat myszkowski",2016,1051
"10523",2410000,"Powiat pszczyński",2016,742
"10524",2411000,"Powiat raciborski",2016,1421
"10525",2412000,"Powiat rybnicki",2016,643
"10526",2413000,"Powiat tarnogórski",2016,473
"10527",2414000,"Powiat bieruńsko-lędziński",2016,704
"10528",2415000,"Powiat wodzisławski",2016,2467
"10529",2416000,"Powiat zawierciański",2016,675
"10530",2417000,"Powiat żywiecki",2016,571
"10531",2461000,"Powiat m.Bielsko-Biała",2016,494
"10532",2462000,"Powiat m.Bytom",2016,599
"10533",2463000,"Powiat m.Chorzów",2016,676
"10534",2464000,"Powiat m.Częstochowa",2016,420
"10535",2465000,"Powiat m.Dąbrowa Górnicza",2016,530
"10536",2466000,"Powiat m.Gliwice",2016,700
"10537",2467000,"Powiat m.Jastrzębie-Zdrój",2016,1452
"10538",2468000,"Powiat m.Jaworzno",2016,328
"10539",2469000,"Powiat m.Katowice",2016,1028
"10540",2470000,"Powiat m.Mysłowice",2016,954
"10541",2471000,"Powiat m.Piekary Śląskie",2016,1977
"10542",2472000,"Powiat m.Ruda Śląska",2016,502
"10543",2473000,"Powiat m.Rybnik",2016,995
"10544",2474000,"Powiat m.Siemianowice Śląskie",2016,956
"10545",2475000,"Powiat m.Sosnowiec",2016,789
"10546",2476000,"Powiat m.Świętochłowice",2016,1305
"10547",2477000,"Powiat m.Tychy",2016,1206
"10548",2478000,"Powiat m.Zabrze",2016,245
"10549",2479000,"Powiat m.Żory",2016,1011
"10550",2601000,"Powiat buski",2016,701
"10551",2602000,"Powiat jędrzejowski",2016,902
"10552",2603000,"Powiat kazimierski",2016,231
"10553",2604000,"Powiat kielecki",2016,3494
"10554",2605000,"Powiat konecki",2016,2541
"10555",2606000,"Powiat opatowski",2016,1339
"10556",2607000,"Powiat ostrowiecki",2016,579
"10557",2608000,"Powiat pińczowski",2016,1690
"10558",2609000,"Powiat sandomierski",2016,410
"10559",2610000,"Powiat skarżyski",2016,897
"10560",2611000,"Powiat starachowicki",2016,772
"10561",2612000,"Powiat staszowski",2016,1366
"10562",2613000,"Powiat włoszczowski",2016,1036
"10563",2661000,"Powiat m.Kielce",2016,491
"10564",2801000,"Powiat bartoszycki",2016,1343
"10565",2802000,"Powiat braniewski",2016,744
"10566",2803000,"Powiat działdowski",2016,817
"10567",2804000,"Powiat elbląski",2016,2312
"10568",2805000,"Powiat ełcki",2016,1371
"10569",2806000,"Powiat giżycki",2016,1319
"10570",2807000,"Powiat iławski",2016,783
"10571",2808000,"Powiat kętrzyński",2016,283
"10572",2809000,"Powiat lidzbarski",2016,1737
"10573",2810000,"Powiat mrągowski",2016,1323
"10574",2811000,"Powiat nidzicki",2016,760
"10575",2812000,"Powiat nowomiejski",2016,912
"10576",2813000,"Powiat olecki",2016,623
"10577",2814000,"Powiat olsztyński",2016,920
"10578",2815000,"Powiat ostródzki",2016,270
"10579",2816000,"Powiat piski",2016,2237
"10580",2817000,"Powiat szczycieński",2016,1604
"10581",2818000,"Powiat gołdapski",2016,1674
"10582",2819000,"Powiat węgorzewski",2016,597
"10583",2861000,"Powiat m.Elbląg",2016,1294
"10584",2862000,"Powiat m.Olsztyn",2016,307
"10585",3001000,"Powiat chodzieski",2016,477
"10586",3002000,"Powiat czarnkowsko-trzcianecki",2016,977
"10587",3003000,"Powiat gnieźnieński",2016,1423
"10588",3004000,"Powiat gostyński",2016,624
"10589",3005000,"Powiat grodziski",2016,419
"10590",3006000,"Powiat jarociński",2016,684
"10591",3007000,"Powiat kaliski",2016,677
"10592",3008000,"Powiat kępiński",2016,1516
"10593",3009000,"Powiat kolski",2016,536
"10594",3010000,"Powiat koniński",2016,858
"10595",3011000,"Powiat kościański",2016,693
"10596",3012000,"Powiat krotoszyński",2016,1200
"10597",3013000,"Powiat leszczyński",2016,831
"10598",3014000,"Powiat międzychodzki",2016,527
"10599",3015000,"Powiat nowotomyski",2016,500
"10600",3016000,"Powiat obornicki",2016,750
"10601",3017000,"Powiat ostrowski",2016,528
"10602",3018000,"Powiat ostrzeszowski",2016,637
"10603",3019000,"Powiat pilski",2016,699
"10604",3020000,"Powiat pleszewski",2016,1512
"10605",3021000,"Powiat poznański",2016,617
"10606",3022000,"Powiat rawicki",2016,1473
"10607",3023000,"Powiat słupecki",2016,913
"10608",3024000,"Powiat szamotulski",2016,3980
"10609",3025000,"Powiat średzki",2016,1777
"10610",3026000,"Powiat śremski",2016,545
"10611",3027000,"Powiat turecki",2016,504
"10612",3028000,"Powiat wągrowiecki",2016,811
"10613",3029000,"Powiat wolsztyński",2016,379
"10614",3030000,"Powiat wrzesiński",2016,728
"10615",3031000,"Powiat złotowski",2016,814
"10616",3061000,"Powiat m.Kalisz",2016,860
"10617",3062000,"Powiat m.Konin",2016,385
"10618",3063000,"Powiat m.Leszno",2016,855
"10619",3064000,"Powiat m.Poznań",2016,1014
"10620",3201000,"Powiat białogardzki",2016,414
"10621",3202000,"Powiat choszczeński",2016,738
