"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_przecietny_czas_trwania_budowy_nowych_budynkow_mieszkalnych_jednorodzinnych_mc"
"22354",2402000,"Powiat bielski",2006,NA
"22355",2403000,"Powiat cieszyński",2006,NA
"22356",2404000,"Powiat częstochowski",2006,NA
"22357",2405000,"Powiat gliwicki",2006,NA
"22358",2406000,"Powiat kłobucki",2006,NA
"22359",2407000,"Powiat lubliniecki",2006,NA
"22360",2408000,"Powiat mikołowski",2006,NA
"22361",2409000,"Powiat myszkowski",2006,NA
"22362",2410000,"Powiat pszczyński",2006,NA
"22363",2411000,"Powiat raciborski",2006,NA
"22364",2412000,"Powiat rybnicki",2006,NA
"22365",2413000,"Powiat tarnogórski",2006,NA
"22366",2414000,"Powiat bieruńsko-lędziński",2006,NA
"22367",2415000,"Powiat wodzisławski",2006,NA
"22368",2416000,"Powiat zawierciański",2006,NA
"22369",2417000,"Powiat żywiecki",2006,NA
"22370",2461000,"Powiat m.Bielsko-Biała",2006,NA
"22371",2462000,"Powiat m.Bytom",2006,NA
"22372",2463000,"Powiat m.Chorzów",2006,NA
"22373",2464000,"Powiat m.Częstochowa",2006,NA
"22374",2465000,"Powiat m.Dąbrowa Górnicza",2006,NA
"22375",2466000,"Powiat m.Gliwice",2006,NA
"22376",2467000,"Powiat m.Jastrzębie-Zdrój",2006,NA
"22377",2468000,"Powiat m.Jaworzno",2006,NA
"22378",2469000,"Powiat m.Katowice",2006,NA
"22379",2470000,"Powiat m.Mysłowice",2006,NA
"22380",2471000,"Powiat m.Piekary Śląskie",2006,NA
"22381",2472000,"Powiat m.Ruda Śląska",2006,NA
"22382",2473000,"Powiat m.Rybnik",2006,NA
"22383",2474000,"Powiat m.Siemianowice Śląskie",2006,NA
"22384",2475000,"Powiat m.Sosnowiec",2006,NA
"22385",2476000,"Powiat m.Świętochłowice",2006,NA
"22386",2477000,"Powiat m.Tychy",2006,NA
"22387",2478000,"Powiat m.Zabrze",2006,NA
"22388",2479000,"Powiat m.Żory",2006,NA
"22389",2601000,"Powiat buski",2006,NA
"22390",2602000,"Powiat jędrzejowski",2006,NA
"22391",2603000,"Powiat kazimierski",2006,NA
"22392",2604000,"Powiat kielecki",2006,NA
"22393",2605000,"Powiat konecki",2006,NA
"22394",2606000,"Powiat opatowski",2006,NA
"22395",2607000,"Powiat ostrowiecki",2006,NA
"22396",2608000,"Powiat pińczowski",2006,NA
"22397",2609000,"Powiat sandomierski",2006,NA
"22398",2610000,"Powiat skarżyski",2006,NA
"22399",2611000,"Powiat starachowicki",2006,NA
"22400",2612000,"Powiat staszowski",2006,NA
"22401",2613000,"Powiat włoszczowski",2006,NA
"22402",2661000,"Powiat m.Kielce",2006,NA
"22403",2801000,"Powiat bartoszycki",2006,NA
"22404",2802000,"Powiat braniewski",2006,NA
"22405",2803000,"Powiat działdowski",2006,NA
"22406",2804000,"Powiat elbląski",2006,NA
"22407",2805000,"Powiat ełcki",2006,NA
"22408",2806000,"Powiat giżycki",2006,NA
"22409",2807000,"Powiat iławski",2006,NA
"22410",2808000,"Powiat kętrzyński",2006,NA
"22411",2809000,"Powiat lidzbarski",2006,NA
"22412",2810000,"Powiat mrągowski",2006,NA
"22413",2811000,"Powiat nidzicki",2006,NA
"22414",2812000,"Powiat nowomiejski",2006,NA
"22415",2813000,"Powiat olecki",2006,NA
"22416",2814000,"Powiat olsztyński",2006,NA
"22417",2815000,"Powiat ostródzki",2006,NA
"22418",2816000,"Powiat piski",2006,NA
"22419",2817000,"Powiat szczycieński",2006,NA
"22420",2818000,"Powiat gołdapski",2006,NA
"22421",2819000,"Powiat węgorzewski",2006,NA
"22422",2861000,"Powiat m.Elbląg",2006,NA
"22423",2862000,"Powiat m.Olsztyn",2006,NA
"22424",3001000,"Powiat chodzieski",2006,NA
"22425",3002000,"Powiat czarnkowsko-trzcianecki",2006,NA
"22426",3003000,"Powiat gnieźnieński",2006,NA
"22427",3004000,"Powiat gostyński",2006,NA
"22428",3005000,"Powiat grodziski",2006,NA
"22429",3006000,"Powiat jarociński",2006,NA
"22430",3007000,"Powiat kaliski",2006,NA
"22431",3008000,"Powiat kępiński",2006,NA
"22432",3009000,"Powiat kolski",2006,NA
"22433",3010000,"Powiat koniński",2006,NA
"22434",3011000,"Powiat kościański",2006,NA
"22435",3012000,"Powiat krotoszyński",2006,NA
"22436",3013000,"Powiat leszczyński",2006,NA
"22437",3014000,"Powiat międzychodzki",2006,NA
"22438",3015000,"Powiat nowotomyski",2006,NA
"22439",3016000,"Powiat obornicki",2006,NA
"22440",3017000,"Powiat ostrowski",2006,NA
"22441",3018000,"Powiat ostrzeszowski",2006,NA
"22442",3019000,"Powiat pilski",2006,NA
"22443",3020000,"Powiat pleszewski",2006,NA
"22444",3021000,"Powiat poznański",2006,NA
"22445",3022000,"Powiat rawicki",2006,NA
"22446",3023000,"Powiat słupecki",2006,NA
"22447",3024000,"Powiat szamotulski",2006,NA
"22448",3025000,"Powiat średzki",2006,NA
"22449",3026000,"Powiat śremski",2006,NA
"22450",3027000,"Powiat turecki",2006,NA
"22451",3028000,"Powiat wągrowiecki",2006,NA
"22452",3029000,"Powiat wolsztyński",2006,NA
"22453",3030000,"Powiat wrzesiński",2006,NA
"22454",3031000,"Powiat złotowski",2006,NA
"22455",3061000,"Powiat m.Kalisz",2006,NA
"22456",3062000,"Powiat m.Konin",2006,NA
"22457",3063000,"Powiat m.Leszno",2006,NA
"22458",3064000,"Powiat m.Poznań",2006,NA
"22459",3201000,"Powiat białogardzki",2006,NA
"22460",3202000,"Powiat choszczeński",2006,NA
"22461",3203000,"Powiat drawski",2006,NA
"22462",3204000,"Powiat goleniowski",2006,NA
"22463",3205000,"Powiat gryficki",2006,NA
"22464",3206000,"Powiat gryfiński",2006,NA
"22465",3207000,"Powiat kamieński",2006,NA
"22466",3208000,"Powiat kołobrzeski",2006,NA
"22467",3209000,"Powiat koszaliński",2006,NA
"22468",3210000,"Powiat myśliborski",2006,NA
"22469",3211000,"Powiat policki",2006,NA
"22470",3212000,"Powiat pyrzycki",2006,NA
"22471",3213000,"Powiat sławieński",2006,NA
"22472",3214000,"Powiat stargardzki",2006,NA
"22473",3215000,"Powiat szczecinecki",2006,NA
"22474",3216000,"Powiat świdwiński",2006,NA
"22475",3217000,"Powiat wałecki",2006,NA
"22476",3218000,"Powiat łobeski",2006,NA
"22477",3261000,"Powiat m.Koszalin",2006,NA
"22478",3262000,"Powiat m.Szczecin",2006,NA
"22479",3263000,"Powiat m.Świnoujście",2006,NA
"22480",201000,"Powiat bolesławiecki",2007,NA
"22481",202000,"Powiat dzierżoniowski",2007,NA
"22482",203000,"Powiat głogowski",2007,NA
"22483",204000,"Powiat górowski",2007,NA
"22484",205000,"Powiat jaworski",2007,NA
"22485",206000,"Powiat jeleniogórski",2007,NA
"22486",207000,"Powiat kamiennogórski",2007,NA
"22487",208000,"Powiat kłodzki",2007,NA
"22488",209000,"Powiat legnicki",2007,NA
"22489",210000,"Powiat lubański",2007,NA
"22490",211000,"Powiat lubiński",2007,NA
"22491",212000,"Powiat lwówecki",2007,NA
"22492",213000,"Powiat milicki",2007,NA
"22493",214000,"Powiat oleśnicki",2007,NA
"22494",215000,"Powiat oławski",2007,NA
"22495",216000,"Powiat polkowicki",2007,NA
"22496",217000,"Powiat strzeliński",2007,NA
"22497",218000,"Powiat średzki",2007,NA
"22498",219000,"Powiat świdnicki",2007,NA
"22499",220000,"Powiat trzebnicki",2007,NA
"22500",221000,"Powiat wałbrzyski",2007,NA
"22501",222000,"Powiat wołowski",2007,NA
"22502",223000,"Powiat wrocławski",2007,NA
"22503",224000,"Powiat ząbkowicki",2007,NA
"22504",225000,"Powiat zgorzelecki",2007,NA
"22505",226000,"Powiat złotoryjski",2007,NA
"22506",261000,"Powiat m.Jelenia Góra",2007,NA
"22507",262000,"Powiat m.Legnica",2007,NA
"22508",263000,"Powiat m.Wałbrzych do 2002",2007,NA
"22509",264000,"Powiat m.Wrocław",2007,NA
"22510",265000,"Powiat m.Wałbrzych od 2013",2007,NA
"22511",401000,"Powiat aleksandrowski",2007,NA
"22512",402000,"Powiat brodnicki",2007,NA
"22513",403000,"Powiat bydgoski",2007,NA
"22514",404000,"Powiat chełmiński",2007,NA
"22515",405000,"Powiat golubsko-dobrzyński",2007,NA
"22516",406000,"Powiat grudziądzki",2007,NA
"22517",407000,"Powiat inowrocławski",2007,NA
"22518",408000,"Powiat lipnowski",2007,NA
"22519",409000,"Powiat mogileński",2007,NA
"22520",410000,"Powiat nakielski",2007,NA
"22521",411000,"Powiat radziejowski",2007,NA
"22522",412000,"Powiat rypiński",2007,NA
"22523",413000,"Powiat sępoleński",2007,NA
"22524",414000,"Powiat świecki",2007,NA
"22525",415000,"Powiat toruński",2007,NA
"22526",416000,"Powiat tucholski",2007,NA
"22527",417000,"Powiat wąbrzeski",2007,NA
"22528",418000,"Powiat włocławski",2007,NA
"22529",419000,"Powiat żniński",2007,NA
"22530",461000,"Powiat m.Bydgoszcz",2007,NA
"22531",462000,"Powiat m.Grudziądz",2007,NA
"22532",463000,"Powiat m.Toruń",2007,NA
"22533",464000,"Powiat m.Włocławek",2007,NA
"22534",601000,"Powiat bialski",2007,NA
"22535",602000,"Powiat biłgorajski",2007,NA
"22536",603000,"Powiat chełmski",2007,NA
"22537",604000,"Powiat hrubieszowski",2007,NA
"22538",605000,"Powiat janowski",2007,NA
"22539",606000,"Powiat krasnostawski",2007,NA
"22540",607000,"Powiat kraśnicki",2007,NA
"22541",608000,"Powiat lubartowski",2007,NA
"22542",609000,"Powiat lubelski",2007,NA
"22543",610000,"Powiat łęczyński",2007,NA
"22544",611000,"Powiat łukowski",2007,NA
"22545",612000,"Powiat opolski",2007,NA
"22546",613000,"Powiat parczewski",2007,NA
"22547",614000,"Powiat puławski",2007,NA
"22548",615000,"Powiat radzyński",2007,NA
"22549",616000,"Powiat rycki",2007,NA
"22550",617000,"Powiat świdnicki",2007,NA
"22551",618000,"Powiat tomaszowski",2007,NA
"22552",619000,"Powiat włodawski",2007,NA
"22553",620000,"Powiat zamojski",2007,NA
"22554",661000,"Powiat m.Biała Podlaska",2007,NA
"22555",662000,"Powiat m.Chełm",2007,NA
"22556",663000,"Powiat m.Lublin",2007,NA
"22557",664000,"Powiat m.Zamość",2007,NA
"22558",801000,"Powiat gorzowski",2007,NA
"22559",802000,"Powiat krośnieński",2007,NA
"22560",803000,"Powiat międzyrzecki",2007,NA
"22561",804000,"Powiat nowosolski",2007,NA
"22562",805000,"Powiat słubicki",2007,NA
"22563",806000,"Powiat strzelecko-drezdenecki",2007,NA
"22564",807000,"Powiat sulęciński",2007,NA
"22565",808000,"Powiat świebodziński",2007,NA
"22566",809000,"Powiat zielonogórski",2007,NA
"22567",810000,"Powiat żagański",2007,NA
"22568",811000,"Powiat żarski",2007,NA
"22569",812000,"Powiat wschowski",2007,NA
"22570",861000,"Powiat m.Gorzów Wielkopolski",2007,NA
"22571",862000,"Powiat m.Zielona Góra",2007,NA
"22572",1001000,"Powiat bełchatowski",2007,NA
"22573",1002000,"Powiat kutnowski",2007,NA
"22574",1003000,"Powiat łaski",2007,NA
"22575",1004000,"Powiat łęczycki",2007,NA
"22576",1005000,"Powiat łowicki",2007,NA
"22577",1006000,"Powiat łódzki wschodni",2007,NA
"22578",1007000,"Powiat opoczyński",2007,NA
"22579",1008000,"Powiat pabianicki",2007,NA
"22580",1009000,"Powiat pajęczański",2007,NA
"22581",1010000,"Powiat piotrkowski",2007,NA
"22582",1011000,"Powiat poddębicki",2007,NA
"22583",1012000,"Powiat radomszczański",2007,NA
"22584",1013000,"Powiat rawski",2007,NA
"22585",1014000,"Powiat sieradzki",2007,NA
"22586",1015000,"Powiat skierniewicki",2007,NA
"22587",1016000,"Powiat tomaszowski",2007,NA
"22588",1017000,"Powiat wieluński",2007,NA
"22589",1018000,"Powiat wieruszowski",2007,NA
"22590",1019000,"Powiat zduńskowolski",2007,NA
"22591",1020000,"Powiat zgierski",2007,NA
"22592",1021000,"Powiat brzeziński",2007,NA
"22593",1061000,"Powiat m.Łódź",2007,NA
"22594",1062000,"Powiat m.Piotrków Trybunalski",2007,NA
"22595",1063000,"Powiat m.Skierniewice",2007,NA
"22596",1201000,"Powiat bocheński",2007,NA
"22597",1202000,"Powiat brzeski",2007,NA
"22598",1203000,"Powiat chrzanowski",2007,NA
"22599",1204000,"Powiat dąbrowski",2007,NA
"22600",1205000,"Powiat gorlicki",2007,NA
"22601",1206000,"Powiat krakowski",2007,NA
"22602",1207000,"Powiat limanowski",2007,NA
"22603",1208000,"Powiat miechowski",2007,NA
"22604",1209000,"Powiat myślenicki",2007,NA
"22605",1210000,"Powiat nowosądecki",2007,NA
"22606",1211000,"Powiat nowotarski",2007,NA
"22607",1212000,"Powiat olkuski",2007,NA
"22608",1213000,"Powiat oświęcimski",2007,NA
"22609",1214000,"Powiat proszowicki",2007,NA
"22610",1215000,"Powiat suski",2007,NA
"22611",1216000,"Powiat tarnowski",2007,NA
"22612",1217000,"Powiat tatrzański",2007,NA
"22613",1218000,"Powiat wadowicki",2007,NA
"22614",1219000,"Powiat wielicki",2007,NA
"22615",1261000,"Powiat m.Kraków",2007,NA
"22616",1262000,"Powiat m.Nowy Sącz",2007,NA
"22617",1263000,"Powiat m.Tarnów",2007,NA
"22618",1401000,"Powiat białobrzeski",2007,NA
"22619",1402000,"Powiat ciechanowski",2007,NA
"22620",1403000,"Powiat garwoliński",2007,NA
"22621",1404000,"Powiat gostyniński",2007,NA
"22622",1405000,"Powiat grodziski",2007,NA
"22623",1406000,"Powiat grójecki",2007,NA
"22624",1407000,"Powiat kozienicki",2007,NA
"22625",1408000,"Powiat legionowski",2007,NA
"22626",1409000,"Powiat lipski",2007,NA
"22627",1410000,"Powiat łosicki",2007,NA
"22628",1411000,"Powiat makowski",2007,NA
"22629",1412000,"Powiat miński",2007,NA
"22630",1413000,"Powiat mławski",2007,NA
"22631",1414000,"Powiat nowodworski",2007,NA
"22632",1415000,"Powiat ostrołęcki",2007,NA
"22633",1416000,"Powiat ostrowski",2007,NA
"22634",1417000,"Powiat otwocki",2007,NA
"22635",1418000,"Powiat piaseczyński",2007,NA
"22636",1419000,"Powiat płocki",2007,NA
"22637",1420000,"Powiat płoński",2007,NA
"22638",1421000,"Powiat pruszkowski",2007,NA
"22639",1422000,"Powiat przasnyski",2007,NA
"22640",1423000,"Powiat przysuski",2007,NA
"22641",1424000,"Powiat pułtuski",2007,NA
"22642",1425000,"Powiat radomski",2007,NA
"22643",1426000,"Powiat siedlecki",2007,NA
"22644",1427000,"Powiat sierpecki",2007,NA
"22645",1428000,"Powiat sochaczewski",2007,NA
"22646",1429000,"Powiat sokołowski",2007,NA
"22647",1430000,"Powiat szydłowiecki",2007,NA
"22648",1432000,"Powiat warszawski zachodni",2007,NA
"22649",1433000,"Powiat węgrowski",2007,NA
"22650",1434000,"Powiat wołomiński",2007,NA
"22651",1435000,"Powiat wyszkowski",2007,NA
"22652",1436000,"Powiat zwoleński",2007,NA
"22653",1437000,"Powiat żuromiński",2007,NA
"22654",1438000,"Powiat żyrardowski",2007,NA
"22655",1461000,"Powiat m.Ostrołęka",2007,NA
"22656",1462000,"Powiat m.Płock",2007,NA
"22657",1463000,"Powiat m.Radom",2007,NA
"22658",1464000,"Powiat m.Siedlce",2007,NA
"22659",1465000,"Powiat m. st. Warszawa",2007,NA
"22660",1601000,"Powiat brzeski",2007,NA
"22661",1602000,"Powiat głubczycki",2007,NA
"22662",1603000,"Powiat kędzierzyńsko-kozielski",2007,NA
"22663",1604000,"Powiat kluczborski",2007,NA
"22664",1605000,"Powiat krapkowicki",2007,NA
"22665",1606000,"Powiat namysłowski",2007,NA
"22666",1607000,"Powiat nyski",2007,NA
"22667",1608000,"Powiat oleski",2007,NA
"22668",1609000,"Powiat opolski",2007,NA
"22669",1610000,"Powiat prudnicki",2007,NA
"22670",1611000,"Powiat strzelecki",2007,NA
"22671",1661000,"Powiat m.Opole",2007,NA
"22672",1801000,"Powiat bieszczadzki",2007,NA
"22673",1802000,"Powiat brzozowski",2007,NA
"22674",1803000,"Powiat dębicki",2007,NA
"22675",1804000,"Powiat jarosławski",2007,NA
"22676",1805000,"Powiat jasielski",2007,NA
"22677",1806000,"Powiat kolbuszowski",2007,NA
"22678",1807000,"Powiat krośnieński",2007,NA
"22679",1808000,"Powiat leżajski",2007,NA
"22680",1809000,"Powiat lubaczowski",2007,NA
"22681",1810000,"Powiat łańcucki",2007,NA
"22682",1811000,"Powiat mielecki",2007,NA
"22683",1812000,"Powiat niżański",2007,NA
"22684",1813000,"Powiat przemyski",2007,NA
"22685",1814000,"Powiat przeworski",2007,NA
"22686",1815000,"Powiat ropczycko-sędziszowski",2007,NA
"22687",1816000,"Powiat rzeszowski",2007,NA
"22688",1817000,"Powiat sanocki",2007,NA
"22689",1818000,"Powiat stalowowolski",2007,NA
"22690",1819000,"Powiat strzyżowski",2007,NA
"22691",1820000,"Powiat tarnobrzeski",2007,NA
"22692",1821000,"Powiat leski",2007,NA
"22693",1861000,"Powiat m.Krosno",2007,NA
"22694",1862000,"Powiat m.Przemyśl",2007,NA
"22695",1863000,"Powiat m.Rzeszów",2007,NA
"22696",1864000,"Powiat m.Tarnobrzeg",2007,NA
"22697",2001000,"Powiat augustowski",2007,NA
"22698",2002000,"Powiat białostocki",2007,NA
"22699",2003000,"Powiat bielski",2007,NA
"22700",2004000,"Powiat grajewski",2007,NA
"22701",2005000,"Powiat hajnowski",2007,NA
"22702",2006000,"Powiat kolneński",2007,NA
"22703",2007000,"Powiat łomżyński",2007,NA
"22704",2008000,"Powiat moniecki",2007,NA
"22705",2009000,"Powiat sejneński",2007,NA
"22706",2010000,"Powiat siemiatycki",2007,NA
"22707",2011000,"Powiat sokólski",2007,NA
"22708",2012000,"Powiat suwalski",2007,NA
"22709",2013000,"Powiat wysokomazowiecki",2007,NA
"22710",2014000,"Powiat zambrowski",2007,NA
"22711",2061000,"Powiat m.Białystok",2007,NA
"22712",2062000,"Powiat m.Łomża",2007,NA
"22713",2063000,"Powiat m.Suwałki",2007,NA
"22714",2201000,"Powiat bytowski",2007,NA
"22715",2202000,"Powiat chojnicki",2007,NA
"22716",2203000,"Powiat człuchowski",2007,NA
"22717",2204000,"Powiat gdański",2007,NA
"22718",2205000,"Powiat kartuski",2007,NA
"22719",2206000,"Powiat kościerski",2007,NA
"22720",2207000,"Powiat kwidzyński",2007,NA
"22721",2208000,"Powiat lęborski",2007,NA
"22722",2209000,"Powiat malborski",2007,NA
"22723",2210000,"Powiat nowodworski",2007,NA
"22724",2211000,"Powiat pucki",2007,NA
"22725",2212000,"Powiat słupski",2007,NA
"22726",2213000,"Powiat starogardzki",2007,NA
"22727",2214000,"Powiat tczewski",2007,NA
"22728",2215000,"Powiat wejherowski",2007,NA
"22729",2216000,"Powiat sztumski",2007,NA
"22730",2261000,"Powiat m.Gdańsk",2007,NA
"22731",2262000,"Powiat m.Gdynia",2007,NA
"22732",2263000,"Powiat m.Słupsk",2007,NA
"22733",2264000,"Powiat m.Sopot",2007,NA
"22734",2401000,"Powiat będziński",2007,NA
"22735",2402000,"Powiat bielski",2007,NA
"22736",2403000,"Powiat cieszyński",2007,NA
"22737",2404000,"Powiat częstochowski",2007,NA
"22738",2405000,"Powiat gliwicki",2007,NA
"22739",2406000,"Powiat kłobucki",2007,NA
"22740",2407000,"Powiat lubliniecki",2007,NA
"22741",2408000,"Powiat mikołowski",2007,NA
"22742",2409000,"Powiat myszkowski",2007,NA
"22743",2410000,"Powiat pszczyński",2007,NA
"22744",2411000,"Powiat raciborski",2007,NA
"22745",2412000,"Powiat rybnicki",2007,NA
"22746",2413000,"Powiat tarnogórski",2007,NA
"22747",2414000,"Powiat bieruńsko-lędziński",2007,NA
"22748",2415000,"Powiat wodzisławski",2007,NA
"22749",2416000,"Powiat zawierciański",2007,NA
"22750",2417000,"Powiat żywiecki",2007,NA
"22751",2461000,"Powiat m.Bielsko-Biała",2007,NA
"22752",2462000,"Powiat m.Bytom",2007,NA
"22753",2463000,"Powiat m.Chorzów",2007,NA
"22754",2464000,"Powiat m.Częstochowa",2007,NA
"22755",2465000,"Powiat m.Dąbrowa Górnicza",2007,NA
"22756",2466000,"Powiat m.Gliwice",2007,NA
"22757",2467000,"Powiat m.Jastrzębie-Zdrój",2007,NA
"22758",2468000,"Powiat m.Jaworzno",2007,NA
"22759",2469000,"Powiat m.Katowice",2007,NA
"22760",2470000,"Powiat m.Mysłowice",2007,NA
"22761",2471000,"Powiat m.Piekary Śląskie",2007,NA
"22762",2472000,"Powiat m.Ruda Śląska",2007,NA
"22763",2473000,"Powiat m.Rybnik",2007,NA
"22764",2474000,"Powiat m.Siemianowice Śląskie",2007,NA
"22765",2475000,"Powiat m.Sosnowiec",2007,NA
"22766",2476000,"Powiat m.Świętochłowice",2007,NA
"22767",2477000,"Powiat m.Tychy",2007,NA
"22768",2478000,"Powiat m.Zabrze",2007,NA
"22769",2479000,"Powiat m.Żory",2007,NA
"22770",2601000,"Powiat buski",2007,NA
"22771",2602000,"Powiat jędrzejowski",2007,NA
"22772",2603000,"Powiat kazimierski",2007,NA
"22773",2604000,"Powiat kielecki",2007,NA
"22774",2605000,"Powiat konecki",2007,NA
"22775",2606000,"Powiat opatowski",2007,NA
"22776",2607000,"Powiat ostrowiecki",2007,NA
"22777",2608000,"Powiat pińczowski",2007,NA
"22778",2609000,"Powiat sandomierski",2007,NA
"22779",2610000,"Powiat skarżyski",2007,NA
"22780",2611000,"Powiat starachowicki",2007,NA
"22781",2612000,"Powiat staszowski",2007,NA
"22782",2613000,"Powiat włoszczowski",2007,NA
"22783",2661000,"Powiat m.Kielce",2007,NA
"22784",2801000,"Powiat bartoszycki",2007,NA
"22785",2802000,"Powiat braniewski",2007,NA
"22786",2803000,"Powiat działdowski",2007,NA
"22787",2804000,"Powiat elbląski",2007,NA
"22788",2805000,"Powiat ełcki",2007,NA
"22789",2806000,"Powiat giżycki",2007,NA
"22790",2807000,"Powiat iławski",2007,NA
"22791",2808000,"Powiat kętrzyński",2007,NA
"22792",2809000,"Powiat lidzbarski",2007,NA
"22793",2810000,"Powiat mrągowski",2007,NA
"22794",2811000,"Powiat nidzicki",2007,NA
"22795",2812000,"Powiat nowomiejski",2007,NA
"22796",2813000,"Powiat olecki",2007,NA
"22797",2814000,"Powiat olsztyński",2007,NA
"22798",2815000,"Powiat ostródzki",2007,NA
"22799",2816000,"Powiat piski",2007,NA
"22800",2817000,"Powiat szczycieński",2007,NA
"22801",2818000,"Powiat gołdapski",2007,NA
"22802",2819000,"Powiat węgorzewski",2007,NA
"22803",2861000,"Powiat m.Elbląg",2007,NA
"22804",2862000,"Powiat m.Olsztyn",2007,NA
"22805",3001000,"Powiat chodzieski",2007,NA
"22806",3002000,"Powiat czarnkowsko-trzcianecki",2007,NA
"22807",3003000,"Powiat gnieźnieński",2007,NA
"22808",3004000,"Powiat gostyński",2007,NA
"22809",3005000,"Powiat grodziski",2007,NA
"22810",3006000,"Powiat jarociński",2007,NA
"22811",3007000,"Powiat kaliski",2007,NA
"22812",3008000,"Powiat kępiński",2007,NA
"22813",3009000,"Powiat kolski",2007,NA
"22814",3010000,"Powiat koniński",2007,NA
"22815",3011000,"Powiat kościański",2007,NA
"22816",3012000,"Powiat krotoszyński",2007,NA
"22817",3013000,"Powiat leszczyński",2007,NA
"22818",3014000,"Powiat międzychodzki",2007,NA
"22819",3015000,"Powiat nowotomyski",2007,NA
"22820",3016000,"Powiat obornicki",2007,NA
"22821",3017000,"Powiat ostrowski",2007,NA
"22822",3018000,"Powiat ostrzeszowski",2007,NA
"22823",3019000,"Powiat pilski",2007,NA
"22824",3020000,"Powiat pleszewski",2007,NA
"22825",3021000,"Powiat poznański",2007,NA
"22826",3022000,"Powiat rawicki",2007,NA
"22827",3023000,"Powiat słupecki",2007,NA
"22828",3024000,"Powiat szamotulski",2007,NA
"22829",3025000,"Powiat średzki",2007,NA
"22830",3026000,"Powiat śremski",2007,NA
"22831",3027000,"Powiat turecki",2007,NA
"22832",3028000,"Powiat wągrowiecki",2007,NA
"22833",3029000,"Powiat wolsztyński",2007,NA
"22834",3030000,"Powiat wrzesiński",2007,NA
"22835",3031000,"Powiat złotowski",2007,NA
"22836",3061000,"Powiat m.Kalisz",2007,NA
"22837",3062000,"Powiat m.Konin",2007,NA
"22838",3063000,"Powiat m.Leszno",2007,NA
"22839",3064000,"Powiat m.Poznań",2007,NA
"22840",3201000,"Powiat białogardzki",2007,NA
"22841",3202000,"Powiat choszczeński",2007,NA
"22842",3203000,"Powiat drawski",2007,NA
"22843",3204000,"Powiat goleniowski",2007,NA
"22844",3205000,"Powiat gryficki",2007,NA
"22845",3206000,"Powiat gryfiński",2007,NA
"22846",3207000,"Powiat kamieński",2007,NA
"22847",3208000,"Powiat kołobrzeski",2007,NA
"22848",3209000,"Powiat koszaliński",2007,NA
"22849",3210000,"Powiat myśliborski",2007,NA
"22850",3211000,"Powiat policki",2007,NA
"22851",3212000,"Powiat pyrzycki",2007,NA
"22852",3213000,"Powiat sławieński",2007,NA
"22853",3214000,"Powiat stargardzki",2007,NA
"22854",3215000,"Powiat szczecinecki",2007,NA
"22855",3216000,"Powiat świdwiński",2007,NA
"22856",3217000,"Powiat wałecki",2007,NA
"22857",3218000,"Powiat łobeski",2007,NA
"22858",3261000,"Powiat m.Koszalin",2007,NA
"22859",3262000,"Powiat m.Szczecin",2007,NA
"22860",3263000,"Powiat m.Świnoujście",2007,NA
"22861",201000,"Powiat bolesławiecki",2008,NA
"22862",202000,"Powiat dzierżoniowski",2008,NA
"22863",203000,"Powiat głogowski",2008,NA
"22864",204000,"Powiat górowski",2008,NA
"22865",205000,"Powiat jaworski",2008,NA
"22866",206000,"Powiat jeleniogórski",2008,NA
"22867",207000,"Powiat kamiennogórski",2008,NA
"22868",208000,"Powiat kłodzki",2008,NA
"22869",209000,"Powiat legnicki",2008,NA
"22870",210000,"Powiat lubański",2008,NA
"22871",211000,"Powiat lubiński",2008,NA
"22872",212000,"Powiat lwówecki",2008,NA
"22873",213000,"Powiat milicki",2008,NA
"22874",214000,"Powiat oleśnicki",2008,NA
"22875",215000,"Powiat oławski",2008,NA
"22876",216000,"Powiat polkowicki",2008,NA
"22877",217000,"Powiat strzeliński",2008,NA
"22878",218000,"Powiat średzki",2008,NA
"22879",219000,"Powiat świdnicki",2008,NA
"22880",220000,"Powiat trzebnicki",2008,NA
"22881",221000,"Powiat wałbrzyski",2008,NA
"22882",222000,"Powiat wołowski",2008,NA
"22883",223000,"Powiat wrocławski",2008,NA
"22884",224000,"Powiat ząbkowicki",2008,NA
"22885",225000,"Powiat zgorzelecki",2008,NA
"22886",226000,"Powiat złotoryjski",2008,NA
"22887",261000,"Powiat m.Jelenia Góra",2008,NA
"22888",262000,"Powiat m.Legnica",2008,NA
"22889",263000,"Powiat m.Wałbrzych do 2002",2008,NA
"22890",264000,"Powiat m.Wrocław",2008,NA
"22891",265000,"Powiat m.Wałbrzych od 2013",2008,NA
"22892",401000,"Powiat aleksandrowski",2008,NA
"22893",402000,"Powiat brodnicki",2008,NA
"22894",403000,"Powiat bydgoski",2008,NA
"22895",404000,"Powiat chełmiński",2008,NA
"22896",405000,"Powiat golubsko-dobrzyński",2008,NA
"22897",406000,"Powiat grudziądzki",2008,NA
"22898",407000,"Powiat inowrocławski",2008,NA
"22899",408000,"Powiat lipnowski",2008,NA
"22900",409000,"Powiat mogileński",2008,NA
"22901",410000,"Powiat nakielski",2008,NA
"22902",411000,"Powiat radziejowski",2008,NA
"22903",412000,"Powiat rypiński",2008,NA
"22904",413000,"Powiat sępoleński",2008,NA
