"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_sieroctwo"
"2033",1218000,"Powiat wadowicki",2014,1
"2034",1219000,"Powiat wielicki",2014,2
"2035",1261000,"Powiat m.Kraków",2014,2
"2036",1262000,"Powiat m.Nowy Sącz",2014,4
"2037",1263000,"Powiat m.Tarnów",2014,2
"2038",1401000,"Powiat białobrzeski",2014,1
"2039",1402000,"Powiat ciechanowski",2014,3
"2040",1403000,"Powiat garwoliński",2014,3
"2041",1404000,"Powiat gostyniński",2014,0
"2042",1405000,"Powiat grodziski",2014,1
"2043",1406000,"Powiat grójecki",2014,2
"2044",1407000,"Powiat kozienicki",2014,1
"2045",1408000,"Powiat legionowski",2014,3
"2046",1409000,"Powiat lipski",2014,1
"2047",1410000,"Powiat łosicki",2014,7
"2048",1411000,"Powiat makowski",2014,1
"2049",1412000,"Powiat miński",2014,10
"2050",1413000,"Powiat mławski",2014,0
"2051",1414000,"Powiat nowodworski",2014,1
"2052",1415000,"Powiat ostrołęcki",2014,4
"2053",1416000,"Powiat ostrowski",2014,2
"2054",1417000,"Powiat otwocki",2014,1
"2055",1418000,"Powiat piaseczyński",2014,3
"2056",1419000,"Powiat płocki",2014,1
"2057",1420000,"Powiat płoński",2014,2
"2058",1421000,"Powiat pruszkowski",2014,3
"2059",1422000,"Powiat przasnyski",2014,1
"2060",1423000,"Powiat przysuski",2014,2
"2061",1424000,"Powiat pułtuski",2014,1
"2062",1425000,"Powiat radomski",2014,2
"2063",1426000,"Powiat siedlecki",2014,13
"2064",1427000,"Powiat sierpecki",2014,16
"2065",1428000,"Powiat sochaczewski",2014,1
"2066",1429000,"Powiat sokołowski",2014,2
"2067",1430000,"Powiat szydłowiecki",2014,7
"2068",1432000,"Powiat warszawski zachodni",2014,3
"2069",1433000,"Powiat węgrowski",2014,1
"2070",1434000,"Powiat wołomiński",2014,2
"2071",1435000,"Powiat wyszkowski",2014,1
"2072",1436000,"Powiat zwoleński",2014,2
"2073",1437000,"Powiat żuromiński",2014,0
"2074",1438000,"Powiat żyrardowski",2014,4
"2075",1461000,"Powiat m.Ostrołęka",2014,3
"2076",1462000,"Powiat m.Płock",2014,0
"2077",1463000,"Powiat m.Radom",2014,60
"2078",1464000,"Powiat m.Siedlce",2014,1
"2079",1465000,"Powiat m. st. Warszawa",2014,39
"2080",1601000,"Powiat brzeski",2014,4
"2081",1602000,"Powiat głubczycki",2014,10
"2082",1603000,"Powiat kędzierzyńsko-kozielski",2014,0
"2083",1604000,"Powiat kluczborski",2014,6
"2084",1605000,"Powiat krapkowicki",2014,0
"2085",1606000,"Powiat namysłowski",2014,1
"2086",1607000,"Powiat nyski",2014,9
"2087",1608000,"Powiat oleski",2014,1
"2088",1609000,"Powiat opolski",2014,6
"2089",1610000,"Powiat prudnicki",2014,0
"2090",1611000,"Powiat strzelecki",2014,0
"2091",1661000,"Powiat m.Opole",2014,3
"2092",1801000,"Powiat bieszczadzki",2014,4
"2093",1802000,"Powiat brzozowski",2014,5
"2094",1803000,"Powiat dębicki",2014,1
"2095",1804000,"Powiat jarosławski",2014,3
"2096",1805000,"Powiat jasielski",2014,2
"2097",1806000,"Powiat kolbuszowski",2014,0
"2098",1807000,"Powiat krośnieński",2014,1
"2099",1808000,"Powiat leżajski",2014,9
"2100",1809000,"Powiat lubaczowski",2014,45
"2101",1810000,"Powiat łańcucki",2014,1
"2102",1811000,"Powiat mielecki",2014,1
"2103",1812000,"Powiat niżański",2014,2
"2104",1813000,"Powiat przemyski",2014,8
"2105",1814000,"Powiat przeworski",2014,0
"2106",1815000,"Powiat ropczycko-sędziszowski",2014,1
"2107",1816000,"Powiat rzeszowski",2014,4
"2108",1817000,"Powiat sanocki",2014,2
"2109",1818000,"Powiat stalowowolski",2014,4
"2110",1819000,"Powiat strzyżowski",2014,2
"2111",1820000,"Powiat tarnobrzeski",2014,8
"2112",1821000,"Powiat leski",2014,2
"2113",1861000,"Powiat m.Krosno",2014,1
"2114",1862000,"Powiat m.Przemyśl",2014,5
"2115",1863000,"Powiat m.Rzeszów",2014,1
"2116",1864000,"Powiat m.Tarnobrzeg",2014,2
"2117",2001000,"Powiat augustowski",2014,3
"2118",2002000,"Powiat białostocki",2014,7
"2119",2003000,"Powiat bielski",2014,3
"2120",2004000,"Powiat grajewski",2014,1
"2121",2005000,"Powiat hajnowski",2014,4
"2122",2006000,"Powiat kolneński",2014,2
"2123",2007000,"Powiat łomżyński",2014,0
"2124",2008000,"Powiat moniecki",2014,2
"2125",2009000,"Powiat sejneński",2014,1
"2126",2010000,"Powiat siemiatycki",2014,6
"2127",2011000,"Powiat sokólski",2014,1
"2128",2012000,"Powiat suwalski",2014,8
"2129",2013000,"Powiat wysokomazowiecki",2014,3
"2130",2014000,"Powiat zambrowski",2014,0
"2131",2061000,"Powiat m.Białystok",2014,10
"2132",2062000,"Powiat m.Łomża",2014,2
"2133",2063000,"Powiat m.Suwałki",2014,0
"2134",2201000,"Powiat bytowski",2014,2
"2135",2202000,"Powiat chojnicki",2014,0
"2136",2203000,"Powiat człuchowski",2014,4
"2137",2204000,"Powiat gdański",2014,0
"2138",2205000,"Powiat kartuski",2014,0
"2139",2206000,"Powiat kościerski",2014,1
"2140",2207000,"Powiat kwidzyński",2014,0
"2141",2208000,"Powiat lęborski",2014,3
"2142",2209000,"Powiat malborski",2014,3
"2143",2210000,"Powiat nowodworski",2014,1
"2144",2211000,"Powiat pucki",2014,7
"2145",2212000,"Powiat słupski",2014,4
"2146",2213000,"Powiat starogardzki",2014,33
"2147",2214000,"Powiat tczewski",2014,2
"2148",2215000,"Powiat wejherowski",2014,8
"2149",2216000,"Powiat sztumski",2014,1
"2150",2261000,"Powiat m.Gdańsk",2014,0
"2151",2262000,"Powiat m.Gdynia",2014,8
"2152",2263000,"Powiat m.Słupsk",2014,4
"2153",2264000,"Powiat m.Sopot",2014,0
"2154",2401000,"Powiat będziński",2014,2
"2155",2402000,"Powiat bielski",2014,2
"2156",2403000,"Powiat cieszyński",2014,7
"2157",2404000,"Powiat częstochowski",2014,6
"2158",2405000,"Powiat gliwicki",2014,0
"2159",2406000,"Powiat kłobucki",2014,7
"2160",2407000,"Powiat lubliniecki",2014,2
"2161",2408000,"Powiat mikołowski",2014,0
"2162",2409000,"Powiat myszkowski",2014,1
"2163",2410000,"Powiat pszczyński",2014,2
"2164",2411000,"Powiat raciborski",2014,4
"2165",2412000,"Powiat rybnicki",2014,2
"2166",2413000,"Powiat tarnogórski",2014,1
"2167",2414000,"Powiat bieruńsko-lędziński",2014,0
"2168",2415000,"Powiat wodzisławski",2014,0
"2169",2416000,"Powiat zawierciański",2014,5
"2170",2417000,"Powiat żywiecki",2014,15
"2171",2461000,"Powiat m.Bielsko-Biała",2014,9
"2172",2462000,"Powiat m.Bytom",2014,4
"2173",2463000,"Powiat m.Chorzów",2014,0
"2174",2464000,"Powiat m.Częstochowa",2014,3
"2175",2465000,"Powiat m.Dąbrowa Górnicza",2014,0
"2176",2466000,"Powiat m.Gliwice",2014,14
"2177",2467000,"Powiat m.Jastrzębie-Zdrój",2014,4
"2178",2468000,"Powiat m.Jaworzno",2014,0
"2179",2469000,"Powiat m.Katowice",2014,1
"2180",2470000,"Powiat m.Mysłowice",2014,1
"2181",2471000,"Powiat m.Piekary Śląskie",2014,3
"2182",2472000,"Powiat m.Ruda Śląska",2014,0
"2183",2473000,"Powiat m.Rybnik",2014,0
"2184",2474000,"Powiat m.Siemianowice Śląskie",2014,0
"2185",2475000,"Powiat m.Sosnowiec",2014,25
"2186",2476000,"Powiat m.Świętochłowice",2014,2
"2187",2477000,"Powiat m.Tychy",2014,0
"2188",2478000,"Powiat m.Zabrze",2014,4
"2189",2479000,"Powiat m.Żory",2014,0
"2190",2601000,"Powiat buski",2014,2
"2191",2602000,"Powiat jędrzejowski",2014,6
"2192",2603000,"Powiat kazimierski",2014,0
"2193",2604000,"Powiat kielecki",2014,18
"2194",2605000,"Powiat konecki",2014,6
"2195",2606000,"Powiat opatowski",2014,1
"2196",2607000,"Powiat ostrowiecki",2014,23
"2197",2608000,"Powiat pińczowski",2014,1
"2198",2609000,"Powiat sandomierski",2014,8
"2199",2610000,"Powiat skarżyski",2014,2
"2200",2611000,"Powiat starachowicki",2014,3
"2201",2612000,"Powiat staszowski",2014,2
"2202",2613000,"Powiat włoszczowski",2014,2
"2203",2661000,"Powiat m.Kielce",2014,35
"2204",2801000,"Powiat bartoszycki",2014,2
"2205",2802000,"Powiat braniewski",2014,7
"2206",2803000,"Powiat działdowski",2014,1
"2207",2804000,"Powiat elbląski",2014,1
"2208",2805000,"Powiat ełcki",2014,3
"2209",2806000,"Powiat giżycki",2014,5
"2210",2807000,"Powiat iławski",2014,4
"2211",2808000,"Powiat kętrzyński",2014,6
"2212",2809000,"Powiat lidzbarski",2014,1
