"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_przemoc_w_rodzinie"
"15332",1217000,"Powiat tatrzański",2014,16
"15333",1218000,"Powiat wadowicki",2014,102
"15334",1219000,"Powiat wielicki",2014,46
"15335",1261000,"Powiat m.Kraków",2014,175
"15336",1262000,"Powiat m.Nowy Sącz",2014,39
"15337",1263000,"Powiat m.Tarnów",2014,67
"15338",1401000,"Powiat białobrzeski",2014,4
"15339",1402000,"Powiat ciechanowski",2014,164
"15340",1403000,"Powiat garwoliński",2014,85
"15341",1404000,"Powiat gostyniński",2014,38
"15342",1405000,"Powiat grodziski",2014,35
"15343",1406000,"Powiat grójecki",2014,24
"15344",1407000,"Powiat kozienicki",2014,20
"15345",1408000,"Powiat legionowski",2014,28
"15346",1409000,"Powiat lipski",2014,156
"15347",1410000,"Powiat łosicki",2014,25
"15348",1411000,"Powiat makowski",2014,52
"15349",1412000,"Powiat miński",2014,47
"15350",1413000,"Powiat mławski",2014,175
"15351",1414000,"Powiat nowodworski",2014,16
"15352",1415000,"Powiat ostrołęcki",2014,24
"15353",1416000,"Powiat ostrowski",2014,81
"15354",1417000,"Powiat otwocki",2014,44
"15355",1418000,"Powiat piaseczyński",2014,38
"15356",1419000,"Powiat płocki",2014,27
"15357",1420000,"Powiat płoński",2014,24
"15358",1421000,"Powiat pruszkowski",2014,33
"15359",1422000,"Powiat przasnyski",2014,80
"15360",1423000,"Powiat przysuski",2014,7
"15361",1424000,"Powiat pułtuski",2014,11
"15362",1425000,"Powiat radomski",2014,71
"15363",1426000,"Powiat siedlecki",2014,26
"15364",1427000,"Powiat sierpecki",2014,42
"15365",1428000,"Powiat sochaczewski",2014,16
"15366",1429000,"Powiat sokołowski",2014,13
"15367",1430000,"Powiat szydłowiecki",2014,12
"15368",1432000,"Powiat warszawski zachodni",2014,19
"15369",1433000,"Powiat węgrowski",2014,42
"15370",1434000,"Powiat wołomiński",2014,77
"15371",1435000,"Powiat wyszkowski",2014,36
"15372",1436000,"Powiat zwoleński",2014,17
"15373",1437000,"Powiat żuromiński",2014,23
"15374",1438000,"Powiat żyrardowski",2014,15
"15375",1461000,"Powiat m.Ostrołęka",2014,40
"15376",1462000,"Powiat m.Płock",2014,23
"15377",1463000,"Powiat m.Radom",2014,18
"15378",1464000,"Powiat m.Siedlce",2014,27
"15379",1465000,"Powiat m. st. Warszawa",2014,724
"15380",1601000,"Powiat brzeski",2014,39
"15381",1602000,"Powiat głubczycki",2014,23
"15382",1603000,"Powiat kędzierzyńsko-kozielski",2014,183
"15383",1604000,"Powiat kluczborski",2014,19
"15384",1605000,"Powiat krapkowicki",2014,32
"15385",1606000,"Powiat namysłowski",2014,14
"15386",1607000,"Powiat nyski",2014,54
"15387",1608000,"Powiat oleski",2014,17
"15388",1609000,"Powiat opolski",2014,79
"15389",1610000,"Powiat prudnicki",2014,19
"15390",1611000,"Powiat strzelecki",2014,30
"15391",1661000,"Powiat m.Opole",2014,19
"15392",1801000,"Powiat bieszczadzki",2014,4
