"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_od_80_m2_zl"
"17230",1215000,"Powiat suski",2015,0
"17231",1216000,"Powiat tarnowski",2015,0
"17232",1217000,"Powiat tatrzański",2015,0
"17233",1218000,"Powiat wadowicki",2015,3900
"17234",1219000,"Powiat wielicki",2015,4597
"17235",1261000,"Powiat m.Kraków",2015,6791
"17236",1262000,"Powiat m.Nowy Sącz",2015,0
"17237",1263000,"Powiat m.Tarnów",2015,0
"17238",1401000,"Powiat białobrzeski",2015,0
"17239",1402000,"Powiat ciechanowski",2015,3231
"17240",1403000,"Powiat garwoliński",2015,0
"17241",1404000,"Powiat gostyniński",2015,0
"17242",1405000,"Powiat grodziski",2015,3577
"17243",1406000,"Powiat grójecki",2015,0
"17244",1407000,"Powiat kozienicki",2015,0
"17245",1408000,"Powiat legionowski",2015,4252
"17246",1409000,"Powiat lipski",2015,0
"17247",1410000,"Powiat łosicki",2015,0
"17248",1411000,"Powiat makowski",2015,0
"17249",1412000,"Powiat miński",2015,3926
"17250",1413000,"Powiat mławski",2015,0
"17251",1414000,"Powiat nowodworski",2015,3975
"17252",1415000,"Powiat ostrołęcki",2015,0
"17253",1416000,"Powiat ostrowski",2015,0
"17254",1417000,"Powiat otwocki",2015,3313
"17255",1418000,"Powiat piaseczyński",2015,3951
"17256",1419000,"Powiat płocki",2015,0
"17257",1420000,"Powiat płoński",2015,2625
"17258",1421000,"Powiat pruszkowski",2015,4387
"17259",1422000,"Powiat przasnyski",2015,0
"17260",1423000,"Powiat przysuski",2015,0
"17261",1424000,"Powiat pułtuski",2015,0
"17262",1425000,"Powiat radomski",2015,0
"17263",1426000,"Powiat siedlecki",2015,0
"17264",1427000,"Powiat sierpecki",2015,0
"17265",1428000,"Powiat sochaczewski",2015,0
"17266",1429000,"Powiat sokołowski",2015,0
"17267",1430000,"Powiat szydłowiecki",2015,0
"17268",1432000,"Powiat warszawski zachodni",2015,3989
"17269",1433000,"Powiat węgrowski",2015,0
"17270",1434000,"Powiat wołomiński",2015,3483
"17271",1435000,"Powiat wyszkowski",2015,0
"17272",1436000,"Powiat zwoleński",2015,0
"17273",1437000,"Powiat żuromiński",2015,0
"17274",1438000,"Powiat żyrardowski",2015,0
"17275",1461000,"Powiat m.Ostrołęka",2015,0
"17276",1462000,"Powiat m.Płock",2015,3837
"17277",1463000,"Powiat m.Radom",2015,3718
"17278",1464000,"Powiat m.Siedlce",2015,3718
"17279",1465000,"Powiat m. st. Warszawa",2015,7334
"17280",1601000,"Powiat brzeski",2015,0
"17281",1602000,"Powiat głubczycki",2015,0
"17282",1603000,"Powiat kędzierzyńsko-kozielski",2015,0
"17283",1604000,"Powiat kluczborski",2015,0
"17284",1605000,"Powiat krapkowicki",2015,0
"17285",1606000,"Powiat namysłowski",2015,0
"17286",1607000,"Powiat nyski",2015,0
"17287",1608000,"Powiat oleski",2015,0
"17288",1609000,"Powiat opolski",2015,0
"17289",1610000,"Powiat prudnicki",2015,0
"17290",1611000,"Powiat strzelecki",2015,0
"17291",1661000,"Powiat m.Opole",2015,4059
"17292",1801000,"Powiat bieszczadzki",2015,0
"17293",1802000,"Powiat brzozowski",2015,0
"17294",1803000,"Powiat dębicki",2015,3368
"17295",1804000,"Powiat jarosławski",2015,0
"17296",1805000,"Powiat jasielski",2015,0
"17297",1806000,"Powiat kolbuszowski",2015,0
"17298",1807000,"Powiat krośnieński",2015,0
"17299",1808000,"Powiat leżajski",2015,0
"17300",1809000,"Powiat lubaczowski",2015,0
"17301",1810000,"Powiat łańcucki",2015,0
"17302",1811000,"Powiat mielecki",2015,3141
"17303",1812000,"Powiat niżański",2015,0
"17304",1813000,"Powiat przemyski",2015,0
"17305",1814000,"Powiat przeworski",2015,0
"17306",1815000,"Powiat ropczycko-sędziszowski",2015,0
"17307",1816000,"Powiat rzeszowski",2015,0
"17308",1817000,"Powiat sanocki",2015,0
"17309",1818000,"Powiat stalowowolski",2015,0
"17310",1819000,"Powiat strzyżowski",2015,0
"17311",1820000,"Powiat tarnobrzeski",2015,0
"17312",1821000,"Powiat leski",2015,0
"17313",1861000,"Powiat m.Krosno",2015,0
"17314",1862000,"Powiat m.Przemyśl",2015,3252
"17315",1863000,"Powiat m.Rzeszów",2015,4805
"17316",1864000,"Powiat m.Tarnobrzeg",2015,0
"17317",2001000,"Powiat augustowski",2015,3903
"17318",2002000,"Powiat białostocki",2015,2937
"17319",2003000,"Powiat bielski",2015,0
"17320",2004000,"Powiat grajewski",2015,0
"17321",2005000,"Powiat hajnowski",2015,0
"17322",2006000,"Powiat kolneński",2015,0
"17323",2007000,"Powiat łomżyński",2015,0
"17324",2008000,"Powiat moniecki",2015,0
"17325",2009000,"Powiat sejneński",2015,0
"17326",2010000,"Powiat siemiatycki",2015,0
"17327",2011000,"Powiat sokólski",2015,0
"17328",2012000,"Powiat suwalski",2015,0
"17329",2013000,"Powiat wysokomazowiecki",2015,0
"17330",2014000,"Powiat zambrowski",2015,2844
"17331",2061000,"Powiat m.Białystok",2015,4415
"17332",2062000,"Powiat m.Łomża",2015,2804
"17333",2063000,"Powiat m.Suwałki",2015,3765
"17334",2201000,"Powiat bytowski",2015,0
"17335",2202000,"Powiat chojnicki",2015,0
"17336",2203000,"Powiat człuchowski",2015,0
"17337",2204000,"Powiat gdański",2015,4409
"17338",2205000,"Powiat kartuski",2015,3210
"17339",2206000,"Powiat kościerski",2015,0
"17340",2207000,"Powiat kwidzyński",2015,0
"17341",2208000,"Powiat lęborski",2015,2669
"17342",2209000,"Powiat malborski",2015,0
"17343",2210000,"Powiat nowodworski",2015,0
"17344",2211000,"Powiat pucki",2015,4406
"17345",2212000,"Powiat słupski",2015,5387
"17346",2213000,"Powiat starogardzki",2015,0
"17347",2214000,"Powiat tczewski",2015,3107
"17348",2215000,"Powiat wejherowski",2015,3558
"17349",2216000,"Powiat sztumski",2015,0
"17350",2261000,"Powiat m.Gdańsk",2015,5942
"17351",2262000,"Powiat m.Gdynia",2015,5817
"17352",2263000,"Powiat m.Słupsk",2015,3308
"17353",2264000,"Powiat m.Sopot",2015,9603
"17354",2401000,"Powiat będziński",2015,0
"17355",2402000,"Powiat bielski",2015,0
"17356",2403000,"Powiat cieszyński",2015,1620
"17357",2404000,"Powiat częstochowski",2015,0
"17358",2405000,"Powiat gliwicki",2015,0
"17359",2406000,"Powiat kłobucki",2015,0
"17360",2407000,"Powiat lubliniecki",2015,2341
"17361",2408000,"Powiat mikołowski",2015,4069
"17362",2409000,"Powiat myszkowski",2015,0
"17363",2410000,"Powiat pszczyński",2015,2909
"17364",2411000,"Powiat raciborski",2015,0
"17365",2412000,"Powiat rybnicki",2015,0
"17366",2413000,"Powiat tarnogórski",2015,0
"17367",2414000,"Powiat bieruńsko-lędziński",2015,0
"17368",2415000,"Powiat wodzisławski",2015,0
"17369",2416000,"Powiat zawierciański",2015,0
"17370",2417000,"Powiat żywiecki",2015,0
"17371",2461000,"Powiat m.Bielsko-Biała",2015,3101
"17372",2462000,"Powiat m.Bytom",2015,0
"17373",2463000,"Powiat m.Chorzów",2015,0
"17374",2464000,"Powiat m.Częstochowa",2015,4362
"17375",2465000,"Powiat m.Dąbrowa Górnicza",2015,0
"17376",2466000,"Powiat m.Gliwice",2015,4108
"17377",2467000,"Powiat m.Jastrzębie-Zdrój",2015,0
"17378",2468000,"Powiat m.Jaworzno",2015,0
"17379",2469000,"Powiat m.Katowice",2015,6053
"17380",2470000,"Powiat m.Mysłowice",2015,3087
"17381",2471000,"Powiat m.Piekary Śląskie",2015,0
"17382",2472000,"Powiat m.Ruda Śląska",2015,4315
"17383",2473000,"Powiat m.Rybnik",2015,0
"17384",2474000,"Powiat m.Siemianowice Śląskie",2015,2913
"17385",2475000,"Powiat m.Sosnowiec",2015,0
"17386",2476000,"Powiat m.Świętochłowice",2015,3501
"17387",2477000,"Powiat m.Tychy",2015,3525
"17388",2478000,"Powiat m.Zabrze",2015,0
"17389",2479000,"Powiat m.Żory",2015,2778
"17390",2601000,"Powiat buski",2015,0
"17391",2602000,"Powiat jędrzejowski",2015,0
"17392",2603000,"Powiat kazimierski",2015,0
"17393",2604000,"Powiat kielecki",2015,0
"17394",2605000,"Powiat konecki",2015,0
"17395",2606000,"Powiat opatowski",2015,0
"17396",2607000,"Powiat ostrowiecki",2015,0
"17397",2608000,"Powiat pińczowski",2015,0
"17398",2609000,"Powiat sandomierski",2015,0
"17399",2610000,"Powiat skarżyski",2015,0
"17400",2611000,"Powiat starachowicki",2015,0
"17401",2612000,"Powiat staszowski",2015,0
"17402",2613000,"Powiat włoszczowski",2015,0
"17403",2661000,"Powiat m.Kielce",2015,4671
"17404",2801000,"Powiat bartoszycki",2015,0
"17405",2802000,"Powiat braniewski",2015,0
"17406",2803000,"Powiat działdowski",2015,0
"17407",2804000,"Powiat elbląski",2015,0
"17408",2805000,"Powiat ełcki",2015,3467
"17409",2806000,"Powiat giżycki",2015,4170
"17410",2807000,"Powiat iławski",2015,0
"17411",2808000,"Powiat kętrzyński",2015,0
"17412",2809000,"Powiat lidzbarski",2015,0
"17413",2810000,"Powiat mrągowski",2015,0
"17414",2811000,"Powiat nidzicki",2015,0
"17415",2812000,"Powiat nowomiejski",2015,0
"17416",2813000,"Powiat olecki",2015,0
"17417",2814000,"Powiat olsztyński",2015,2790
"17418",2815000,"Powiat ostródzki",2015,0
"17419",2816000,"Powiat piski",2015,0
"17420",2817000,"Powiat szczycieński",2015,0
"17421",2818000,"Powiat gołdapski",2015,0
"17422",2819000,"Powiat węgorzewski",2015,0
"17423",2861000,"Powiat m.Elbląg",2015,3523
"17424",2862000,"Powiat m.Olsztyn",2015,5033
