"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_bezdomnosc"
"3933",1218000,"Powiat wadowicki",2014,83
"3934",1219000,"Powiat wielicki",2014,41
"3935",1261000,"Powiat m.Kraków",2014,1003
"3936",1262000,"Powiat m.Nowy Sącz",2014,60
"3937",1263000,"Powiat m.Tarnów",2014,140
"3938",1401000,"Powiat białobrzeski",2014,2
"3939",1402000,"Powiat ciechanowski",2014,65
"3940",1403000,"Powiat garwoliński",2014,12
"3941",1404000,"Powiat gostyniński",2014,22
"3942",1405000,"Powiat grodziski",2014,64
"3943",1406000,"Powiat grójecki",2014,38
"3944",1407000,"Powiat kozienicki",2014,14
"3945",1408000,"Powiat legionowski",2014,91
"3946",1409000,"Powiat lipski",2014,4
"3947",1410000,"Powiat łosicki",2014,2
"3948",1411000,"Powiat makowski",2014,27
"3949",1412000,"Powiat miński",2014,59
"3950",1413000,"Powiat mławski",2014,60
"3951",1414000,"Powiat nowodworski",2014,117
"3952",1415000,"Powiat ostrołęcki",2014,33
"3953",1416000,"Powiat ostrowski",2014,13
"3954",1417000,"Powiat otwocki",2014,62
"3955",1418000,"Powiat piaseczyński",2014,118
"3956",1419000,"Powiat płocki",2014,37
"3957",1420000,"Powiat płoński",2014,48
"3958",1421000,"Powiat pruszkowski",2014,68
"3959",1422000,"Powiat przasnyski",2014,52
"3960",1423000,"Powiat przysuski",2014,7
"3961",1424000,"Powiat pułtuski",2014,6
"3962",1425000,"Powiat radomski",2014,20
"3963",1426000,"Powiat siedlecki",2014,13
"3964",1427000,"Powiat sierpecki",2014,14
"3965",1428000,"Powiat sochaczewski",2014,88
"3966",1429000,"Powiat sokołowski",2014,2
"3967",1430000,"Powiat szydłowiecki",2014,17
"3968",1432000,"Powiat warszawski zachodni",2014,52
"3969",1433000,"Powiat węgrowski",2014,16
"3970",1434000,"Powiat wołomiński",2014,87
"3971",1435000,"Powiat wyszkowski",2014,42
"3972",1436000,"Powiat zwoleński",2014,11
"3973",1437000,"Powiat żuromiński",2014,8
"3974",1438000,"Powiat żyrardowski",2014,69
"3975",1461000,"Powiat m.Ostrołęka",2014,82
"3976",1462000,"Powiat m.Płock",2014,161
