"","Kod","Nazwa","rok","WYNAGRODZENIA_CTAB_przecietne_miesieczne_wynagrodzenia_brutto_w_relacji_do_sredniej_krajowej_Polska_100_proc"
"6980",1206000,"Powiat krakowski",2002,90.7
"6981",1207000,"Powiat limanowski",2002,75.2
"6982",1208000,"Powiat miechowski",2002,78.1
"6983",1209000,"Powiat myślenicki",2002,95.5
"6984",1210000,"Powiat nowosądecki",2002,77.4
"6985",1211000,"Powiat nowotarski",2002,76.9
"6986",1212000,"Powiat olkuski",2002,91.3
"6987",1213000,"Powiat oświęcimski",2002,87
"6988",1214000,"Powiat proszowicki",2002,77.8
"6989",1215000,"Powiat suski",2002,78.7
"6990",1216000,"Powiat tarnowski",2002,70.2
"6991",1217000,"Powiat tatrzański",2002,78.8
"6992",1218000,"Powiat wadowicki",2002,76
"6993",1219000,"Powiat wielicki",2002,92.5
"6994",1261000,"Powiat m.Kraków",2002,102.7
"6995",1262000,"Powiat m.Nowy Sącz",2002,86.5
"6996",1263000,"Powiat m.Tarnów",2002,82.3
"6997",1401000,"Powiat białobrzeski",2002,80.8
"6998",1402000,"Powiat ciechanowski",2002,89.4
"6999",1403000,"Powiat garwoliński",2002,82.8
"7000",1404000,"Powiat gostyniński",2002,74.8
"7001",1405000,"Powiat grodziski",2002,113.1
"7002",1406000,"Powiat grójecki",2002,101.8
"7003",1407000,"Powiat kozienicki",2002,116.5
"7004",1408000,"Powiat legionowski",2002,99.5
"7005",1409000,"Powiat lipski",2002,76
"7006",1410000,"Powiat łosicki",2002,80
"7007",1411000,"Powiat makowski",2002,80.2
"7008",1412000,"Powiat miński",2002,86.9
"7009",1413000,"Powiat mławski",2002,73.3
"7010",1414000,"Powiat nowodworski",2002,100
"7011",1415000,"Powiat ostrołęcki",2002,85.6
"7012",1416000,"Powiat ostrowski",2002,79.1
"7013",1417000,"Powiat otwocki",2002,89.9
"7014",1418000,"Powiat piaseczyński",2002,111.8
"7015",1419000,"Powiat płocki",2002,79.5
"7016",1420000,"Powiat płoński",2002,87.2
"7017",1421000,"Powiat pruszkowski",2002,118.8
"7018",1422000,"Powiat przasnyski",2002,82.5
"7019",1423000,"Powiat przysuski",2002,78.4
"7020",1424000,"Powiat pułtuski",2002,78.5
"7021",1425000,"Powiat radomski",2002,73
"7022",1426000,"Powiat siedlecki",2002,79.5
"7023",1427000,"Powiat sierpecki",2002,89
"7024",1428000,"Powiat sochaczewski",2002,107.4
"7025",1429000,"Powiat sokołowski",2002,82.7
"7026",1430000,"Powiat szydłowiecki",2002,78.8
"7027",1432000,"Powiat warszawski zachodni",2002,110.5
"7028",1433000,"Powiat węgrowski",2002,79.7
"7029",1434000,"Powiat wołomiński",2002,91.8
"7030",1435000,"Powiat wyszkowski",2002,78.3
"7031",1436000,"Powiat zwoleński",2002,80.7
"7032",1437000,"Powiat żuromiński",2002,72.9
"7033",1438000,"Powiat żyrardowski",2002,93.7
"7034",1461000,"Powiat m.Ostrołęka",2002,99.9
"7035",1462000,"Powiat m.Płock",2002,122.5
"7036",1463000,"Powiat m.Radom",2002,92.4
"7037",1464000,"Powiat m.Siedlce",2002,94.3
"7038",1465000,"Powiat m. st. Warszawa",2002,144.6
"7039",1601000,"Powiat brzeski",2002,80.9
"7040",1602000,"Powiat głubczycki",2002,79.8
"7041",1603000,"Powiat kędzierzyńsko-kozielski",2002,95.6
"7042",1604000,"Powiat kluczborski",2002,81.4
"7043",1605000,"Powiat krapkowicki",2002,110.9
"7044",1606000,"Powiat namysłowski",2002,85.4
"7045",1607000,"Powiat nyski",2002,76.8
"7046",1608000,"Powiat oleski",2002,82.4
"7047",1609000,"Powiat opolski",2002,90.7
"7048",1610000,"Powiat prudnicki",2002,76.5
"7049",1611000,"Powiat strzelecki",2002,82.2
"7050",1661000,"Powiat m.Opole",2002,101.6
"7051",1801000,"Powiat bieszczadzki",2002,77.5
"7052",1802000,"Powiat brzozowski",2002,73.7
"7053",1803000,"Powiat dębicki",2002,82.6
"7054",1804000,"Powiat jarosławski",2002,79.2
"7055",1805000,"Powiat jasielski",2002,80.2
"7056",1806000,"Powiat kolbuszowski",2002,77.8
"7057",1807000,"Powiat krośnieński",2002,80.5
"7058",1808000,"Powiat leżajski",2002,86.3
"7059",1809000,"Powiat lubaczowski",2002,76.3
"7060",1810000,"Powiat łańcucki",2002,75.4
"7061",1811000,"Powiat mielecki",2002,82.6
"7062",1812000,"Powiat niżański",2002,72
"7063",1813000,"Powiat przemyski",2002,74.1
"7064",1814000,"Powiat przeworski",2002,80.9
"7065",1815000,"Powiat ropczycko-sędziszowski",2002,80.9
"7066",1816000,"Powiat rzeszowski",2002,75.4
"7067",1817000,"Powiat sanocki",2002,80.8
"7068",1818000,"Powiat stalowowolski",2002,86.9
"7069",1819000,"Powiat strzyżowski",2002,73.3
"7070",1820000,"Powiat tarnobrzeski",2002,86.2
"7071",1821000,"Powiat leski",2002,83.4
"7072",1861000,"Powiat m.Krosno",2002,81.6
"7073",1862000,"Powiat m.Przemyśl",2002,84.1
"7074",1863000,"Powiat m.Rzeszów",2002,93.9
"7075",1864000,"Powiat m.Tarnobrzeg",2002,83.1
"7076",2001000,"Powiat augustowski",2002,104.9
"7077",2002000,"Powiat białostocki",2002,76.3
"7078",2003000,"Powiat bielski",2002,79.7
"7079",2004000,"Powiat grajewski",2002,92.8
"7080",2005000,"Powiat hajnowski",2002,75.4
"7081",2006000,"Powiat kolneński",2002,77.8
"7082",2007000,"Powiat łomżyński",2002,84
"7083",2008000,"Powiat moniecki",2002,79.7
"7084",2009000,"Powiat sejneński",2002,79.4
"7085",2010000,"Powiat siemiatycki",2002,79.4
"7086",2011000,"Powiat sokólski",2002,79
"7087",2012000,"Powiat suwalski",2002,79.1
"7088",2013000,"Powiat wysokomazowiecki",2002,80.7
"7089",2014000,"Powiat zambrowski",2002,77.8
"7090",2061000,"Powiat m.Białystok",2002,93.2
"7091",2062000,"Powiat m.Łomża",2002,84.7
"7092",2063000,"Powiat m.Suwałki",2002,85.2
"7093",2201000,"Powiat bytowski",2002,75.9
"7094",2202000,"Powiat chojnicki",2002,75.4
"7095",2203000,"Powiat człuchowski",2002,78.1
"7096",2204000,"Powiat gdański",2002,85.6
"7097",2205000,"Powiat kartuski",2002,78.2
"7098",2206000,"Powiat kościerski",2002,80.8
"7099",2207000,"Powiat kwidzyński",2002,99.3
"7100",2208000,"Powiat lęborski",2002,79.5
"7101",2209000,"Powiat malborski",2002,84.6
"7102",2210000,"Powiat nowodworski",2002,79.6
"7103",2211000,"Powiat pucki",2002,84.4
"7104",2212000,"Powiat słupski",2002,74.2
"7105",2213000,"Powiat starogardzki",2002,89.9
"7106",2214000,"Powiat tczewski",2002,88.6
"7107",2215000,"Powiat wejherowski",2002,83
"7108",2216000,"Powiat sztumski",2002,74.9
"7109",2261000,"Powiat m.Gdańsk",2002,111.2
"7110",2262000,"Powiat m.Gdynia",2002,108.2
"7111",2263000,"Powiat m.Słupsk",2002,88.3
"7112",2264000,"Powiat m.Sopot",2002,111.5
"7113",2401000,"Powiat będziński",2002,88
"7114",2402000,"Powiat bielski",2002,84
"7115",2403000,"Powiat cieszyński",2002,83.2
"7116",2404000,"Powiat częstochowski",2002,73.5
"7117",2405000,"Powiat gliwicki",2002,82.8
"7118",2406000,"Powiat kłobucki",2002,69.6
"7119",2407000,"Powiat lubliniecki",2002,80.6
"7120",2408000,"Powiat mikołowski",2002,96.4
"7121",2409000,"Powiat myszkowski",2002,70.9
"7122",2410000,"Powiat pszczyński",2002,82.5
"7123",2411000,"Powiat raciborski",2002,81.3
"7124",2412000,"Powiat rybnicki",2002,88.2
"7125",2413000,"Powiat tarnogórski",2002,81.1
"7126",2414000,"Powiat bieruńsko-lędziński",2002,85.2
"7127",2415000,"Powiat wodzisławski",2002,75.4
"7128",2416000,"Powiat zawierciański",2002,83
"7129",2417000,"Powiat żywiecki",2002,101.1
"7130",2461000,"Powiat m.Bielsko-Biała",2002,94.8
"7131",2462000,"Powiat m.Bytom",2002,101.7
"7132",2463000,"Powiat m.Chorzów",2002,84.7
"7133",2464000,"Powiat m.Częstochowa",2002,87.8
"7134",2465000,"Powiat m.Dąbrowa Górnicza",2002,104.9
"7135",2466000,"Powiat m.Gliwice",2002,116.6
"7136",2467000,"Powiat m.Jastrzębie-Zdrój",2002,136.8
"7137",2468000,"Powiat m.Jaworzno",2002,105.9
"7138",2469000,"Powiat m.Katowice",2002,120.9
"7139",2470000,"Powiat m.Mysłowice",2002,80.3
"7140",2471000,"Powiat m.Piekary Śląskie",2002,111.1
"7141",2472000,"Powiat m.Ruda Śląska",2002,123.1
"7142",2473000,"Powiat m.Rybnik",2002,125.7
"7143",2474000,"Powiat m.Siemianowice Śląskie",2002,86.9
"7144",2475000,"Powiat m.Sosnowiec",2002,89.7
"7145",2476000,"Powiat m.Świętochłowice",2002,85.8
"7146",2477000,"Powiat m.Tychy",2002,129.2
"7147",2478000,"Powiat m.Zabrze",2002,92.9
"7148",2479000,"Powiat m.Żory",2002,76.8
"7149",2601000,"Powiat buski",2002,78.6
"7150",2602000,"Powiat jędrzejowski",2002,87.7
"7151",2603000,"Powiat kazimierski",2002,75
"7152",2604000,"Powiat kielecki",2002,85.1
"7153",2605000,"Powiat konecki",2002,76.8
"7154",2606000,"Powiat opatowski",2002,96
"7155",2607000,"Powiat ostrowiecki",2002,79.1
"7156",2608000,"Powiat pińczowski",2002,109.3
"7157",2609000,"Powiat sandomierski",2002,86.8
"7158",2610000,"Powiat skarżyski",2002,82.7
"7159",2611000,"Powiat starachowicki",2002,75.2
"7160",2612000,"Powiat staszowski",2002,95.2
"7161",2613000,"Powiat włoszczowski",2002,85.9
"7162",2661000,"Powiat m.Kielce",2002,96.2
"7163",2801000,"Powiat bartoszycki",2002,79.1
"7164",2802000,"Powiat braniewski",2002,78.1
"7165",2803000,"Powiat działdowski",2002,73.9
"7166",2804000,"Powiat elbląski",2002,75.4
"7167",2805000,"Powiat ełcki",2002,81.3
"7168",2806000,"Powiat giżycki",2002,76.4
"7169",2807000,"Powiat iławski",2002,72.3
"7170",2808000,"Powiat kętrzyński",2002,78.3
"7171",2809000,"Powiat lidzbarski",2002,70
"7172",2810000,"Powiat mrągowski",2002,77.7
"7173",2811000,"Powiat nidzicki",2002,69.7
"7174",2812000,"Powiat nowomiejski",2002,71.5
"7175",2813000,"Powiat olecki",2002,79.4
"7176",2814000,"Powiat olsztyński",2002,78.6
"7177",2815000,"Powiat ostródzki",2002,78.6
"7178",2816000,"Powiat piski",2002,85.5
"7179",2817000,"Powiat szczycieński",2002,80.1
"7180",2818000,"Powiat gołdapski",2002,73
"7181",2819000,"Powiat węgorzewski",2002,73.6
"7182",2861000,"Powiat m.Elbląg",2002,101.9
"7183",2862000,"Powiat m.Olsztyn",2002,101.4
"7184",3001000,"Powiat chodzieski",2002,73.6
"7185",3002000,"Powiat czarnkowsko-trzcianecki",2002,80.4
"7186",3003000,"Powiat gnieźnieński",2002,80.4
"7187",3004000,"Powiat gostyński",2002,81.1
"7188",3005000,"Powiat grodziski",2002,76.4
"7189",3006000,"Powiat jarociński",2002,71.4
"7190",3007000,"Powiat kaliski",2002,73.9
"7191",3008000,"Powiat kępiński",2002,60.6
"7192",3009000,"Powiat kolski",2002,94.6
"7193",3010000,"Powiat koniński",2002,112.2
"7194",3011000,"Powiat kościański",2002,79.4
"7195",3012000,"Powiat krotoszyński",2002,74.7
"7196",3013000,"Powiat leszczyński",2002,82.6
"7197",3014000,"Powiat międzychodzki",2002,74.8
"7198",3015000,"Powiat nowotomyski",2002,80.2
"7199",3016000,"Powiat obornicki",2002,83
"7200",3017000,"Powiat ostrowski",2002,77.5
"7201",3018000,"Powiat ostrzeszowski",2002,79.6
"7202",3019000,"Powiat pilski",2002,87.6
"7203",3020000,"Powiat pleszewski",2002,72.9
"7204",3021000,"Powiat poznański",2002,91
"7205",3022000,"Powiat rawicki",2002,67.5
"7206",3023000,"Powiat słupecki",2002,76.2
"7207",3024000,"Powiat szamotulski",2002,90.7
"7208",3025000,"Powiat średzki",2002,85.7
"7209",3026000,"Powiat śremski",2002,81.3
"7210",3027000,"Powiat turecki",2002,86.4
"7211",3028000,"Powiat wągrowiecki",2002,77.2
"7212",3029000,"Powiat wolsztyński",2002,68.4
"7213",3030000,"Powiat wrzesiński",2002,74.2
"7214",3031000,"Powiat złotowski",2002,73.4
"7215",3061000,"Powiat m.Kalisz",2002,90.9
"7216",3062000,"Powiat m.Konin",2002,104.7
"7217",3063000,"Powiat m.Leszno",2002,88
"7218",3064000,"Powiat m.Poznań",2002,106.9
"7219",3201000,"Powiat białogardzki",2002,78.1
"7220",3202000,"Powiat choszczeński",2002,77.2
"7221",3203000,"Powiat drawski",2002,79.2
"7222",3204000,"Powiat goleniowski",2002,86.9
"7223",3205000,"Powiat gryficki",2002,81.7
"7224",3206000,"Powiat gryfiński",2002,104.3
"7225",3207000,"Powiat kamieński",2002,82.6
"7226",3208000,"Powiat kołobrzeski",2002,79.7
"7227",3209000,"Powiat koszaliński",2002,81.4
"7228",3210000,"Powiat myśliborski",2002,76.6
"7229",3211000,"Powiat policki",2002,109.1
"7230",3212000,"Powiat pyrzycki",2002,81.9
"7231",3213000,"Powiat sławieński",2002,75.9
"7232",3214000,"Powiat stargardzki",2002,83.2
"7233",3215000,"Powiat szczecinecki",2002,90.5
"7234",3216000,"Powiat świdwiński",2002,71.9
"7235",3217000,"Powiat wałecki",2002,76.4
"7236",3218000,"Powiat łobeski",2002,75.8
"7237",3261000,"Powiat m.Koszalin",2002,92.8
"7238",3262000,"Powiat m.Szczecin",2002,101.9
"7239",3263000,"Powiat m.Świnoujście",2002,89.5
"7240",201000,"Powiat bolesławiecki",2003,84.3
"7241",202000,"Powiat dzierżoniowski",2003,77.1
"7242",203000,"Powiat głogowski",2003,85.1
"7243",204000,"Powiat górowski",2003,75.3
"7244",205000,"Powiat jaworski",2003,76.3
"7245",206000,"Powiat jeleniogórski",2003,75.8
"7246",207000,"Powiat kamiennogórski",2003,77.3
"7247",208000,"Powiat kłodzki",2003,79.5
"7248",209000,"Powiat legnicki",2003,77
"7249",210000,"Powiat lubański",2003,75
"7250",211000,"Powiat lubiński",2003,156
"7251",212000,"Powiat lwówecki",2003,78.4
"7252",213000,"Powiat milicki",2003,74.9
"7253",214000,"Powiat oleśnicki",2003,76
"7254",215000,"Powiat oławski",2003,88.6
"7255",216000,"Powiat polkowicki",2003,91.5
"7256",217000,"Powiat strzeliński",2003,86.1
"7257",218000,"Powiat średzki",2003,86.9
"7258",219000,"Powiat świdnicki",2003,86.1
"7259",220000,"Powiat trzebnicki",2003,82.8
"7260",221000,"Powiat wałbrzyski",2003,89.3
"7261",222000,"Powiat wołowski",2003,82.1
"7262",223000,"Powiat wrocławski",2003,96
"7263",224000,"Powiat ząbkowicki",2003,82.3
"7264",225000,"Powiat zgorzelecki",2003,116.5
"7265",226000,"Powiat złotoryjski",2003,81.8
"7266",261000,"Powiat m.Jelenia Góra",2003,94
"7267",262000,"Powiat m.Legnica",2003,84.6
"7268",263000,"Powiat m.Wałbrzych do 2002",2003,NA
"7269",264000,"Powiat m.Wrocław",2003,102.3
"7270",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"7271",401000,"Powiat aleksandrowski",2003,74.2
"7272",402000,"Powiat brodnicki",2003,76.6
"7273",403000,"Powiat bydgoski",2003,77.1
"7274",404000,"Powiat chełmiński",2003,84.3
"7275",405000,"Powiat golubsko-dobrzyński",2003,74.7
"7276",406000,"Powiat grudziądzki",2003,73.4
"7277",407000,"Powiat inowrocławski",2003,82.7
"7278",408000,"Powiat lipnowski",2003,73.9
"7279",409000,"Powiat mogileński",2003,74.6
"7280",410000,"Powiat nakielski",2003,77.1
"7281",411000,"Powiat radziejowski",2003,76.7
"7282",412000,"Powiat rypiński",2003,75.7
"7283",413000,"Powiat sępoleński",2003,69.4
"7284",414000,"Powiat świecki",2003,94.7
"7285",415000,"Powiat toruński",2003,75.6
"7286",416000,"Powiat tucholski",2003,73.2
"7287",417000,"Powiat wąbrzeski",2003,78.2
"7288",418000,"Powiat włocławski",2003,69.8
"7289",419000,"Powiat żniński",2003,73.6
"7290",461000,"Powiat m.Bydgoszcz",2003,93.4
"7291",462000,"Powiat m.Grudziądz",2003,79.6
"7292",463000,"Powiat m.Toruń",2003,92.9
"7293",464000,"Powiat m.Włocławek",2003,90.3
"7294",601000,"Powiat bialski",2003,72
"7295",602000,"Powiat biłgorajski",2003,78.8
"7296",603000,"Powiat chełmski",2003,80.5
"7297",604000,"Powiat hrubieszowski",2003,77.6
"7298",605000,"Powiat janowski",2003,75.2
"7299",606000,"Powiat krasnostawski",2003,77.2
"7300",607000,"Powiat kraśnicki",2003,78
"7301",608000,"Powiat lubartowski",2003,75.9
"7302",609000,"Powiat lubelski",2003,76.1
