"","Kod","Nazwa","rok","POJAZDY_CTAB_ciagniki_rolnicze_szt"
"40133",1212000,"Powiat olkuski",1999,NA
"40134",1213000,"Powiat oświęcimski",1999,NA
"40135",1214000,"Powiat proszowicki",1999,NA
"40136",1215000,"Powiat suski",1999,NA
"40137",1216000,"Powiat tarnowski",1999,NA
"40138",1217000,"Powiat tatrzański",1999,NA
"40139",1218000,"Powiat wadowicki",1999,NA
"40140",1219000,"Powiat wielicki",1999,NA
"40141",1261000,"Powiat m.Kraków",1999,NA
"40142",1262000,"Powiat m.Nowy Sącz",1999,NA
"40143",1263000,"Powiat m.Tarnów",1999,NA
"40144",1401000,"Powiat białobrzeski",1999,NA
"40145",1402000,"Powiat ciechanowski",1999,NA
"40146",1403000,"Powiat garwoliński",1999,NA
"40147",1404000,"Powiat gostyniński",1999,NA
"40148",1405000,"Powiat grodziski",1999,NA
"40149",1406000,"Powiat grójecki",1999,NA
"40150",1407000,"Powiat kozienicki",1999,NA
"40151",1408000,"Powiat legionowski",1999,NA
"40152",1409000,"Powiat lipski",1999,NA
"40153",1410000,"Powiat łosicki",1999,NA
"40154",1411000,"Powiat makowski",1999,NA
"40155",1412000,"Powiat miński",1999,NA
"40156",1413000,"Powiat mławski",1999,NA
"40157",1414000,"Powiat nowodworski",1999,NA
"40158",1415000,"Powiat ostrołęcki",1999,NA
"40159",1416000,"Powiat ostrowski",1999,NA
"40160",1417000,"Powiat otwocki",1999,NA
"40161",1418000,"Powiat piaseczyński",1999,NA
"40162",1419000,"Powiat płocki",1999,NA
"40163",1420000,"Powiat płoński",1999,NA
"40164",1421000,"Powiat pruszkowski",1999,NA
"40165",1422000,"Powiat przasnyski",1999,NA
"40166",1423000,"Powiat przysuski",1999,NA
"40167",1424000,"Powiat pułtuski",1999,NA
"40168",1425000,"Powiat radomski",1999,NA
"40169",1426000,"Powiat siedlecki",1999,NA
"40170",1427000,"Powiat sierpecki",1999,NA
"40171",1428000,"Powiat sochaczewski",1999,NA
"40172",1429000,"Powiat sokołowski",1999,NA
"40173",1430000,"Powiat szydłowiecki",1999,NA
"40174",1432000,"Powiat warszawski zachodni",1999,NA
"40175",1433000,"Powiat węgrowski",1999,NA
"40176",1434000,"Powiat wołomiński",1999,NA
"40177",1435000,"Powiat wyszkowski",1999,NA
"40178",1436000,"Powiat zwoleński",1999,NA
"40179",1437000,"Powiat żuromiński",1999,NA
"40180",1438000,"Powiat żyrardowski",1999,NA
"40181",1461000,"Powiat m.Ostrołęka",1999,NA
"40182",1462000,"Powiat m.Płock",1999,NA
"40183",1463000,"Powiat m.Radom",1999,NA
"40184",1464000,"Powiat m.Siedlce",1999,NA
"40185",1465000,"Powiat m. st. Warszawa",1999,NA
"40186",1601000,"Powiat brzeski",1999,NA
"40187",1602000,"Powiat głubczycki",1999,NA
"40188",1603000,"Powiat kędzierzyńsko-kozielski",1999,NA
"40189",1604000,"Powiat kluczborski",1999,NA
"40190",1605000,"Powiat krapkowicki",1999,NA
"40191",1606000,"Powiat namysłowski",1999,NA
"40192",1607000,"Powiat nyski",1999,NA
"40193",1608000,"Powiat oleski",1999,NA
"40194",1609000,"Powiat opolski",1999,NA
"40195",1610000,"Powiat prudnicki",1999,NA
"40196",1611000,"Powiat strzelecki",1999,NA
"40197",1661000,"Powiat m.Opole",1999,NA
"40198",1801000,"Powiat bieszczadzki",1999,NA
"40199",1802000,"Powiat brzozowski",1999,NA
"40200",1803000,"Powiat dębicki",1999,NA
"40201",1804000,"Powiat jarosławski",1999,NA
"40202",1805000,"Powiat jasielski",1999,NA
"40203",1806000,"Powiat kolbuszowski",1999,NA
"40204",1807000,"Powiat krośnieński",1999,NA
"40205",1808000,"Powiat leżajski",1999,NA
"40206",1809000,"Powiat lubaczowski",1999,NA
"40207",1810000,"Powiat łańcucki",1999,NA
"40208",1811000,"Powiat mielecki",1999,NA
"40209",1812000,"Powiat niżański",1999,NA
"40210",1813000,"Powiat przemyski",1999,NA
"40211",1814000,"Powiat przeworski",1999,NA
"40212",1815000,"Powiat ropczycko-sędziszowski",1999,NA
"40213",1816000,"Powiat rzeszowski",1999,NA
"40214",1817000,"Powiat sanocki",1999,NA
"40215",1818000,"Powiat stalowowolski",1999,NA
"40216",1819000,"Powiat strzyżowski",1999,NA
"40217",1820000,"Powiat tarnobrzeski",1999,NA
"40218",1821000,"Powiat leski",1999,NA
"40219",1861000,"Powiat m.Krosno",1999,NA
"40220",1862000,"Powiat m.Przemyśl",1999,NA
"40221",1863000,"Powiat m.Rzeszów",1999,NA
"40222",1864000,"Powiat m.Tarnobrzeg",1999,NA
"40223",2001000,"Powiat augustowski",1999,NA
"40224",2002000,"Powiat białostocki",1999,NA
"40225",2003000,"Powiat bielski",1999,NA
"40226",2004000,"Powiat grajewski",1999,NA
"40227",2005000,"Powiat hajnowski",1999,NA
"40228",2006000,"Powiat kolneński",1999,NA
"40229",2007000,"Powiat łomżyński",1999,NA
"40230",2008000,"Powiat moniecki",1999,NA
"40231",2009000,"Powiat sejneński",1999,NA
"40232",2010000,"Powiat siemiatycki",1999,NA
"40233",2011000,"Powiat sokólski",1999,NA
"40234",2012000,"Powiat suwalski",1999,NA
"40235",2013000,"Powiat wysokomazowiecki",1999,NA
"40236",2014000,"Powiat zambrowski",1999,NA
"40237",2061000,"Powiat m.Białystok",1999,NA
"40238",2062000,"Powiat m.Łomża",1999,NA
"40239",2063000,"Powiat m.Suwałki",1999,NA
"40240",2201000,"Powiat bytowski",1999,NA
"40241",2202000,"Powiat chojnicki",1999,NA
"40242",2203000,"Powiat człuchowski",1999,NA
"40243",2204000,"Powiat gdański",1999,NA
"40244",2205000,"Powiat kartuski",1999,NA
"40245",2206000,"Powiat kościerski",1999,NA
"40246",2207000,"Powiat kwidzyński",1999,NA
"40247",2208000,"Powiat lęborski",1999,NA
"40248",2209000,"Powiat malborski",1999,NA
"40249",2210000,"Powiat nowodworski",1999,NA
"40250",2211000,"Powiat pucki",1999,NA
"40251",2212000,"Powiat słupski",1999,NA
"40252",2213000,"Powiat starogardzki",1999,NA
"40253",2214000,"Powiat tczewski",1999,NA
"40254",2215000,"Powiat wejherowski",1999,NA
"40255",2216000,"Powiat sztumski",1999,NA
"40256",2261000,"Powiat m.Gdańsk",1999,NA
"40257",2262000,"Powiat m.Gdynia",1999,NA
"40258",2263000,"Powiat m.Słupsk",1999,NA
"40259",2264000,"Powiat m.Sopot",1999,NA
"40260",2401000,"Powiat będziński",1999,NA
"40261",2402000,"Powiat bielski",1999,NA
"40262",2403000,"Powiat cieszyński",1999,NA
"40263",2404000,"Powiat częstochowski",1999,NA
"40264",2405000,"Powiat gliwicki",1999,NA
"40265",2406000,"Powiat kłobucki",1999,NA
"40266",2407000,"Powiat lubliniecki",1999,NA
"40267",2408000,"Powiat mikołowski",1999,NA
"40268",2409000,"Powiat myszkowski",1999,NA
"40269",2410000,"Powiat pszczyński",1999,NA
"40270",2411000,"Powiat raciborski",1999,NA
"40271",2412000,"Powiat rybnicki",1999,NA
"40272",2413000,"Powiat tarnogórski",1999,NA
"40273",2414000,"Powiat bieruńsko-lędziński",1999,NA
"40274",2415000,"Powiat wodzisławski",1999,NA
"40275",2416000,"Powiat zawierciański",1999,NA
"40276",2417000,"Powiat żywiecki",1999,NA
"40277",2461000,"Powiat m.Bielsko-Biała",1999,NA
"40278",2462000,"Powiat m.Bytom",1999,NA
"40279",2463000,"Powiat m.Chorzów",1999,NA
"40280",2464000,"Powiat m.Częstochowa",1999,NA
"40281",2465000,"Powiat m.Dąbrowa Górnicza",1999,NA
"40282",2466000,"Powiat m.Gliwice",1999,NA
"40283",2467000,"Powiat m.Jastrzębie-Zdrój",1999,NA
"40284",2468000,"Powiat m.Jaworzno",1999,NA
"40285",2469000,"Powiat m.Katowice",1999,NA
"40286",2470000,"Powiat m.Mysłowice",1999,NA
"40287",2471000,"Powiat m.Piekary Śląskie",1999,NA
"40288",2472000,"Powiat m.Ruda Śląska",1999,NA
"40289",2473000,"Powiat m.Rybnik",1999,NA
"40290",2474000,"Powiat m.Siemianowice Śląskie",1999,NA
"40291",2475000,"Powiat m.Sosnowiec",1999,NA
"40292",2476000,"Powiat m.Świętochłowice",1999,NA
"40293",2477000,"Powiat m.Tychy",1999,NA
"40294",2478000,"Powiat m.Zabrze",1999,NA
"40295",2479000,"Powiat m.Żory",1999,NA
"40296",2601000,"Powiat buski",1999,NA
"40297",2602000,"Powiat jędrzejowski",1999,NA
"40298",2603000,"Powiat kazimierski",1999,NA
"40299",2604000,"Powiat kielecki",1999,NA
"40300",2605000,"Powiat konecki",1999,NA
"40301",2606000,"Powiat opatowski",1999,NA
"40302",2607000,"Powiat ostrowiecki",1999,NA
"40303",2608000,"Powiat pińczowski",1999,NA
"40304",2609000,"Powiat sandomierski",1999,NA
"40305",2610000,"Powiat skarżyski",1999,NA
"40306",2611000,"Powiat starachowicki",1999,NA
"40307",2612000,"Powiat staszowski",1999,NA
"40308",2613000,"Powiat włoszczowski",1999,NA
"40309",2661000,"Powiat m.Kielce",1999,NA
"40310",2801000,"Powiat bartoszycki",1999,NA
"40311",2802000,"Powiat braniewski",1999,NA
"40312",2803000,"Powiat działdowski",1999,NA
"40313",2804000,"Powiat elbląski",1999,NA
"40314",2805000,"Powiat ełcki",1999,NA
"40315",2806000,"Powiat giżycki",1999,NA
"40316",2807000,"Powiat iławski",1999,NA
"40317",2808000,"Powiat kętrzyński",1999,NA
"40318",2809000,"Powiat lidzbarski",1999,NA
"40319",2810000,"Powiat mrągowski",1999,NA
"40320",2811000,"Powiat nidzicki",1999,NA
"40321",2812000,"Powiat nowomiejski",1999,NA
"40322",2813000,"Powiat olecki",1999,NA
"40323",2814000,"Powiat olsztyński",1999,NA
"40324",2815000,"Powiat ostródzki",1999,NA
"40325",2816000,"Powiat piski",1999,NA
"40326",2817000,"Powiat szczycieński",1999,NA
"40327",2818000,"Powiat gołdapski",1999,NA
"40328",2819000,"Powiat węgorzewski",1999,NA
"40329",2861000,"Powiat m.Elbląg",1999,NA
"40330",2862000,"Powiat m.Olsztyn",1999,NA
"40331",3001000,"Powiat chodzieski",1999,NA
"40332",3002000,"Powiat czarnkowsko-trzcianecki",1999,NA
"40333",3003000,"Powiat gnieźnieński",1999,NA
"40334",3004000,"Powiat gostyński",1999,NA
"40335",3005000,"Powiat grodziski",1999,NA
"40336",3006000,"Powiat jarociński",1999,NA
"40337",3007000,"Powiat kaliski",1999,NA
"40338",3008000,"Powiat kępiński",1999,NA
"40339",3009000,"Powiat kolski",1999,NA
"40340",3010000,"Powiat koniński",1999,NA
"40341",3011000,"Powiat kościański",1999,NA
"40342",3012000,"Powiat krotoszyński",1999,NA
"40343",3013000,"Powiat leszczyński",1999,NA
"40344",3014000,"Powiat międzychodzki",1999,NA
"40345",3015000,"Powiat nowotomyski",1999,NA
"40346",3016000,"Powiat obornicki",1999,NA
"40347",3017000,"Powiat ostrowski",1999,NA
"40348",3018000,"Powiat ostrzeszowski",1999,NA
"40349",3019000,"Powiat pilski",1999,NA
"40350",3020000,"Powiat pleszewski",1999,NA
"40351",3021000,"Powiat poznański",1999,NA
"40352",3022000,"Powiat rawicki",1999,NA
"40353",3023000,"Powiat słupecki",1999,NA
"40354",3024000,"Powiat szamotulski",1999,NA
"40355",3025000,"Powiat średzki",1999,NA
"40356",3026000,"Powiat śremski",1999,NA
"40357",3027000,"Powiat turecki",1999,NA
"40358",3028000,"Powiat wągrowiecki",1999,NA
"40359",3029000,"Powiat wolsztyński",1999,NA
"40360",3030000,"Powiat wrzesiński",1999,NA
"40361",3031000,"Powiat złotowski",1999,NA
"40362",3061000,"Powiat m.Kalisz",1999,NA
"40363",3062000,"Powiat m.Konin",1999,NA
"40364",3063000,"Powiat m.Leszno",1999,NA
"40365",3064000,"Powiat m.Poznań",1999,NA
"40366",3201000,"Powiat białogardzki",1999,NA
"40367",3202000,"Powiat choszczeński",1999,NA
"40368",3203000,"Powiat drawski",1999,NA
"40369",3204000,"Powiat goleniowski",1999,NA
"40370",3205000,"Powiat gryficki",1999,NA
"40371",3206000,"Powiat gryfiński",1999,NA
"40372",3207000,"Powiat kamieński",1999,NA
"40373",3208000,"Powiat kołobrzeski",1999,NA
"40374",3209000,"Powiat koszaliński",1999,NA
"40375",3210000,"Powiat myśliborski",1999,NA
"40376",3211000,"Powiat policki",1999,NA
"40377",3212000,"Powiat pyrzycki",1999,NA
"40378",3213000,"Powiat sławieński",1999,NA
"40379",3214000,"Powiat stargardzki",1999,NA
"40380",3215000,"Powiat szczecinecki",1999,NA
"40381",3216000,"Powiat świdwiński",1999,NA
"40382",3217000,"Powiat wałecki",1999,NA
"40383",3218000,"Powiat łobeski",1999,NA
"40384",3261000,"Powiat m.Koszalin",1999,NA
"40385",3262000,"Powiat m.Szczecin",1999,NA
"40386",3263000,"Powiat m.Świnoujście",1999,NA
"40387",201000,"Powiat bolesławiecki",2000,NA
"40388",202000,"Powiat dzierżoniowski",2000,NA
"40389",203000,"Powiat głogowski",2000,NA
"40390",204000,"Powiat górowski",2000,NA
"40391",205000,"Powiat jaworski",2000,NA
"40392",206000,"Powiat jeleniogórski",2000,NA
"40393",207000,"Powiat kamiennogórski",2000,NA
"40394",208000,"Powiat kłodzki",2000,NA
"40395",209000,"Powiat legnicki",2000,NA
"40396",210000,"Powiat lubański",2000,NA
"40397",211000,"Powiat lubiński",2000,NA
"40398",212000,"Powiat lwówecki",2000,NA
"40399",213000,"Powiat milicki",2000,NA
"40400",214000,"Powiat oleśnicki",2000,NA
"40401",215000,"Powiat oławski",2000,NA
"40402",216000,"Powiat polkowicki",2000,NA
"40403",217000,"Powiat strzeliński",2000,NA
"40404",218000,"Powiat średzki",2000,NA
"40405",219000,"Powiat świdnicki",2000,NA
"40406",220000,"Powiat trzebnicki",2000,NA
"40407",221000,"Powiat wałbrzyski",2000,NA
"40408",222000,"Powiat wołowski",2000,NA
"40409",223000,"Powiat wrocławski",2000,NA
"40410",224000,"Powiat ząbkowicki",2000,NA
"40411",225000,"Powiat zgorzelecki",2000,NA
"40412",226000,"Powiat złotoryjski",2000,NA
"40413",261000,"Powiat m.Jelenia Góra",2000,NA
"40414",262000,"Powiat m.Legnica",2000,NA
"40415",263000,"Powiat m.Wałbrzych do 2002",2000,NA
"40416",264000,"Powiat m.Wrocław",2000,NA
"40417",265000,"Powiat m.Wałbrzych od 2013",2000,NA
"40418",401000,"Powiat aleksandrowski",2000,NA
"40419",402000,"Powiat brodnicki",2000,NA
"40420",403000,"Powiat bydgoski",2000,NA
"40421",404000,"Powiat chełmiński",2000,NA
"40422",405000,"Powiat golubsko-dobrzyński",2000,NA
"40423",406000,"Powiat grudziądzki",2000,NA
"40424",407000,"Powiat inowrocławski",2000,NA
"40425",408000,"Powiat lipnowski",2000,NA
"40426",409000,"Powiat mogileński",2000,NA
"40427",410000,"Powiat nakielski",2000,NA
"40428",411000,"Powiat radziejowski",2000,NA
"40429",412000,"Powiat rypiński",2000,NA
"40430",413000,"Powiat sępoleński",2000,NA
"40431",414000,"Powiat świecki",2000,NA
"40432",415000,"Powiat toruński",2000,NA
"40433",416000,"Powiat tucholski",2000,NA
"40434",417000,"Powiat wąbrzeski",2000,NA
"40435",418000,"Powiat włocławski",2000,NA
"40436",419000,"Powiat żniński",2000,NA
"40437",461000,"Powiat m.Bydgoszcz",2000,NA
"40438",462000,"Powiat m.Grudziądz",2000,NA
"40439",463000,"Powiat m.Toruń",2000,NA
"40440",464000,"Powiat m.Włocławek",2000,NA
"40441",601000,"Powiat bialski",2000,NA
"40442",602000,"Powiat biłgorajski",2000,NA
"40443",603000,"Powiat chełmski",2000,NA
"40444",604000,"Powiat hrubieszowski",2000,NA
"40445",605000,"Powiat janowski",2000,NA
"40446",606000,"Powiat krasnostawski",2000,NA
"40447",607000,"Powiat kraśnicki",2000,NA
"40448",608000,"Powiat lubartowski",2000,NA
"40449",609000,"Powiat lubelski",2000,NA
"40450",610000,"Powiat łęczyński",2000,NA
"40451",611000,"Powiat łukowski",2000,NA
"40452",612000,"Powiat opolski",2000,NA
"40453",613000,"Powiat parczewski",2000,NA
"40454",614000,"Powiat puławski",2000,NA
"40455",615000,"Powiat radzyński",2000,NA
"40456",616000,"Powiat rycki",2000,NA
"40457",617000,"Powiat świdnicki",2000,NA
"40458",618000,"Powiat tomaszowski",2000,NA
"40459",619000,"Powiat włodawski",2000,NA
"40460",620000,"Powiat zamojski",2000,NA
"40461",661000,"Powiat m.Biała Podlaska",2000,NA
"40462",662000,"Powiat m.Chełm",2000,NA
"40463",663000,"Powiat m.Lublin",2000,NA
"40464",664000,"Powiat m.Zamość",2000,NA
"40465",801000,"Powiat gorzowski",2000,NA
"40466",802000,"Powiat krośnieński",2000,NA
"40467",803000,"Powiat międzyrzecki",2000,NA
"40468",804000,"Powiat nowosolski",2000,NA
"40469",805000,"Powiat słubicki",2000,NA
"40470",806000,"Powiat strzelecko-drezdenecki",2000,NA
"40471",807000,"Powiat sulęciński",2000,NA
"40472",808000,"Powiat świebodziński",2000,NA
"40473",809000,"Powiat zielonogórski",2000,NA
"40474",810000,"Powiat żagański",2000,NA
"40475",811000,"Powiat żarski",2000,NA
"40476",812000,"Powiat wschowski",2000,NA
"40477",861000,"Powiat m.Gorzów Wielkopolski",2000,NA
"40478",862000,"Powiat m.Zielona Góra",2000,NA
"40479",1001000,"Powiat bełchatowski",2000,NA
"40480",1002000,"Powiat kutnowski",2000,NA
"40481",1003000,"Powiat łaski",2000,NA
"40482",1004000,"Powiat łęczycki",2000,NA
"40483",1005000,"Powiat łowicki",2000,NA
"40484",1006000,"Powiat łódzki wschodni",2000,NA
"40485",1007000,"Powiat opoczyński",2000,NA
"40486",1008000,"Powiat pabianicki",2000,NA
"40487",1009000,"Powiat pajęczański",2000,NA
"40488",1010000,"Powiat piotrkowski",2000,NA
"40489",1011000,"Powiat poddębicki",2000,NA
"40490",1012000,"Powiat radomszczański",2000,NA
"40491",1013000,"Powiat rawski",2000,NA
"40492",1014000,"Powiat sieradzki",2000,NA
"40493",1015000,"Powiat skierniewicki",2000,NA
"40494",1016000,"Powiat tomaszowski",2000,NA
"40495",1017000,"Powiat wieluński",2000,NA
"40496",1018000,"Powiat wieruszowski",2000,NA
"40497",1019000,"Powiat zduńskowolski",2000,NA
"40498",1020000,"Powiat zgierski",2000,NA
"40499",1021000,"Powiat brzeziński",2000,NA
"40500",1061000,"Powiat m.Łódź",2000,NA
"40501",1062000,"Powiat m.Piotrków Trybunalski",2000,NA
"40502",1063000,"Powiat m.Skierniewice",2000,NA
"40503",1201000,"Powiat bocheński",2000,NA
"40504",1202000,"Powiat brzeski",2000,NA
"40505",1203000,"Powiat chrzanowski",2000,NA
"40506",1204000,"Powiat dąbrowski",2000,NA
"40507",1205000,"Powiat gorlicki",2000,NA
"40508",1206000,"Powiat krakowski",2000,NA
"40509",1207000,"Powiat limanowski",2000,NA
"40510",1208000,"Powiat miechowski",2000,NA
"40511",1209000,"Powiat myślenicki",2000,NA
"40512",1210000,"Powiat nowosądecki",2000,NA
"40513",1211000,"Powiat nowotarski",2000,NA
"40514",1212000,"Powiat olkuski",2000,NA
"40515",1213000,"Powiat oświęcimski",2000,NA
"40516",1214000,"Powiat proszowicki",2000,NA
"40517",1215000,"Powiat suski",2000,NA
"40518",1216000,"Powiat tarnowski",2000,NA
"40519",1217000,"Powiat tatrzański",2000,NA
"40520",1218000,"Powiat wadowicki",2000,NA
"40521",1219000,"Powiat wielicki",2000,NA
"40522",1261000,"Powiat m.Kraków",2000,NA
"40523",1262000,"Powiat m.Nowy Sącz",2000,NA
"40524",1263000,"Powiat m.Tarnów",2000,NA
