"","Kod","Nazwa","rok","POJAZDY_CTAB_samochody_osobowe_szt"
"8129",1212000,"Powiat olkuski",1999,NA
"8130",1213000,"Powiat oświęcimski",1999,NA
"8131",1214000,"Powiat proszowicki",1999,NA
"8132",1215000,"Powiat suski",1999,NA
"8133",1216000,"Powiat tarnowski",1999,NA
"8134",1217000,"Powiat tatrzański",1999,NA
"8135",1218000,"Powiat wadowicki",1999,NA
"8136",1219000,"Powiat wielicki",1999,NA
"8137",1261000,"Powiat m.Kraków",1999,NA
"8138",1262000,"Powiat m.Nowy Sącz",1999,NA
"8139",1263000,"Powiat m.Tarnów",1999,NA
"8140",1401000,"Powiat białobrzeski",1999,NA
"8141",1402000,"Powiat ciechanowski",1999,NA
"8142",1403000,"Powiat garwoliński",1999,NA
"8143",1404000,"Powiat gostyniński",1999,NA
"8144",1405000,"Powiat grodziski",1999,NA
"8145",1406000,"Powiat grójecki",1999,NA
"8146",1407000,"Powiat kozienicki",1999,NA
"8147",1408000,"Powiat legionowski",1999,NA
"8148",1409000,"Powiat lipski",1999,NA
"8149",1410000,"Powiat łosicki",1999,NA
"8150",1411000,"Powiat makowski",1999,NA
"8151",1412000,"Powiat miński",1999,NA
"8152",1413000,"Powiat mławski",1999,NA
"8153",1414000,"Powiat nowodworski",1999,NA
"8154",1415000,"Powiat ostrołęcki",1999,NA
"8155",1416000,"Powiat ostrowski",1999,NA
"8156",1417000,"Powiat otwocki",1999,NA
"8157",1418000,"Powiat piaseczyński",1999,NA
"8158",1419000,"Powiat płocki",1999,NA
"8159",1420000,"Powiat płoński",1999,NA
"8160",1421000,"Powiat pruszkowski",1999,NA
"8161",1422000,"Powiat przasnyski",1999,NA
"8162",1423000,"Powiat przysuski",1999,NA
"8163",1424000,"Powiat pułtuski",1999,NA
"8164",1425000,"Powiat radomski",1999,NA
"8165",1426000,"Powiat siedlecki",1999,NA
"8166",1427000,"Powiat sierpecki",1999,NA
"8167",1428000,"Powiat sochaczewski",1999,NA
"8168",1429000,"Powiat sokołowski",1999,NA
"8169",1430000,"Powiat szydłowiecki",1999,NA
"8170",1432000,"Powiat warszawski zachodni",1999,NA
"8171",1433000,"Powiat węgrowski",1999,NA
"8172",1434000,"Powiat wołomiński",1999,NA
"8173",1435000,"Powiat wyszkowski",1999,NA
"8174",1436000,"Powiat zwoleński",1999,NA
"8175",1437000,"Powiat żuromiński",1999,NA
"8176",1438000,"Powiat żyrardowski",1999,NA
"8177",1461000,"Powiat m.Ostrołęka",1999,NA
"8178",1462000,"Powiat m.Płock",1999,NA
"8179",1463000,"Powiat m.Radom",1999,NA
"8180",1464000,"Powiat m.Siedlce",1999,NA
"8181",1465000,"Powiat m. st. Warszawa",1999,NA
