"","Kod","Nazwa","rok","POJAZDY_CTAB_samochody_osobowe_szt"
"10060",1416000,"Powiat ostrowski",2004,NA
"10061",1417000,"Powiat otwocki",2004,NA
"10062",1418000,"Powiat piaseczyński",2004,NA
"10063",1419000,"Powiat płocki",2004,NA
"10064",1420000,"Powiat płoński",2004,NA
"10065",1421000,"Powiat pruszkowski",2004,NA
"10066",1422000,"Powiat przasnyski",2004,NA
"10067",1423000,"Powiat przysuski",2004,NA
"10068",1424000,"Powiat pułtuski",2004,NA
"10069",1425000,"Powiat radomski",2004,NA
"10070",1426000,"Powiat siedlecki",2004,NA
"10071",1427000,"Powiat sierpecki",2004,NA
"10072",1428000,"Powiat sochaczewski",2004,NA
"10073",1429000,"Powiat sokołowski",2004,NA
"10074",1430000,"Powiat szydłowiecki",2004,NA
"10075",1432000,"Powiat warszawski zachodni",2004,NA
"10076",1433000,"Powiat węgrowski",2004,NA
"10077",1434000,"Powiat wołomiński",2004,NA
"10078",1435000,"Powiat wyszkowski",2004,NA
"10079",1436000,"Powiat zwoleński",2004,NA
"10080",1437000,"Powiat żuromiński",2004,NA
"10081",1438000,"Powiat żyrardowski",2004,NA
"10082",1461000,"Powiat m.Ostrołęka",2004,NA
"10083",1462000,"Powiat m.Płock",2004,NA
"10084",1463000,"Powiat m.Radom",2004,NA
"10085",1464000,"Powiat m.Siedlce",2004,NA
"10086",1465000,"Powiat m. st. Warszawa",2004,NA
"10087",1601000,"Powiat brzeski",2004,NA
"10088",1602000,"Powiat głubczycki",2004,NA
"10089",1603000,"Powiat kędzierzyńsko-kozielski",2004,NA
"10090",1604000,"Powiat kluczborski",2004,NA
"10091",1605000,"Powiat krapkowicki",2004,NA
"10092",1606000,"Powiat namysłowski",2004,NA
"10093",1607000,"Powiat nyski",2004,NA
"10094",1608000,"Powiat oleski",2004,NA
"10095",1609000,"Powiat opolski",2004,NA
"10096",1610000,"Powiat prudnicki",2004,NA
"10097",1611000,"Powiat strzelecki",2004,NA
"10098",1661000,"Powiat m.Opole",2004,NA
"10099",1801000,"Powiat bieszczadzki",2004,NA
"10100",1802000,"Powiat brzozowski",2004,NA
"10101",1803000,"Powiat dębicki",2004,NA
"10102",1804000,"Powiat jarosławski",2004,NA
"10103",1805000,"Powiat jasielski",2004,NA
"10104",1806000,"Powiat kolbuszowski",2004,NA
"10105",1807000,"Powiat krośnieński",2004,NA
"10106",1808000,"Powiat leżajski",2004,NA
"10107",1809000,"Powiat lubaczowski",2004,NA
"10108",1810000,"Powiat łańcucki",2004,NA
"10109",1811000,"Powiat mielecki",2004,NA
"10110",1812000,"Powiat niżański",2004,NA
"10111",1813000,"Powiat przemyski",2004,NA
"10112",1814000,"Powiat przeworski",2004,NA
"10113",1815000,"Powiat ropczycko-sędziszowski",2004,NA
"10114",1816000,"Powiat rzeszowski",2004,NA
"10115",1817000,"Powiat sanocki",2004,NA
"10116",1818000,"Powiat stalowowolski",2004,NA
"10117",1819000,"Powiat strzyżowski",2004,NA
"10118",1820000,"Powiat tarnobrzeski",2004,NA
"10119",1821000,"Powiat leski",2004,NA
"10120",1861000,"Powiat m.Krosno",2004,NA
"10121",1862000,"Powiat m.Przemyśl",2004,NA
"10122",1863000,"Powiat m.Rzeszów",2004,NA
"10123",1864000,"Powiat m.Tarnobrzeg",2004,NA
"10124",2001000,"Powiat augustowski",2004,NA
"10125",2002000,"Powiat białostocki",2004,NA
"10126",2003000,"Powiat bielski",2004,NA
"10127",2004000,"Powiat grajewski",2004,NA
"10128",2005000,"Powiat hajnowski",2004,NA
"10129",2006000,"Powiat kolneński",2004,NA
"10130",2007000,"Powiat łomżyński",2004,NA
"10131",2008000,"Powiat moniecki",2004,NA
"10132",2009000,"Powiat sejneński",2004,NA
"10133",2010000,"Powiat siemiatycki",2004,NA
"10134",2011000,"Powiat sokólski",2004,NA
"10135",2012000,"Powiat suwalski",2004,NA
"10136",2013000,"Powiat wysokomazowiecki",2004,NA
"10137",2014000,"Powiat zambrowski",2004,NA
"10138",2061000,"Powiat m.Białystok",2004,NA
"10139",2062000,"Powiat m.Łomża",2004,NA
"10140",2063000,"Powiat m.Suwałki",2004,NA
"10141",2201000,"Powiat bytowski",2004,NA
"10142",2202000,"Powiat chojnicki",2004,NA
"10143",2203000,"Powiat człuchowski",2004,NA
"10144",2204000,"Powiat gdański",2004,NA
"10145",2205000,"Powiat kartuski",2004,NA
"10146",2206000,"Powiat kościerski",2004,NA
"10147",2207000,"Powiat kwidzyński",2004,NA
"10148",2208000,"Powiat lęborski",2004,NA
"10149",2209000,"Powiat malborski",2004,NA
"10150",2210000,"Powiat nowodworski",2004,NA
"10151",2211000,"Powiat pucki",2004,NA
"10152",2212000,"Powiat słupski",2004,NA
"10153",2213000,"Powiat starogardzki",2004,NA
"10154",2214000,"Powiat tczewski",2004,NA
"10155",2215000,"Powiat wejherowski",2004,NA
"10156",2216000,"Powiat sztumski",2004,NA
"10157",2261000,"Powiat m.Gdańsk",2004,NA
"10158",2262000,"Powiat m.Gdynia",2004,NA
"10159",2263000,"Powiat m.Słupsk",2004,NA
"10160",2264000,"Powiat m.Sopot",2004,NA
"10161",2401000,"Powiat będziński",2004,NA
"10162",2402000,"Powiat bielski",2004,NA
"10163",2403000,"Powiat cieszyński",2004,NA
"10164",2404000,"Powiat częstochowski",2004,NA
"10165",2405000,"Powiat gliwicki",2004,NA
"10166",2406000,"Powiat kłobucki",2004,NA
"10167",2407000,"Powiat lubliniecki",2004,NA
"10168",2408000,"Powiat mikołowski",2004,NA
"10169",2409000,"Powiat myszkowski",2004,NA
"10170",2410000,"Powiat pszczyński",2004,NA
"10171",2411000,"Powiat raciborski",2004,NA
"10172",2412000,"Powiat rybnicki",2004,NA
"10173",2413000,"Powiat tarnogórski",2004,NA
"10174",2414000,"Powiat bieruńsko-lędziński",2004,NA
"10175",2415000,"Powiat wodzisławski",2004,NA
"10176",2416000,"Powiat zawierciański",2004,NA
"10177",2417000,"Powiat żywiecki",2004,NA
"10178",2461000,"Powiat m.Bielsko-Biała",2004,NA
"10179",2462000,"Powiat m.Bytom",2004,NA
"10180",2463000,"Powiat m.Chorzów",2004,NA
"10181",2464000,"Powiat m.Częstochowa",2004,NA
"10182",2465000,"Powiat m.Dąbrowa Górnicza",2004,NA
"10183",2466000,"Powiat m.Gliwice",2004,NA
"10184",2467000,"Powiat m.Jastrzębie-Zdrój",2004,NA
"10185",2468000,"Powiat m.Jaworzno",2004,NA
"10186",2469000,"Powiat m.Katowice",2004,NA
"10187",2470000,"Powiat m.Mysłowice",2004,NA
"10188",2471000,"Powiat m.Piekary Śląskie",2004,NA
"10189",2472000,"Powiat m.Ruda Śląska",2004,NA
"10190",2473000,"Powiat m.Rybnik",2004,NA
"10191",2474000,"Powiat m.Siemianowice Śląskie",2004,NA
"10192",2475000,"Powiat m.Sosnowiec",2004,NA
"10193",2476000,"Powiat m.Świętochłowice",2004,NA
"10194",2477000,"Powiat m.Tychy",2004,NA
"10195",2478000,"Powiat m.Zabrze",2004,NA
"10196",2479000,"Powiat m.Żory",2004,NA
"10197",2601000,"Powiat buski",2004,NA
"10198",2602000,"Powiat jędrzejowski",2004,NA
"10199",2603000,"Powiat kazimierski",2004,NA
"10200",2604000,"Powiat kielecki",2004,NA
"10201",2605000,"Powiat konecki",2004,NA
"10202",2606000,"Powiat opatowski",2004,NA
"10203",2607000,"Powiat ostrowiecki",2004,NA
"10204",2608000,"Powiat pińczowski",2004,NA
"10205",2609000,"Powiat sandomierski",2004,NA
"10206",2610000,"Powiat skarżyski",2004,NA
"10207",2611000,"Powiat starachowicki",2004,NA
"10208",2612000,"Powiat staszowski",2004,NA
"10209",2613000,"Powiat włoszczowski",2004,NA
"10210",2661000,"Powiat m.Kielce",2004,NA
"10211",2801000,"Powiat bartoszycki",2004,NA
"10212",2802000,"Powiat braniewski",2004,NA
"10213",2803000,"Powiat działdowski",2004,NA
"10214",2804000,"Powiat elbląski",2004,NA
"10215",2805000,"Powiat ełcki",2004,NA
"10216",2806000,"Powiat giżycki",2004,NA
"10217",2807000,"Powiat iławski",2004,NA
"10218",2808000,"Powiat kętrzyński",2004,NA
"10219",2809000,"Powiat lidzbarski",2004,NA
"10220",2810000,"Powiat mrągowski",2004,NA
"10221",2811000,"Powiat nidzicki",2004,NA
"10222",2812000,"Powiat nowomiejski",2004,NA
"10223",2813000,"Powiat olecki",2004,NA
"10224",2814000,"Powiat olsztyński",2004,NA
"10225",2815000,"Powiat ostródzki",2004,NA
"10226",2816000,"Powiat piski",2004,NA
"10227",2817000,"Powiat szczycieński",2004,NA
"10228",2818000,"Powiat gołdapski",2004,NA
"10229",2819000,"Powiat węgorzewski",2004,NA
"10230",2861000,"Powiat m.Elbląg",2004,NA
"10231",2862000,"Powiat m.Olsztyn",2004,NA
"10232",3001000,"Powiat chodzieski",2004,NA
"10233",3002000,"Powiat czarnkowsko-trzcianecki",2004,NA
"10234",3003000,"Powiat gnieźnieński",2004,NA
"10235",3004000,"Powiat gostyński",2004,NA
"10236",3005000,"Powiat grodziski",2004,NA
"10237",3006000,"Powiat jarociński",2004,NA
"10238",3007000,"Powiat kaliski",2004,NA
"10239",3008000,"Powiat kępiński",2004,NA
"10240",3009000,"Powiat kolski",2004,NA
"10241",3010000,"Powiat koniński",2004,NA
"10242",3011000,"Powiat kościański",2004,NA
"10243",3012000,"Powiat krotoszyński",2004,NA
"10244",3013000,"Powiat leszczyński",2004,NA
"10245",3014000,"Powiat międzychodzki",2004,NA
"10246",3015000,"Powiat nowotomyski",2004,NA
"10247",3016000,"Powiat obornicki",2004,NA
"10248",3017000,"Powiat ostrowski",2004,NA
"10249",3018000,"Powiat ostrzeszowski",2004,NA
"10250",3019000,"Powiat pilski",2004,NA
"10251",3020000,"Powiat pleszewski",2004,NA
"10252",3021000,"Powiat poznański",2004,NA
"10253",3022000,"Powiat rawicki",2004,NA
"10254",3023000,"Powiat słupecki",2004,NA
"10255",3024000,"Powiat szamotulski",2004,NA
"10256",3025000,"Powiat średzki",2004,NA
"10257",3026000,"Powiat śremski",2004,NA
"10258",3027000,"Powiat turecki",2004,NA
"10259",3028000,"Powiat wągrowiecki",2004,NA
"10260",3029000,"Powiat wolsztyński",2004,NA
"10261",3030000,"Powiat wrzesiński",2004,NA
"10262",3031000,"Powiat złotowski",2004,NA
"10263",3061000,"Powiat m.Kalisz",2004,NA
"10264",3062000,"Powiat m.Konin",2004,NA
"10265",3063000,"Powiat m.Leszno",2004,NA
"10266",3064000,"Powiat m.Poznań",2004,NA
"10267",3201000,"Powiat białogardzki",2004,NA
"10268",3202000,"Powiat choszczeński",2004,NA
"10269",3203000,"Powiat drawski",2004,NA
"10270",3204000,"Powiat goleniowski",2004,NA
"10271",3205000,"Powiat gryficki",2004,NA
"10272",3206000,"Powiat gryfiński",2004,NA
"10273",3207000,"Powiat kamieński",2004,NA
"10274",3208000,"Powiat kołobrzeski",2004,NA
"10275",3209000,"Powiat koszaliński",2004,NA
"10276",3210000,"Powiat myśliborski",2004,NA
"10277",3211000,"Powiat policki",2004,NA
"10278",3212000,"Powiat pyrzycki",2004,NA
"10279",3213000,"Powiat sławieński",2004,NA
"10280",3214000,"Powiat stargardzki",2004,NA
"10281",3215000,"Powiat szczecinecki",2004,NA
"10282",3216000,"Powiat świdwiński",2004,NA
"10283",3217000,"Powiat wałecki",2004,NA
"10284",3218000,"Powiat łobeski",2004,NA
"10285",3261000,"Powiat m.Koszalin",2004,NA
"10286",3262000,"Powiat m.Szczecin",2004,NA
"10287",3263000,"Powiat m.Świnoujście",2004,NA
"10288",201000,"Powiat bolesławiecki",2005,NA
"10289",202000,"Powiat dzierżoniowski",2005,NA
"10290",203000,"Powiat głogowski",2005,NA
"10291",204000,"Powiat górowski",2005,NA
"10292",205000,"Powiat jaworski",2005,NA
"10293",206000,"Powiat jeleniogórski",2005,NA
"10294",207000,"Powiat kamiennogórski",2005,NA
"10295",208000,"Powiat kłodzki",2005,NA
"10296",209000,"Powiat legnicki",2005,NA
"10297",210000,"Powiat lubański",2005,NA
"10298",211000,"Powiat lubiński",2005,NA
"10299",212000,"Powiat lwówecki",2005,NA
"10300",213000,"Powiat milicki",2005,NA
"10301",214000,"Powiat oleśnicki",2005,NA
"10302",215000,"Powiat oławski",2005,NA
"10303",216000,"Powiat polkowicki",2005,NA
"10304",217000,"Powiat strzeliński",2005,NA
"10305",218000,"Powiat średzki",2005,NA
"10306",219000,"Powiat świdnicki",2005,NA
"10307",220000,"Powiat trzebnicki",2005,NA
"10308",221000,"Powiat wałbrzyski",2005,NA
"10309",222000,"Powiat wołowski",2005,NA
"10310",223000,"Powiat wrocławski",2005,NA
"10311",224000,"Powiat ząbkowicki",2005,NA
"10312",225000,"Powiat zgorzelecki",2005,NA
"10313",226000,"Powiat złotoryjski",2005,NA
"10314",261000,"Powiat m.Jelenia Góra",2005,NA
"10315",262000,"Powiat m.Legnica",2005,NA
"10316",263000,"Powiat m.Wałbrzych do 2002",2005,NA
"10317",264000,"Powiat m.Wrocław",2005,NA
"10318",265000,"Powiat m.Wałbrzych od 2013",2005,NA
"10319",401000,"Powiat aleksandrowski",2005,NA
"10320",402000,"Powiat brodnicki",2005,NA
"10321",403000,"Powiat bydgoski",2005,NA
"10322",404000,"Powiat chełmiński",2005,NA
"10323",405000,"Powiat golubsko-dobrzyński",2005,NA
"10324",406000,"Powiat grudziądzki",2005,NA
"10325",407000,"Powiat inowrocławski",2005,NA
"10326",408000,"Powiat lipnowski",2005,NA
"10327",409000,"Powiat mogileński",2005,NA
"10328",410000,"Powiat nakielski",2005,NA
"10329",411000,"Powiat radziejowski",2005,NA
"10330",412000,"Powiat rypiński",2005,NA
"10331",413000,"Powiat sępoleński",2005,NA
"10332",414000,"Powiat świecki",2005,NA
"10333",415000,"Powiat toruński",2005,NA
"10334",416000,"Powiat tucholski",2005,NA
"10335",417000,"Powiat wąbrzeski",2005,NA
"10336",418000,"Powiat włocławski",2005,NA
"10337",419000,"Powiat żniński",2005,NA
"10338",461000,"Powiat m.Bydgoszcz",2005,NA
"10339",462000,"Powiat m.Grudziądz",2005,NA
"10340",463000,"Powiat m.Toruń",2005,NA
"10341",464000,"Powiat m.Włocławek",2005,NA
"10342",601000,"Powiat bialski",2005,NA
"10343",602000,"Powiat biłgorajski",2005,NA
"10344",603000,"Powiat chełmski",2005,NA
"10345",604000,"Powiat hrubieszowski",2005,NA
"10346",605000,"Powiat janowski",2005,NA
"10347",606000,"Powiat krasnostawski",2005,NA
"10348",607000,"Powiat kraśnicki",2005,NA
"10349",608000,"Powiat lubartowski",2005,NA
"10350",609000,"Powiat lubelski",2005,NA
"10351",610000,"Powiat łęczyński",2005,NA
"10352",611000,"Powiat łukowski",2005,NA
"10353",612000,"Powiat opolski",2005,NA
"10354",613000,"Powiat parczewski",2005,NA
"10355",614000,"Powiat puławski",2005,NA
"10356",615000,"Powiat radzyński",2005,NA
"10357",616000,"Powiat rycki",2005,NA
"10358",617000,"Powiat świdnicki",2005,NA
"10359",618000,"Powiat tomaszowski",2005,NA
"10360",619000,"Powiat włodawski",2005,NA
"10361",620000,"Powiat zamojski",2005,NA
"10362",661000,"Powiat m.Biała Podlaska",2005,NA
"10363",662000,"Powiat m.Chełm",2005,NA
"10364",663000,"Powiat m.Lublin",2005,NA
"10365",664000,"Powiat m.Zamość",2005,NA
"10366",801000,"Powiat gorzowski",2005,NA
"10367",802000,"Powiat krośnieński",2005,NA
"10368",803000,"Powiat międzyrzecki",2005,NA
"10369",804000,"Powiat nowosolski",2005,NA
"10370",805000,"Powiat słubicki",2005,NA
"10371",806000,"Powiat strzelecko-drezdenecki",2005,NA
"10372",807000,"Powiat sulęciński",2005,NA
"10373",808000,"Powiat świebodziński",2005,NA
"10374",809000,"Powiat zielonogórski",2005,NA
"10375",810000,"Powiat żagański",2005,NA
"10376",811000,"Powiat żarski",2005,NA
"10377",812000,"Powiat wschowski",2005,NA
"10378",861000,"Powiat m.Gorzów Wielkopolski",2005,NA
"10379",862000,"Powiat m.Zielona Góra",2005,NA
"10380",1001000,"Powiat bełchatowski",2005,NA
"10381",1002000,"Powiat kutnowski",2005,NA
"10382",1003000,"Powiat łaski",2005,NA
"10383",1004000,"Powiat łęczycki",2005,NA
"10384",1005000,"Powiat łowicki",2005,NA
"10385",1006000,"Powiat łódzki wschodni",2005,NA
"10386",1007000,"Powiat opoczyński",2005,NA
"10387",1008000,"Powiat pabianicki",2005,NA
"10388",1009000,"Powiat pajęczański",2005,NA
"10389",1010000,"Powiat piotrkowski",2005,NA
"10390",1011000,"Powiat poddębicki",2005,NA
"10391",1012000,"Powiat radomszczański",2005,NA
"10392",1013000,"Powiat rawski",2005,NA
"10393",1014000,"Powiat sieradzki",2005,NA
"10394",1015000,"Powiat skierniewicki",2005,NA
"10395",1016000,"Powiat tomaszowski",2005,NA
"10396",1017000,"Powiat wieluński",2005,NA
"10397",1018000,"Powiat wieruszowski",2005,NA
"10398",1019000,"Powiat zduńskowolski",2005,NA
"10399",1020000,"Powiat zgierski",2005,NA
"10400",1021000,"Powiat brzeziński",2005,NA
"10401",1061000,"Powiat m.Łódź",2005,NA
"10402",1062000,"Powiat m.Piotrków Trybunalski",2005,NA
"10403",1063000,"Powiat m.Skierniewice",2005,NA
"10404",1201000,"Powiat bocheński",2005,NA
"10405",1202000,"Powiat brzeski",2005,NA
"10406",1203000,"Powiat chrzanowski",2005,NA
"10407",1204000,"Powiat dąbrowski",2005,NA
"10408",1205000,"Powiat gorlicki",2005,NA
"10409",1206000,"Powiat krakowski",2005,NA
"10410",1207000,"Powiat limanowski",2005,NA
"10411",1208000,"Powiat miechowski",2005,NA
"10412",1209000,"Powiat myślenicki",2005,NA
"10413",1210000,"Powiat nowosądecki",2005,NA
"10414",1211000,"Powiat nowotarski",2005,NA
"10415",1212000,"Powiat olkuski",2005,NA
"10416",1213000,"Powiat oświęcimski",2005,NA
"10417",1214000,"Powiat proszowicki",2005,NA
"10418",1215000,"Powiat suski",2005,NA
"10419",1216000,"Powiat tarnowski",2005,NA
"10420",1217000,"Powiat tatrzański",2005,NA
"10421",1218000,"Powiat wadowicki",2005,NA
"10422",1219000,"Powiat wielicki",2005,NA
"10423",1261000,"Powiat m.Kraków",2005,NA
"10424",1262000,"Powiat m.Nowy Sącz",2005,NA
"10425",1263000,"Powiat m.Tarnów",2005,NA
"10426",1401000,"Powiat białobrzeski",2005,NA
"10427",1402000,"Powiat ciechanowski",2005,NA
"10428",1403000,"Powiat garwoliński",2005,NA
"10429",1404000,"Powiat gostyniński",2005,NA
"10430",1405000,"Powiat grodziski",2005,NA
"10431",1406000,"Powiat grójecki",2005,NA
"10432",1407000,"Powiat kozienicki",2005,NA
"10433",1408000,"Powiat legionowski",2005,NA
"10434",1409000,"Powiat lipski",2005,NA
"10435",1410000,"Powiat łosicki",2005,NA
"10436",1411000,"Powiat makowski",2005,NA
"10437",1412000,"Powiat miński",2005,NA
"10438",1413000,"Powiat mławski",2005,NA
"10439",1414000,"Powiat nowodworski",2005,NA
"10440",1415000,"Powiat ostrołęcki",2005,NA
"10441",1416000,"Powiat ostrowski",2005,NA
"10442",1417000,"Powiat otwocki",2005,NA
"10443",1418000,"Powiat piaseczyński",2005,NA
"10444",1419000,"Powiat płocki",2005,NA
"10445",1420000,"Powiat płoński",2005,NA
"10446",1421000,"Powiat pruszkowski",2005,NA
"10447",1422000,"Powiat przasnyski",2005,NA
"10448",1423000,"Powiat przysuski",2005,NA
"10449",1424000,"Powiat pułtuski",2005,NA
"10450",1425000,"Powiat radomski",2005,NA
"10451",1426000,"Powiat siedlecki",2005,NA
"10452",1427000,"Powiat sierpecki",2005,NA
"10453",1428000,"Powiat sochaczewski",2005,NA
"10454",1429000,"Powiat sokołowski",2005,NA
"10455",1430000,"Powiat szydłowiecki",2005,NA
"10456",1432000,"Powiat warszawski zachodni",2005,NA
"10457",1433000,"Powiat węgrowski",2005,NA
"10458",1434000,"Powiat wołomiński",2005,NA
"10459",1435000,"Powiat wyszkowski",2005,NA
"10460",1436000,"Powiat zwoleński",2005,NA
"10461",1437000,"Powiat żuromiński",2005,NA
"10462",1438000,"Powiat żyrardowski",2005,NA
"10463",1461000,"Powiat m.Ostrołęka",2005,NA
"10464",1462000,"Powiat m.Płock",2005,NA
"10465",1463000,"Powiat m.Radom",2005,NA
"10466",1464000,"Powiat m.Siedlce",2005,NA
"10467",1465000,"Powiat m. st. Warszawa",2005,NA
"10468",1601000,"Powiat brzeski",2005,NA
"10469",1602000,"Powiat głubczycki",2005,NA
"10470",1603000,"Powiat kędzierzyńsko-kozielski",2005,NA
"10471",1604000,"Powiat kluczborski",2005,NA
"10472",1605000,"Powiat krapkowicki",2005,NA
"10473",1606000,"Powiat namysłowski",2005,NA
"10474",1607000,"Powiat nyski",2005,NA
"10475",1608000,"Powiat oleski",2005,NA
"10476",1609000,"Powiat opolski",2005,NA
"10477",1610000,"Powiat prudnicki",2005,NA
"10478",1611000,"Powiat strzelecki",2005,NA
"10479",1661000,"Powiat m.Opole",2005,NA
"10480",1801000,"Powiat bieszczadzki",2005,NA
"10481",1802000,"Powiat brzozowski",2005,NA
"10482",1803000,"Powiat dębicki",2005,NA
"10483",1804000,"Powiat jarosławski",2005,NA
"10484",1805000,"Powiat jasielski",2005,NA
"10485",1806000,"Powiat kolbuszowski",2005,NA
"10486",1807000,"Powiat krośnieński",2005,NA
"10487",1808000,"Powiat leżajski",2005,NA
"10488",1809000,"Powiat lubaczowski",2005,NA
"10489",1810000,"Powiat łańcucki",2005,NA
"10490",1811000,"Powiat mielecki",2005,NA
"10491",1812000,"Powiat niżański",2005,NA
"10492",1813000,"Powiat przemyski",2005,NA
"10493",1814000,"Powiat przeworski",2005,NA
"10494",1815000,"Powiat ropczycko-sędziszowski",2005,NA
"10495",1816000,"Powiat rzeszowski",2005,NA
"10496",1817000,"Powiat sanocki",2005,NA
"10497",1818000,"Powiat stalowowolski",2005,NA
"10498",1819000,"Powiat strzyżowski",2005,NA
"10499",1820000,"Powiat tarnobrzeski",2005,NA
"10500",1821000,"Powiat leski",2005,NA
"10501",1861000,"Powiat m.Krosno",2005,NA
"10502",1862000,"Powiat m.Przemyśl",2005,NA
"10503",1863000,"Powiat m.Rzeszów",2005,NA
"10504",1864000,"Powiat m.Tarnobrzeg",2005,NA
"10505",2001000,"Powiat augustowski",2005,NA
"10506",2002000,"Powiat białostocki",2005,NA
"10507",2003000,"Powiat bielski",2005,NA
"10508",2004000,"Powiat grajewski",2005,NA
"10509",2005000,"Powiat hajnowski",2005,NA
"10510",2006000,"Powiat kolneński",2005,NA
"10511",2007000,"Powiat łomżyński",2005,NA
"10512",2008000,"Powiat moniecki",2005,NA
"10513",2009000,"Powiat sejneński",2005,NA
"10514",2010000,"Powiat siemiatycki",2005,NA
"10515",2011000,"Powiat sokólski",2005,NA
"10516",2012000,"Powiat suwalski",2005,NA
"10517",2013000,"Powiat wysokomazowiecki",2005,NA
"10518",2014000,"Powiat zambrowski",2005,NA
"10519",2061000,"Powiat m.Białystok",2005,NA
"10520",2062000,"Powiat m.Łomża",2005,NA
"10521",2063000,"Powiat m.Suwałki",2005,NA
"10522",2201000,"Powiat bytowski",2005,NA
"10523",2202000,"Powiat chojnicki",2005,NA
"10524",2203000,"Powiat człuchowski",2005,NA
"10525",2204000,"Powiat gdański",2005,NA
"10526",2205000,"Powiat kartuski",2005,NA
"10527",2206000,"Powiat kościerski",2005,NA
"10528",2207000,"Powiat kwidzyński",2005,NA
"10529",2208000,"Powiat lęborski",2005,NA
"10530",2209000,"Powiat malborski",2005,NA
"10531",2210000,"Powiat nowodworski",2005,NA
"10532",2211000,"Powiat pucki",2005,NA
"10533",2212000,"Powiat słupski",2005,NA
"10534",2213000,"Powiat starogardzki",2005,NA
"10535",2214000,"Powiat tczewski",2005,NA
"10536",2215000,"Powiat wejherowski",2005,NA
"10537",2216000,"Powiat sztumski",2005,NA
"10538",2261000,"Powiat m.Gdańsk",2005,NA
"10539",2262000,"Powiat m.Gdynia",2005,NA
"10540",2263000,"Powiat m.Słupsk",2005,NA
"10541",2264000,"Powiat m.Sopot",2005,NA
"10542",2401000,"Powiat będziński",2005,NA
"10543",2402000,"Powiat bielski",2005,NA
"10544",2403000,"Powiat cieszyński",2005,NA
"10545",2404000,"Powiat częstochowski",2005,NA
"10546",2405000,"Powiat gliwicki",2005,NA
"10547",2406000,"Powiat kłobucki",2005,NA
"10548",2407000,"Powiat lubliniecki",2005,NA
"10549",2408000,"Powiat mikołowski",2005,NA
"10550",2409000,"Powiat myszkowski",2005,NA
"10551",2410000,"Powiat pszczyński",2005,NA
"10552",2411000,"Powiat raciborski",2005,NA
"10553",2412000,"Powiat rybnicki",2005,NA
"10554",2413000,"Powiat tarnogórski",2005,NA
"10555",2414000,"Powiat bieruńsko-lędziński",2005,NA
"10556",2415000,"Powiat wodzisławski",2005,NA
"10557",2416000,"Powiat zawierciański",2005,NA
"10558",2417000,"Powiat żywiecki",2005,NA
"10559",2461000,"Powiat m.Bielsko-Biała",2005,NA
"10560",2462000,"Powiat m.Bytom",2005,NA
"10561",2463000,"Powiat m.Chorzów",2005,NA
"10562",2464000,"Powiat m.Częstochowa",2005,NA
"10563",2465000,"Powiat m.Dąbrowa Górnicza",2005,NA
"10564",2466000,"Powiat m.Gliwice",2005,NA
"10565",2467000,"Powiat m.Jastrzębie-Zdrój",2005,NA
"10566",2468000,"Powiat m.Jaworzno",2005,NA
"10567",2469000,"Powiat m.Katowice",2005,NA
"10568",2470000,"Powiat m.Mysłowice",2005,NA
"10569",2471000,"Powiat m.Piekary Śląskie",2005,NA
"10570",2472000,"Powiat m.Ruda Śląska",2005,NA
"10571",2473000,"Powiat m.Rybnik",2005,NA
"10572",2474000,"Powiat m.Siemianowice Śląskie",2005,NA
"10573",2475000,"Powiat m.Sosnowiec",2005,NA
"10574",2476000,"Powiat m.Świętochłowice",2005,NA
"10575",2477000,"Powiat m.Tychy",2005,NA
"10576",2478000,"Powiat m.Zabrze",2005,NA
"10577",2479000,"Powiat m.Żory",2005,NA
"10578",2601000,"Powiat buski",2005,NA
"10579",2602000,"Powiat jędrzejowski",2005,NA
"10580",2603000,"Powiat kazimierski",2005,NA
"10581",2604000,"Powiat kielecki",2005,NA
"10582",2605000,"Powiat konecki",2005,NA
"10583",2606000,"Powiat opatowski",2005,NA
"10584",2607000,"Powiat ostrowiecki",2005,NA
"10585",2608000,"Powiat pińczowski",2005,NA
"10586",2609000,"Powiat sandomierski",2005,NA
"10587",2610000,"Powiat skarżyski",2005,NA
"10588",2611000,"Powiat starachowicki",2005,NA
"10589",2612000,"Powiat staszowski",2005,NA
"10590",2613000,"Powiat włoszczowski",2005,NA
"10591",2661000,"Powiat m.Kielce",2005,NA
"10592",2801000,"Powiat bartoszycki",2005,NA
"10593",2802000,"Powiat braniewski",2005,NA
"10594",2803000,"Powiat działdowski",2005,NA
"10595",2804000,"Powiat elbląski",2005,NA
"10596",2805000,"Powiat ełcki",2005,NA
"10597",2806000,"Powiat giżycki",2005,NA
"10598",2807000,"Powiat iławski",2005,NA
"10599",2808000,"Powiat kętrzyński",2005,NA
"10600",2809000,"Powiat lidzbarski",2005,NA
"10601",2810000,"Powiat mrągowski",2005,NA
"10602",2811000,"Powiat nidzicki",2005,NA
"10603",2812000,"Powiat nowomiejski",2005,NA
"10604",2813000,"Powiat olecki",2005,NA
"10605",2814000,"Powiat olsztyński",2005,NA
"10606",2815000,"Powiat ostródzki",2005,NA
"10607",2816000,"Powiat piski",2005,NA
"10608",2817000,"Powiat szczycieński",2005,NA
"10609",2818000,"Powiat gołdapski",2005,NA
"10610",2819000,"Powiat węgorzewski",2005,NA
