"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_przecietna_powierzchnia_uZytkowa_1_mieszkania_m2"
"13839",1207000,"Powiat limanowski",2002,123.7
"13840",1208000,"Powiat miechowski",2002,132.2
"13841",1209000,"Powiat myślenicki",2002,126
"13842",1210000,"Powiat nowosądecki",2002,124.8
"13843",1211000,"Powiat nowotarski",2002,134.7
"13844",1212000,"Powiat olkuski",2002,121.8
"13845",1213000,"Powiat oświęcimski",2002,131.3
"13846",1214000,"Powiat proszowicki",2002,88.8
"13847",1215000,"Powiat suski",2002,135
"13848",1216000,"Powiat tarnowski",2002,134.5
"13849",1217000,"Powiat tatrzański",2002,112.7
"13850",1218000,"Powiat wadowicki",2002,134.4
"13851",1219000,"Powiat wielicki",2002,121.7
"13852",1261000,"Powiat m.Kraków",2002,63.1
"13853",1262000,"Powiat m.Nowy Sącz",2002,96.9
"13854",1263000,"Powiat m.Tarnów",2002,107.9
"13855",1401000,"Powiat białobrzeski",2002,102.9
"13856",1402000,"Powiat ciechanowski",2002,104.4
"13857",1403000,"Powiat garwoliński",2002,126.4
"13858",1404000,"Powiat gostyniński",2002,129.7
"13859",1405000,"Powiat grodziski",2002,142.1
"13860",1406000,"Powiat grójecki",2002,91.9
"13861",1407000,"Powiat kozienicki",2002,118.4
"13862",1408000,"Powiat legionowski",2002,93.1
"13863",1409000,"Powiat lipski",2002,88
"13864",1410000,"Powiat łosicki",2002,73
"13865",1411000,"Powiat makowski",2002,94
"13866",1412000,"Powiat miński",2002,117.6
"13867",1413000,"Powiat mławski",2002,90.7
"13868",1414000,"Powiat nowodworski",2002,137.5
"13869",1415000,"Powiat ostrołęcki",2002,141.7
"13870",1416000,"Powiat ostrowski",2002,129.2
"13871",1417000,"Powiat otwocki",2002,108.3
"13872",1418000,"Powiat piaseczyński",2002,145.2
"13873",1419000,"Powiat płocki",2002,128.5
"13874",1420000,"Powiat płoński",2002,122.7
"13875",1421000,"Powiat pruszkowski",2002,129.2
"13876",1422000,"Powiat przasnyski",2002,146
"13877",1423000,"Powiat przysuski",2002,125.1
"13878",1424000,"Powiat pułtuski",2002,123.7
"13879",1425000,"Powiat radomski",2002,113.7
"13880",1426000,"Powiat siedlecki",2002,147.1
"13881",1427000,"Powiat sierpecki",2002,120.8
"13882",1428000,"Powiat sochaczewski",2002,83.6
"13883",1429000,"Powiat sokołowski",2002,112.2
"13884",1430000,"Powiat szydłowiecki",2002,124.6
"13885",1432000,"Powiat warszawski zachodni",2002,158.8
"13886",1433000,"Powiat węgrowski",2002,116.2
"13887",1434000,"Powiat wołomiński",2002,103.9
"13888",1435000,"Powiat wyszkowski",2002,121.8
"13889",1436000,"Powiat zwoleński",2002,115.8
"13890",1437000,"Powiat żuromiński",2002,118.8
"13891",1438000,"Powiat żyrardowski",2002,100.5
"13892",1461000,"Powiat m.Ostrołęka",2002,144.8
"13893",1462000,"Powiat m.Płock",2002,73.7
"13894",1463000,"Powiat m.Radom",2002,111
"13895",1464000,"Powiat m.Siedlce",2002,78.1
"13896",1465000,"Powiat m. st. Warszawa",2002,69.3
"13897",1601000,"Powiat brzeski",2002,127.4
"13898",1602000,"Powiat głubczycki",2002,126.8
"13899",1603000,"Powiat kędzierzyńsko-kozielski",2002,162.8
"13900",1604000,"Powiat kluczborski",2002,141.3
"13901",1605000,"Powiat krapkowicki",2002,109.3
"13902",1606000,"Powiat namysłowski",2002,141.1
"13903",1607000,"Powiat nyski",2002,77.3
"13904",1608000,"Powiat oleski",2002,118.8
