"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_40_do_60_m2_szt"
"3801",201000,"Powiat bolesławiecki",2015,120
"3802",202000,"Powiat dzierżoniowski",2015,148
"3803",203000,"Powiat głogowski",2015,166
"3804",204000,"Powiat górowski",2015,4
"3805",205000,"Powiat jaworski",2015,35
"3806",206000,"Powiat jeleniogórski",2015,149
"3807",207000,"Powiat kamiennogórski",2015,54
"3808",208000,"Powiat kłodzki",2015,211
"3809",209000,"Powiat legnicki",2015,37
"3810",210000,"Powiat lubański",2015,71
"3811",211000,"Powiat lubiński",2015,186
"3812",212000,"Powiat lwówecki",2015,18
"3813",213000,"Powiat milicki",2015,43
"3814",214000,"Powiat oleśnicki",2015,148
"3815",215000,"Powiat oławski",2015,156
"3816",216000,"Powiat polkowicki",2015,99
"3817",217000,"Powiat strzeliński",2015,47
"3818",218000,"Powiat średzki",2015,43
"3819",219000,"Powiat świdnicki",2015,336
"3820",220000,"Powiat trzebnicki",2015,114
"3821",221000,"Powiat wałbrzyski",2015,98
"3822",222000,"Powiat wołowski",2015,117
"3823",223000,"Powiat wrocławski",2015,312
"3824",224000,"Powiat ząbkowicki",2015,42
"3825",225000,"Powiat zgorzelecki",2015,17
"3826",226000,"Powiat złotoryjski",2015,30
"3827",261000,"Powiat m.Jelenia Góra",2015,297
"3828",262000,"Powiat m.Legnica",2015,223
"3829",264000,"Powiat m.Wrocław",2015,5153
"3830",265000,"Powiat m.Wałbrzych od 2013",2015,297
"3831",401000,"Powiat aleksandrowski",2015,44
"3832",402000,"Powiat brodnicki",2015,165
"3833",403000,"Powiat bydgoski",2015,73
"3834",404000,"Powiat chełmiński",2015,48
"3835",405000,"Powiat golubsko-dobrzyński",2015,39
"3836",406000,"Powiat grudziądzki",2015,16
"3837",407000,"Powiat inowrocławski",2015,278
"3838",408000,"Powiat lipnowski",2015,24
"3839",409000,"Powiat mogileński",2015,32
"3840",410000,"Powiat nakielski",2015,57
"3841",411000,"Powiat radziejowski",2015,10
"3842",412000,"Powiat rypiński",2015,22
"3843",413000,"Powiat sępoleński",2015,35
"3844",414000,"Powiat świecki",2015,97
"3845",415000,"Powiat toruński",2015,76
"3846",416000,"Powiat tucholski",2015,11
"3847",417000,"Powiat wąbrzeski",2015,32
"3848",418000,"Powiat włocławski",2015,34
"3849",419000,"Powiat żniński",2015,64
"3850",461000,"Powiat m.Bydgoszcz",2015,1259
"3851",462000,"Powiat m.Grudziądz",2015,188
"3852",463000,"Powiat m.Toruń",2015,302
"3853",464000,"Powiat m.Włocławek",2015,227
"3854",601000,"Powiat bialski",2015,5
"3855",602000,"Powiat biłgorajski",2015,17
"3856",603000,"Powiat chełmski",2015,11
"3857",604000,"Powiat hrubieszowski",2015,32
"3858",605000,"Powiat janowski",2015,7
"3859",606000,"Powiat krasnostawski",2015,28
"3860",607000,"Powiat kraśnicki",2015,32
"3861",608000,"Powiat lubartowski",2015,52
"3862",609000,"Powiat lubelski",2015,56
"3863",610000,"Powiat łęczyński",2015,12
"3864",611000,"Powiat łukowski",2015,21
"3865",612000,"Powiat opolski",2015,29
"3866",613000,"Powiat parczewski",2015,31
"3867",614000,"Powiat puławski",2015,130
"3868",615000,"Powiat radzyński",2015,48
"3869",616000,"Powiat rycki",2015,31
"3870",617000,"Powiat świdnicki",2015,34
"3871",618000,"Powiat tomaszowski",2015,26
"3872",619000,"Powiat włodawski",2015,34
"3873",620000,"Powiat zamojski",2015,4
"3874",661000,"Powiat m.Biała Podlaska",2015,64
"3875",662000,"Powiat m.Chełm",2015,109
"3876",663000,"Powiat m.Lublin",2015,1247
"3877",664000,"Powiat m.Zamość",2015,146
"3878",801000,"Powiat gorzowski",2015,75
"3879",802000,"Powiat krośnieński",2015,48
"3880",803000,"Powiat międzyrzecki",2015,93
"3881",804000,"Powiat nowosolski",2015,104
"3882",805000,"Powiat słubicki",2015,139
"3883",806000,"Powiat strzelecko-drezdenecki",2015,65
"3884",807000,"Powiat sulęciński",2015,40
"3885",808000,"Powiat świebodziński",2015,112
"3886",809000,"Powiat zielonogórski",2015,65
"3887",810000,"Powiat żagański",2015,44
"3888",811000,"Powiat żarski",2015,186
"3889",812000,"Powiat wschowski",2015,18
"3890",861000,"Powiat m.Gorzów Wielkopolski",2015,520
"3891",862000,"Powiat m.Zielona Góra",2015,334
"3892",1001000,"Powiat bełchatowski",2015,132
"3893",1002000,"Powiat kutnowski",2015,7
"3894",1003000,"Powiat łaski",2015,39
"3895",1004000,"Powiat łęczycki",2015,15
"3896",1005000,"Powiat łowicki",2015,31
"3897",1006000,"Powiat łódzki wschodni",2015,19
"3898",1007000,"Powiat opoczyński",2015,22
"3899",1008000,"Powiat pabianicki",2015,98
"3900",1009000,"Powiat pajęczański",2015,14
"3901",1010000,"Powiat piotrkowski",2015,4
"3902",1011000,"Powiat poddębicki",2015,54
"3903",1012000,"Powiat radomszczański",2015,24
"3904",1013000,"Powiat rawski",2015,28
"3905",1014000,"Powiat sieradzki",2015,75
"3906",1015000,"Powiat skierniewicki",2015,0
"3907",1016000,"Powiat tomaszowski",2015,106
