"","Kod","Nazwa","rok","Liczba_kwoty_wyplaconych_dodatkow_mieszkaniowych_ogolem_kwota_zl"
"5823",1208000,"Powiat miechowski",2004,442306
"5824",1209000,"Powiat myślenicki",2004,483009
"5825",1210000,"Powiat nowosądecki",2004,1389148
"5826",1211000,"Powiat nowotarski",2004,1360986
"5827",1212000,"Powiat olkuski",2004,3386765
"5828",1213000,"Powiat oświęcimski",2004,4845032
"5829",1214000,"Powiat proszowicki",2004,288093
"5830",1215000,"Powiat suski",2004,216440
"5831",1216000,"Powiat tarnowski",2004,594640
"5832",1217000,"Powiat tatrzański",2004,1075860
"5833",1218000,"Powiat wadowicki",2004,2275375
"5834",1219000,"Powiat wielicki",2004,378815
"5835",1261000,"Powiat m.Kraków",2004,25151063
"5836",1262000,"Powiat m.Nowy Sącz",2004,3866360
"5837",1263000,"Powiat m.Tarnów",2004,5927721
"5838",1401000,"Powiat białobrzeski",2004,189086
"5839",1402000,"Powiat ciechanowski",2004,4234118
"5840",1403000,"Powiat garwoliński",2004,644480
"5841",1404000,"Powiat gostyniński",2004,1329827
"5842",1405000,"Powiat grodziski",2004,974619
"5843",1406000,"Powiat grójecki",2004,490946
"5844",1407000,"Powiat kozienicki",2004,905846
"5845",1408000,"Powiat legionowski",2004,1741576
"5846",1409000,"Powiat lipski",2004,488942
"5847",1410000,"Powiat łosicki",2004,449167
"5848",1411000,"Powiat makowski",2004,932703
"5849",1412000,"Powiat miński",2004,1261844
"5850",1413000,"Powiat mławski",2004,2592013
"5851",1414000,"Powiat nowodworski",2004,2222997
"5852",1415000,"Powiat ostrołęcki",2004,1256834
"5853",1416000,"Powiat ostrowski",2004,1414830
"5854",1417000,"Powiat otwocki",2004,1261919
"5855",1418000,"Powiat piaseczyński",2004,865027
"5856",1419000,"Powiat płocki",2004,623675
"5857",1420000,"Powiat płoński",2004,1143372
"5858",1421000,"Powiat pruszkowski",2004,2213042
"5859",1422000,"Powiat przasnyski",2004,1061234
"5860",1423000,"Powiat przysuski",2004,189189
"5861",1424000,"Powiat pułtuski",2004,1548342
"5862",1425000,"Powiat radomski",2004,1649356
"5863",1426000,"Powiat siedlecki",2004,370744
"5864",1427000,"Powiat sierpecki",2004,1468327
"5865",1428000,"Powiat sochaczewski",2004,24478
"5866",1429000,"Powiat sokołowski",2004,529470
"5867",1430000,"Powiat szydłowiecki",2004,739476
"5868",1432000,"Powiat warszawski zachodni",2004,392084
"5869",1433000,"Powiat węgrowski",2004,923986
"5870",1434000,"Powiat wołomiński",2004,785511
"5871",1435000,"Powiat wyszkowski",2004,1120054
"5872",1436000,"Powiat zwoleński",2004,248243
"5873",1437000,"Powiat żuromiński",2004,1407520
"5874",1438000,"Powiat żyrardowski",2004,4589347
"5875",1461000,"Powiat m.Ostrołęka",2004,4226165
"5876",1462000,"Powiat m.Płock",2004,6073898
"5877",1463000,"Powiat m.Radom",2004,12399998
"5878",1464000,"Powiat m.Siedlce",2004,3433303
"5879",1465000,"Powiat m. st. Warszawa",2004,41990363
"5880",1601000,"Powiat brzeski",2004,5739976
