"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_od_40_do_60_m2_szt"
"13301",201000,"Powiat bolesławiecki",2015,3
"13302",202000,"Powiat dzierżoniowski",2015,14
"13303",203000,"Powiat głogowski",2015,42
"13304",204000,"Powiat górowski",2015,0
"13305",205000,"Powiat jaworski",2015,0
"13306",206000,"Powiat jeleniogórski",2015,76
"13307",207000,"Powiat kamiennogórski",2015,0
"13308",208000,"Powiat kłodzki",2015,28
"13309",209000,"Powiat legnicki",2015,5
"13310",210000,"Powiat lubański",2015,0
"13311",211000,"Powiat lubiński",2015,14
"13312",212000,"Powiat lwówecki",2015,0
"13313",213000,"Powiat milicki",2015,17
"13314",214000,"Powiat oleśnicki",2015,19
"13315",215000,"Powiat oławski",2015,74
"13316",216000,"Powiat polkowicki",2015,17
"13317",217000,"Powiat strzeliński",2015,17
"13318",218000,"Powiat średzki",2015,12
"13319",219000,"Powiat świdnicki",2015,37
"13320",220000,"Powiat trzebnicki",2015,36
"13321",221000,"Powiat wałbrzyski",2015,0
"13322",222000,"Powiat wołowski",2015,39
"13323",223000,"Powiat wrocławski",2015,214
"13324",224000,"Powiat ząbkowicki",2015,0
"13325",225000,"Powiat zgorzelecki",2015,0
"13326",226000,"Powiat złotoryjski",2015,0
"13327",261000,"Powiat m.Jelenia Góra",2015,49
"13328",262000,"Powiat m.Legnica",2015,34
"13329",264000,"Powiat m.Wrocław",2015,2751
"13330",265000,"Powiat m.Wałbrzych od 2013",2015,3
"13331",401000,"Powiat aleksandrowski",2015,4
"13332",402000,"Powiat brodnicki",2015,121
"13333",403000,"Powiat bydgoski",2015,21
"13334",404000,"Powiat chełmiński",2015,0
"13335",405000,"Powiat golubsko-dobrzyński",2015,17
"13336",406000,"Powiat grudziądzki",2015,0
"13337",407000,"Powiat inowrocławski",2015,63
"13338",408000,"Powiat lipnowski",2015,0
"13339",409000,"Powiat mogileński",2015,0
"13340",410000,"Powiat nakielski",2015,0
"13341",411000,"Powiat radziejowski",2015,0
"13342",412000,"Powiat rypiński",2015,0
"13343",413000,"Powiat sępoleński",2015,0
"13344",414000,"Powiat świecki",2015,13
"13345",415000,"Powiat toruński",2015,9
"13346",416000,"Powiat tucholski",2015,0
"13347",417000,"Powiat wąbrzeski",2015,0
"13348",418000,"Powiat włocławski",2015,16
"13349",419000,"Powiat żniński",2015,4
"13350",461000,"Powiat m.Bydgoszcz",2015,457
"13351",462000,"Powiat m.Grudziądz",2015,25
"13352",463000,"Powiat m.Toruń",2015,3
"13353",464000,"Powiat m.Włocławek",2015,77
"13354",601000,"Powiat bialski",2015,0
"13355",602000,"Powiat biłgorajski",2015,0
"13356",603000,"Powiat chełmski",2015,0
"13357",604000,"Powiat hrubieszowski",2015,0
"13358",605000,"Powiat janowski",2015,0
"13359",606000,"Powiat krasnostawski",2015,4
"13360",607000,"Powiat kraśnicki",2015,0
"13361",608000,"Powiat lubartowski",2015,0
"13362",609000,"Powiat lubelski",2015,32
"13363",610000,"Powiat łęczyński",2015,0
"13364",611000,"Powiat łukowski",2015,0
"13365",612000,"Powiat opolski",2015,5
"13366",613000,"Powiat parczewski",2015,10
"13367",614000,"Powiat puławski",2015,56
"13368",615000,"Powiat radzyński",2015,13
"13369",616000,"Powiat rycki",2015,0
"13370",617000,"Powiat świdnicki",2015,0
"13371",618000,"Powiat tomaszowski",2015,0
"13372",619000,"Powiat włodawski",2015,10
"13373",620000,"Powiat zamojski",2015,0
"13374",661000,"Powiat m.Biała Podlaska",2015,0
"13375",662000,"Powiat m.Chełm",2015,14
"13376",663000,"Powiat m.Lublin",2015,666
"13377",664000,"Powiat m.Zamość",2015,68
"13378",801000,"Powiat gorzowski",2015,8
"13379",802000,"Powiat krośnieński",2015,0
"13380",803000,"Powiat międzyrzecki",2015,0
"13381",804000,"Powiat nowosolski",2015,20
"13382",805000,"Powiat słubicki",2015,16
"13383",806000,"Powiat strzelecko-drezdenecki",2015,10
"13384",807000,"Powiat sulęciński",2015,5
"13385",808000,"Powiat świebodziński",2015,33
"13386",809000,"Powiat zielonogórski",2015,0
"13387",810000,"Powiat żagański",2015,5
"13388",811000,"Powiat żarski",2015,15
