"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_od_40_do_60_m2_zl"
"13428",1213000,"Powiat oświęcimski",2015,3497
"13429",1214000,"Powiat proszowicki",2015,0
"13430",1215000,"Powiat suski",2015,0
"13431",1216000,"Powiat tarnowski",2015,0
"13432",1217000,"Powiat tatrzański",2015,11194
"13433",1218000,"Powiat wadowicki",2015,3676
"13434",1219000,"Powiat wielicki",2015,4248
"13435",1261000,"Powiat m.Kraków",2015,6257
"13436",1262000,"Powiat m.Nowy Sącz",2015,2844
"13437",1263000,"Powiat m.Tarnów",2015,3788
"13438",1401000,"Powiat białobrzeski",2015,0
"13439",1402000,"Powiat ciechanowski",2015,0
"13440",1403000,"Powiat garwoliński",2015,0
"13441",1404000,"Powiat gostyniński",2015,2913
"13442",1405000,"Powiat grodziski",2015,0
"13443",1406000,"Powiat grójecki",2015,0
"13444",1407000,"Powiat kozienicki",2015,3536
"13445",1408000,"Powiat legionowski",2015,3974
"13446",1409000,"Powiat lipski",2015,0
"13447",1410000,"Powiat łosicki",2015,0
"13448",1411000,"Powiat makowski",2015,0
"13449",1412000,"Powiat miński",2015,4062
"13450",1413000,"Powiat mławski",2015,2949
"13451",1414000,"Powiat nowodworski",2015,4231
"13452",1415000,"Powiat ostrołęcki",2015,0
"13453",1416000,"Powiat ostrowski",2015,4242
"13454",1417000,"Powiat otwocki",2015,4735
"13455",1418000,"Powiat piaseczyński",2015,5627
"13456",1419000,"Powiat płocki",2015,0
"13457",1420000,"Powiat płoński",2015,3371
"13458",1421000,"Powiat pruszkowski",2015,5696
"13459",1422000,"Powiat przasnyski",2015,3351
"13460",1423000,"Powiat przysuski",2015,0
"13461",1424000,"Powiat pułtuski",2015,3401
"13462",1425000,"Powiat radomski",2015,0
"13463",1426000,"Powiat siedlecki",2015,0
"13464",1427000,"Powiat sierpecki",2015,0
"13465",1428000,"Powiat sochaczewski",2015,0
"13466",1429000,"Powiat sokołowski",2015,2265
"13467",1430000,"Powiat szydłowiecki",2015,0
"13468",1432000,"Powiat warszawski zachodni",2015,4599
"13469",1433000,"Powiat węgrowski",2015,0
"13470",1434000,"Powiat wołomiński",2015,4707
"13471",1435000,"Powiat wyszkowski",2015,0
"13472",1436000,"Powiat zwoleński",2015,0
"13473",1437000,"Powiat żuromiński",2015,3100
"13474",1438000,"Powiat żyrardowski",2015,4318
"13475",1461000,"Powiat m.Ostrołęka",2015,3925
"13476",1462000,"Powiat m.Płock",2015,3961
"13477",1463000,"Powiat m.Radom",2015,3530
"13478",1464000,"Powiat m.Siedlce",2015,3752
"13479",1465000,"Powiat m. st. Warszawa",2015,7195
"13480",1601000,"Powiat brzeski",2015,3459
"13481",1602000,"Powiat głubczycki",2015,0
"13482",1603000,"Powiat kędzierzyńsko-kozielski",2015,0
"13483",1604000,"Powiat kluczborski",2015,0
"13484",1605000,"Powiat krapkowicki",2015,3514
"13485",1606000,"Powiat namysłowski",2015,3226
"13486",1607000,"Powiat nyski",2015,2562
"13487",1608000,"Powiat oleski",2015,0
"13488",1609000,"Powiat opolski",2015,0
"13489",1610000,"Powiat prudnicki",2015,0
"13490",1611000,"Powiat strzelecki",2015,0
"13491",1661000,"Powiat m.Opole",2015,4301
"13492",1801000,"Powiat bieszczadzki",2015,0
"13493",1802000,"Powiat brzozowski",2015,2500
"13494",1803000,"Powiat dębicki",2015,2849
"13495",1804000,"Powiat jarosławski",2015,0
"13496",1805000,"Powiat jasielski",2015,3452
"13497",1806000,"Powiat kolbuszowski",2015,0
"13498",1807000,"Powiat krośnieński",2015,0
"13499",1808000,"Powiat leżajski",2015,0
"13500",1809000,"Powiat lubaczowski",2015,0
"13501",1810000,"Powiat łańcucki",2015,0
"13502",1811000,"Powiat mielecki",2015,3897
"13503",1812000,"Powiat niżański",2015,0
"13504",1813000,"Powiat przemyski",2015,0
"13505",1814000,"Powiat przeworski",2015,0
"13506",1815000,"Powiat ropczycko-sędziszowski",2015,3310
"13507",1816000,"Powiat rzeszowski",2015,3979
"13508",1817000,"Powiat sanocki",2015,0
"13509",1818000,"Powiat stalowowolski",2015,2604
"13510",1819000,"Powiat strzyżowski",2015,3287
"13511",1820000,"Powiat tarnobrzeski",2015,0
"13512",1821000,"Powiat leski",2015,0
"13513",1861000,"Powiat m.Krosno",2015,4077
"13514",1862000,"Powiat m.Przemyśl",2015,3511
"13515",1863000,"Powiat m.Rzeszów",2015,4677
"13516",1864000,"Powiat m.Tarnobrzeg",2015,3125
"13517",2001000,"Powiat augustowski",2015,0
"13518",2002000,"Powiat białostocki",2015,3734
"13519",2003000,"Powiat bielski",2015,0
"13520",2004000,"Powiat grajewski",2015,2960
"13521",2005000,"Powiat hajnowski",2015,0
"13522",2006000,"Powiat kolneński",2015,0
"13523",2007000,"Powiat łomżyński",2015,0
"13524",2008000,"Powiat moniecki",2015,0
"13525",2009000,"Powiat sejneński",2015,0
"13526",2010000,"Powiat siemiatycki",2015,0
"13527",2011000,"Powiat sokólski",2015,3252
"13528",2012000,"Powiat suwalski",2015,2699
"13529",2013000,"Powiat wysokomazowiecki",2015,0
"13530",2014000,"Powiat zambrowski",2015,3192
"13531",2061000,"Powiat m.Białystok",2015,4663
"13532",2062000,"Powiat m.Łomża",2015,3523
"13533",2063000,"Powiat m.Suwałki",2015,3630
"13534",2201000,"Powiat bytowski",2015,0
"13535",2202000,"Powiat chojnicki",2015,3039
"13536",2203000,"Powiat człuchowski",2015,0
"13537",2204000,"Powiat gdański",2015,4189
"13538",2205000,"Powiat kartuski",2015,3961
"13539",2206000,"Powiat kościerski",2015,3823
"13540",2207000,"Powiat kwidzyński",2015,3546
"13541",2208000,"Powiat lęborski",2015,3023
"13542",2209000,"Powiat malborski",2015,3517
