"","Kod","Nazwa","rok","LASY_PRYWATNE_I_GMINNE_CTAB_lasy_ogolem_ha"
"8438",1206000,"Powiat krakowski",1998,3638.4
"8439",1207000,"Powiat limanowski",1998,22866.4
"8440",1208000,"Powiat miechowski",1998,691.6
"8441",1209000,"Powiat myślenicki",1998,18082.8
"8442",1210000,"Powiat nowosądecki",1998,27890.5
"8443",1211000,"Powiat nowotarski",1998,38579.6
"8444",1212000,"Powiat olkuski",1998,6251.1
"8445",1213000,"Powiat oświęcimski",1998,993.5
"8446",1214000,"Powiat proszowicki",1998,238.6
"8447",1215000,"Powiat suski",1998,19144.9
"8448",1216000,"Powiat tarnowski",1998,15033.8
"8449",1217000,"Powiat tatrzański",1998,8814
"8450",1218000,"Powiat wadowicki",1998,7781
"8451",1219000,"Powiat wielicki",1998,1236
"8452",1261000,"Powiat m.Kraków",1998,884.7
"8453",1262000,"Powiat m.Nowy Sącz",1998,563.3
"8454",1263000,"Powiat m.Tarnów",1998,123
"8455",1401000,"Powiat białobrzeski",1998,6635.8
"8456",1402000,"Powiat ciechanowski",1998,6309.7
"8457",1403000,"Powiat garwoliński",1998,18743.6
"8458",1404000,"Powiat gostyniński",1998,2797.2
"8459",1405000,"Powiat grodziski",1998,2121.7
"8460",1406000,"Powiat grójecki",1998,7269
"8461",1407000,"Powiat kozienicki",1998,9052
"8462",1408000,"Powiat legionowski",1998,2546.4
"8463",1409000,"Powiat lipski",1998,7512.6
"8464",1410000,"Powiat łosicki",1998,7637.4
"8465",1411000,"Powiat makowski",1998,15304
"8466",1412000,"Powiat miński",1998,15367.9
"8467",1413000,"Powiat mławski",1998,9263.2
"8468",1414000,"Powiat nowodworski",1998,2646.9
"8469",1415000,"Powiat ostrołęcki",1998,27283.9
"8470",1416000,"Powiat ostrowski",1998,11984.7
"8471",1417000,"Powiat otwocki",1998,10767.1
"8472",1418000,"Powiat piaseczyński",1998,3326.4
"8473",1419000,"Powiat płocki",1998,7029.9
"8474",1420000,"Powiat płoński",1998,8340.5
"8475",1421000,"Powiat pruszkowski",1998,671.2
"8476",1422000,"Powiat przasnyski",1998,13230.3
"8477",1423000,"Powiat przysuski",1998,13143.3
"8478",1424000,"Powiat pułtuski",1998,3928
"8479",1425000,"Powiat radomski",1998,7460.7
"8480",1426000,"Powiat siedlecki",1998,20502
"8481",1427000,"Powiat sierpecki",1998,4839.2
"8482",1428000,"Powiat sochaczewski",1998,3166.5
"8483",1429000,"Powiat sokołowski",1998,16464.1
"8484",1430000,"Powiat szydłowiecki",1998,3833
"8485",1431000,"Powiat warszawski",1998,2334.4
"8486",1432000,"Powiat warszawski zachodni",1998,1126
"8487",1433000,"Powiat węgrowski",1998,16752.4
"8488",1434000,"Powiat wołomiński",1998,12653.8
"8489",1435000,"Powiat wyszkowski",1998,6664
"8490",1436000,"Powiat zwoleński",1998,4685.8
"8491",1437000,"Powiat żuromiński",1998,5739.4
"8492",1438000,"Powiat żyrardowski",1998,3232
"8493",1461000,"Powiat m.Ostrołęka",1998,111
"8494",1462000,"Powiat m.Płock",1998,308.6
"8495",1463000,"Powiat m.Radom",1998,384
"8496",1464000,"Powiat m.Siedlce",1998,37
"8497",1465000,"Powiat m. st. Warszawa",1998,NA
"8498",1601000,"Powiat brzeski",1998,243.8
"8499",1602000,"Powiat głubczycki",1998,660.2
"8500",1603000,"Powiat kędzierzyńsko-kozielski",1998,365
"8501",1604000,"Powiat kluczborski",1998,516.3
"8502",1605000,"Powiat krapkowicki",1998,317
"8503",1606000,"Powiat namysłowski",1998,319.9
"8504",1607000,"Powiat nyski",1998,1365.9
"8505",1608000,"Powiat oleski",1998,4249.7
"8506",1609000,"Powiat opolski",1998,2348.5
"8507",1610000,"Powiat prudnicki",1998,202.4
"8508",1611000,"Powiat strzelecki",1998,1292.3
"8509",1661000,"Powiat m.Opole",1998,54
"8510",1801000,"Powiat bieszczadzki",1998,5844.9
"8511",1802000,"Powiat brzozowski",1998,4496.5
"8512",1803000,"Powiat dębicki",1998,7486.2
"8513",1804000,"Powiat jarosławski",1998,2328.2
"8514",1805000,"Powiat jasielski",1998,7746.3
"8515",1806000,"Powiat kolbuszowski",1998,6587.3
"8516",1807000,"Powiat krośnieński",1998,5123.7
