"","Kod","Nazwa","rok","Wydatki_powiatow_na_1_mieszkanca_ogolem_zl"
"168",1803000,"Powiat dębicki",2002,477
"169",1804000,"Powiat jarosławski",2002,554
"170",1805000,"Powiat jasielski",2002,508
"171",1806000,"Powiat kolbuszowski",2002,412
"172",1807000,"Powiat krośnieński",2002,312
"173",1808000,"Powiat leżajski",2002,505
"174",1809000,"Powiat lubaczowski",2002,800
"175",1810000,"Powiat łańcucki",2002,437
"176",1811000,"Powiat mielecki",2002,513
"177",1812000,"Powiat niżański",2002,419
"178",1813000,"Powiat przemyski",2002,245
"179",1814000,"Powiat przeworski",2002,415
"180",1815000,"Powiat ropczycko-sędziszowski",2002,524
"181",1816000,"Powiat rzeszowski",2002,261
"182",1817000,"Powiat sanocki",2002,540
"183",1818000,"Powiat stalowowolski",2002,499
"184",1819000,"Powiat strzyżowski",2002,499
"185",1820000,"Powiat tarnobrzeski",2002,378
"186",1821000,"Powiat leski",2002,727
"187",2001000,"Powiat augustowski",2002,545
"188",2002000,"Powiat białostocki",2002,386
"189",2003000,"Powiat bielski",2002,592
"190",2004000,"Powiat grajewski",2002,577
"191",2005000,"Powiat hajnowski",2002,608
"192",2006000,"Powiat kolneński",2002,415
"193",2007000,"Powiat łomżyński",2002,324
"194",2008000,"Powiat moniecki",2002,476
"195",2009000,"Powiat sejneński",2002,690
"196",2010000,"Powiat siemiatycki",2002,525
"197",2011000,"Powiat sokólski",2002,506
"198",2012000,"Powiat suwalski",2002,382
"199",2013000,"Powiat wysokomazowiecki",2002,538
"200",2014000,"Powiat zambrowski",2002,612
"201",2201000,"Powiat bytowski",2002,614
"202",2202000,"Powiat chojnicki",2002,890
"203",2203000,"Powiat człuchowski",2002,723
"204",2204000,"Powiat gdański",2002,314
"205",2205000,"Powiat kartuski",2002,461
"206",2206000,"Powiat kościerski",2002,557
"207",2207000,"Powiat kwidzyński",2002,700
"208",2208000,"Powiat lęborski",2002,674
"209",2209000,"Powiat malborski",2002,671
"210",2210000,"Powiat nowodworski",2002,677
"211",2211000,"Powiat pucki",2002,549
"212",2212000,"Powiat słupski",2002,534
"213",2213000,"Powiat starogardzki",2002,503
"214",2214000,"Powiat tczewski",2002,592
"215",2215000,"Powiat wejherowski",2002,440
"216",2216000,"Powiat sztumski",2002,530
"217",2401000,"Powiat będziński",2002,424
"218",2402000,"Powiat bielski",2002,304
"219",2403000,"Powiat cieszyński",2002,530
"220",2404000,"Powiat częstochowski",2002,244
"221",2405000,"Powiat gliwicki",2002,246
"222",2406000,"Powiat kłobucki",2002,370
"223",2407000,"Powiat lubliniecki",2002,605
"224",2408000,"Powiat mikołowski",2002,435
"225",2409000,"Powiat myszkowski",2002,437
"226",2410000,"Powiat pszczyński",2002,408
"227",2411000,"Powiat raciborski",2002,710
"228",2412000,"Powiat rybnicki",2002,205
"229",2413000,"Powiat tarnogórski",2002,698
