"","Kod","Nazwa","rok","UCZELNIE_CTAB_studenci_ogolem_osoba"
"3635",1463000,"Powiat m.Radom",2016,8856
"3636",1464000,"Powiat m.Siedlce",2016,6528
"3637",1465000,"Powiat m. st. Warszawa",2016,239542
"3638",1601000,"Powiat brzeski",2016,299
"3639",1603000,"Powiat kędzierzyńsko-kozielski",2016,28
"3640",1607000,"Powiat nyski",2016,2267
"3641",1661000,"Powiat m.Opole",2016,20226
"3642",1803000,"Powiat dębicki",2016,0
"3643",1804000,"Powiat jarosławski",2016,2974
"3644",1805000,"Powiat jasielski",2016,423
"3645",1806000,"Powiat kolbuszowski",2016,95
"3646",1811000,"Powiat mielecki",2016,258
"3647",1812000,"Powiat niżański",2016,70
"3648",1814000,"Powiat przeworski",2016,159
"3649",1817000,"Powiat sanocki",2016,1140
"3650",1818000,"Powiat stalowowolski",2016,1268
"3651",1861000,"Powiat m.Krosno",2016,2288
"3652",1862000,"Powiat m.Przemyśl",2016,998
"3653",1863000,"Powiat m.Rzeszów",2016,41787
"3654",1864000,"Powiat m.Tarnobrzeg",2016,1109
"3655",2001000,"Powiat augustowski",2016,0
"3656",2005000,"Powiat hajnowski",2016,221
"3657",2010000,"Powiat siemiatycki",2016,153
"3658",2061000,"Powiat m.Białystok",2016,29057
"3659",2062000,"Powiat m.Łomża",2016,3241
"3660",2063000,"Powiat m.Suwałki",2016,1537
"3661",2202000,"Powiat chojnicki",2016,624
"3662",2203000,"Powiat człuchowski",2016,0
"3663",2205000,"Powiat kartuski",2016,0
"3664",2206000,"Powiat kościerski",2016,59
"3665",2207000,"Powiat kwidzyński",2016,649
"3666",2208000,"Powiat lęborski",2016,101
"3667",2209000,"Powiat malborski",2016,201
"3668",2213000,"Powiat starogardzki",2016,315
"3669",2214000,"Powiat tczewski",2016,0
"3670",2215000,"Powiat wejherowski",2016,153
"3671",2261000,"Powiat m.Gdańsk",2016,73264
"3672",2262000,"Powiat m.Gdynia",2016,12251
"3673",2263000,"Powiat m.Słupsk",2016,3143
"3674",2264000,"Powiat m.Sopot",2016,1985
"3675",2401000,"Powiat będziński",2016,0
"3676",2403000,"Powiat cieszyński",2016,2008
"3677",2409000,"Powiat myszkowski",2016,0
"3678",2411000,"Powiat raciborski",2016,1561
"3679",2413000,"Powiat tarnogórski",2016,81
"3680",2415000,"Powiat wodzisławski",2016,84
"3681",2416000,"Powiat zawierciański",2016,0
"3682",2417000,"Powiat żywiecki",2016,351
"3683",2461000,"Powiat m.Bielsko-Biała",2016,7893
"3684",2462000,"Powiat m.Bytom",2016,113
"3685",2463000,"Powiat m.Chorzów",2016,5129
"3686",2464000,"Powiat m.Częstochowa",2016,14128
"3687",2465000,"Powiat m.Dąbrowa Górnicza",2016,5535
"3688",2466000,"Powiat m.Gliwice",2016,22183
"3689",2467000,"Powiat m.Jastrzębie-Zdrój",2016,85
"3690",2468000,"Powiat m.Jaworzno",2016,68
"3691",2469000,"Powiat m.Katowice",2016,52243
"3692",2470000,"Powiat m.Mysłowice",2016,257
"3693",2472000,"Powiat m.Ruda Śląska",2016,116
"3694",2473000,"Powiat m.Rybnik",2016,0
"3695",2475000,"Powiat m.Sosnowiec",2016,8205
"3696",2477000,"Powiat m.Tychy",2016,34
"3697",2478000,"Powiat m.Zabrze",2016,0
"3698",2479000,"Powiat m.Żory",2016,287
"3699",2607000,"Powiat ostrowiecki",2016,1233
"3700",2608000,"Powiat pińczowski",2016,391
"3701",2609000,"Powiat sandomierski",2016,277
"3702",2610000,"Powiat skarżyski",2016,0
"3703",2611000,"Powiat starachowicki",2016,0
"3704",2661000,"Powiat m.Kielce",2016,22895
"3705",2801000,"Powiat bartoszycki",2016,84
"3706",2805000,"Powiat ełcki",2016,284
"3707",2806000,"Powiat giżycki",2016,100
"3708",2807000,"Powiat iławski",2016,232
"3709",2808000,"Powiat kętrzyński",2016,205
"3710",2813000,"Powiat olecki",2016,0
"3711",2817000,"Powiat szczycieński",2016,2705
"3712",2861000,"Powiat m.Elbląg",2016,3261
"3713",2862000,"Powiat m.Olsztyn",2016,23421
"3714",3002000,"Powiat czarnkowsko-trzcianecki",2016,56
"3715",3003000,"Powiat gnieźnieński",2016,1254
"3716",3006000,"Powiat jarociński",2016,0
"3717",3007000,"Powiat kaliski",2016,0
"3718",3008000,"Powiat kępiński",2016,0
"3719",3009000,"Powiat kolski",2016,0
"3720",3011000,"Powiat kościański",2016,0
"3721",3015000,"Powiat nowotomyski",2016,199
"3722",3017000,"Powiat ostrowski",2016,560
"3723",3019000,"Powiat pilski",2016,1838
"3724",3021000,"Powiat poznański",2016,0
"3725",3023000,"Powiat słupecki",2016,0
"3726",3025000,"Powiat średzki",2016,1050
"3727",3026000,"Powiat śremski",2016,0
"3728",3027000,"Powiat turecki",2016,0
"3729",3028000,"Powiat wągrowiecki",2016,145
"3730",3030000,"Powiat wrzesiński",2016,35
"3731",3061000,"Powiat m.Kalisz",2016,4742
"3732",3062000,"Powiat m.Konin",2016,2665
"3733",3063000,"Powiat m.Leszno",2016,2385
"3734",3064000,"Powiat m.Poznań",2016,112002
"3735",3204000,"Powiat goleniowski",2016,0
"3736",3205000,"Powiat gryficki",2016,267
"3737",3208000,"Powiat kołobrzeski",2016,211
"3738",3214000,"Powiat stargardzki",2016,226
"3739",3215000,"Powiat szczecinecki",2016,229
"3740",3217000,"Powiat wałecki",2016,466
"3741",3261000,"Powiat m.Koszalin",2016,6475
"3742",3262000,"Powiat m.Szczecin",2016,37254
"3743",3263000,"Powiat m.Świnoujście",2016,78
"3744",201000,"Powiat bolesławiecki",2017,0
"3745",202000,"Powiat dzierżoniowski",2017,0
"3746",203000,"Powiat głogowski",2017,742
"3747",208000,"Powiat kłodzki",2017,322
"3748",211000,"Powiat lubiński",2017,530
"3749",213000,"Powiat milicki",2017,0
"3750",216000,"Powiat polkowicki",2017,487
"3751",219000,"Powiat świdnicki",2017,210
"3752",221000,"Powiat wałbrzyski",2017,0
"3753",224000,"Powiat ząbkowicki",2017,0
"3754",225000,"Powiat zgorzelecki",2017,0
"3755",261000,"Powiat m.Jelenia Góra",2017,1585
"3756",262000,"Powiat m.Legnica",2017,3152
"3757",264000,"Powiat m.Wrocław",2017,114825
"3758",265000,"Powiat m.Wałbrzych od 2013",2017,2277
"3759",402000,"Powiat brodnicki",2017,0
"3760",407000,"Powiat inowrocławski",2017,106
"3761",414000,"Powiat świecki",2017,109
"3762",415000,"Powiat toruński",2017,154
"3763",416000,"Powiat tucholski",2017,610
"3764",461000,"Powiat m.Bydgoszcz",2017,28813
"3765",462000,"Powiat m.Grudziądz",2017,207
"3766",463000,"Powiat m.Toruń",2017,26972
"3767",464000,"Powiat m.Włocławek",2017,2443
"3768",602000,"Powiat biłgorajski",2017,0
"3769",611000,"Powiat łukowski",2017,0
"3770",614000,"Powiat puławski",2017,344
"3771",616000,"Powiat rycki",2017,1941
"3772",618000,"Powiat tomaszowski",2017,0
"3773",661000,"Powiat m.Biała Podlaska",2017,4043
"3774",662000,"Powiat m.Chełm",2017,1991
"3775",663000,"Powiat m.Lublin",2017,62977
"3776",664000,"Powiat m.Zamość",2017,1158
"3777",801000,"Powiat gorzowski",2017,71
"3778",802000,"Powiat krośnieński",2017,0
"3779",805000,"Powiat słubicki",2017,0
"3780",809000,"Powiat zielonogórski",2017,331
"3781",810000,"Powiat żagański",2017,0
"3782",811000,"Powiat żarski",2017,294
"3783",861000,"Powiat m.Gorzów Wielkopolski",2017,2961
"3784",862000,"Powiat m.Zielona Góra",2017,10436
"3785",1001000,"Powiat bełchatowski",2017,689
"3786",1002000,"Powiat kutnowski",2017,934
"3787",1005000,"Powiat łowicki",2017,0
"3788",1008000,"Powiat pabianicki",2017,0
"3789",1012000,"Powiat radomszczański",2017,0
"3790",1014000,"Powiat sieradzki",2017,247
"3791",1016000,"Powiat tomaszowski",2017,875
"3792",1017000,"Powiat wieluński",2017,1
"3793",1019000,"Powiat zduńskowolski",2017,211
"3794",1061000,"Powiat m.Łódź",2017,72019
"3795",1062000,"Powiat m.Piotrków Trybunalski",2017,1091
"3796",1063000,"Powiat m.Skierniewice",2017,1311
"3797",1201000,"Powiat bocheński",2017,0
"3798",1202000,"Powiat brzeski",2017,0
"3799",1203000,"Powiat chrzanowski",2017,0
"3800",1207000,"Powiat limanowski",2017,38
"3801",1208000,"Powiat miechowski",2017,113
"3802",1209000,"Powiat myślenicki",2017,0
"3803",1211000,"Powiat nowotarski",2017,1994
"3804",1212000,"Powiat olkuski",2017,186
"3805",1213000,"Powiat oświęcimski",2017,1578
"3806",1215000,"Powiat suski",2017,481
"3807",1217000,"Powiat tatrzański",2017,8
"3808",1261000,"Powiat m.Kraków",2017,143613
"3809",1262000,"Powiat m.Nowy Sącz",2017,4504
"3810",1263000,"Powiat m.Tarnów",2017,5178
"3811",1402000,"Powiat ciechanowski",2017,1843
"3812",1403000,"Powiat garwoliński",2017,0
"3813",1405000,"Powiat grodziski",2017,1286
"3814",1406000,"Powiat grójecki",2017,0
"3815",1412000,"Powiat miński",2017,51
"3816",1413000,"Powiat mławski",2017,0
"3817",1415000,"Powiat ostrołęcki",2017,0
"3818",1416000,"Powiat ostrowski",2017,51
"3819",1417000,"Powiat otwocki",2017,2496
"3820",1420000,"Powiat płoński",2017,174
"3821",1421000,"Powiat pruszkowski",2017,407
"3822",1422000,"Powiat przasnyski",2017,0
"3823",1424000,"Powiat pułtuski",2017,885
"3824",1426000,"Powiat siedlecki",2017,0
"3825",1428000,"Powiat sochaczewski",2017,283
"3826",1433000,"Powiat węgrowski",2017,0
"3827",1434000,"Powiat wołomiński",2017,47
"3828",1435000,"Powiat wyszkowski",2017,225
"3829",1438000,"Powiat żyrardowski",2017,707
"3830",1461000,"Powiat m.Ostrołęka",2017,343
"3831",1462000,"Powiat m.Płock",2017,5777
"3832",1463000,"Powiat m.Radom",2017,7621
"3833",1464000,"Powiat m.Siedlce",2017,6446
"3834",1465000,"Powiat m. st. Warszawa",2017,230268
"3835",1601000,"Powiat brzeski",2017,220
"3836",1603000,"Powiat kędzierzyńsko-kozielski",2017,25
"3837",1607000,"Powiat nyski",2017,2010
"3838",1661000,"Powiat m.Opole",2017,19727
"3839",1803000,"Powiat dębicki",2017,0
"3840",1804000,"Powiat jarosławski",2017,2728
"3841",1805000,"Powiat jasielski",2017,447
"3842",1806000,"Powiat kolbuszowski",2017,0
"3843",1811000,"Powiat mielecki",2017,180
"3844",1812000,"Powiat niżański",2017,72
"3845",1814000,"Powiat przeworski",2017,198
"3846",1817000,"Powiat sanocki",2017,1155
"3847",1818000,"Powiat stalowowolski",2017,688
"3848",1861000,"Powiat m.Krosno",2017,2223
"3849",1862000,"Powiat m.Przemyśl",2017,937
"3850",1863000,"Powiat m.Rzeszów",2017,40016
"3851",1864000,"Powiat m.Tarnobrzeg",2017,888
"3852",2001000,"Powiat augustowski",2017,0
"3853",2005000,"Powiat hajnowski",2017,202
"3854",2010000,"Powiat siemiatycki",2017,124
"3855",2061000,"Powiat m.Białystok",2017,26378
"3856",2062000,"Powiat m.Łomża",2017,3313
"3857",2063000,"Powiat m.Suwałki",2017,1435
"3858",2202000,"Powiat chojnicki",2017,570
"3859",2203000,"Powiat człuchowski",2017,0
"3860",2205000,"Powiat kartuski",2017,0
"3861",2206000,"Powiat kościerski",2017,61
"3862",2207000,"Powiat kwidzyński",2017,611
"3863",2208000,"Powiat lęborski",2017,0
"3864",2209000,"Powiat malborski",2017,0
"3865",2213000,"Powiat starogardzki",2017,263
"3866",2214000,"Powiat tczewski",2017,154
"3867",2215000,"Powiat wejherowski",2017,128
"3868",2261000,"Powiat m.Gdańsk",2017,67773
"3869",2262000,"Powiat m.Gdynia",2017,11458
"3870",2263000,"Powiat m.Słupsk",2017,3192
"3871",2264000,"Powiat m.Sopot",2017,2107
"3872",2401000,"Powiat będziński",2017,0
"3873",2403000,"Powiat cieszyński",2017,820
"3874",2409000,"Powiat myszkowski",2017,0
"3875",2411000,"Powiat raciborski",2017,1377
"3876",2413000,"Powiat tarnogórski",2017,46
"3877",2415000,"Powiat wodzisławski",2017,84
"3878",2416000,"Powiat zawierciański",2017,0
"3879",2417000,"Powiat żywiecki",2017,315
"3880",2461000,"Powiat m.Bielsko-Biała",2017,7073
"3881",2462000,"Powiat m.Bytom",2017,116
"3882",2463000,"Powiat m.Chorzów",2017,5608
"3883",2464000,"Powiat m.Częstochowa",2017,13607
"3884",2465000,"Powiat m.Dąbrowa Górnicza",2017,6816
"3885",2466000,"Powiat m.Gliwice",2017,20655
"3886",2467000,"Powiat m.Jastrzębie-Zdrój",2017,0
"3887",2468000,"Powiat m.Jaworzno",2017,36
"3888",2469000,"Powiat m.Katowice",2017,57926
"3889",2470000,"Powiat m.Mysłowice",2017,203
"3890",2472000,"Powiat m.Ruda Śląska",2017,219
"3891",2473000,"Powiat m.Rybnik",2017,341
"3892",2475000,"Powiat m.Sosnowiec",2017,2487
"3893",2477000,"Powiat m.Tychy",2017,139
"3894",2478000,"Powiat m.Zabrze",2017,0
"3895",2479000,"Powiat m.Żory",2017,254
"3896",2607000,"Powiat ostrowiecki",2017,1847
"3897",2608000,"Powiat pińczowski",2017,453
"3898",2609000,"Powiat sandomierski",2017,314
"3899",2610000,"Powiat skarżyski",2017,0
"3900",2611000,"Powiat starachowicki",2017,0
"3901",2661000,"Powiat m.Kielce",2017,22719
"3902",2801000,"Powiat bartoszycki",2017,122
"3903",2805000,"Powiat ełcki",2017,222
"3904",2806000,"Powiat giżycki",2017,167
"3905",2807000,"Powiat iławski",2017,246
"3906",2808000,"Powiat kętrzyński",2017,0
"3907",2813000,"Powiat olecki",2017,0
"3908",2817000,"Powiat szczycieński",2017,2462
"3909",2861000,"Powiat m.Elbląg",2017,3267
"3910",2862000,"Powiat m.Olsztyn",2017,22519
"3911",3002000,"Powiat czarnkowsko-trzcianecki",2017,60
"3912",3003000,"Powiat gnieźnieński",2017,973
"3913",3006000,"Powiat jarociński",2017,0
"3914",3007000,"Powiat kaliski",2017,0
"3915",3008000,"Powiat kępiński",2017,0
"3916",3009000,"Powiat kolski",2017,0
"3917",3011000,"Powiat kościański",2017,0
"3918",3015000,"Powiat nowotomyski",2017,249
"3919",3017000,"Powiat ostrowski",2017,516
"3920",3019000,"Powiat pilski",2017,1426
"3921",3021000,"Powiat poznański",2017,0
"3922",3023000,"Powiat słupecki",2017,0
"3923",3025000,"Powiat średzki",2017,1063
"3924",3026000,"Powiat śremski",2017,0
"3925",3027000,"Powiat turecki",2017,0
"3926",3028000,"Powiat wągrowiecki",2017,143
"3927",3030000,"Powiat wrzesiński",2017,52
"3928",3061000,"Powiat m.Kalisz",2017,3258
"3929",3062000,"Powiat m.Konin",2017,2114
"3930",3063000,"Powiat m.Leszno",2017,2301
"3931",3064000,"Powiat m.Poznań",2017,110346
"3932",3204000,"Powiat goleniowski",2017,0
"3933",3205000,"Powiat gryficki",2017,254
"3934",3208000,"Powiat kołobrzeski",2017,287
"3935",3214000,"Powiat stargardzki",2017,218
"3936",3215000,"Powiat szczecinecki",2017,211
"3937",3217000,"Powiat wałecki",2017,431
"3938",3261000,"Powiat m.Koszalin",2017,5405
"3939",3262000,"Powiat m.Szczecin",2017,35043
"3940",3263000,"Powiat m.Świnoujście",2017,80
"3941",201000,"Powiat bolesławiecki",2018,0
"3942",202000,"Powiat dzierżoniowski",2018,0
"3943",203000,"Powiat głogowski",2018,743
"3944",208000,"Powiat kłodzki",2018,449
"3945",211000,"Powiat lubiński",2018,469
"3946",213000,"Powiat milicki",2018,0
"3947",216000,"Powiat polkowicki",2018,426
"3948",219000,"Powiat świdnicki",2018,201
"3949",221000,"Powiat wałbrzyski",2018,0
"3950",224000,"Powiat ząbkowicki",2018,0
"3951",225000,"Powiat zgorzelecki",2018,17
"3952",261000,"Powiat m.Jelenia Góra",2018,1667
"3953",262000,"Powiat m.Legnica",2018,3204
"3954",264000,"Powiat m.Wrocław",2018,110881
"3955",265000,"Powiat m.Wałbrzych od 2013",2018,2258
"3956",402000,"Powiat brodnicki",2018,0
"3957",407000,"Powiat inowrocławski",2018,40
"3958",414000,"Powiat świecki",2018,82
"3959",415000,"Powiat toruński",2018,0
"3960",416000,"Powiat tucholski",2018,542
"3961",461000,"Powiat m.Bydgoszcz",2018,27058
"3962",462000,"Powiat m.Grudziądz",2018,312
"3963",463000,"Powiat m.Toruń",2018,26180
"3964",464000,"Powiat m.Włocławek",2018,2325
"3965",602000,"Powiat biłgorajski",2018,0
"3966",611000,"Powiat łukowski",2018,0
"3967",614000,"Powiat puławski",2018,278
"3968",616000,"Powiat rycki",2018,1797
"3969",618000,"Powiat tomaszowski",2018,0
"3970",661000,"Powiat m.Biała Podlaska",2018,3679
"3971",662000,"Powiat m.Chełm",2018,1888
"3972",663000,"Powiat m.Lublin",2018,60988
"3973",664000,"Powiat m.Zamość",2018,1224
"3974",801000,"Powiat gorzowski",2018,0
"3975",802000,"Powiat krośnieński",2018,0
"3976",805000,"Powiat słubicki",2018,0
"3977",809000,"Powiat zielonogórski",2018,302
"3978",810000,"Powiat żagański",2018,0
"3979",811000,"Powiat żarski",2018,300
"3980",861000,"Powiat m.Gorzów Wielkopolski",2018,2731
"3981",862000,"Powiat m.Zielona Góra",2018,9927
"3982",1001000,"Powiat bełchatowski",2018,448
"3983",1002000,"Powiat kutnowski",2018,958
"3984",1005000,"Powiat łowicki",2018,0
"3985",1008000,"Powiat pabianicki",2018,0
"3986",1012000,"Powiat radomszczański",2018,0
"3987",1014000,"Powiat sieradzki",2018,301
"3988",1016000,"Powiat tomaszowski",2018,849
"3989",1017000,"Powiat wieluński",2018,0
"3990",1019000,"Powiat zduńskowolski",2018,174
"3991",1061000,"Powiat m.Łódź",2018,65565
"3992",1062000,"Powiat m.Piotrków Trybunalski",2018,1295
"3993",1063000,"Powiat m.Skierniewice",2018,1174
"3994",1201000,"Powiat bocheński",2018,149
"3995",1202000,"Powiat brzeski",2018,0
"3996",1203000,"Powiat chrzanowski",2018,0
"3997",1207000,"Powiat limanowski",2018,55
"3998",1208000,"Powiat miechowski",2018,101
"3999",1209000,"Powiat myślenicki",2018,850
"4000",1211000,"Powiat nowotarski",2018,2119
"4001",1212000,"Powiat olkuski",2018,188
"4002",1213000,"Powiat oświęcimski",2018,1773
"4003",1215000,"Powiat suski",2018,450
"4004",1217000,"Powiat tatrzański",2018,4
"4005",1261000,"Powiat m.Kraków",2018,134969
"4006",1262000,"Powiat m.Nowy Sącz",2018,4395
"4007",1263000,"Powiat m.Tarnów",2018,5084
"4008",1402000,"Powiat ciechanowski",2018,1338
"4009",1403000,"Powiat garwoliński",2018,0
"4010",1405000,"Powiat grodziski",2018,1183
"4011",1406000,"Powiat grójecki",2018,0
"4012",1412000,"Powiat miński",2018,72
"4013",1413000,"Powiat mławski",2018,325
"4014",1415000,"Powiat ostrołęcki",2018,0
"4015",1416000,"Powiat ostrowski",2018,54
"4016",1417000,"Powiat otwocki",2018,2290
"4017",1420000,"Powiat płoński",2018,251
"4018",1421000,"Powiat pruszkowski",2018,647
"4019",1422000,"Powiat przasnyski",2018,68
"4020",1424000,"Powiat pułtuski",2018,825
"4021",1426000,"Powiat siedlecki",2018,0
"4022",1428000,"Powiat sochaczewski",2018,295
"4023",1433000,"Powiat węgrowski",2018,0
"4024",1434000,"Powiat wołomiński",2018,0
"4025",1435000,"Powiat wyszkowski",2018,199
"4026",1438000,"Powiat żyrardowski",2018,851
"4027",1461000,"Powiat m.Ostrołęka",2018,232
"4028",1462000,"Powiat m.Płock",2018,5345
"4029",1463000,"Powiat m.Radom",2018,6990
"4030",1464000,"Powiat m.Siedlce",2018,6257
"4031",1465000,"Powiat m. st. Warszawa",2018,219559
"4032",1601000,"Powiat brzeski",2018,231
"4033",1603000,"Powiat kędzierzyńsko-kozielski",2018,21
"4034",1607000,"Powiat nyski",2018,1881
"4035",1661000,"Powiat m.Opole",2018,19159
"4036",1803000,"Powiat dębicki",2018,0
"4037",1804000,"Powiat jarosławski",2018,2469
"4038",1805000,"Powiat jasielski",2018,417
"4039",1806000,"Powiat kolbuszowski",2018,0
"4040",1811000,"Powiat mielecki",2018,171
"4041",1812000,"Powiat niżański",2018,51
"4042",1814000,"Powiat przeworski",2018,313
"4043",1817000,"Powiat sanocki",2018,1080
"4044",1818000,"Powiat stalowowolski",2018,624
"4045",1861000,"Powiat m.Krosno",2018,2219
"4046",1862000,"Powiat m.Przemyśl",2018,783
"4047",1863000,"Powiat m.Rzeszów",2018,37900
"4048",1864000,"Powiat m.Tarnobrzeg",2018,885
"4049",2001000,"Powiat augustowski",2018,0
"4050",2005000,"Powiat hajnowski",2018,220
"4051",2010000,"Powiat siemiatycki",2018,95
"4052",2061000,"Powiat m.Białystok",2018,24801
"4053",2062000,"Powiat m.Łomża",2018,3306
"4054",2063000,"Powiat m.Suwałki",2018,1339
"4055",2202000,"Powiat chojnicki",2018,606
"4056",2203000,"Powiat człuchowski",2018,0
"4057",2205000,"Powiat kartuski",2018,0
"4058",2206000,"Powiat kościerski",2018,107
"4059",2207000,"Powiat kwidzyński",2018,614
"4060",2208000,"Powiat lęborski",2018,164
"4061",2209000,"Powiat malborski",2018,0
"4062",2213000,"Powiat starogardzki",2018,243
"4063",2214000,"Powiat tczewski",2018,234
"4064",2215000,"Powiat wejherowski",2018,149
"4065",2261000,"Powiat m.Gdańsk",2018,65010
"4066",2262000,"Powiat m.Gdynia",2018,10959
"4067",2263000,"Powiat m.Słupsk",2018,3277
"4068",2264000,"Powiat m.Sopot",2018,2151
"4069",2401000,"Powiat będziński",2018,0
"4070",2403000,"Powiat cieszyński",2018,902
"4071",2409000,"Powiat myszkowski",2018,0
"4072",2411000,"Powiat raciborski",2018,1369
"4073",2413000,"Powiat tarnogórski",2018,29
"4074",2415000,"Powiat wodzisławski",2018,96
"4075",2416000,"Powiat zawierciański",2018,0
"4076",2417000,"Powiat żywiecki",2018,312
"4077",2461000,"Powiat m.Bielsko-Biała",2018,6571
"4078",2462000,"Powiat m.Bytom",2018,113
"4079",2463000,"Powiat m.Chorzów",2018,6038
"4080",2464000,"Powiat m.Częstochowa",2018,12809
"4081",2465000,"Powiat m.Dąbrowa Górnicza",2018,8060
"4082",2466000,"Powiat m.Gliwice",2018,18900
"4083",2467000,"Powiat m.Jastrzębie-Zdrój",2018,26
"4084",2468000,"Powiat m.Jaworzno",2018,44
"4085",2469000,"Powiat m.Katowice",2018,55660
"4086",2470000,"Powiat m.Mysłowice",2018,88
"4087",2472000,"Powiat m.Ruda Śląska",2018,260
"4088",2473000,"Powiat m.Rybnik",2018,371
"4089",2475000,"Powiat m.Sosnowiec",2018,2754
"4090",2477000,"Powiat m.Tychy",2018,0
"4091",2478000,"Powiat m.Zabrze",2018,0
"4092",2479000,"Powiat m.Żory",2018,326
"4093",2607000,"Powiat ostrowiecki",2018,1642
"4094",2608000,"Powiat pińczowski",2018,450
"4095",2609000,"Powiat sandomierski",2018,317
"4096",2610000,"Powiat skarżyski",2018,0
"4097",2611000,"Powiat starachowicki",2018,12
"4098",2661000,"Powiat m.Kielce",2018,20264
"4099",2801000,"Powiat bartoszycki",2018,117
"4100",2805000,"Powiat ełcki",2018,427
"4101",2806000,"Powiat giżycki",2018,148
"4102",2807000,"Powiat iławski",2018,243
"4103",2808000,"Powiat kętrzyński",2018,220
"4104",2813000,"Powiat olecki",2018,0
"4105",2817000,"Powiat szczycieński",2018,2249
"4106",2861000,"Powiat m.Elbląg",2018,3100
"4107",2862000,"Powiat m.Olsztyn",2018,20676
"4108",3002000,"Powiat czarnkowsko-trzcianecki",2018,64
"4109",3003000,"Powiat gnieźnieński",2018,854
"4110",3006000,"Powiat jarociński",2018,0
"4111",3007000,"Powiat kaliski",2018,0
"4112",3008000,"Powiat kępiński",2018,0
"4113",3009000,"Powiat kolski",2018,0
"4114",3011000,"Powiat kościański",2018,0
"4115",3015000,"Powiat nowotomyski",2018,231
"4116",3017000,"Powiat ostrowski",2018,527
"4117",3019000,"Powiat pilski",2018,1317
"4118",3021000,"Powiat poznański",2018,0
"4119",3023000,"Powiat słupecki",2018,0
"4120",3025000,"Powiat średzki",2018,1037
"4121",3026000,"Powiat śremski",2018,0
"4122",3027000,"Powiat turecki",2018,0
"4123",3028000,"Powiat wągrowiecki",2018,156
"4124",3030000,"Powiat wrzesiński",2018,88
"4125",3061000,"Powiat m.Kalisz",2018,2897
"4126",3062000,"Powiat m.Konin",2018,2094
"4127",3063000,"Powiat m.Leszno",2018,2171
"4128",3064000,"Powiat m.Poznań",2018,104088
"4129",3204000,"Powiat goleniowski",2018,0
"4130",3205000,"Powiat gryficki",2018,237
"4131",3208000,"Powiat kołobrzeski",2018,272
"4132",3214000,"Powiat stargardzki",2018,347
"4133",3215000,"Powiat szczecinecki",2018,209
"4134",3217000,"Powiat wałecki",2018,407
"4135",3261000,"Powiat m.Koszalin",2018,5020
"4136",3262000,"Powiat m.Szczecin",2018,32857
"4137",3263000,"Powiat m.Świnoujście",2018,72
