"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_60_do_80_m2_zl"
"5827",1212000,"Powiat olkuski",2015,2451
"5828",1213000,"Powiat oświęcimski",2015,2691
"5829",1214000,"Powiat proszowicki",2015,0
"5830",1215000,"Powiat suski",2015,2617
"5831",1216000,"Powiat tarnowski",2015,0
"5832",1217000,"Powiat tatrzański",2015,9085
"5833",1218000,"Powiat wadowicki",2015,3562
"5834",1219000,"Powiat wielicki",2015,4339
"5835",1261000,"Powiat m.Kraków",2015,5987
"5836",1262000,"Powiat m.Nowy Sącz",2015,2787
"5837",1263000,"Powiat m.Tarnów",2015,3372
"5838",1401000,"Powiat białobrzeski",2015,0
"5839",1402000,"Powiat ciechanowski",2015,3042
"5840",1403000,"Powiat garwoliński",2015,0
"5841",1404000,"Powiat gostyniński",2015,2025
"5842",1405000,"Powiat grodziski",2015,4333
"5843",1406000,"Powiat grójecki",2015,2571
"5844",1407000,"Powiat kozienicki",2015,3229
"5845",1408000,"Powiat legionowski",2015,4095
"5846",1409000,"Powiat lipski",2015,0
"5847",1410000,"Powiat łosicki",2015,3098
"5848",1411000,"Powiat makowski",2015,0
"5849",1412000,"Powiat miński",2015,4026
"5850",1413000,"Powiat mławski",2015,2890
"5851",1414000,"Powiat nowodworski",2015,3752
"5852",1415000,"Powiat ostrołęcki",2015,0
"5853",1416000,"Powiat ostrowski",2015,2113
"5854",1417000,"Powiat otwocki",2015,4774
"5855",1418000,"Powiat piaseczyński",2015,5080
"5856",1419000,"Powiat płocki",2015,2599
"5857",1420000,"Powiat płoński",2015,2992
"5858",1421000,"Powiat pruszkowski",2015,5304
"5859",1422000,"Powiat przasnyski",2015,3196
"5860",1423000,"Powiat przysuski",2015,1538
"5861",1424000,"Powiat pułtuski",2015,3304
"5862",1425000,"Powiat radomski",2015,1672
"5863",1426000,"Powiat siedlecki",2015,0
"5864",1427000,"Powiat sierpecki",2015,2475
"5865",1428000,"Powiat sochaczewski",2015,3115
"5866",1429000,"Powiat sokołowski",2015,2272
"5867",1430000,"Powiat szydłowiecki",2015,1236
"5868",1432000,"Powiat warszawski zachodni",2015,4910
"5869",1433000,"Powiat węgrowski",2015,2928
"5870",1434000,"Powiat wołomiński",2015,4402
"5871",1435000,"Powiat wyszkowski",2015,3506
"5872",1436000,"Powiat zwoleński",2015,0
"5873",1437000,"Powiat żuromiński",2015,1828
"5874",1438000,"Powiat żyrardowski",2015,2943
"5875",1461000,"Powiat m.Ostrołęka",2015,3551
"5876",1462000,"Powiat m.Płock",2015,3875
"5877",1463000,"Powiat m.Radom",2015,3463
"5878",1464000,"Powiat m.Siedlce",2015,4000
"5879",1465000,"Powiat m. st. Warszawa",2015,7190
"5880",1601000,"Powiat brzeski",2015,2749
"5881",1602000,"Powiat głubczycki",2015,1576
"5882",1603000,"Powiat kędzierzyńsko-kozielski",2015,2212
"5883",1604000,"Powiat kluczborski",2015,2197
"5884",1605000,"Powiat krapkowicki",2015,2493
"5885",1606000,"Powiat namysłowski",2015,2710
"5886",1607000,"Powiat nyski",2015,1984
"5887",1608000,"Powiat oleski",2015,2412
"5888",1609000,"Powiat opolski",2015,2370
"5889",1610000,"Powiat prudnicki",2015,1627
"5890",1611000,"Powiat strzelecki",2015,2215
"5891",1661000,"Powiat m.Opole",2015,4173
"5892",1801000,"Powiat bieszczadzki",2015,2031
"5893",1802000,"Powiat brzozowski",2015,2455
