"","Kod","Nazwa","rok","BEZROBOCIE_kobiety_w_proc_bezrobotnych_kobiet_proc"
"19508",1213000,"Powiat oświęcimski",2003,NA
"19509",1214000,"Powiat proszowicki",2003,NA
"19510",1215000,"Powiat suski",2003,NA
"19511",1216000,"Powiat tarnowski",2003,NA
"19512",1217000,"Powiat tatrzański",2003,NA
"19513",1218000,"Powiat wadowicki",2003,NA
"19514",1219000,"Powiat wielicki",2003,NA
"19515",1261000,"Powiat m.Kraków",2003,NA
"19516",1262000,"Powiat m.Nowy Sącz",2003,NA
"19517",1263000,"Powiat m.Tarnów",2003,NA
"19518",1401000,"Powiat białobrzeski",2003,NA
"19519",1402000,"Powiat ciechanowski",2003,NA
"19520",1403000,"Powiat garwoliński",2003,NA
"19521",1404000,"Powiat gostyniński",2003,NA
"19522",1405000,"Powiat grodziski",2003,NA
"19523",1406000,"Powiat grójecki",2003,NA
"19524",1407000,"Powiat kozienicki",2003,NA
"19525",1408000,"Powiat legionowski",2003,NA
"19526",1409000,"Powiat lipski",2003,NA
"19527",1410000,"Powiat łosicki",2003,NA
"19528",1411000,"Powiat makowski",2003,NA
"19529",1412000,"Powiat miński",2003,NA
"19530",1413000,"Powiat mławski",2003,NA
"19531",1414000,"Powiat nowodworski",2003,NA
"19532",1415000,"Powiat ostrołęcki",2003,NA
"19533",1416000,"Powiat ostrowski",2003,NA
"19534",1417000,"Powiat otwocki",2003,NA
"19535",1418000,"Powiat piaseczyński",2003,NA
"19536",1419000,"Powiat płocki",2003,NA
"19537",1420000,"Powiat płoński",2003,NA
"19538",1421000,"Powiat pruszkowski",2003,NA
"19539",1422000,"Powiat przasnyski",2003,NA
"19540",1423000,"Powiat przysuski",2003,NA
"19541",1424000,"Powiat pułtuski",2003,NA
"19542",1425000,"Powiat radomski",2003,NA
"19543",1426000,"Powiat siedlecki",2003,NA
"19544",1427000,"Powiat sierpecki",2003,NA
"19545",1428000,"Powiat sochaczewski",2003,NA
"19546",1429000,"Powiat sokołowski",2003,NA
"19547",1430000,"Powiat szydłowiecki",2003,NA
