"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_ubostwo"
"134",1219000,"Powiat wielicki",2014,1311
"135",1261000,"Powiat m.Kraków",2014,8641
"136",1262000,"Powiat m.Nowy Sącz",2014,1385
"137",1263000,"Powiat m.Tarnów",2014,230
"138",1401000,"Powiat białobrzeski",2014,1016
"139",1402000,"Powiat ciechanowski",2014,1627
"140",1403000,"Powiat garwoliński",2014,1667
"141",1404000,"Powiat gostyniński",2014,1174
"142",1405000,"Powiat grodziski",2014,1526
"143",1406000,"Powiat grójecki",2014,1128
"144",1407000,"Powiat kozienicki",2014,1471
"145",1408000,"Powiat legionowski",2014,965
"146",1409000,"Powiat lipski",2014,964
"147",1410000,"Powiat łosicki",2014,734
"148",1411000,"Powiat makowski",2014,1356
"149",1412000,"Powiat miński",2014,2031
"150",1413000,"Powiat mławski",2014,1530
"151",1414000,"Powiat nowodworski",2014,1153
"152",1415000,"Powiat ostrołęcki",2014,2436
"153",1416000,"Powiat ostrowski",2014,1621
"154",1417000,"Powiat otwocki",2014,1737
"155",1418000,"Powiat piaseczyński",2014,1320
"156",1419000,"Powiat płocki",2014,2780
"157",1420000,"Powiat płoński",2014,1455
"158",1421000,"Powiat pruszkowski",2014,1139
"159",1422000,"Powiat przasnyski",2014,2050
"160",1423000,"Powiat przysuski",2014,963
"161",1424000,"Powiat pułtuski",2014,1277
"162",1425000,"Powiat radomski",2014,3187
"163",1426000,"Powiat siedlecki",2014,1757
"164",1427000,"Powiat sierpecki",2014,1461
"165",1428000,"Powiat sochaczewski",2014,1400
"166",1429000,"Powiat sokołowski",2014,1082
"167",1430000,"Powiat szydłowiecki",2014,1799
"168",1432000,"Powiat warszawski zachodni",2014,867
"169",1433000,"Powiat węgrowski",2014,1982
"170",1434000,"Powiat wołomiński",2014,3616
"171",1435000,"Powiat wyszkowski",2014,1575
"172",1436000,"Powiat zwoleński",2014,842
"173",1437000,"Powiat żuromiński",2014,805
"174",1438000,"Powiat żyrardowski",2014,1184
"175",1461000,"Powiat m.Ostrołęka",2014,1549
"176",1462000,"Powiat m.Płock",2014,3085
"177",1463000,"Powiat m.Radom",2014,7217
"178",1464000,"Powiat m.Siedlce",2014,1724
"179",1465000,"Powiat m. st. Warszawa",2014,15815
"180",1601000,"Powiat brzeski",2014,1784
"181",1602000,"Powiat głubczycki",2014,1485
"182",1603000,"Powiat kędzierzyńsko-kozielski",2014,1685
"183",1604000,"Powiat kluczborski",2014,1066
"184",1605000,"Powiat krapkowicki",2014,955
"185",1606000,"Powiat namysłowski",2014,849
"186",1607000,"Powiat nyski",2014,3435
"187",1608000,"Powiat oleski",2014,625
"188",1609000,"Powiat opolski",2014,1366
"189",1610000,"Powiat prudnicki",2014,856
"190",1611000,"Powiat strzelecki",2014,760
"191",1661000,"Powiat m.Opole",2014,987
"192",1801000,"Powiat bieszczadzki",2014,699
"193",1802000,"Powiat brzozowski",2014,1920
"194",1803000,"Powiat dębicki",2014,3632
"195",1804000,"Powiat jarosławski",2014,1478
"196",1805000,"Powiat jasielski",2014,3694
"197",1806000,"Powiat kolbuszowski",2014,1204
"198",1807000,"Powiat krośnieński",2014,2512
"199",1808000,"Powiat leżajski",2014,1420
"200",1809000,"Powiat lubaczowski",2014,608
"201",1810000,"Powiat łańcucki",2014,1394
"202",1811000,"Powiat mielecki",2014,1582
"203",1812000,"Powiat niżański",2014,1727
"204",1813000,"Powiat przemyski",2014,2714
"205",1814000,"Powiat przeworski",2014,1593
"206",1815000,"Powiat ropczycko-sędziszowski",2014,1238
"207",1816000,"Powiat rzeszowski",2014,3538
"208",1817000,"Powiat sanocki",2014,2579
"209",1818000,"Powiat stalowowolski",2014,1835
"210",1819000,"Powiat strzyżowski",2014,1050
"211",1820000,"Powiat tarnobrzeski",2014,919
"212",1821000,"Powiat leski",2014,661
"213",1861000,"Powiat m.Krosno",2014,562
"214",1862000,"Powiat m.Przemyśl",2014,1604
"215",1863000,"Powiat m.Rzeszów",2014,2950
"216",1864000,"Powiat m.Tarnobrzeg",2014,583
"217",2001000,"Powiat augustowski",2014,1479
"218",2002000,"Powiat białostocki",2014,3503
"219",2003000,"Powiat bielski",2014,1280
"220",2004000,"Powiat grajewski",2014,1849
"221",2005000,"Powiat hajnowski",2014,2032
"222",2006000,"Powiat kolneński",2014,889
"223",2007000,"Powiat łomżyński",2014,1117
"224",2008000,"Powiat moniecki",2014,944
"225",2009000,"Powiat sejneński",2014,775
"226",2010000,"Powiat siemiatycki",2014,1430
"227",2011000,"Powiat sokólski",2014,2439
"228",2012000,"Powiat suwalski",2014,903
"229",2013000,"Powiat wysokomazowiecki",2014,775
"230",2014000,"Powiat zambrowski",2014,1054
"231",2061000,"Powiat m.Białystok",2014,6486
"232",2062000,"Powiat m.Łomża",2014,1393
"233",2063000,"Powiat m.Suwałki",2014,1860
"234",2201000,"Powiat bytowski",2014,2111
"235",2202000,"Powiat chojnicki",2014,2359
"236",2203000,"Powiat człuchowski",2014,1743
