"","Kod","Nazwa","rok","Mieszkania_oddane_do_uzytkowania_ogolem_powierzchnia_uZytkowa_mieszkan_m2"
"9677",1211000,"Powiat nowotarski",1995,33939
"9678",1212000,"Powiat olkuski",1995,13916
"9679",1213000,"Powiat oświęcimski",1995,23191
"9680",1214000,"Powiat proszowicki",1995,8235
"9681",1215000,"Powiat suski",1995,16500
"9682",1216000,"Powiat tarnowski",1995,43399
"9683",1217000,"Powiat tatrzański",1995,12748
"9684",1218000,"Powiat wadowicki",1995,34272
"9685",1219000,"Powiat wielicki",1995,29514
"9686",1261000,"Powiat m.Kraków",1995,136625
"9687",1262000,"Powiat m.Nowy Sącz",1995,15329
"9688",1263000,"Powiat m.Tarnów",1995,14510
"9689",1401000,"Powiat białobrzeski",1995,9733
"9690",1402000,"Powiat ciechanowski",1995,4432
"9691",1403000,"Powiat garwoliński",1995,32370
"9692",1404000,"Powiat gostyniński",1995,7745
"9693",1405000,"Powiat grodziski",1995,26150
"9694",1406000,"Powiat grójecki",1995,21668
"9695",1407000,"Powiat kozienicki",1995,10016
"9696",1408000,"Powiat legionowski",1995,20693
"9697",1409000,"Powiat lipski",1995,8642
"9698",1410000,"Powiat łosicki",1995,14506
"9699",1411000,"Powiat makowski",1995,10830
"9700",1412000,"Powiat miński",1995,54951
"9701",1413000,"Powiat mławski",1995,12488
"9702",1414000,"Powiat nowodworski",1995,10776
"9703",1415000,"Powiat ostrołęcki",1995,10715
"9704",1416000,"Powiat ostrowski",1995,17686
"9705",1417000,"Powiat otwocki",1995,20922
"9706",1418000,"Powiat piaseczyński",1995,32068
"9707",1419000,"Powiat płocki",1995,30731
"9708",1420000,"Powiat płoński",1995,5343
"9709",1421000,"Powiat pruszkowski",1995,52370
"9710",1422000,"Powiat przasnyski",1995,2943
"9711",1423000,"Powiat przysuski",1995,7657
"9712",1424000,"Powiat pułtuski",1995,9540
"9713",1425000,"Powiat radomski",1995,28332
"9714",1426000,"Powiat siedlecki",1995,20367
"9715",1427000,"Powiat sierpecki",1995,9372
"9716",1428000,"Powiat sochaczewski",1995,10403
"9717",1429000,"Powiat sokołowski",1995,14570
"9718",1430000,"Powiat szydłowiecki",1995,5513
"9719",1431000,"Powiat warszawski",1995,365241
"9720",1432000,"Powiat warszawski zachodni",1995,34320
"9721",1433000,"Powiat węgrowski",1995,12422
"9722",1434000,"Powiat wołomiński",1995,51932
"9723",1435000,"Powiat wyszkowski",1995,6824
"9724",1436000,"Powiat zwoleński",1995,5471
"9725",1437000,"Powiat żuromiński",1995,1383
"9726",1438000,"Powiat żyrardowski",1995,8679
"9727",1461000,"Powiat m.Ostrołęka",1995,20561
"9728",1462000,"Powiat m.Płock",1995,24198
"9729",1463000,"Powiat m.Radom",1995,51355
"9730",1464000,"Powiat m.Siedlce",1995,25620
"9731",1465000,"Powiat m. st. Warszawa",1995,NA
"9732",1601000,"Powiat brzeski",1995,13843
"9733",1602000,"Powiat głubczycki",1995,4317
"9734",1603000,"Powiat kędzierzyńsko-kozielski",1995,9394
"9735",1604000,"Powiat kluczborski",1995,4617
"9736",1605000,"Powiat krapkowicki",1995,3229
"9737",1606000,"Powiat namysłowski",1995,2650
"9738",1607000,"Powiat nyski",1995,17264
"9739",1608000,"Powiat oleski",1995,8998
"9740",1609000,"Powiat opolski",1995,9915
"9741",1610000,"Powiat prudnicki",1995,2089
"9742",1611000,"Powiat strzelecki",1995,3604
"9743",1661000,"Powiat m.Opole",1995,19861
"9744",1801000,"Powiat bieszczadzki",1995,6324
"9745",1802000,"Powiat brzozowski",1995,20464
"9746",1803000,"Powiat dębicki",1995,24195
"9747",1804000,"Powiat jarosławski",1995,6898
"9748",1805000,"Powiat jasielski",1995,15942
"9749",1806000,"Powiat kolbuszowski",1995,14741
"9750",1807000,"Powiat krośnieński",1995,16490
"9751",1808000,"Powiat leżajski",1995,8653
"9752",1809000,"Powiat lubaczowski",1995,5852
"9753",1810000,"Powiat łańcucki",1995,17422
"9754",1811000,"Powiat mielecki",1995,23260
"9755",1812000,"Powiat niżański",1995,21194
"9756",1813000,"Powiat przemyski",1995,2494
"9757",1814000,"Powiat przeworski",1995,7987
"9758",1815000,"Powiat ropczycko-sędziszowski",1995,9409
"9759",1816000,"Powiat rzeszowski",1995,28009
"9760",1817000,"Powiat sanocki",1995,6334
"9761",1818000,"Powiat stalowowolski",1995,18409
"9762",1819000,"Powiat strzyżowski",1995,7362
"9763",1820000,"Powiat tarnobrzeski",1995,4294
"9764",1821000,"Powiat leski",1995,NA
"9765",1861000,"Powiat m.Krosno",1995,6017
"9766",1862000,"Powiat m.Przemyśl",1995,8213
"9767",1863000,"Powiat m.Rzeszów",1995,26899
"9768",1864000,"Powiat m.Tarnobrzeg",1995,12097
"9769",2001000,"Powiat augustowski",1995,6084
"9770",2002000,"Powiat białostocki",1995,41500
"9771",2003000,"Powiat bielski",1995,18207
"9772",2004000,"Powiat grajewski",1995,11766
"9773",2005000,"Powiat hajnowski",1995,4877
"9774",2006000,"Powiat kolneński",1995,10865
"9775",2007000,"Powiat łomżyński",1995,20910
"9776",2008000,"Powiat moniecki",1995,14081
"9777",2009000,"Powiat sejneński",1995,3371
"9778",2010000,"Powiat siemiatycki",1995,13742
"9779",2011000,"Powiat sokólski",1995,10130
"9780",2012000,"Powiat suwalski",1995,9433
"9781",2013000,"Powiat wysokomazowiecki",1995,18743
"9782",2014000,"Powiat zambrowski",1995,13008
"9783",2061000,"Powiat m.Białystok",1995,124530
"9784",2062000,"Powiat m.Łomża",1995,21330
"9785",2063000,"Powiat m.Suwałki",1995,19647
"9786",2201000,"Powiat bytowski",1995,7638
"9787",2202000,"Powiat chojnicki",1995,8098
"9788",2203000,"Powiat człuchowski",1995,2847
"9789",2204000,"Powiat gdański",1995,13012
"9790",2205000,"Powiat kartuski",1995,18277
"9791",2206000,"Powiat kościerski",1995,6439
"9792",2207000,"Powiat kwidzyński",1995,13080
"9793",2208000,"Powiat lęborski",1995,7787
"9794",2209000,"Powiat malborski",1995,12911
"9795",2210000,"Powiat nowodworski",1995,1722
"9796",2211000,"Powiat pucki",1995,11874
"9797",2212000,"Powiat słupski",1995,8534
"9798",2213000,"Powiat starogardzki",1995,15149
"9799",2214000,"Powiat tczewski",1995,16734
"9800",2215000,"Powiat wejherowski",1995,31383
"9801",2216000,"Powiat sztumski",1995,NA
"9802",2261000,"Powiat m.Gdańsk",1995,117985
"9803",2262000,"Powiat m.Gdynia",1995,73984
"9804",2263000,"Powiat m.Słupsk",1995,17431
"9805",2264000,"Powiat m.Sopot",1995,7530
"9806",2401000,"Powiat będziński",1995,7270
"9807",2402000,"Powiat bielski",1995,25493
"9808",2403000,"Powiat cieszyński",1995,40814
"9809",2404000,"Powiat częstochowski",1995,19809
"9810",2405000,"Powiat gliwicki",1995,2819
"9811",2406000,"Powiat kłobucki",1995,16759
"9812",2407000,"Powiat lubliniecki",1995,11188
"9813",2408000,"Powiat mikołowski",1995,7421
"9814",2409000,"Powiat myszkowski",1995,12849
"9815",2410000,"Powiat pszczyński",1995,18955
"9816",2411000,"Powiat raciborski",1995,5881
"9817",2412000,"Powiat rybnicki",1995,11289
"9818",2413000,"Powiat tarnogórski",1995,13227
"9819",2414000,"Powiat bieruńsko-lędziński",1995,5734
"9820",2415000,"Powiat wodzisławski",1995,18300
"9821",2416000,"Powiat zawierciański",1995,13423
"9822",2417000,"Powiat żywiecki",1995,19780
"9823",2461000,"Powiat m.Bielsko-Biała",1995,28003
"9824",2462000,"Powiat m.Bytom",1995,3514
"9825",2463000,"Powiat m.Chorzów",1995,0
"9826",2464000,"Powiat m.Częstochowa",1995,44322
