"","Kod","Nazwa","rok","Mieszkania_oddane_do_uzytkowania_ogolem_powierzchnia_uZytkowa_mieszkan_m2"
"11739",2467000,"Powiat m.Jastrzębie-Zdrój",2000,19382
"11740",2468000,"Powiat m.Jaworzno",2000,7818
"11741",2469000,"Powiat m.Katowice",2000,36333
"11742",2470000,"Powiat m.Mysłowice",2000,4600
"11743",2471000,"Powiat m.Piekary Śląskie",2000,3444
"11744",2472000,"Powiat m.Ruda Śląska",2000,8118
"11745",2473000,"Powiat m.Rybnik",2000,15492
"11746",2474000,"Powiat m.Siemianowice Śląskie",2000,3101
"11747",2475000,"Powiat m.Sosnowiec",2000,2644
"11748",2476000,"Powiat m.Świętochłowice",2000,1634
"11749",2477000,"Powiat m.Tychy",2000,21609
"11750",2478000,"Powiat m.Zabrze",2000,2707
"11751",2479000,"Powiat m.Żory",2000,12508
"11752",2601000,"Powiat buski",2000,8712
"11753",2602000,"Powiat jędrzejowski",2000,7846
"11754",2603000,"Powiat kazimierski",2000,3697
"11755",2604000,"Powiat kielecki",2000,41745
"11756",2605000,"Powiat konecki",2000,8264
"11757",2606000,"Powiat opatowski",2000,10053
"11758",2607000,"Powiat ostrowiecki",2000,11106
"11759",2608000,"Powiat pińczowski",2000,1809
"11760",2609000,"Powiat sandomierski",2000,13147
"11761",2610000,"Powiat skarżyski",2000,9136
"11762",2611000,"Powiat starachowicki",2000,7129
"11763",2612000,"Powiat staszowski",2000,4682
"11764",2613000,"Powiat włoszczowski",2000,3571
"11765",2661000,"Powiat m.Kielce",2000,56446
"11766",2801000,"Powiat bartoszycki",2000,5201
"11767",2802000,"Powiat braniewski",2000,4289
"11768",2803000,"Powiat działdowski",2000,9717
"11769",2804000,"Powiat elbląski",2000,3320
"11770",2805000,"Powiat ełcki",2000,20366
"11771",2806000,"Powiat giżycki",2000,15423
"11772",2807000,"Powiat iławski",2000,20353
"11773",2808000,"Powiat kętrzyński",2000,5335
"11774",2809000,"Powiat lidzbarski",2000,3297
"11775",2810000,"Powiat mrągowski",2000,19060
"11776",2811000,"Powiat nidzicki",2000,4172
"11777",2812000,"Powiat nowomiejski",2000,6475
"11778",2813000,"Powiat olecki",2000,5419
"11779",2814000,"Powiat olsztyński",2000,16353
"11780",2815000,"Powiat ostródzki",2000,13090
"11781",2816000,"Powiat piski",2000,7765
"11782",2817000,"Powiat szczycieński",2000,8022
"11783",2818000,"Powiat gołdapski",2000,NA
"11784",2819000,"Powiat węgorzewski",2000,NA
"11785",2861000,"Powiat m.Elbląg",2000,25941
"11786",2862000,"Powiat m.Olsztyn",2000,55199
"11787",3001000,"Powiat chodzieski",2000,3410
"11788",3002000,"Powiat czarnkowsko-trzcianecki",2000,9759
"11789",3003000,"Powiat gnieźnieński",2000,6053
"11790",3004000,"Powiat gostyński",2000,3493
"11791",3005000,"Powiat grodziski",2000,3442
"11792",3006000,"Powiat jarociński",2000,11241
"11793",3007000,"Powiat kaliski",2000,7140
"11794",3008000,"Powiat kępiński",2000,7958
"11795",3009000,"Powiat kolski",2000,13994
"11796",3010000,"Powiat koniński",2000,3548
"11797",3011000,"Powiat kościański",2000,10883
"11798",3012000,"Powiat krotoszyński",2000,12261
"11799",3013000,"Powiat leszczyński",2000,4175
"11800",3014000,"Powiat międzychodzki",2000,3898
"11801",3015000,"Powiat nowotomyski",2000,7172
"11802",3016000,"Powiat obornicki",2000,5050
"11803",3017000,"Powiat ostrowski",2000,38359
"11804",3018000,"Powiat ostrzeszowski",2000,10625
"11805",3019000,"Powiat pilski",2000,31920
"11806",3020000,"Powiat pleszewski",2000,5737
"11807",3021000,"Powiat poznański",2000,140907
"11808",3022000,"Powiat rawicki",2000,2968
"11809",3023000,"Powiat słupecki",2000,7609
"11810",3024000,"Powiat szamotulski",2000,7578
"11811",3025000,"Powiat średzki",2000,6012
"11812",3026000,"Powiat śremski",2000,7684
"11813",3027000,"Powiat turecki",2000,9768
"11814",3028000,"Powiat wągrowiecki",2000,7219
"11815",3029000,"Powiat wolsztyński",2000,8541
"11816",3030000,"Powiat wrzesiński",2000,15955
"11817",3031000,"Powiat złotowski",2000,4796
"11818",3061000,"Powiat m.Kalisz",2000,23550
"11819",3062000,"Powiat m.Konin",2000,23210
"11820",3063000,"Powiat m.Leszno",2000,15582
"11821",3064000,"Powiat m.Poznań",2000,141554
"11822",3201000,"Powiat białogardzki",2000,5269
"11823",3202000,"Powiat choszczeński",2000,862
"11824",3203000,"Powiat drawski",2000,4000
"11825",3204000,"Powiat goleniowski",2000,20631
"11826",3205000,"Powiat gryficki",2000,3460
"11827",3206000,"Powiat gryfiński",2000,8198
"11828",3207000,"Powiat kamieński",2000,5077
"11829",3208000,"Powiat kołobrzeski",2000,25862
"11830",3209000,"Powiat koszaliński",2000,6632
"11831",3210000,"Powiat myśliborski",2000,5765
"11832",3211000,"Powiat policki",2000,34478
"11833",3212000,"Powiat pyrzycki",2000,1909
"11834",3213000,"Powiat sławieński",2000,4109
"11835",3214000,"Powiat stargardzki",2000,21934
"11836",3215000,"Powiat szczecinecki",2000,9256
"11837",3216000,"Powiat świdwiński",2000,5099
"11838",3217000,"Powiat wałecki",2000,7206
"11839",3218000,"Powiat łobeski",2000,NA
"11840",3261000,"Powiat m.Koszalin",2000,26145
"11841",3262000,"Powiat m.Szczecin",2000,127336
"11842",3263000,"Powiat m.Świnoujście",2000,8491
"11843",201000,"Powiat bolesławiecki",2001,16579
"11844",202000,"Powiat dzierżoniowski",2001,15187
"11845",203000,"Powiat głogowski",2001,14455
"11846",204000,"Powiat górowski",2001,3972
"11847",205000,"Powiat jaworski",2001,3682
"11848",206000,"Powiat jeleniogórski",2001,8381
"11849",207000,"Powiat kamiennogórski",2001,2641
"11850",208000,"Powiat kłodzki",2001,23049
"11851",209000,"Powiat legnicki",2001,3659
"11852",210000,"Powiat lubański",2001,4082
"11853",211000,"Powiat lubiński",2001,20980
"11854",212000,"Powiat lwówecki",2001,5499
"11855",213000,"Powiat milicki",2001,5153
"11856",214000,"Powiat oleśnicki",2001,15369
"11857",215000,"Powiat oławski",2001,16003
"11858",216000,"Powiat polkowicki",2001,12244
"11859",217000,"Powiat strzeliński",2001,2034
"11860",218000,"Powiat średzki",2001,6915
"11861",219000,"Powiat świdnicki",2001,15528
"11862",220000,"Powiat trzebnicki",2001,16910
"11863",221000,"Powiat wałbrzyski",2001,3689
"11864",222000,"Powiat wołowski",2001,7912
"11865",223000,"Powiat wrocławski",2001,40437
"11866",224000,"Powiat ząbkowicki",2001,4730
"11867",225000,"Powiat zgorzelecki",2001,18266
"11868",226000,"Powiat złotoryjski",2001,3824
"11869",261000,"Powiat m.Jelenia Góra",2001,15071
"11870",262000,"Powiat m.Legnica",2001,29173
"11871",263000,"Powiat m.Wałbrzych do 2002",2001,7220
"11872",264000,"Powiat m.Wrocław",2001,317891
"11873",265000,"Powiat m.Wałbrzych od 2013",2001,NA
"11874",401000,"Powiat aleksandrowski",2001,6266
"11875",402000,"Powiat brodnicki",2001,17129
"11876",403000,"Powiat bydgoski",2001,39430
"11877",404000,"Powiat chełmiński",2001,5548
"11878",405000,"Powiat golubsko-dobrzyński",2001,2522
"11879",406000,"Powiat grudziądzki",2001,5503
"11880",407000,"Powiat inowrocławski",2001,24685
"11881",408000,"Powiat lipnowski",2001,3531
"11882",409000,"Powiat mogileński",2001,2055
"11883",410000,"Powiat nakielski",2001,6198
"11884",411000,"Powiat radziejowski",2001,2498
"11885",412000,"Powiat rypiński",2001,2508
"11886",413000,"Powiat sępoleński",2001,4050
"11887",414000,"Powiat świecki",2001,18600
"11888",415000,"Powiat toruński",2001,34282
"11889",416000,"Powiat tucholski",2001,3613
"11890",417000,"Powiat wąbrzeski",2001,2573
"11891",418000,"Powiat włocławski",2001,12305
"11892",419000,"Powiat żniński",2001,5623
"11893",461000,"Powiat m.Bydgoszcz",2001,94924
"11894",462000,"Powiat m.Grudziądz",2001,19058
"11895",463000,"Powiat m.Toruń",2001,85094
"11896",464000,"Powiat m.Włocławek",2001,16425
"11897",601000,"Powiat bialski",2001,9490
"11898",602000,"Powiat biłgorajski",2001,21886
"11899",603000,"Powiat chełmski",2001,5980
"11900",604000,"Powiat hrubieszowski",2001,4340
"11901",605000,"Powiat janowski",2001,2208
"11902",606000,"Powiat krasnostawski",2001,8010
"11903",607000,"Powiat kraśnicki",2001,5008
"11904",608000,"Powiat lubartowski",2001,4410
"11905",609000,"Powiat lubelski",2001,15495
"11906",610000,"Powiat łęczyński",2001,4132
"11907",611000,"Powiat łukowski",2001,16796
"11908",612000,"Powiat opolski",2001,1029
"11909",613000,"Powiat parczewski",2001,1106
"11910",614000,"Powiat puławski",2001,20110
"11911",615000,"Powiat radzyński",2001,5150
"11912",616000,"Powiat rycki",2001,4535
"11913",617000,"Powiat świdnicki",2001,16967
"11914",618000,"Powiat tomaszowski",2001,2453
"11915",619000,"Powiat włodawski",2001,6672
"11916",620000,"Powiat zamojski",2001,10063
"11917",661000,"Powiat m.Biała Podlaska",2001,21320
"11918",662000,"Powiat m.Chełm",2001,21775
"11919",663000,"Powiat m.Lublin",2001,164464
"11920",664000,"Powiat m.Zamość",2001,15890
"11921",801000,"Powiat gorzowski",2001,15896
"11922",802000,"Powiat krośnieński",2001,5583
"11923",803000,"Powiat międzyrzecki",2001,11918
"11924",804000,"Powiat nowosolski",2001,11127
"11925",805000,"Powiat słubicki",2001,9196
"11926",806000,"Powiat strzelecko-drezdenecki",2001,4647
"11927",807000,"Powiat sulęciński",2001,6062
"11928",808000,"Powiat świebodziński",2001,6753
"11929",809000,"Powiat zielonogórski",2001,20913
"11930",810000,"Powiat żagański",2001,12760
"11931",811000,"Powiat żarski",2001,8785
"11932",812000,"Powiat wschowski",2001,NA
"11933",861000,"Powiat m.Gorzów Wielkopolski",2001,46088
"11934",862000,"Powiat m.Zielona Góra",2001,49135
"11935",1001000,"Powiat bełchatowski",2001,68495
"11936",1002000,"Powiat kutnowski",2001,11256
"11937",1003000,"Powiat łaski",2001,6396
"11938",1004000,"Powiat łęczycki",2001,4199
"11939",1005000,"Powiat łowicki",2001,11820
"11940",1006000,"Powiat łódzki wschodni",2001,31813
"11941",1007000,"Powiat opoczyński",2001,18242
"11942",1008000,"Powiat pabianicki",2001,22189
"11943",1009000,"Powiat pajęczański",2001,2938
"11944",1010000,"Powiat piotrkowski",2001,19453
"11945",1011000,"Powiat poddębicki",2001,10652
"11946",1012000,"Powiat radomszczański",2001,25699
"11947",1013000,"Powiat rawski",2001,4694
"11948",1014000,"Powiat sieradzki",2001,6159
"11949",1015000,"Powiat skierniewicki",2001,3385
"11950",1016000,"Powiat tomaszowski",2001,20295
"11951",1017000,"Powiat wieluński",2001,2462
"11952",1018000,"Powiat wieruszowski",2001,7771
"11953",1019000,"Powiat zduńskowolski",2001,3590
"11954",1020000,"Powiat zgierski",2001,41857
"11955",1021000,"Powiat brzeziński",2001,NA
"11956",1061000,"Powiat m.Łódź",2001,163990
"11957",1062000,"Powiat m.Piotrków Trybunalski",2001,17485
"11958",1063000,"Powiat m.Skierniewice",2001,23716
"11959",1201000,"Powiat bocheński",2001,22416
"11960",1202000,"Powiat brzeski",2001,24517
"11961",1203000,"Powiat chrzanowski",2001,21485
"11962",1204000,"Powiat dąbrowski",2001,5357
"11963",1205000,"Powiat gorlicki",2001,22160
"11964",1206000,"Powiat krakowski",2001,89070
"11965",1207000,"Powiat limanowski",2001,22216
"11966",1208000,"Powiat miechowski",2001,6295
"11967",1209000,"Powiat myślenicki",2001,20545
"11968",1210000,"Powiat nowosądecki",2001,16791
"11969",1211000,"Powiat nowotarski",2001,52313
"11970",1212000,"Powiat olkuski",2001,14010
"11971",1213000,"Powiat oświęcimski",2001,25539
"11972",1214000,"Powiat proszowicki",2001,3005
"11973",1215000,"Powiat suski",2001,23053
"11974",1216000,"Powiat tarnowski",2001,40125
"11975",1217000,"Powiat tatrzański",2001,24347
"11976",1218000,"Powiat wadowicki",2001,50740
"11977",1219000,"Powiat wielicki",2001,46417
"11978",1261000,"Powiat m.Kraków",2001,331593
"11979",1262000,"Powiat m.Nowy Sącz",2001,27025
"11980",1263000,"Powiat m.Tarnów",2001,34428
"11981",1401000,"Powiat białobrzeski",2001,7418
"11982",1402000,"Powiat ciechanowski",2001,15663
"11983",1403000,"Powiat garwoliński",2001,27646
"11984",1404000,"Powiat gostyniński",2001,8688
"11985",1405000,"Powiat grodziski",2001,54755
"11986",1406000,"Powiat grójecki",2001,25838
"11987",1407000,"Powiat kozienicki",2001,11162
"11988",1408000,"Powiat legionowski",2001,54646
"11989",1409000,"Powiat lipski",2001,2130
"11990",1410000,"Powiat łosicki",2001,3097
"11991",1411000,"Powiat makowski",2001,5709
"11992",1412000,"Powiat miński",2001,80910
"11993",1413000,"Powiat mławski",2001,8025
"11994",1414000,"Powiat nowodworski",2001,23995
"11995",1415000,"Powiat ostrołęcki",2001,25662
"11996",1416000,"Powiat ostrowski",2001,8286
"11997",1417000,"Powiat otwocki",2001,56101
"11998",1418000,"Powiat piaseczyński",2001,132360
"11999",1419000,"Powiat płocki",2001,16271
"12000",1420000,"Powiat płoński",2001,11473
"12001",1421000,"Powiat pruszkowski",2001,90611
"12002",1422000,"Powiat przasnyski",2001,8366
"12003",1423000,"Powiat przysuski",2001,3252
"12004",1424000,"Powiat pułtuski",2001,8804
"12005",1425000,"Powiat radomski",2001,21257
"12006",1426000,"Powiat siedlecki",2001,1798
"12007",1427000,"Powiat sierpecki",2001,8154
"12008",1428000,"Powiat sochaczewski",2001,8594
"12009",1429000,"Powiat sokołowski",2001,7969
"12010",1430000,"Powiat szydłowiecki",2001,4378
"12011",1431000,"Powiat warszawski",2001,1176910
"12012",1432000,"Powiat warszawski zachodni",2001,81461
"12013",1433000,"Powiat węgrowski",2001,4930
"12014",1434000,"Powiat wołomiński",2001,105774
"12015",1435000,"Powiat wyszkowski",2001,19958
"12016",1436000,"Powiat zwoleński",2001,3086
"12017",1437000,"Powiat żuromiński",2001,3311
"12018",1438000,"Powiat żyrardowski",2001,14834
"12019",1461000,"Powiat m.Ostrołęka",2001,17631
"12020",1462000,"Powiat m.Płock",2001,39217
"12021",1463000,"Powiat m.Radom",2001,31677
"12022",1464000,"Powiat m.Siedlce",2001,37897
"12023",1465000,"Powiat m. st. Warszawa",2001,NA
"12024",1601000,"Powiat brzeski",2001,16995
"12025",1602000,"Powiat głubczycki",2001,2942
"12026",1603000,"Powiat kędzierzyńsko-kozielski",2001,12499
"12027",1604000,"Powiat kluczborski",2001,7735
"12028",1605000,"Powiat krapkowicki",2001,6182
"12029",1606000,"Powiat namysłowski",2001,5456
"12030",1607000,"Powiat nyski",2001,14408
"12031",1608000,"Powiat oleski",2001,5367
"12032",1609000,"Powiat opolski",2001,18448
"12033",1610000,"Powiat prudnicki",2001,3601
"12034",1611000,"Powiat strzelecki",2001,4073
"12035",1661000,"Powiat m.Opole",2001,27203
"12036",1801000,"Powiat bieszczadzki",2001,3809
"12037",1802000,"Powiat brzozowski",2001,8023
"12038",1803000,"Powiat dębicki",2001,19233
"12039",1804000,"Powiat jarosławski",2001,16295
"12040",1805000,"Powiat jasielski",2001,19872
"12041",1806000,"Powiat kolbuszowski",2001,6746
"12042",1807000,"Powiat krośnieński",2001,20619
"12043",1808000,"Powiat leżajski",2001,9438
"12044",1809000,"Powiat lubaczowski",2001,5690
"12045",1810000,"Powiat łańcucki",2001,9851
"12046",1811000,"Powiat mielecki",2001,25187
"12047",1812000,"Powiat niżański",2001,10796
"12048",1813000,"Powiat przemyski",2001,7616
"12049",1814000,"Powiat przeworski",2001,8908
"12050",1815000,"Powiat ropczycko-sędziszowski",2001,2891
"12051",1816000,"Powiat rzeszowski",2001,46312
"12052",1817000,"Powiat sanocki",2001,8287
"12053",1818000,"Powiat stalowowolski",2001,13232
"12054",1819000,"Powiat strzyżowski",2001,9231
"12055",1820000,"Powiat tarnobrzeski",2001,5812
"12056",1821000,"Powiat leski",2001,NA
"12057",1861000,"Powiat m.Krosno",2001,10316
"12058",1862000,"Powiat m.Przemyśl",2001,16065
"12059",1863000,"Powiat m.Rzeszów",2001,34500
"12060",1864000,"Powiat m.Tarnobrzeg",2001,5660
"12061",2001000,"Powiat augustowski",2001,14698
"12062",2002000,"Powiat białostocki",2001,45571
"12063",2003000,"Powiat bielski",2001,1920
"12064",2004000,"Powiat grajewski",2001,6912
"12065",2005000,"Powiat hajnowski",2001,5181
"12066",2006000,"Powiat kolneński",2001,3727
"12067",2007000,"Powiat łomżyński",2001,7273
"12068",2008000,"Powiat moniecki",2001,2614
"12069",2009000,"Powiat sejneński",2001,2873
"12070",2010000,"Powiat siemiatycki",2001,6340
"12071",2011000,"Powiat sokólski",2001,9015
"12072",2012000,"Powiat suwalski",2001,6722
"12073",2013000,"Powiat wysokomazowiecki",2001,2287
"12074",2014000,"Powiat zambrowski",2001,486
"12075",2061000,"Powiat m.Białystok",2001,107689
"12076",2062000,"Powiat m.Łomża",2001,10110
"12077",2063000,"Powiat m.Suwałki",2001,17845
"12078",2201000,"Powiat bytowski",2001,20776
"12079",2202000,"Powiat chojnicki",2001,18324
"12080",2203000,"Powiat człuchowski",2001,4807
"12081",2204000,"Powiat gdański",2001,37319
"12082",2205000,"Powiat kartuski",2001,43234
"12083",2206000,"Powiat kościerski",2001,12870
"12084",2207000,"Powiat kwidzyński",2001,9282
"12085",2208000,"Powiat lęborski",2001,17648
"12086",2209000,"Powiat malborski",2001,8854
"12087",2210000,"Powiat nowodworski",2001,7817
"12088",2211000,"Powiat pucki",2001,44746
"12089",2212000,"Powiat słupski",2001,27354
"12090",2213000,"Powiat starogardzki",2001,31631
"12091",2214000,"Powiat tczewski",2001,17061
"12092",2215000,"Powiat wejherowski",2001,79974
"12093",2216000,"Powiat sztumski",2001,NA
"12094",2261000,"Powiat m.Gdańsk",2001,75782
"12095",2262000,"Powiat m.Gdynia",2001,94388
"12096",2263000,"Powiat m.Słupsk",2001,34833
"12097",2264000,"Powiat m.Sopot",2001,3795
"12098",2401000,"Powiat będziński",2001,15893
"12099",2402000,"Powiat bielski",2001,56210
"12100",2403000,"Powiat cieszyński",2001,64357
"12101",2404000,"Powiat częstochowski",2001,25744
"12102",2405000,"Powiat gliwicki",2001,9307
"12103",2406000,"Powiat kłobucki",2001,11254
"12104",2407000,"Powiat lubliniecki",2001,15093
"12105",2408000,"Powiat mikołowski",2001,24319
"12106",2409000,"Powiat myszkowski",2001,18076
"12107",2410000,"Powiat pszczyński",2001,31585
"12108",2411000,"Powiat raciborski",2001,13460
"12109",2412000,"Powiat rybnicki",2001,11483
"12110",2413000,"Powiat tarnogórski",2001,21049
"12111",2414000,"Powiat bieruńsko-lędziński",2001,16749
"12112",2415000,"Powiat wodzisławski",2001,26620
"12113",2416000,"Powiat zawierciański",2001,22289
"12114",2417000,"Powiat żywiecki",2001,50692
"12115",2461000,"Powiat m.Bielsko-Biała",2001,67698
"12116",2462000,"Powiat m.Bytom",2001,3038
"12117",2463000,"Powiat m.Chorzów",2001,7256
"12118",2464000,"Powiat m.Częstochowa",2001,45227
"12119",2465000,"Powiat m.Dąbrowa Górnicza",2001,13670
"12120",2466000,"Powiat m.Gliwice",2001,14475
"12121",2467000,"Powiat m.Jastrzębie-Zdrój",2001,22243
"12122",2468000,"Powiat m.Jaworzno",2001,6222
"12123",2469000,"Powiat m.Katowice",2001,45356
"12124",2470000,"Powiat m.Mysłowice",2001,8739
"12125",2471000,"Powiat m.Piekary Śląskie",2001,6791
"12126",2472000,"Powiat m.Ruda Śląska",2001,1794
"12127",2473000,"Powiat m.Rybnik",2001,22252
"12128",2474000,"Powiat m.Siemianowice Śląskie",2001,3381
"12129",2475000,"Powiat m.Sosnowiec",2001,4539
"12130",2476000,"Powiat m.Świętochłowice",2001,211
"12131",2477000,"Powiat m.Tychy",2001,27663
"12132",2478000,"Powiat m.Zabrze",2001,14093
"12133",2479000,"Powiat m.Żory",2001,9616
"12134",2601000,"Powiat buski",2001,9054
"12135",2602000,"Powiat jędrzejowski",2001,10540
"12136",2603000,"Powiat kazimierski",2001,2072
"12137",2604000,"Powiat kielecki",2001,34370
"12138",2605000,"Powiat konecki",2001,10469
"12139",2606000,"Powiat opatowski",2001,11829
"12140",2607000,"Powiat ostrowiecki",2001,12223
"12141",2608000,"Powiat pińczowski",2001,5021
"12142",2609000,"Powiat sandomierski",2001,10383
"12143",2610000,"Powiat skarżyski",2001,9973
"12144",2611000,"Powiat starachowicki",2001,8752
"12145",2612000,"Powiat staszowski",2001,3603
"12146",2613000,"Powiat włoszczowski",2001,4161
"12147",2661000,"Powiat m.Kielce",2001,64958
"12148",2801000,"Powiat bartoszycki",2001,4186
"12149",2802000,"Powiat braniewski",2001,1184
"12150",2803000,"Powiat działdowski",2001,11195
"12151",2804000,"Powiat elbląski",2001,2186
"12152",2805000,"Powiat ełcki",2001,17125
"12153",2806000,"Powiat giżycki",2001,10180
"12154",2807000,"Powiat iławski",2001,12079
"12155",2808000,"Powiat kętrzyński",2001,7381
"12156",2809000,"Powiat lidzbarski",2001,10074
"12157",2810000,"Powiat mrągowski",2001,17931
"12158",2811000,"Powiat nidzicki",2001,3252
"12159",2812000,"Powiat nowomiejski",2001,7651
"12160",2813000,"Powiat olecki",2001,4041
"12161",2814000,"Powiat olsztyński",2001,24956
"12162",2815000,"Powiat ostródzki",2001,23395
"12163",2816000,"Powiat piski",2001,6661
"12164",2817000,"Powiat szczycieński",2001,6094
"12165",2818000,"Powiat gołdapski",2001,NA
"12166",2819000,"Powiat węgorzewski",2001,NA
"12167",2861000,"Powiat m.Elbląg",2001,16731
"12168",2862000,"Powiat m.Olsztyn",2001,70243
"12169",3001000,"Powiat chodzieski",2001,2566
"12170",3002000,"Powiat czarnkowsko-trzcianecki",2001,13474
"12171",3003000,"Powiat gnieźnieński",2001,12894
"12172",3004000,"Powiat gostyński",2001,4426
"12173",3005000,"Powiat grodziski",2001,7649
"12174",3006000,"Powiat jarociński",2001,10535
"12175",3007000,"Powiat kaliski",2001,9638
"12176",3008000,"Powiat kępiński",2001,9198
"12177",3009000,"Powiat kolski",2001,20385
"12178",3010000,"Powiat koniński",2001,7652
"12179",3011000,"Powiat kościański",2001,14362
"12180",3012000,"Powiat krotoszyński",2001,12879
"12181",3013000,"Powiat leszczyński",2001,3962
"12182",3014000,"Powiat międzychodzki",2001,6386
"12183",3015000,"Powiat nowotomyski",2001,6549
"12184",3016000,"Powiat obornicki",2001,8373
"12185",3017000,"Powiat ostrowski",2001,29816
"12186",3018000,"Powiat ostrzeszowski",2001,9884
"12187",3019000,"Powiat pilski",2001,26991
"12188",3020000,"Powiat pleszewski",2001,8032
"12189",3021000,"Powiat poznański",2001,167804
"12190",3022000,"Powiat rawicki",2001,2766
"12191",3023000,"Powiat słupecki",2001,7315
"12192",3024000,"Powiat szamotulski",2001,7942
"12193",3025000,"Powiat średzki",2001,3756
"12194",3026000,"Powiat śremski",2001,10544
"12195",3027000,"Powiat turecki",2001,10889
"12196",3028000,"Powiat wągrowiecki",2001,7734
"12197",3029000,"Powiat wolsztyński",2001,10284
"12198",3030000,"Powiat wrzesiński",2001,9023
"12199",3031000,"Powiat złotowski",2001,8879
"12200",3061000,"Powiat m.Kalisz",2001,38827
"12201",3062000,"Powiat m.Konin",2001,22135
"12202",3063000,"Powiat m.Leszno",2001,8897
"12203",3064000,"Powiat m.Poznań",2001,237586
"12204",3201000,"Powiat białogardzki",2001,5329
"12205",3202000,"Powiat choszczeński",2001,5081
"12206",3203000,"Powiat drawski",2001,2495
"12207",3204000,"Powiat goleniowski",2001,16589
"12208",3205000,"Powiat gryficki",2001,9347
"12209",3206000,"Powiat gryfiński",2001,12138
"12210",3207000,"Powiat kamieński",2001,16446
"12211",3208000,"Powiat kołobrzeski",2001,34860
"12212",3209000,"Powiat koszaliński",2001,5960
"12213",3210000,"Powiat myśliborski",2001,10316
"12214",3211000,"Powiat policki",2001,45654
"12215",3212000,"Powiat pyrzycki",2001,3145
"12216",3213000,"Powiat sławieński",2001,5650
"12217",3214000,"Powiat stargardzki",2001,19310
"12218",3215000,"Powiat szczecinecki",2001,21834
"12219",3216000,"Powiat świdwiński",2001,3464
"12220",3217000,"Powiat wałecki",2001,10211
"12221",3218000,"Powiat łobeski",2001,NA
"12222",3261000,"Powiat m.Koszalin",2001,37665
"12223",3262000,"Powiat m.Szczecin",2001,157698
"12224",3263000,"Powiat m.Świnoujście",2001,6746
"12225",201000,"Powiat bolesławiecki",2002,23858
"12226",202000,"Powiat dzierżoniowski",2002,18623
"12227",203000,"Powiat głogowski",2002,16507
"12228",204000,"Powiat górowski",2002,399
"12229",205000,"Powiat jaworski",2002,4738
"12230",206000,"Powiat jeleniogórski",2002,10961
"12231",207000,"Powiat kamiennogórski",2002,2868
"12232",208000,"Powiat kłodzki",2002,25008
"12233",209000,"Powiat legnicki",2002,9190
"12234",210000,"Powiat lubański",2002,7654
"12235",211000,"Powiat lubiński",2002,27409
"12236",212000,"Powiat lwówecki",2002,4110
"12237",213000,"Powiat milicki",2002,4548
"12238",214000,"Powiat oleśnicki",2002,19959
"12239",215000,"Powiat oławski",2002,12226
"12240",216000,"Powiat polkowicki",2002,8793
"12241",217000,"Powiat strzeliński",2002,8450
"12242",218000,"Powiat średzki",2002,5545
"12243",219000,"Powiat świdnicki",2002,25780
"12244",220000,"Powiat trzebnicki",2002,20181
"12245",221000,"Powiat wałbrzyski",2002,7258
"12246",222000,"Powiat wołowski",2002,4797
"12247",223000,"Powiat wrocławski",2002,49147
"12248",224000,"Powiat ząbkowicki",2002,8568
"12249",225000,"Powiat zgorzelecki",2002,13516
"12250",226000,"Powiat złotoryjski",2002,7887
"12251",261000,"Powiat m.Jelenia Góra",2002,6504
"12252",262000,"Powiat m.Legnica",2002,19762
"12253",263000,"Powiat m.Wałbrzych do 2002",2002,9773
"12254",264000,"Powiat m.Wrocław",2002,226024
"12255",265000,"Powiat m.Wałbrzych od 2013",2002,NA
"12256",401000,"Powiat aleksandrowski",2002,26635
"12257",402000,"Powiat brodnicki",2002,12991
"12258",403000,"Powiat bydgoski",2002,60236
"12259",404000,"Powiat chełmiński",2002,6790
"12260",405000,"Powiat golubsko-dobrzyński",2002,4044
"12261",406000,"Powiat grudziądzki",2002,8126
"12262",407000,"Powiat inowrocławski",2002,26397
"12263",408000,"Powiat lipnowski",2002,4660
"12264",409000,"Powiat mogileński",2002,2704
"12265",410000,"Powiat nakielski",2002,12350
"12266",411000,"Powiat radziejowski",2002,1069
"12267",412000,"Powiat rypiński",2002,3775
"12268",413000,"Powiat sępoleński",2002,7008
"12269",414000,"Powiat świecki",2002,18255
"12270",415000,"Powiat toruński",2002,38491
"12271",416000,"Powiat tucholski",2002,4093
"12272",417000,"Powiat wąbrzeski",2002,3899
"12273",418000,"Powiat włocławski",2002,13717
"12274",419000,"Powiat żniński",2002,6088
"12275",461000,"Powiat m.Bydgoszcz",2002,61710
"12276",462000,"Powiat m.Grudziądz",2002,15599
"12277",463000,"Powiat m.Toruń",2002,49510
"12278",464000,"Powiat m.Włocławek",2002,21584
"12279",601000,"Powiat bialski",2002,11780
"12280",602000,"Powiat biłgorajski",2002,26175
"12281",603000,"Powiat chełmski",2002,9514
"12282",604000,"Powiat hrubieszowski",2002,9980
"12283",605000,"Powiat janowski",2002,2053
"12284",606000,"Powiat krasnostawski",2002,7027
"12285",607000,"Powiat kraśnicki",2002,5749
"12286",608000,"Powiat lubartowski",2002,6914
"12287",609000,"Powiat lubelski",2002,19910
"12288",610000,"Powiat łęczyński",2002,3767
"12289",611000,"Powiat łukowski",2002,18186
"12290",612000,"Powiat opolski",2002,3261
"12291",613000,"Powiat parczewski",2002,1330
"12292",614000,"Powiat puławski",2002,17088
