"","Kod","Nazwa","rok","Wydatki_powiatow_ogolem_wydatki_majatkowe_inwestycyjne_zl"
"13358",1411000,"Powiat makowski",1999,216875
"13359",1412000,"Powiat miński",1999,2186710
"13360",1413000,"Powiat mławski",1999,55732
"13361",1414000,"Powiat nowodworski",1999,2173213
"13362",1415000,"Powiat ostrołęcki",1999,1450774
"13363",1416000,"Powiat ostrowski",1999,705718
"13364",1417000,"Powiat otwocki",1999,697477
"13365",1418000,"Powiat piaseczyński",1999,390486
"13366",1419000,"Powiat płocki",1999,3613889
"13367",1420000,"Powiat płoński",1999,3112598
"13368",1421000,"Powiat pruszkowski",1999,1514034
"13369",1422000,"Powiat przasnyski",1999,14822014
"13370",1423000,"Powiat przysuski",1999,944292
"13371",1424000,"Powiat pułtuski",1999,84697
"13372",1425000,"Powiat radomski",1999,4281320
"13373",1426000,"Powiat siedlecki",1999,173697
"13374",1427000,"Powiat sierpecki",1999,155096
"13375",1428000,"Powiat sochaczewski",1999,1260891
"13376",1429000,"Powiat sokołowski",1999,1479929
"13377",1430000,"Powiat szydłowiecki",1999,592708
"13378",1431000,"Powiat warszawski",1999,3268287
"13379",1432000,"Powiat warszawski zachodni",1999,1971100
"13380",1433000,"Powiat węgrowski",1999,245045
"13381",1434000,"Powiat wołomiński",1999,293574
"13382",1435000,"Powiat wyszkowski",1999,870712
"13383",1436000,"Powiat zwoleński",1999,992331
"13384",1437000,"Powiat żuromiński",1999,682691
"13385",1438000,"Powiat żyrardowski",1999,726865
"13386",1601000,"Powiat brzeski",1999,1163480
"13387",1602000,"Powiat głubczycki",1999,353968
"13388",1603000,"Powiat kędzierzyńsko-kozielski",1999,393270
"13389",1604000,"Powiat kluczborski",1999,709184
"13390",1605000,"Powiat krapkowicki",1999,437054
"13391",1606000,"Powiat namysłowski",1999,1733564
"13392",1607000,"Powiat nyski",1999,265087
"13393",1608000,"Powiat oleski",1999,625605
"13394",1609000,"Powiat opolski",1999,3639576
"13395",1610000,"Powiat prudnicki",1999,1253604
"13396",1611000,"Powiat strzelecki",1999,676842
"13397",1801000,"Powiat bieszczadzki",1999,1648715
"13398",1802000,"Powiat brzozowski",1999,1015934
"13399",1803000,"Powiat dębicki",1999,1659391
"13400",1804000,"Powiat jarosławski",1999,3273054
"13401",1805000,"Powiat jasielski",1999,1298577
"13402",1806000,"Powiat kolbuszowski",1999,414617
"13403",1807000,"Powiat krośnieński",1999,279618
"13404",1808000,"Powiat leżajski",1999,3224870
"13405",1809000,"Powiat lubaczowski",1999,9259174
"13406",1810000,"Powiat łańcucki",1999,2902852
"13407",1811000,"Powiat mielecki",1999,20308785
"13408",1812000,"Powiat niżański",1999,942880
"13409",1813000,"Powiat przemyski",1999,439513
"13410",1814000,"Powiat przeworski",1999,3494825
"13411",1815000,"Powiat ropczycko-sędziszowski",1999,1639401
"13412",1816000,"Powiat rzeszowski",1999,2190347
"13413",1817000,"Powiat sanocki",1999,2748842
"13414",1818000,"Powiat stalowowolski",1999,2073755
"13415",1819000,"Powiat strzyżowski",1999,936533
"13416",1820000,"Powiat tarnobrzeski",1999,669236
"13417",1821000,"Powiat leski",1999,NA
"13418",2001000,"Powiat augustowski",1999,1780959
"13419",2002000,"Powiat białostocki",1999,1907520
"13420",2003000,"Powiat bielski",1999,3589241
"13421",2004000,"Powiat grajewski",1999,1559844
"13422",2005000,"Powiat hajnowski",1999,1483150
"13423",2006000,"Powiat kolneński",1999,964726
"13424",2007000,"Powiat łomżyński",1999,42117
"13425",2008000,"Powiat moniecki",1999,1136298
"13426",2009000,"Powiat sejneński",1999,379569
"13427",2010000,"Powiat siemiatycki",1999,1685649
"13428",2011000,"Powiat sokólski",1999,1191897
"13429",2012000,"Powiat suwalski",1999,0
"13430",2013000,"Powiat wysokomazowiecki",1999,1547509
"13431",2014000,"Powiat zambrowski",1999,874735
"13432",2201000,"Powiat bytowski",1999,788724
"13433",2202000,"Powiat chojnicki",1999,26075135
"13434",2203000,"Powiat człuchowski",1999,3119464
"13435",2204000,"Powiat gdański",1999,639884
"13436",2205000,"Powiat kartuski",1999,985546
