"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_bezrobocie"
"7728",1213000,"Powiat oświęcimski",2014,1520
"7729",1214000,"Powiat proszowicki",2014,361
"7730",1215000,"Powiat suski",2014,1032
"7731",1216000,"Powiat tarnowski",2014,2195
"7732",1217000,"Powiat tatrzański",2014,488
"7733",1218000,"Powiat wadowicki",2014,1462
"7734",1219000,"Powiat wielicki",2014,1006
"7735",1261000,"Powiat m.Kraków",2014,5813
"7736",1262000,"Powiat m.Nowy Sącz",2014,1321
"7737",1263000,"Powiat m.Tarnów",2014,1491
"7738",1401000,"Powiat białobrzeski",2014,548
"7739",1402000,"Powiat ciechanowski",2014,1602
"7740",1403000,"Powiat garwoliński",2014,1145
"7741",1404000,"Powiat gostyniński",2014,1053
"7742",1405000,"Powiat grodziski",2014,851
"7743",1406000,"Powiat grójecki",2014,777
"7744",1407000,"Powiat kozienicki",2014,1265
"7745",1408000,"Powiat legionowski",2014,1223
"7746",1409000,"Powiat lipski",2014,868
"7747",1410000,"Powiat łosicki",2014,490
"7748",1411000,"Powiat makowski",2014,1206
"7749",1412000,"Powiat miński",2014,1539
"7750",1413000,"Powiat mławski",2014,1297
"7751",1414000,"Powiat nowodworski",2014,1356
"7752",1415000,"Powiat ostrołęcki",2014,1284
"7753",1416000,"Powiat ostrowski",2014,1273
"7754",1417000,"Powiat otwocki",2014,890
"7755",1418000,"Powiat piaseczyński",2014,1075
"7756",1419000,"Powiat płocki",2014,2514
"7757",1420000,"Powiat płoński",2014,1620
"7758",1421000,"Powiat pruszkowski",2014,915
"7759",1422000,"Powiat przasnyski",2014,1206
"7760",1423000,"Powiat przysuski",2014,845
"7761",1424000,"Powiat pułtuski",2014,1075
"7762",1425000,"Powiat radomski",2014,3236
"7763",1426000,"Powiat siedlecki",2014,924
"7764",1427000,"Powiat sierpecki",2014,1333
"7765",1428000,"Powiat sochaczewski",2014,1210
"7766",1429000,"Powiat sokołowski",2014,675
"7767",1430000,"Powiat szydłowiecki",2014,1423
"7768",1432000,"Powiat warszawski zachodni",2014,603
"7769",1433000,"Powiat węgrowski",2014,1075
"7770",1434000,"Powiat wołomiński",2014,2411
"7771",1435000,"Powiat wyszkowski",2014,884
"7772",1436000,"Powiat zwoleński",2014,917
"7773",1437000,"Powiat żuromiński",2014,781
"7774",1438000,"Powiat żyrardowski",2014,950
"7775",1461000,"Powiat m.Ostrołęka",2014,1409
"7776",1462000,"Powiat m.Płock",2014,2891
"7777",1463000,"Powiat m.Radom",2014,6312
"7778",1464000,"Powiat m.Siedlce",2014,1361
"7779",1465000,"Powiat m. st. Warszawa",2014,9042
"7780",1601000,"Powiat brzeski",2014,1814
"7781",1602000,"Powiat głubczycki",2014,1231
"7782",1603000,"Powiat kędzierzyńsko-kozielski",2014,1659
"7783",1604000,"Powiat kluczborski",2014,1065
"7784",1605000,"Powiat krapkowicki",2014,830
"7785",1606000,"Powiat namysłowski",2014,880
"7786",1607000,"Powiat nyski",2014,3263
"7787",1608000,"Powiat oleski",2014,616
"7788",1609000,"Powiat opolski",2014,1550
"7789",1610000,"Powiat prudnicki",2014,1339
"7790",1611000,"Powiat strzelecki",2014,761
"7791",1661000,"Powiat m.Opole",2014,939
"7792",1801000,"Powiat bieszczadzki",2014,587
"7793",1802000,"Powiat brzozowski",2014,1839
"7794",1803000,"Powiat dębicki",2014,3023
"7795",1804000,"Powiat jarosławski",2014,2422
"7796",1805000,"Powiat jasielski",2014,3263
"7797",1806000,"Powiat kolbuszowski",2014,1108
"7798",1807000,"Powiat krośnieński",2014,2075
"7799",1808000,"Powiat leżajski",2014,1502
"7800",1809000,"Powiat lubaczowski",2014,1163
"7801",1810000,"Powiat łańcucki",2014,1497
"7802",1811000,"Powiat mielecki",2014,1483
"7803",1812000,"Powiat niżański",2014,1487
"7804",1813000,"Powiat przemyski",2014,2409
"7805",1814000,"Powiat przeworski",2014,1660
"7806",1815000,"Powiat ropczycko-sędziszowski",2014,1200
"7807",1816000,"Powiat rzeszowski",2014,2709
"7808",1817000,"Powiat sanocki",2014,1693
"7809",1818000,"Powiat stalowowolski",2014,1651
"7810",1819000,"Powiat strzyżowski",2014,1469
"7811",1820000,"Powiat tarnobrzeski",2014,1043
"7812",1821000,"Powiat leski",2014,601
"7813",1861000,"Powiat m.Krosno",2014,840
"7814",1862000,"Powiat m.Przemyśl",2014,1755
"7815",1863000,"Powiat m.Rzeszów",2014,2271
"7816",1864000,"Powiat m.Tarnobrzeg",2014,823
"7817",2001000,"Powiat augustowski",2014,1322
"7818",2002000,"Powiat białostocki",2014,3447
"7819",2003000,"Powiat bielski",2014,946
"7820",2004000,"Powiat grajewski",2014,1426
"7821",2005000,"Powiat hajnowski",2014,1497
"7822",2006000,"Powiat kolneński",2014,812
"7823",2007000,"Powiat łomżyński",2014,696
"7824",2008000,"Powiat moniecki",2014,771
"7825",2009000,"Powiat sejneński",2014,565
"7826",2010000,"Powiat siemiatycki",2014,979
"7827",2011000,"Powiat sokólski",2014,1937
"7828",2012000,"Powiat suwalski",2014,478
"7829",2013000,"Powiat wysokomazowiecki",2014,564
"7830",2014000,"Powiat zambrowski",2014,947
"7831",2061000,"Powiat m.Białystok",2014,5793
"7832",2062000,"Powiat m.Łomża",2014,1014
"7833",2063000,"Powiat m.Suwałki",2014,1495
"7834",2201000,"Powiat bytowski",2014,1983
"7835",2202000,"Powiat chojnicki",2014,2083
"7836",2203000,"Powiat człuchowski",2014,1726
"7837",2204000,"Powiat gdański",2014,853
"7838",2205000,"Powiat kartuski",2014,1084
"7839",2206000,"Powiat kościerski",2014,1305
"7840",2207000,"Powiat kwidzyński",2014,2657
"7841",2208000,"Powiat lęborski",2014,1626
"7842",2209000,"Powiat malborski",2014,1833
"7843",2210000,"Powiat nowodworski",2014,986
"7844",2211000,"Powiat pucki",2014,921
"7845",2212000,"Powiat słupski",2014,2799
"7846",2213000,"Powiat starogardzki",2014,2964
"7847",2214000,"Powiat tczewski",2014,2063
"7848",2215000,"Powiat wejherowski",2014,2403
"7849",2216000,"Powiat sztumski",2014,1358
"7850",2261000,"Powiat m.Gdańsk",2014,2022
"7851",2262000,"Powiat m.Gdynia",2014,1213
"7852",2263000,"Powiat m.Słupsk",2014,2122
"7853",2264000,"Powiat m.Sopot",2014,206
"7854",2401000,"Powiat będziński",2014,2482
"7855",2402000,"Powiat bielski",2014,1369
"7856",2403000,"Powiat cieszyński",2014,1795
"7857",2404000,"Powiat częstochowski",2014,1944
"7858",2405000,"Powiat gliwicki",2014,945
"7859",2406000,"Powiat kłobucki",2014,956
"7860",2407000,"Powiat lubliniecki",2014,955
"7861",2408000,"Powiat mikołowski",2014,875
"7862",2409000,"Powiat myszkowski",2014,1137
"7863",2410000,"Powiat pszczyński",2014,942
"7864",2411000,"Powiat raciborski",2014,835
"7865",2412000,"Powiat rybnicki",2014,677
"7866",2413000,"Powiat tarnogórski",2014,1617
"7867",2414000,"Powiat bieruńsko-lędziński",2014,461
"7868",2415000,"Powiat wodzisławski",2014,1410
"7869",2416000,"Powiat zawierciański",2014,2269
"7870",2417000,"Powiat żywiecki",2014,1929
"7871",2461000,"Powiat m.Bielsko-Biała",2014,1082
"7872",2462000,"Powiat m.Bytom",2014,4594
"7873",2463000,"Powiat m.Chorzów",2014,2559
"7874",2464000,"Powiat m.Częstochowa",2014,3802
"7875",2465000,"Powiat m.Dąbrowa Górnicza",2014,1393
"7876",2466000,"Powiat m.Gliwice",2014,2014
"7877",2467000,"Powiat m.Jastrzębie-Zdrój",2014,1274
"7878",2468000,"Powiat m.Jaworzno",2014,691
"7879",2469000,"Powiat m.Katowice",2014,3442
"7880",2470000,"Powiat m.Mysłowice",2014,839
"7881",2471000,"Powiat m.Piekary Śląskie",2014,742
"7882",2472000,"Powiat m.Ruda Śląska",2014,1610
"7883",2473000,"Powiat m.Rybnik",2014,1506
"7884",2474000,"Powiat m.Siemianowice Śląskie",2014,1620
"7885",2475000,"Powiat m.Sosnowiec",2014,3400
"7886",2476000,"Powiat m.Świętochłowice",2014,796
"7887",2477000,"Powiat m.Tychy",2014,1123
"7888",2478000,"Powiat m.Zabrze",2014,3406
"7889",2479000,"Powiat m.Żory",2014,347
"7890",2601000,"Powiat buski",2014,1046
"7891",2602000,"Powiat jędrzejowski",2014,1498
"7892",2603000,"Powiat kazimierski",2014,545
"7893",2604000,"Powiat kielecki",2014,4138
"7894",2605000,"Powiat konecki",2014,2285
"7895",2606000,"Powiat opatowski",2014,1270
"7896",2607000,"Powiat ostrowiecki",2014,2692
"7897",2608000,"Powiat pińczowski",2014,490
"7898",2609000,"Powiat sandomierski",2014,1307
"7899",2610000,"Powiat skarżyski",2014,2089
"7900",2611000,"Powiat starachowicki",2014,2467
"7901",2612000,"Powiat staszowski",2014,1351
"7902",2613000,"Powiat włoszczowski",2014,704
"7903",2661000,"Powiat m.Kielce",2014,4359
"7904",2801000,"Powiat bartoszycki",2014,3053
"7905",2802000,"Powiat braniewski",2014,1770
"7906",2803000,"Powiat działdowski",2014,1868
"7907",2804000,"Powiat elbląski",2014,2801
"7908",2805000,"Powiat ełcki",2014,2647
"7909",2806000,"Powiat giżycki",2014,1848
"7910",2807000,"Powiat iławski",2014,2224
"7911",2808000,"Powiat kętrzyński",2014,3723
"7912",2809000,"Powiat lidzbarski",2014,1453
"7913",2810000,"Powiat mrągowski",2014,2055
"7914",2811000,"Powiat nidzicki",2014,863
"7915",2812000,"Powiat nowomiejski",2014,1580
"7916",2813000,"Powiat olecki",2014,1161
"7917",2814000,"Powiat olsztyński",2014,3266
"7918",2815000,"Powiat ostródzki",2014,3712
"7919",2816000,"Powiat piski",2014,2311
"7920",2817000,"Powiat szczycieński",2014,2421
"7921",2818000,"Powiat gołdapski",2014,807
"7922",2819000,"Powiat węgorzewski",2014,752
"7923",2861000,"Powiat m.Elbląg",2014,3044
"7924",2862000,"Powiat m.Olsztyn",2014,3207
"7925",3001000,"Powiat chodzieski",2014,943
"7926",3002000,"Powiat czarnkowsko-trzcianecki",2014,1715
"7927",3003000,"Powiat gnieźnieński",2014,2457
"7928",3004000,"Powiat gostyński",2014,1090
"7929",3005000,"Powiat grodziski",2014,476
"7930",3006000,"Powiat jarociński",2014,1014
"7931",3007000,"Powiat kaliski",2014,674
"7932",3008000,"Powiat kępiński",2014,461
"7933",3009000,"Powiat kolski",2014,1588
"7934",3010000,"Powiat koniński",2014,2089
"7935",3011000,"Powiat kościański",2014,831
"7936",3012000,"Powiat krotoszyński",2014,953
"7937",3013000,"Powiat leszczyński",2014,411
"7938",3014000,"Powiat międzychodzki",2014,435
"7939",3015000,"Powiat nowotomyski",2014,546
"7940",3016000,"Powiat obornicki",2014,880
"7941",3017000,"Powiat ostrowski",2014,1965
"7942",3018000,"Powiat ostrzeszowski",2014,590
"7943",3019000,"Powiat pilski",2014,2666
"7944",3020000,"Powiat pleszewski",2014,908
"7945",3021000,"Powiat poznański",2014,1902
"7946",3022000,"Powiat rawicki",2014,837
"7947",3023000,"Powiat słupecki",2014,1058
"7948",3024000,"Powiat szamotulski",2014,912
"7949",3025000,"Powiat średzki",2014,1054
"7950",3026000,"Powiat śremski",2014,545
"7951",3027000,"Powiat turecki",2014,1140
"7952",3028000,"Powiat wągrowiecki",2014,1284
"7953",3029000,"Powiat wolsztyński",2014,402
"7954",3030000,"Powiat wrzesiński",2014,1037
"7955",3031000,"Powiat złotowski",2014,1969
"7956",3061000,"Powiat m.Kalisz",2014,2441
"7957",3062000,"Powiat m.Konin",2014,2295
"7958",3063000,"Powiat m.Leszno",2014,1255
"7959",3064000,"Powiat m.Poznań",2014,4203
"7960",3201000,"Powiat białogardzki",2014,1844
"7961",3202000,"Powiat choszczeński",2014,1633
