"","Kod","Nazwa","rok","ZASOBY_MIESZKANIOWE_przecietna_liczba_osob_na_1_mieszkanie"
"27488",1213000,"Powiat oświęcimski",2002,NA
"27489",1214000,"Powiat proszowicki",2002,NA
"27490",1215000,"Powiat suski",2002,NA
"27491",1216000,"Powiat tarnowski",2002,NA
"27492",1217000,"Powiat tatrzański",2002,NA
"27493",1218000,"Powiat wadowicki",2002,NA
"27494",1219000,"Powiat wielicki",2002,NA
"27495",1261000,"Powiat m.Kraków",2002,NA
"27496",1262000,"Powiat m.Nowy Sącz",2002,NA
"27497",1263000,"Powiat m.Tarnów",2002,NA
"27498",1401000,"Powiat białobrzeski",2002,NA
"27499",1402000,"Powiat ciechanowski",2002,NA
"27500",1403000,"Powiat garwoliński",2002,NA
"27501",1404000,"Powiat gostyniński",2002,NA
"27502",1405000,"Powiat grodziski",2002,NA
"27503",1406000,"Powiat grójecki",2002,NA
"27504",1407000,"Powiat kozienicki",2002,NA
"27505",1408000,"Powiat legionowski",2002,NA
"27506",1409000,"Powiat lipski",2002,NA
"27507",1410000,"Powiat łosicki",2002,NA
"27508",1411000,"Powiat makowski",2002,NA
"27509",1412000,"Powiat miński",2002,NA
"27510",1413000,"Powiat mławski",2002,NA
"27511",1414000,"Powiat nowodworski",2002,NA
"27512",1415000,"Powiat ostrołęcki",2002,NA
"27513",1416000,"Powiat ostrowski",2002,NA
"27514",1417000,"Powiat otwocki",2002,NA
"27515",1418000,"Powiat piaseczyński",2002,NA
"27516",1419000,"Powiat płocki",2002,NA
"27517",1420000,"Powiat płoński",2002,NA
"27518",1421000,"Powiat pruszkowski",2002,NA
"27519",1422000,"Powiat przasnyski",2002,NA
"27520",1423000,"Powiat przysuski",2002,NA
"27521",1424000,"Powiat pułtuski",2002,NA
"27522",1425000,"Powiat radomski",2002,NA
"27523",1426000,"Powiat siedlecki",2002,NA
"27524",1427000,"Powiat sierpecki",2002,NA
"27525",1428000,"Powiat sochaczewski",2002,NA
"27526",1429000,"Powiat sokołowski",2002,NA
"27527",1430000,"Powiat szydłowiecki",2002,NA
"27528",1432000,"Powiat warszawski zachodni",2002,NA
"27529",1433000,"Powiat węgrowski",2002,NA
"27530",1434000,"Powiat wołomiński",2002,NA
"27531",1435000,"Powiat wyszkowski",2002,NA
"27532",1436000,"Powiat zwoleński",2002,NA
"27533",1437000,"Powiat żuromiński",2002,NA
"27534",1438000,"Powiat żyrardowski",2002,NA
"27535",1461000,"Powiat m.Ostrołęka",2002,NA
"27536",1462000,"Powiat m.Płock",2002,NA
"27537",1463000,"Powiat m.Radom",2002,NA
"27538",1464000,"Powiat m.Siedlce",2002,NA
"27539",1465000,"Powiat m. st. Warszawa",2002,NA
"27540",1601000,"Powiat brzeski",2002,NA
"27541",1602000,"Powiat głubczycki",2002,NA
"27542",1603000,"Powiat kędzierzyńsko-kozielski",2002,NA
"27543",1604000,"Powiat kluczborski",2002,NA
"27544",1605000,"Powiat krapkowicki",2002,NA
"27545",1606000,"Powiat namysłowski",2002,NA
"27546",1607000,"Powiat nyski",2002,NA
"27547",1608000,"Powiat oleski",2002,NA
"27548",1609000,"Powiat opolski",2002,NA
"27549",1610000,"Powiat prudnicki",2002,NA
"27550",1611000,"Powiat strzelecki",2002,NA
"27551",1661000,"Powiat m.Opole",2002,NA
"27552",1801000,"Powiat bieszczadzki",2002,NA
"27553",1802000,"Powiat brzozowski",2002,NA
"27554",1803000,"Powiat dębicki",2002,NA
"27555",1804000,"Powiat jarosławski",2002,NA
"27556",1805000,"Powiat jasielski",2002,NA
"27557",1806000,"Powiat kolbuszowski",2002,NA
"27558",1807000,"Powiat krośnieński",2002,NA
"27559",1808000,"Powiat leżajski",2002,NA
"27560",1809000,"Powiat lubaczowski",2002,NA
"27561",1810000,"Powiat łańcucki",2002,NA
"27562",1811000,"Powiat mielecki",2002,NA
"27563",1812000,"Powiat niżański",2002,NA
"27564",1813000,"Powiat przemyski",2002,NA
"27565",1814000,"Powiat przeworski",2002,NA
"27566",1815000,"Powiat ropczycko-sędziszowski",2002,NA
"27567",1816000,"Powiat rzeszowski",2002,NA
"27568",1817000,"Powiat sanocki",2002,NA
"27569",1818000,"Powiat stalowowolski",2002,NA
"27570",1819000,"Powiat strzyżowski",2002,NA
"27571",1820000,"Powiat tarnobrzeski",2002,NA
"27572",1821000,"Powiat leski",2002,NA
"27573",1861000,"Powiat m.Krosno",2002,NA
"27574",1862000,"Powiat m.Przemyśl",2002,NA
"27575",1863000,"Powiat m.Rzeszów",2002,NA
"27576",1864000,"Powiat m.Tarnobrzeg",2002,NA
"27577",2001000,"Powiat augustowski",2002,NA
"27578",2002000,"Powiat białostocki",2002,NA
"27579",2003000,"Powiat bielski",2002,NA
"27580",2004000,"Powiat grajewski",2002,NA
"27581",2005000,"Powiat hajnowski",2002,NA
"27582",2006000,"Powiat kolneński",2002,NA
"27583",2007000,"Powiat łomżyński",2002,NA
"27584",2008000,"Powiat moniecki",2002,NA
"27585",2009000,"Powiat sejneński",2002,NA
"27586",2010000,"Powiat siemiatycki",2002,NA
"27587",2011000,"Powiat sokólski",2002,NA
"27588",2012000,"Powiat suwalski",2002,NA
"27589",2013000,"Powiat wysokomazowiecki",2002,NA
"27590",2014000,"Powiat zambrowski",2002,NA
"27591",2061000,"Powiat m.Białystok",2002,NA
"27592",2062000,"Powiat m.Łomża",2002,NA
"27593",2063000,"Powiat m.Suwałki",2002,NA
"27594",2201000,"Powiat bytowski",2002,NA
"27595",2202000,"Powiat chojnicki",2002,NA
"27596",2203000,"Powiat człuchowski",2002,NA
"27597",2204000,"Powiat gdański",2002,NA
"27598",2205000,"Powiat kartuski",2002,NA
"27599",2206000,"Powiat kościerski",2002,NA
"27600",2207000,"Powiat kwidzyński",2002,NA
"27601",2208000,"Powiat lęborski",2002,NA
"27602",2209000,"Powiat malborski",2002,NA
"27603",2210000,"Powiat nowodworski",2002,NA
"27604",2211000,"Powiat pucki",2002,NA
"27605",2212000,"Powiat słupski",2002,NA
"27606",2213000,"Powiat starogardzki",2002,NA
"27607",2214000,"Powiat tczewski",2002,NA
"27608",2215000,"Powiat wejherowski",2002,NA
"27609",2216000,"Powiat sztumski",2002,NA
"27610",2261000,"Powiat m.Gdańsk",2002,NA
"27611",2262000,"Powiat m.Gdynia",2002,NA
"27612",2263000,"Powiat m.Słupsk",2002,NA
"27613",2264000,"Powiat m.Sopot",2002,NA
"27614",2401000,"Powiat będziński",2002,NA
"27615",2402000,"Powiat bielski",2002,NA
"27616",2403000,"Powiat cieszyński",2002,NA
"27617",2404000,"Powiat częstochowski",2002,NA
"27618",2405000,"Powiat gliwicki",2002,NA
"27619",2406000,"Powiat kłobucki",2002,NA
"27620",2407000,"Powiat lubliniecki",2002,NA
"27621",2408000,"Powiat mikołowski",2002,NA
"27622",2409000,"Powiat myszkowski",2002,NA
"27623",2410000,"Powiat pszczyński",2002,NA
"27624",2411000,"Powiat raciborski",2002,NA
"27625",2412000,"Powiat rybnicki",2002,NA
"27626",2413000,"Powiat tarnogórski",2002,NA
"27627",2414000,"Powiat bieruńsko-lędziński",2002,NA
"27628",2415000,"Powiat wodzisławski",2002,NA
"27629",2416000,"Powiat zawierciański",2002,NA
"27630",2417000,"Powiat żywiecki",2002,NA
"27631",2461000,"Powiat m.Bielsko-Biała",2002,NA
"27632",2462000,"Powiat m.Bytom",2002,NA
"27633",2463000,"Powiat m.Chorzów",2002,NA
"27634",2464000,"Powiat m.Częstochowa",2002,NA
"27635",2465000,"Powiat m.Dąbrowa Górnicza",2002,NA
"27636",2466000,"Powiat m.Gliwice",2002,NA
"27637",2467000,"Powiat m.Jastrzębie-Zdrój",2002,NA
"27638",2468000,"Powiat m.Jaworzno",2002,NA
"27639",2469000,"Powiat m.Katowice",2002,NA
"27640",2470000,"Powiat m.Mysłowice",2002,NA
"27641",2471000,"Powiat m.Piekary Śląskie",2002,NA
"27642",2472000,"Powiat m.Ruda Śląska",2002,NA
"27643",2473000,"Powiat m.Rybnik",2002,NA
"27644",2474000,"Powiat m.Siemianowice Śląskie",2002,NA
"27645",2475000,"Powiat m.Sosnowiec",2002,NA
"27646",2476000,"Powiat m.Świętochłowice",2002,NA
"27647",2477000,"Powiat m.Tychy",2002,NA
"27648",2478000,"Powiat m.Zabrze",2002,NA
"27649",2479000,"Powiat m.Żory",2002,NA
"27650",2601000,"Powiat buski",2002,NA
"27651",2602000,"Powiat jędrzejowski",2002,NA
"27652",2603000,"Powiat kazimierski",2002,NA
"27653",2604000,"Powiat kielecki",2002,NA
"27654",2605000,"Powiat konecki",2002,NA
"27655",2606000,"Powiat opatowski",2002,NA
"27656",2607000,"Powiat ostrowiecki",2002,NA
"27657",2608000,"Powiat pińczowski",2002,NA
"27658",2609000,"Powiat sandomierski",2002,NA
"27659",2610000,"Powiat skarżyski",2002,NA
"27660",2611000,"Powiat starachowicki",2002,NA
"27661",2612000,"Powiat staszowski",2002,NA
"27662",2613000,"Powiat włoszczowski",2002,NA
"27663",2661000,"Powiat m.Kielce",2002,NA
"27664",2801000,"Powiat bartoszycki",2002,NA
"27665",2802000,"Powiat braniewski",2002,NA
"27666",2803000,"Powiat działdowski",2002,NA
"27667",2804000,"Powiat elbląski",2002,NA
"27668",2805000,"Powiat ełcki",2002,NA
"27669",2806000,"Powiat giżycki",2002,NA
"27670",2807000,"Powiat iławski",2002,NA
"27671",2808000,"Powiat kętrzyński",2002,NA
"27672",2809000,"Powiat lidzbarski",2002,NA
"27673",2810000,"Powiat mrągowski",2002,NA
"27674",2811000,"Powiat nidzicki",2002,NA
"27675",2812000,"Powiat nowomiejski",2002,NA
"27676",2813000,"Powiat olecki",2002,NA
"27677",2814000,"Powiat olsztyński",2002,NA
"27678",2815000,"Powiat ostródzki",2002,NA
"27679",2816000,"Powiat piski",2002,NA
"27680",2817000,"Powiat szczycieński",2002,NA
"27681",2818000,"Powiat gołdapski",2002,NA
"27682",2819000,"Powiat węgorzewski",2002,NA
"27683",2861000,"Powiat m.Elbląg",2002,NA
"27684",2862000,"Powiat m.Olsztyn",2002,NA
"27685",3001000,"Powiat chodzieski",2002,NA
"27686",3002000,"Powiat czarnkowsko-trzcianecki",2002,NA
"27687",3003000,"Powiat gnieźnieński",2002,NA
"27688",3004000,"Powiat gostyński",2002,NA
"27689",3005000,"Powiat grodziski",2002,NA
"27690",3006000,"Powiat jarociński",2002,NA
"27691",3007000,"Powiat kaliski",2002,NA
"27692",3008000,"Powiat kępiński",2002,NA
"27693",3009000,"Powiat kolski",2002,NA
"27694",3010000,"Powiat koniński",2002,NA
"27695",3011000,"Powiat kościański",2002,NA
"27696",3012000,"Powiat krotoszyński",2002,NA
"27697",3013000,"Powiat leszczyński",2002,NA
"27698",3014000,"Powiat międzychodzki",2002,NA
"27699",3015000,"Powiat nowotomyski",2002,NA
"27700",3016000,"Powiat obornicki",2002,NA
"27701",3017000,"Powiat ostrowski",2002,NA
"27702",3018000,"Powiat ostrzeszowski",2002,NA
"27703",3019000,"Powiat pilski",2002,NA
"27704",3020000,"Powiat pleszewski",2002,NA
"27705",3021000,"Powiat poznański",2002,NA
"27706",3022000,"Powiat rawicki",2002,NA
"27707",3023000,"Powiat słupecki",2002,NA
"27708",3024000,"Powiat szamotulski",2002,NA
"27709",3025000,"Powiat średzki",2002,NA
"27710",3026000,"Powiat śremski",2002,NA
"27711",3027000,"Powiat turecki",2002,NA
"27712",3028000,"Powiat wągrowiecki",2002,NA
