"","Kod","Nazwa","rok","Muzea_zwiedzajacy_muzea_i_oddzialy_na_10_tys_mieszkancow_osoba"
"8476",1406000,"Powiat grójecki",1995,NA
"8477",1407000,"Powiat kozienicki",1995,NA
"8478",1408000,"Powiat legionowski",1995,NA
"8479",1410000,"Powiat łosicki",1995,NA
"8480",1411000,"Powiat makowski",1995,NA
"8481",1412000,"Powiat miński",1995,NA
"8482",1413000,"Powiat mławski",1995,NA
"8483",1414000,"Powiat nowodworski",1995,NA
"8484",1415000,"Powiat ostrołęcki",1995,NA
"8485",1416000,"Powiat ostrowski",1995,NA
"8486",1417000,"Powiat otwocki",1995,NA
"8487",1418000,"Powiat piaseczyński",1995,NA
"8488",1419000,"Powiat płocki",1995,NA
"8489",1421000,"Powiat pruszkowski",1995,NA
"8490",1422000,"Powiat przasnyski",1995,NA
"8491",1423000,"Powiat przysuski",1995,NA
"8492",1424000,"Powiat pułtuski",1995,NA
"8493",1425000,"Powiat radomski",1995,NA
"8494",1426000,"Powiat siedlecki",1995,NA
"8495",1427000,"Powiat sierpecki",1995,NA
"8496",1428000,"Powiat sochaczewski",1995,NA
"8497",1429000,"Powiat sokołowski",1995,NA
"8498",1430000,"Powiat szydłowiecki",1995,NA
"8499",1431000,"Powiat warszawski",1995,NA
"8500",1432000,"Powiat warszawski zachodni",1995,NA
"8501",1433000,"Powiat węgrowski",1995,NA
"8502",1434000,"Powiat wołomiński",1995,NA
"8503",1435000,"Powiat wyszkowski",1995,NA
"8504",1436000,"Powiat zwoleński",1995,NA
"8505",1437000,"Powiat żuromiński",1995,NA
"8506",1438000,"Powiat żyrardowski",1995,NA
"8507",1461000,"Powiat m.Ostrołęka",1995,NA
"8508",1462000,"Powiat m.Płock",1995,NA
"8509",1463000,"Powiat m.Radom",1995,NA
"8510",1464000,"Powiat m.Siedlce",1995,NA
"8511",1465000,"Powiat m. st. Warszawa",1995,NA
"8512",1601000,"Powiat brzeski",1995,NA
"8513",1602000,"Powiat głubczycki",1995,NA
"8514",1603000,"Powiat kędzierzyńsko-kozielski",1995,NA
"8515",1604000,"Powiat kluczborski",1995,NA
"8516",1606000,"Powiat namysłowski",1995,NA
"8517",1607000,"Powiat nyski",1995,NA
"8518",1608000,"Powiat oleski",1995,NA
"8519",1609000,"Powiat opolski",1995,NA
"8520",1610000,"Powiat prudnicki",1995,NA
"8521",1611000,"Powiat strzelecki",1995,NA
"8522",1661000,"Powiat m.Opole",1995,NA
"8523",1801000,"Powiat bieszczadzki",1995,NA
"8524",1802000,"Powiat brzozowski",1995,NA
"8525",1803000,"Powiat dębicki",1995,NA
"8526",1804000,"Powiat jarosławski",1995,NA
"8527",1805000,"Powiat jasielski",1995,NA
"8528",1806000,"Powiat kolbuszowski",1995,NA
"8529",1807000,"Powiat krośnieński",1995,NA
"8530",1808000,"Powiat leżajski",1995,NA
"8531",1809000,"Powiat lubaczowski",1995,NA
"8532",1810000,"Powiat łańcucki",1995,NA
"8533",1811000,"Powiat mielecki",1995,NA
"8534",1813000,"Powiat przemyski",1995,NA
"8535",1814000,"Powiat przeworski",1995,NA
"8536",1816000,"Powiat rzeszowski",1995,NA
"8537",1817000,"Powiat sanocki",1995,NA
"8538",1818000,"Powiat stalowowolski",1995,NA
"8539",1819000,"Powiat strzyżowski",1995,NA
"8540",1820000,"Powiat tarnobrzeski",1995,NA
"8541",1821000,"Powiat leski",1995,NA
"8542",1861000,"Powiat m.Krosno",1995,NA
"8543",1862000,"Powiat m.Przemyśl",1995,NA
"8544",1863000,"Powiat m.Rzeszów",1995,NA
"8545",1864000,"Powiat m.Tarnobrzeg",1995,NA
"8546",2001000,"Powiat augustowski",1995,NA
"8547",2002000,"Powiat białostocki",1995,NA
"8548",2003000,"Powiat bielski",1995,NA
"8549",2005000,"Powiat hajnowski",1995,NA
