"","Kod","Nazwa","rok","Kina_stale_wg_formy_wlasnosci_ogolem_seanse_ogolem"
"18231",1263000,"Powiat m.Tarnów",1995,1340
"18232",1402000,"Powiat ciechanowski",1995,659
"18233",1403000,"Powiat garwoliński",1995,368
"18234",1404000,"Powiat gostyniński",1995,0
"18235",1405000,"Powiat grodziski",1995,130
"18236",1406000,"Powiat grójecki",1995,467
"18237",1407000,"Powiat kozienicki",1995,0
"18238",1408000,"Powiat legionowski",1995,93
"18239",1409000,"Powiat lipski",1995,96
"18240",1410000,"Powiat łosicki",1995,170
"18241",1411000,"Powiat makowski",1995,92
"18242",1412000,"Powiat miński",1995,178
"18243",1413000,"Powiat mławski",1995,437
"18244",1414000,"Powiat nowodworski",1995,107
"18245",1416000,"Powiat ostrowski",1995,411
"18246",1417000,"Powiat otwocki",1995,90
"18247",1418000,"Powiat piaseczyński",1995,414
"18248",1420000,"Powiat płoński",1995,393
"18249",1421000,"Powiat pruszkowski",1995,589
"18250",1422000,"Powiat przasnyski",1995,0
"18251",1423000,"Powiat przysuski",1995,20
"18252",1424000,"Powiat pułtuski",1995,278
"18253",1425000,"Powiat radomski",1995,188
"18254",1427000,"Powiat sierpecki",1995,0
"18255",1428000,"Powiat sochaczewski",1995,0
"18256",1429000,"Powiat sokołowski",1995,386
"18257",1430000,"Powiat szydłowiecki",1995,199
"18258",1431000,"Powiat warszawski",1995,49593
"18259",1432000,"Powiat warszawski zachodni",1995,0
"18260",1433000,"Powiat węgrowski",1995,245
"18261",1434000,"Powiat wołomiński",1995,0
"18262",1435000,"Powiat wyszkowski",1995,677
"18263",1436000,"Powiat zwoleński",1995,0
"18264",1437000,"Powiat żuromiński",1995,123
"18265",1438000,"Powiat żyrardowski",1995,626
"18266",1461000,"Powiat m.Ostrołęka",1995,1105
"18267",1462000,"Powiat m.Płock",1995,2790
"18268",1463000,"Powiat m.Radom",1995,3233
"18269",1464000,"Powiat m.Siedlce",1995,808
"18270",1465000,"Powiat m. st. Warszawa",1995,NA
"18271",1601000,"Powiat brzeski",1995,787
"18272",1602000,"Powiat głubczycki",1995,96
"18273",1603000,"Powiat kędzierzyńsko-kozielski",1995,865
"18274",1604000,"Powiat kluczborski",1995,585
"18275",1605000,"Powiat krapkowicki",1995,305
"18276",1606000,"Powiat namysłowski",1995,255
"18277",1607000,"Powiat nyski",1995,845
"18278",1608000,"Powiat oleski",1995,444
"18279",1609000,"Powiat opolski",1995,0
"18280",1610000,"Powiat prudnicki",1995,368
"18281",1611000,"Powiat strzelecki",1995,804
"18282",1661000,"Powiat m.Opole",1995,2869
"18283",1801000,"Powiat bieszczadzki",1995,489
"18284",1802000,"Powiat brzozowski",1995,363
"18285",1803000,"Powiat dębicki",1995,801
"18286",1804000,"Powiat jarosławski",1995,938
"18287",1805000,"Powiat jasielski",1995,569
"18288",1806000,"Powiat kolbuszowski",1995,185
"18289",1807000,"Powiat krośnieński",1995,484
"18290",1808000,"Powiat leżajski",1995,516
"18291",1809000,"Powiat lubaczowski",1995,308
"18292",1810000,"Powiat łańcucki",1995,307
"18293",1811000,"Powiat mielecki",1995,1146
"18294",1812000,"Powiat niżański",1995,347
"18295",1813000,"Powiat przemyski",1995,14
"18296",1814000,"Powiat przeworski",1995,239
"18297",1815000,"Powiat ropczycko-sędziszowski",1995,546
"18298",1816000,"Powiat rzeszowski",1995,95
"18299",1817000,"Powiat sanocki",1995,576
"18300",1818000,"Powiat stalowowolski",1995,1268
"18301",1819000,"Powiat strzyżowski",1995,192
"18302",1820000,"Powiat tarnobrzeski",1995,169
"18303",1821000,"Powiat leski",1995,NA
"18304",1861000,"Powiat m.Krosno",1995,538
"18305",1862000,"Powiat m.Przemyśl",1995,548
"18306",1863000,"Powiat m.Rzeszów",1995,4941
"18307",1864000,"Powiat m.Tarnobrzeg",1995,629
"18308",2001000,"Powiat augustowski",1995,343
"18309",2002000,"Powiat białostocki",1995,90
"18310",2003000,"Powiat bielski",1995,449
"18311",2004000,"Powiat grajewski",1995,30
"18312",2005000,"Powiat hajnowski",1995,242
"18313",2006000,"Powiat kolneński",1995,49
"18314",2009000,"Powiat sejneński",1995,119
"18315",2010000,"Powiat siemiatycki",1995,225
"18316",2011000,"Powiat sokólski",1995,602
"18317",2013000,"Powiat wysokomazowiecki",1995,211
"18318",2014000,"Powiat zambrowski",1995,0
"18319",2061000,"Powiat m.Białystok",1995,6521
"18320",2062000,"Powiat m.Łomża",1995,1444
"18321",2063000,"Powiat m.Suwałki",1995,747
"18322",2201000,"Powiat bytowski",1995,518
"18323",2202000,"Powiat chojnicki",1995,588
"18324",2203000,"Powiat człuchowski",1995,251
"18325",2204000,"Powiat gdański",1995,748
"18326",2205000,"Powiat kartuski",1995,96
"18327",2206000,"Powiat kościerski",1995,505
"18328",2207000,"Powiat kwidzyński",1995,458
"18329",2208000,"Powiat lęborski",1995,763
"18330",2209000,"Powiat malborski",1995,682
"18331",2210000,"Powiat nowodworski",1995,438
"18332",2211000,"Powiat pucki",1995,1088
"18333",2212000,"Powiat słupski",1995,758
"18334",2213000,"Powiat starogardzki",1995,827
"18335",2214000,"Powiat tczewski",1995,719
"18336",2215000,"Powiat wejherowski",1995,69
"18337",2216000,"Powiat sztumski",1995,NA
"18338",2261000,"Powiat m.Gdańsk",1995,8655
"18339",2262000,"Powiat m.Gdynia",1995,3134
"18340",2263000,"Powiat m.Słupsk",1995,1483
