"","Kod","Nazwa","rok","Kina_stale_wg_formy_wlasnosci_ogolem_seanse_ogolem"
"19537",3209000,"Powiat koszaliński",1998,722
"19538",3210000,"Powiat myśliborski",1998,354
"19539",3211000,"Powiat policki",1998,75
"19540",3212000,"Powiat pyrzycki",1998,0
"19541",3213000,"Powiat sławieński",1998,978
"19542",3214000,"Powiat stargardzki",1998,519
"19543",3215000,"Powiat szczecinecki",1998,605
"19544",3216000,"Powiat świdwiński",1998,771
"19545",3217000,"Powiat wałecki",1998,578
"19546",3261000,"Powiat m.Koszalin",1998,1725
"19547",3262000,"Powiat m.Szczecin",1998,6221
"19548",3263000,"Powiat m.Świnoujście",1998,447
"19549",201000,"Powiat bolesławiecki",1999,1084
"19550",202000,"Powiat dzierżoniowski",1999,499
"19551",203000,"Powiat głogowski",1999,983
"19552",204000,"Powiat górowski",1999,180
"19553",205000,"Powiat jaworski",1999,179
"19554",206000,"Powiat jeleniogórski",1999,568
"19555",207000,"Powiat kamiennogórski",1999,240
"19556",208000,"Powiat kłodzki",1999,1395
"19557",209000,"Powiat legnicki",1999,0
"19558",210000,"Powiat lubański",1999,292
"19559",211000,"Powiat lubiński",1999,1326
"19560",212000,"Powiat lwówecki",1999,102
"19561",214000,"Powiat oleśnicki",1999,152
"19562",215000,"Powiat oławski",1999,501
"19563",216000,"Powiat polkowicki",1999,250
"19564",217000,"Powiat strzeliński",1999,98
"19565",218000,"Powiat średzki",1999,101
"19566",219000,"Powiat świdnicki",1999,884
"19567",220000,"Powiat trzebnicki",1999,203
"19568",221000,"Powiat wałbrzyski",1999,54
"19569",222000,"Powiat wołowski",1999,30
"19570",223000,"Powiat wrocławski",1999,0
"19571",224000,"Powiat ząbkowicki",1999,229
"19572",225000,"Powiat zgorzelecki",1999,586
"19573",226000,"Powiat złotoryjski",1999,258
"19574",261000,"Powiat m.Jelenia Góra",1999,2302
"19575",262000,"Powiat m.Legnica",1999,1689
"19576",263000,"Powiat m.Wałbrzych do 2002",1999,2057
"19577",264000,"Powiat m.Wrocław",1999,18156
"19578",265000,"Powiat m.Wałbrzych od 2013",1999,NA
"19579",401000,"Powiat aleksandrowski",1999,162
"19580",402000,"Powiat brodnicki",1999,410
"19581",403000,"Powiat bydgoski",1999,0
"19582",404000,"Powiat chełmiński",1999,381
"19583",405000,"Powiat golubsko-dobrzyński",1999,0
"19584",406000,"Powiat grudziądzki",1999,18
"19585",407000,"Powiat inowrocławski",1999,1192
"19586",408000,"Powiat lipnowski",1999,145
"19587",409000,"Powiat mogileński",1999,160
"19588",410000,"Powiat nakielski",1999,326
"19589",411000,"Powiat radziejowski",1999,34
"19590",412000,"Powiat rypiński",1999,132
"19591",413000,"Powiat sępoleński",1999,185
"19592",414000,"Powiat świecki",1999,441
"19593",415000,"Powiat toruński",1999,0
"19594",416000,"Powiat tucholski",1999,164
"19595",417000,"Powiat wąbrzeski",1999,104
"19596",419000,"Powiat żniński",1999,184
"19597",461000,"Powiat m.Bydgoszcz",1999,4740
"19598",462000,"Powiat m.Grudziądz",1999,2261
"19599",463000,"Powiat m.Toruń",1999,4991
"19600",464000,"Powiat m.Włocławek",1999,1701
"19601",601000,"Powiat bialski",1999,303
"19602",602000,"Powiat biłgorajski",1999,400
"19603",604000,"Powiat hrubieszowski",1999,104
"19604",605000,"Powiat janowski",1999,103
"19605",606000,"Powiat krasnostawski",1999,368
"19606",607000,"Powiat kraśnicki",1999,214
"19607",608000,"Powiat lubartowski",1999,279
"19608",609000,"Powiat lubelski",1999,37
"19609",611000,"Powiat łukowski",1999,362
"19610",612000,"Powiat opolski",1999,210
"19611",613000,"Powiat parczewski",1999,66
"19612",614000,"Powiat puławski",1999,1679
"19613",615000,"Powiat radzyński",1999,240
"19614",616000,"Powiat rycki",1999,234
"19615",617000,"Powiat świdnicki",1999,425
"19616",618000,"Powiat tomaszowski",1999,335
"19617",619000,"Powiat włodawski",1999,339
"19618",620000,"Powiat zamojski",1999,9
"19619",661000,"Powiat m.Biała Podlaska",1999,983
"19620",662000,"Powiat m.Chełm",1999,1109
"19621",663000,"Powiat m.Lublin",1999,6134
"19622",664000,"Powiat m.Zamość",1999,1028
"19623",802000,"Powiat krośnieński",1999,126
"19624",803000,"Powiat międzyrzecki",1999,364
"19625",804000,"Powiat nowosolski",1999,288
"19626",805000,"Powiat słubicki",1999,459
"19627",806000,"Powiat strzelecko-drezdenecki",1999,156
"19628",807000,"Powiat sulęciński",1999,226
"19629",808000,"Powiat świebodziński",1999,701
"19630",809000,"Powiat zielonogórski",1999,420
"19631",810000,"Powiat żagański",1999,88
"19632",811000,"Powiat żarski",1999,314
"19633",812000,"Powiat wschowski",1999,NA
"19634",861000,"Powiat m.Gorzów Wielkopolski",1999,2041
"19635",862000,"Powiat m.Zielona Góra",1999,2818
"19636",1001000,"Powiat bełchatowski",1999,613
"19637",1002000,"Powiat kutnowski",1999,436
"19638",1003000,"Powiat łaski",1999,0
"19639",1004000,"Powiat łęczycki",1999,200
"19640",1005000,"Powiat łowicki",1999,602
"19641",1006000,"Powiat łódzki wschodni",1999,0
"19642",1007000,"Powiat opoczyński",1999,85
"19643",1008000,"Powiat pabianicki",1999,730
"19644",1009000,"Powiat pajęczański",1999,105
"19645",1010000,"Powiat piotrkowski",1999,16
"19646",1011000,"Powiat poddębicki",1999,99
"19647",1012000,"Powiat radomszczański",1999,876
"19648",1013000,"Powiat rawski",1999,777
"19649",1014000,"Powiat sieradzki",1999,1013
"19650",1016000,"Powiat tomaszowski",1999,792
"19651",1017000,"Powiat wieluński",1999,469
"19652",1018000,"Powiat wieruszowski",1999,50
"19653",1019000,"Powiat zduńskowolski",1999,720
"19654",1020000,"Powiat zgierski",1999,673
"19655",1061000,"Powiat m.Łódź",1999,15703
"19656",1062000,"Powiat m.Piotrków Trybunalski",1999,881
"19657",1063000,"Powiat m.Skierniewice",1999,851
"19658",1201000,"Powiat bocheński",1999,522
"19659",1202000,"Powiat brzeski",1999,61
"19660",1203000,"Powiat chrzanowski",1999,621
"19661",1204000,"Powiat dąbrowski",1999,148
"19662",1205000,"Powiat gorlicki",1999,693
"19663",1206000,"Powiat krakowski",1999,355
"19664",1207000,"Powiat limanowski",1999,604
"19665",1208000,"Powiat miechowski",1999,0
"19666",1209000,"Powiat myślenicki",1999,409
"19667",1210000,"Powiat nowosądecki",1999,1203
"19668",1211000,"Powiat nowotarski",1999,2279
"19669",1212000,"Powiat olkuski",1999,873
"19670",1213000,"Powiat oświęcimski",1999,2164
"19671",1214000,"Powiat proszowicki",1999,36
"19672",1215000,"Powiat suski",1999,514
"19673",1216000,"Powiat tarnowski",1999,155
"19674",1217000,"Powiat tatrzański",1999,357
"19675",1218000,"Powiat wadowicki",1999,1259
"19676",1219000,"Powiat wielicki",1999,0
"19677",1261000,"Powiat m.Kraków",1999,22031
"19678",1262000,"Powiat m.Nowy Sącz",1999,2319
"19679",1263000,"Powiat m.Tarnów",1999,1466
"19680",1402000,"Powiat ciechanowski",1999,571
"19681",1403000,"Powiat garwoliński",1999,312
"19682",1404000,"Powiat gostyniński",1999,207
"19683",1405000,"Powiat grodziski",1999,281
"19684",1406000,"Powiat grójecki",1999,537
"19685",1407000,"Powiat kozienicki",1999,0
"19686",1408000,"Powiat legionowski",1999,489
"19687",1409000,"Powiat lipski",1999,87
"19688",1410000,"Powiat łosicki",1999,87
"19689",1411000,"Powiat makowski",1999,121
"19690",1412000,"Powiat miński",1999,1211
"19691",1413000,"Powiat mławski",1999,370
"19692",1414000,"Powiat nowodworski",1999,240
"19693",1416000,"Powiat ostrowski",1999,325
"19694",1417000,"Powiat otwocki",1999,150
"19695",1418000,"Powiat piaseczyński",1999,494
"19696",1420000,"Powiat płoński",1999,442
"19697",1421000,"Powiat pruszkowski",1999,422
"19698",1422000,"Powiat przasnyski",1999,0
"19699",1423000,"Powiat przysuski",1999,53
"19700",1424000,"Powiat pułtuski",1999,325
"19701",1425000,"Powiat radomski",1999,0
"19702",1427000,"Powiat sierpecki",1999,0
"19703",1428000,"Powiat sochaczewski",1999,537
"19704",1429000,"Powiat sokołowski",1999,299
"19705",1430000,"Powiat szydłowiecki",1999,18
"19706",1431000,"Powiat warszawski",1999,56158
"19707",1432000,"Powiat warszawski zachodni",1999,79
"19708",1433000,"Powiat węgrowski",1999,238
"19709",1434000,"Powiat wołomiński",1999,567
"19710",1435000,"Powiat wyszkowski",1999,503
"19711",1436000,"Powiat zwoleński",1999,0
"19712",1437000,"Powiat żuromiński",1999,98
"19713",1438000,"Powiat żyrardowski",1999,0
"19714",1461000,"Powiat m.Ostrołęka",1999,1193
"19715",1462000,"Powiat m.Płock",1999,2744
"19716",1463000,"Powiat m.Radom",1999,2488
"19717",1464000,"Powiat m.Siedlce",1999,1038
"19718",1465000,"Powiat m. st. Warszawa",1999,NA
"19719",1601000,"Powiat brzeski",1999,402
"19720",1602000,"Powiat głubczycki",1999,92
"19721",1603000,"Powiat kędzierzyńsko-kozielski",1999,1139
"19722",1604000,"Powiat kluczborski",1999,379
"19723",1605000,"Powiat krapkowicki",1999,247
"19724",1606000,"Powiat namysłowski",1999,0
"19725",1607000,"Powiat nyski",1999,1090
"19726",1608000,"Powiat oleski",1999,282
"19727",1609000,"Powiat opolski",1999,76
"19728",1610000,"Powiat prudnicki",1999,322
"19729",1611000,"Powiat strzelecki",1999,431
"19730",1661000,"Powiat m.Opole",1999,3234
"19731",1801000,"Powiat bieszczadzki",1999,528
"19732",1802000,"Powiat brzozowski",1999,324
"19733",1803000,"Powiat dębicki",1999,659
"19734",1804000,"Powiat jarosławski",1999,1019
"19735",1805000,"Powiat jasielski",1999,540
"19736",1806000,"Powiat kolbuszowski",1999,69
"19737",1807000,"Powiat krośnieński",1999,695
"19738",1808000,"Powiat leżajski",1999,505
"19739",1809000,"Powiat lubaczowski",1999,262
"19740",1810000,"Powiat łańcucki",1999,276
"19741",1811000,"Powiat mielecki",1999,736
"19742",1812000,"Powiat niżański",1999,429
"19743",1813000,"Powiat przemyski",1999,10
"19744",1814000,"Powiat przeworski",1999,256
"19745",1815000,"Powiat ropczycko-sędziszowski",1999,391
"19746",1816000,"Powiat rzeszowski",1999,78
"19747",1817000,"Powiat sanocki",1999,329
"19748",1818000,"Powiat stalowowolski",1999,1514
"19749",1819000,"Powiat strzyżowski",1999,169
"19750",1820000,"Powiat tarnobrzeski",1999,85
"19751",1821000,"Powiat leski",1999,NA
"19752",1861000,"Powiat m.Krosno",1999,539
"19753",1862000,"Powiat m.Przemyśl",1999,1476
"19754",1863000,"Powiat m.Rzeszów",1999,4751
"19755",1864000,"Powiat m.Tarnobrzeg",1999,970
"19756",2001000,"Powiat augustowski",1999,331
"19757",2002000,"Powiat białostocki",1999,16
"19758",2003000,"Powiat bielski",1999,231
"19759",2004000,"Powiat grajewski",1999,86
"19760",2005000,"Powiat hajnowski",1999,177
"19761",2006000,"Powiat kolneński",1999,69
"19762",2009000,"Powiat sejneński",1999,31
"19763",2010000,"Powiat siemiatycki",1999,101
"19764",2011000,"Powiat sokólski",1999,334
"19765",2013000,"Powiat wysokomazowiecki",1999,134
"19766",2014000,"Powiat zambrowski",1999,132
"19767",2061000,"Powiat m.Białystok",1999,7563
"19768",2062000,"Powiat m.Łomża",1999,1325
"19769",2063000,"Powiat m.Suwałki",1999,1518
"19770",2201000,"Powiat bytowski",1999,489
"19771",2202000,"Powiat chojnicki",1999,691
"19772",2203000,"Powiat człuchowski",1999,115
"19773",2204000,"Powiat gdański",1999,0
"19774",2205000,"Powiat kartuski",1999,0
"19775",2206000,"Powiat kościerski",1999,323
"19776",2207000,"Powiat kwidzyński",1999,553
"19777",2208000,"Powiat lęborski",1999,762
"19778",2209000,"Powiat malborski",1999,801
"19779",2210000,"Powiat nowodworski",1999,257
"19780",2211000,"Powiat pucki",1999,641
"19781",2212000,"Powiat słupski",1999,645
"19782",2213000,"Powiat starogardzki",1999,854
"19783",2214000,"Powiat tczewski",1999,684
"19784",2215000,"Powiat wejherowski",1999,498
"19785",2216000,"Powiat sztumski",1999,NA
"19786",2261000,"Powiat m.Gdańsk",1999,8929
"19787",2262000,"Powiat m.Gdynia",1999,3167
"19788",2263000,"Powiat m.Słupsk",1999,1331
"19789",2264000,"Powiat m.Sopot",1999,2252
"19790",2401000,"Powiat będziński",1999,866
"19791",2402000,"Powiat bielski",1999,2313
"19792",2403000,"Powiat cieszyński",1999,3723
"19793",2404000,"Powiat częstochowski",1999,26
"19794",2405000,"Powiat gliwicki",1999,1274
"19795",2406000,"Powiat kłobucki",1999,80
"19796",2407000,"Powiat lubliniecki",1999,329
"19797",2408000,"Powiat mikołowski",1999,193
"19798",2409000,"Powiat myszkowski",1999,156
"19799",2410000,"Powiat pszczyński",1999,1071
"19800",2411000,"Powiat raciborski",1999,1138
"19801",2413000,"Powiat tarnogórski",1999,2014
"19802",2414000,"Powiat bieruńsko-lędziński",1999,232
"19803",2415000,"Powiat wodzisławski",1999,1134
"19804",2416000,"Powiat zawierciański",1999,373
"19805",2417000,"Powiat żywiecki",1999,1157
"19806",2461000,"Powiat m.Bielsko-Biała",1999,3044
"19807",2462000,"Powiat m.Bytom",1999,2971
"19808",2463000,"Powiat m.Chorzów",1999,3426
"19809",2464000,"Powiat m.Częstochowa",1999,3294
"19810",2465000,"Powiat m.Dąbrowa Górnicza",1999,928
"19811",2466000,"Powiat m.Gliwice",1999,3941
"19812",2467000,"Powiat m.Jastrzębie-Zdrój",1999,545
"19813",2468000,"Powiat m.Jaworzno",1999,437
"19814",2469000,"Powiat m.Katowice",1999,7250
"19815",2470000,"Powiat m.Mysłowice",1999,1072
"19816",2471000,"Powiat m.Piekary Śląskie",1999,695
"19817",2472000,"Powiat m.Ruda Śląska",1999,1014
"19818",2473000,"Powiat m.Rybnik",1999,1639
"19819",2474000,"Powiat m.Siemianowice Śląskie",1999,571
"19820",2475000,"Powiat m.Sosnowiec",1999,1722
"19821",2477000,"Powiat m.Tychy",1999,1779
"19822",2478000,"Powiat m.Zabrze",1999,2384
"19823",2479000,"Powiat m.Żory",1999,960
"19824",2601000,"Powiat buski",1999,334
"19825",2602000,"Powiat jędrzejowski",1999,338
"19826",2603000,"Powiat kazimierski",1999,170
"19827",2604000,"Powiat kielecki",1999,41
"19828",2605000,"Powiat konecki",1999,329
"19829",2606000,"Powiat opatowski",1999,0
"19830",2607000,"Powiat ostrowiecki",1999,314
"19831",2608000,"Powiat pińczowski",1999,97
"19832",2609000,"Powiat sandomierski",1999,0
"19833",2610000,"Powiat skarżyski",1999,657
"19834",2611000,"Powiat starachowicki",1999,318
"19835",2612000,"Powiat staszowski",1999,679
"19836",2613000,"Powiat włoszczowski",1999,139
"19837",2661000,"Powiat m.Kielce",1999,4047
"19838",2801000,"Powiat bartoszycki",1999,454
"19839",2802000,"Powiat braniewski",1999,118
"19840",2803000,"Powiat działdowski",1999,340
"19841",2804000,"Powiat elbląski",1999,179
"19842",2805000,"Powiat ełcki",1999,1057
"19843",2806000,"Powiat giżycki",1999,918
"19844",2807000,"Powiat iławski",1999,264
"19845",2808000,"Powiat kętrzyński",1999,645
"19846",2809000,"Powiat lidzbarski",1999,86
"19847",2810000,"Powiat mrągowski",1999,672
"19848",2811000,"Powiat nidzicki",1999,207
"19849",2812000,"Powiat nowomiejski",1999,188
"19850",2813000,"Powiat olecki",1999,284
"19851",2814000,"Powiat olsztyński",1999,455
"19852",2815000,"Powiat ostródzki",1999,1782
"19853",2816000,"Powiat piski",1999,150
"19854",2817000,"Powiat szczycieński",1999,533
"19855",2818000,"Powiat gołdapski",1999,NA
"19856",2819000,"Powiat węgorzewski",1999,NA
"19857",2861000,"Powiat m.Elbląg",1999,1966
"19858",2862000,"Powiat m.Olsztyn",1999,3235
"19859",3001000,"Powiat chodzieski",1999,304
"19860",3002000,"Powiat czarnkowsko-trzcianecki",1999,139
"19861",3003000,"Powiat gnieźnieński",1999,870
"19862",3004000,"Powiat gostyński",1999,464
"19863",3005000,"Powiat grodziski",1999,0
"19864",3006000,"Powiat jarociński",1999,210
"19865",3008000,"Powiat kępiński",1999,339
"19866",3009000,"Powiat kolski",1999,251
"19867",3010000,"Powiat koniński",1999,260
"19868",3011000,"Powiat kościański",1999,409
"19869",3012000,"Powiat krotoszyński",1999,769
"19870",3014000,"Powiat międzychodzki",1999,0
"19871",3015000,"Powiat nowotomyski",1999,1029
"19872",3017000,"Powiat ostrowski",1999,1091
"19873",3018000,"Powiat ostrzeszowski",1999,291
"19874",3019000,"Powiat pilski",1999,1708
"19875",3020000,"Powiat pleszewski",1999,529
"19876",3021000,"Powiat poznański",1999,341
"19877",3022000,"Powiat rawicki",1999,138
"19878",3023000,"Powiat słupecki",1999,451
"19879",3024000,"Powiat szamotulski",1999,603
"19880",3025000,"Powiat średzki",1999,600
"19881",3026000,"Powiat śremski",1999,333
"19882",3027000,"Powiat turecki",1999,289
"19883",3028000,"Powiat wągrowiecki",1999,132
"19884",3029000,"Powiat wolsztyński",1999,184
"19885",3030000,"Powiat wrzesiński",1999,42
"19886",3031000,"Powiat złotowski",1999,190
"19887",3061000,"Powiat m.Kalisz",1999,3335
"19888",3062000,"Powiat m.Konin",1999,1360
"19889",3063000,"Powiat m.Leszno",1999,1098
"19890",3064000,"Powiat m.Poznań",1999,27417
"19891",3201000,"Powiat białogardzki",1999,311
"19892",3202000,"Powiat choszczeński",1999,0
"19893",3203000,"Powiat drawski",1999,407
"19894",3204000,"Powiat goleniowski",1999,417
"19895",3205000,"Powiat gryficki",1999,689
"19896",3206000,"Powiat gryfiński",1999,141
"19897",3207000,"Powiat kamieński",1999,773
"19898",3208000,"Powiat kołobrzeski",1999,1085
"19899",3209000,"Powiat koszaliński",1999,607
"19900",3210000,"Powiat myśliborski",1999,0
"19901",3211000,"Powiat policki",1999,238
"19902",3212000,"Powiat pyrzycki",1999,0
"19903",3213000,"Powiat sławieński",1999,589
"19904",3214000,"Powiat stargardzki",1999,555
"19905",3215000,"Powiat szczecinecki",1999,614
"19906",3216000,"Powiat świdwiński",1999,645
"19907",3217000,"Powiat wałecki",1999,558
"19908",3261000,"Powiat m.Koszalin",1999,1467
"19909",3262000,"Powiat m.Szczecin",1999,6411
"19910",3263000,"Powiat m.Świnoujście",1999,430
"19911",201000,"Powiat bolesławiecki",2000,1030
"19912",202000,"Powiat dzierżoniowski",2000,569
"19913",203000,"Powiat głogowski",2000,987
"19914",204000,"Powiat górowski",2000,499
"19915",205000,"Powiat jaworski",2000,142
"19916",206000,"Powiat jeleniogórski",2000,596
"19917",207000,"Powiat kamiennogórski",2000,179
"19918",208000,"Powiat kłodzki",2000,1530
"19919",209000,"Powiat legnicki",2000,0
"19920",210000,"Powiat lubański",2000,285
"19921",211000,"Powiat lubiński",2000,1315
"19922",212000,"Powiat lwówecki",2000,95
"19923",214000,"Powiat oleśnicki",2000,151
"19924",215000,"Powiat oławski",2000,412
"19925",216000,"Powiat polkowicki",2000,306
"19926",217000,"Powiat strzeliński",2000,0
"19927",218000,"Powiat średzki",2000,165
"19928",219000,"Powiat świdnicki",2000,743
"19929",220000,"Powiat trzebnicki",2000,194
"19930",221000,"Powiat wałbrzyski",2000,44
"19931",222000,"Powiat wołowski",2000,0
"19932",223000,"Powiat wrocławski",2000,0
"19933",224000,"Powiat ząbkowicki",2000,191
"19934",225000,"Powiat zgorzelecki",2000,1158
"19935",226000,"Powiat złotoryjski",2000,289
"19936",261000,"Powiat m.Jelenia Góra",2000,2384
"19937",262000,"Powiat m.Legnica",2000,1768
"19938",263000,"Powiat m.Wałbrzych do 2002",2000,1795
"19939",264000,"Powiat m.Wrocław",2000,35323
"19940",265000,"Powiat m.Wałbrzych od 2013",2000,NA
"19941",401000,"Powiat aleksandrowski",2000,156
"19942",402000,"Powiat brodnicki",2000,438
"19943",403000,"Powiat bydgoski",2000,0
"19944",404000,"Powiat chełmiński",2000,146
"19945",405000,"Powiat golubsko-dobrzyński",2000,35
"19946",406000,"Powiat grudziądzki",2000,18
"19947",407000,"Powiat inowrocławski",2000,975
"19948",408000,"Powiat lipnowski",2000,184
"19949",409000,"Powiat mogileński",2000,174
"19950",410000,"Powiat nakielski",2000,327
"19951",411000,"Powiat radziejowski",2000,40
"19952",412000,"Powiat rypiński",2000,119
"19953",413000,"Powiat sępoleński",2000,138
"19954",414000,"Powiat świecki",2000,436
"19955",415000,"Powiat toruński",2000,0
"19956",416000,"Powiat tucholski",2000,165
"19957",417000,"Powiat wąbrzeski",2000,68
"19958",419000,"Powiat żniński",2000,198
"19959",461000,"Powiat m.Bydgoszcz",2000,4825
"19960",462000,"Powiat m.Grudziądz",2000,2245
"19961",463000,"Powiat m.Toruń",2000,4895
"19962",464000,"Powiat m.Włocławek",2000,1322
"19963",601000,"Powiat bialski",2000,294
"19964",602000,"Powiat biłgorajski",2000,409
"19965",604000,"Powiat hrubieszowski",2000,113
"19966",605000,"Powiat janowski",2000,111
"19967",606000,"Powiat krasnostawski",2000,354
"19968",607000,"Powiat kraśnicki",2000,184
"19969",608000,"Powiat lubartowski",2000,237
"19970",609000,"Powiat lubelski",2000,29
"19971",611000,"Powiat łukowski",2000,326
"19972",612000,"Powiat opolski",2000,216
"19973",613000,"Powiat parczewski",2000,0
"19974",614000,"Powiat puławski",2000,1410
"19975",615000,"Powiat radzyński",2000,196
"19976",616000,"Powiat rycki",2000,169
"19977",617000,"Powiat świdnicki",2000,324
"19978",618000,"Powiat tomaszowski",2000,259
"19979",619000,"Powiat włodawski",2000,294
"19980",620000,"Powiat zamojski",2000,18
"19981",661000,"Powiat m.Biała Podlaska",2000,862
"19982",662000,"Powiat m.Chełm",2000,1100
"19983",663000,"Powiat m.Lublin",2000,6880
"19984",664000,"Powiat m.Zamość",2000,1111
"19985",802000,"Powiat krośnieński",2000,87
"19986",803000,"Powiat międzyrzecki",2000,341
"19987",804000,"Powiat nowosolski",2000,254
"19988",805000,"Powiat słubicki",2000,467
"19989",806000,"Powiat strzelecko-drezdenecki",2000,163
"19990",807000,"Powiat sulęciński",2000,234
"19991",808000,"Powiat świebodziński",2000,605
"19992",809000,"Powiat zielonogórski",2000,194
"19993",810000,"Powiat żagański",2000,194
"19994",811000,"Powiat żarski",2000,362
"19995",812000,"Powiat wschowski",2000,NA
"19996",861000,"Powiat m.Gorzów Wielkopolski",2000,2225
"19997",862000,"Powiat m.Zielona Góra",2000,2775
"19998",1001000,"Powiat bełchatowski",2000,446
"19999",1002000,"Powiat kutnowski",2000,417
"20000",1003000,"Powiat łaski",2000,0
"20001",1004000,"Powiat łęczycki",2000,300
"20002",1005000,"Powiat łowicki",2000,609
"20003",1006000,"Powiat łódzki wschodni",2000,0
"20004",1007000,"Powiat opoczyński",2000,93
"20005",1008000,"Powiat pabianicki",2000,890
"20006",1009000,"Powiat pajęczański",2000,172
"20007",1010000,"Powiat piotrkowski",2000,16
"20008",1011000,"Powiat poddębicki",2000,39
"20009",1012000,"Powiat radomszczański",2000,998
"20010",1013000,"Powiat rawski",2000,856
"20011",1014000,"Powiat sieradzki",2000,600
"20012",1016000,"Powiat tomaszowski",2000,834
"20013",1017000,"Powiat wieluński",2000,519
"20014",1018000,"Powiat wieruszowski",2000,48
"20015",1019000,"Powiat zduńskowolski",2000,800
"20016",1020000,"Powiat zgierski",2000,488
"20017",1061000,"Powiat m.Łódź",2000,16031
"20018",1062000,"Powiat m.Piotrków Trybunalski",2000,1020
"20019",1063000,"Powiat m.Skierniewice",2000,787
"20020",1201000,"Powiat bocheński",2000,496
"20021",1202000,"Powiat brzeski",2000,68
"20022",1203000,"Powiat chrzanowski",2000,851
"20023",1204000,"Powiat dąbrowski",2000,146
"20024",1205000,"Powiat gorlicki",2000,621
"20025",1206000,"Powiat krakowski",2000,322
"20026",1207000,"Powiat limanowski",2000,738
"20027",1208000,"Powiat miechowski",2000,0
"20028",1209000,"Powiat myślenicki",2000,396
"20029",1210000,"Powiat nowosądecki",2000,903
"20030",1211000,"Powiat nowotarski",2000,2187
"20031",1212000,"Powiat olkuski",2000,798
"20032",1213000,"Powiat oświęcimski",2000,1908
"20033",1214000,"Powiat proszowicki",2000,44
"20034",1215000,"Powiat suski",2000,497
"20035",1216000,"Powiat tarnowski",2000,162
"20036",1217000,"Powiat tatrzański",2000,1831
"20037",1218000,"Powiat wadowicki",2000,1201
"20038",1219000,"Powiat wielicki",2000,0
"20039",1261000,"Powiat m.Kraków",2000,22552
"20040",1262000,"Powiat m.Nowy Sącz",2000,2665
"20041",1263000,"Powiat m.Tarnów",2000,1978
"20042",1402000,"Powiat ciechanowski",2000,588
"20043",1403000,"Powiat garwoliński",2000,324
"20044",1404000,"Powiat gostyniński",2000,231
"20045",1405000,"Powiat grodziski",2000,256
"20046",1406000,"Powiat grójecki",2000,601
"20047",1407000,"Powiat kozienicki",2000,0
"20048",1408000,"Powiat legionowski",2000,598
"20049",1409000,"Powiat lipski",2000,100
"20050",1410000,"Powiat łosicki",2000,91
"20051",1411000,"Powiat makowski",2000,93
"20052",1412000,"Powiat miński",2000,1159
"20053",1413000,"Powiat mławski",2000,391
"20054",1414000,"Powiat nowodworski",2000,231
"20055",1416000,"Powiat ostrowski",2000,303
"20056",1417000,"Powiat otwocki",2000,193
"20057",1418000,"Powiat piaseczyński",2000,458
"20058",1420000,"Powiat płoński",2000,506
"20059",1421000,"Powiat pruszkowski",2000,7817
"20060",1422000,"Powiat przasnyski",2000,120
"20061",1423000,"Powiat przysuski",2000,69
"20062",1424000,"Powiat pułtuski",2000,302
"20063",1425000,"Powiat radomski",2000,0
"20064",1427000,"Powiat sierpecki",2000,0
"20065",1428000,"Powiat sochaczewski",2000,552
"20066",1429000,"Powiat sokołowski",2000,341
"20067",1430000,"Powiat szydłowiecki",2000,43
"20068",1431000,"Powiat warszawski",2000,120201
"20069",1432000,"Powiat warszawski zachodni",2000,453
"20070",1433000,"Powiat węgrowski",2000,173
"20071",1434000,"Powiat wołomiński",2000,564
"20072",1435000,"Powiat wyszkowski",2000,448
"20073",1436000,"Powiat zwoleński",2000,0
"20074",1437000,"Powiat żuromiński",2000,102
"20075",1438000,"Powiat żyrardowski",2000,0
"20076",1461000,"Powiat m.Ostrołęka",2000,1161
"20077",1462000,"Powiat m.Płock",2000,3727
"20078",1463000,"Powiat m.Radom",2000,2638
"20079",1464000,"Powiat m.Siedlce",2000,869
"20080",1465000,"Powiat m. st. Warszawa",2000,NA
"20081",1601000,"Powiat brzeski",2000,359
"20082",1602000,"Powiat głubczycki",2000,91
"20083",1603000,"Powiat kędzierzyńsko-kozielski",2000,991
"20084",1604000,"Powiat kluczborski",2000,358
"20085",1605000,"Powiat krapkowicki",2000,569
"20086",1606000,"Powiat namysłowski",2000,0
"20087",1607000,"Powiat nyski",2000,850
"20088",1608000,"Powiat oleski",2000,225
"20089",1609000,"Powiat opolski",2000,77
"20090",1610000,"Powiat prudnicki",2000,299
"20091",1611000,"Powiat strzelecki",2000,873
"20092",1661000,"Powiat m.Opole",2000,3821
"20093",1801000,"Powiat bieszczadzki",2000,492
"20094",1802000,"Powiat brzozowski",2000,267
"20095",1803000,"Powiat dębicki",2000,607
"20096",1804000,"Powiat jarosławski",2000,984
"20097",1805000,"Powiat jasielski",2000,450
"20098",1806000,"Powiat kolbuszowski",2000,62
"20099",1807000,"Powiat krośnieński",2000,477
"20100",1808000,"Powiat leżajski",2000,439
"20101",1809000,"Powiat lubaczowski",2000,244
"20102",1810000,"Powiat łańcucki",2000,393
"20103",1811000,"Powiat mielecki",2000,848
"20104",1812000,"Powiat niżański",2000,360
"20105",1813000,"Powiat przemyski",2000,35
"20106",1814000,"Powiat przeworski",2000,267
"20107",1815000,"Powiat ropczycko-sędziszowski",2000,396
"20108",1816000,"Powiat rzeszowski",2000,105
