"","Kod","Nazwa","rok","EMISJA_ZANIECZYSZCZEN_POWIETRZA_Z_ZAKLADOW_SZCZEGOLNIE_UCIAZLIWYCH_CTAB_ogolem_tr"
"131",1218000,"Powiat wadowicki",1996,NA
"132",1219000,"Powiat wielicki",1996,NA
"133",1261000,"Powiat m.Kraków",1996,NA
"134",1262000,"Powiat m.Nowy Sącz",1996,NA
"135",1263000,"Powiat m.Tarnów",1996,NA
"136",1401000,"Powiat białobrzeski",1996,NA
"137",1402000,"Powiat ciechanowski",1996,NA
"138",1403000,"Powiat garwoliński",1996,NA
"139",1404000,"Powiat gostyniński",1996,NA
"140",1405000,"Powiat grodziski",1996,NA
"141",1406000,"Powiat grójecki",1996,NA
"142",1407000,"Powiat kozienicki",1996,NA
"143",1408000,"Powiat legionowski",1996,NA
"144",1409000,"Powiat lipski",1996,NA
"145",1410000,"Powiat łosicki",1996,NA
"146",1411000,"Powiat makowski",1996,NA
"147",1412000,"Powiat miński",1996,NA
"148",1413000,"Powiat mławski",1996,NA
"149",1414000,"Powiat nowodworski",1996,NA
"150",1415000,"Powiat ostrołęcki",1996,NA
"151",1416000,"Powiat ostrowski",1996,NA
"152",1417000,"Powiat otwocki",1996,NA
"153",1418000,"Powiat piaseczyński",1996,NA
"154",1419000,"Powiat płocki",1996,NA
"155",1420000,"Powiat płoński",1996,NA
"156",1421000,"Powiat pruszkowski",1996,NA
"157",1422000,"Powiat przasnyski",1996,NA
"158",1423000,"Powiat przysuski",1996,NA
"159",1424000,"Powiat pułtuski",1996,NA
"160",1425000,"Powiat radomski",1996,NA
"161",1426000,"Powiat siedlecki",1996,NA
"162",1427000,"Powiat sierpecki",1996,NA
"163",1428000,"Powiat sochaczewski",1996,NA
"164",1429000,"Powiat sokołowski",1996,NA
"165",1430000,"Powiat szydłowiecki",1996,NA
"166",1431000,"Powiat warszawski",1996,NA
"167",1432000,"Powiat warszawski zachodni",1996,NA
"168",1433000,"Powiat węgrowski",1996,NA
"169",1434000,"Powiat wołomiński",1996,NA
"170",1435000,"Powiat wyszkowski",1996,NA
"171",1436000,"Powiat zwoleński",1996,NA
"172",1437000,"Powiat żuromiński",1996,NA
"173",1438000,"Powiat żyrardowski",1996,NA
"174",1461000,"Powiat m.Ostrołęka",1996,NA
"175",1462000,"Powiat m.Płock",1996,NA
"176",1463000,"Powiat m.Radom",1996,NA
"177",1464000,"Powiat m.Siedlce",1996,NA
"178",1465000,"Powiat m. st. Warszawa",1996,NA
"179",1601000,"Powiat brzeski",1996,NA
"180",1602000,"Powiat głubczycki",1996,NA
"181",1603000,"Powiat kędzierzyńsko-kozielski",1996,NA
"182",1604000,"Powiat kluczborski",1996,NA
"183",1605000,"Powiat krapkowicki",1996,NA
"184",1606000,"Powiat namysłowski",1996,NA
"185",1607000,"Powiat nyski",1996,NA
"186",1608000,"Powiat oleski",1996,NA
"187",1609000,"Powiat opolski",1996,NA
"188",1610000,"Powiat prudnicki",1996,NA
"189",1611000,"Powiat strzelecki",1996,NA
"190",1661000,"Powiat m.Opole",1996,NA
"191",1801000,"Powiat bieszczadzki",1996,NA
"192",1802000,"Powiat brzozowski",1996,NA
"193",1803000,"Powiat dębicki",1996,NA
"194",1804000,"Powiat jarosławski",1996,NA
"195",1805000,"Powiat jasielski",1996,NA
"196",1806000,"Powiat kolbuszowski",1996,NA
"197",1807000,"Powiat krośnieński",1996,NA
"198",1808000,"Powiat leżajski",1996,NA
"199",1809000,"Powiat lubaczowski",1996,NA
"200",1810000,"Powiat łańcucki",1996,NA
"201",1811000,"Powiat mielecki",1996,NA
"202",1812000,"Powiat niżański",1996,NA
"203",1813000,"Powiat przemyski",1996,NA
"204",1814000,"Powiat przeworski",1996,NA
"205",1815000,"Powiat ropczycko-sędziszowski",1996,NA
"206",1816000,"Powiat rzeszowski",1996,NA
"207",1817000,"Powiat sanocki",1996,NA
"208",1818000,"Powiat stalowowolski",1996,NA
"209",1819000,"Powiat strzyżowski",1996,NA
"210",1820000,"Powiat tarnobrzeski",1996,NA
"211",1821000,"Powiat leski",1996,NA
"212",1861000,"Powiat m.Krosno",1996,NA
"213",1862000,"Powiat m.Przemyśl",1996,NA
"214",1863000,"Powiat m.Rzeszów",1996,NA
"215",1864000,"Powiat m.Tarnobrzeg",1996,NA
"216",2001000,"Powiat augustowski",1996,NA
"217",2002000,"Powiat białostocki",1996,NA
"218",2003000,"Powiat bielski",1996,NA
"219",2004000,"Powiat grajewski",1996,NA
"220",2005000,"Powiat hajnowski",1996,NA
"221",2006000,"Powiat kolneński",1996,NA
"222",2007000,"Powiat łomżyński",1996,NA
"223",2008000,"Powiat moniecki",1996,NA
"224",2009000,"Powiat sejneński",1996,NA
"225",2010000,"Powiat siemiatycki",1996,NA
"226",2011000,"Powiat sokólski",1996,NA
"227",2012000,"Powiat suwalski",1996,NA
"228",2013000,"Powiat wysokomazowiecki",1996,NA
"229",2014000,"Powiat zambrowski",1996,NA
"230",2061000,"Powiat m.Białystok",1996,NA
"231",2062000,"Powiat m.Łomża",1996,NA
"232",2063000,"Powiat m.Suwałki",1996,NA
"233",2201000,"Powiat bytowski",1996,NA
"234",2202000,"Powiat chojnicki",1996,NA
"235",2203000,"Powiat człuchowski",1996,NA
"236",2204000,"Powiat gdański",1996,NA
"237",2205000,"Powiat kartuski",1996,NA
"238",2206000,"Powiat kościerski",1996,NA
"239",2207000,"Powiat kwidzyński",1996,NA
"240",2208000,"Powiat lęborski",1996,NA
"241",2209000,"Powiat malborski",1996,NA
"242",2210000,"Powiat nowodworski",1996,NA
"243",2211000,"Powiat pucki",1996,NA
"244",2212000,"Powiat słupski",1996,NA
"245",2213000,"Powiat starogardzki",1996,NA
"246",2214000,"Powiat tczewski",1996,NA
"247",2215000,"Powiat wejherowski",1996,NA
"248",2216000,"Powiat sztumski",1996,NA
"249",2261000,"Powiat m.Gdańsk",1996,NA
"250",2262000,"Powiat m.Gdynia",1996,NA
"251",2263000,"Powiat m.Słupsk",1996,NA
"252",2264000,"Powiat m.Sopot",1996,NA
"253",2401000,"Powiat będziński",1996,NA
"254",2402000,"Powiat bielski",1996,NA
"255",2403000,"Powiat cieszyński",1996,NA
"256",2404000,"Powiat częstochowski",1996,NA
"257",2405000,"Powiat gliwicki",1996,NA
"258",2406000,"Powiat kłobucki",1996,NA
"259",2407000,"Powiat lubliniecki",1996,NA
"260",2408000,"Powiat mikołowski",1996,NA
"261",2409000,"Powiat myszkowski",1996,NA
"262",2410000,"Powiat pszczyński",1996,NA
"263",2411000,"Powiat raciborski",1996,NA
"264",2412000,"Powiat rybnicki",1996,NA
"265",2413000,"Powiat tarnogórski",1996,NA
"266",2414000,"Powiat bieruńsko-lędziński",1996,NA
"267",2415000,"Powiat wodzisławski",1996,NA
"268",2416000,"Powiat zawierciański",1996,NA
"269",2417000,"Powiat żywiecki",1996,NA
"270",2461000,"Powiat m.Bielsko-Biała",1996,NA
"271",2462000,"Powiat m.Bytom",1996,NA
