"","Kod","Nazwa","rok","WYPADKI_DROGOWE_CTAB_ofiary_smiertelne_na_100_tys_ludnosci_osoba"
"13807",1212000,"Powiat olkuski",2002,NA
"13808",1213000,"Powiat oświęcimski",2002,NA
"13809",1214000,"Powiat proszowicki",2002,NA
"13810",1215000,"Powiat suski",2002,NA
"13811",1216000,"Powiat tarnowski",2002,NA
"13812",1217000,"Powiat tatrzański",2002,NA
"13813",1218000,"Powiat wadowicki",2002,NA
"13814",1219000,"Powiat wielicki",2002,NA
"13815",1261000,"Powiat m.Kraków",2002,NA
"13816",1262000,"Powiat m.Nowy Sącz",2002,NA
"13817",1263000,"Powiat m.Tarnów",2002,NA
"13818",1401000,"Powiat białobrzeski",2002,NA
"13819",1402000,"Powiat ciechanowski",2002,NA
"13820",1403000,"Powiat garwoliński",2002,NA
"13821",1404000,"Powiat gostyniński",2002,NA
"13822",1405000,"Powiat grodziski",2002,NA
"13823",1406000,"Powiat grójecki",2002,NA
"13824",1407000,"Powiat kozienicki",2002,NA
"13825",1408000,"Powiat legionowski",2002,NA
"13826",1409000,"Powiat lipski",2002,NA
"13827",1410000,"Powiat łosicki",2002,NA
"13828",1411000,"Powiat makowski",2002,NA
"13829",1412000,"Powiat miński",2002,NA
"13830",1413000,"Powiat mławski",2002,NA
"13831",1414000,"Powiat nowodworski",2002,NA
"13832",1415000,"Powiat ostrołęcki",2002,NA
"13833",1416000,"Powiat ostrowski",2002,NA
"13834",1417000,"Powiat otwocki",2002,NA
"13835",1418000,"Powiat piaseczyński",2002,NA
"13836",1419000,"Powiat płocki",2002,NA
"13837",1420000,"Powiat płoński",2002,NA
"13838",1421000,"Powiat pruszkowski",2002,NA
"13839",1422000,"Powiat przasnyski",2002,NA
"13840",1423000,"Powiat przysuski",2002,NA
"13841",1424000,"Powiat pułtuski",2002,NA
"13842",1425000,"Powiat radomski",2002,NA
"13843",1426000,"Powiat siedlecki",2002,NA
"13844",1427000,"Powiat sierpecki",2002,NA
"13845",1428000,"Powiat sochaczewski",2002,NA
"13846",1429000,"Powiat sokołowski",2002,NA
"13847",1430000,"Powiat szydłowiecki",2002,NA
"13848",1432000,"Powiat warszawski zachodni",2002,NA
"13849",1433000,"Powiat węgrowski",2002,NA
"13850",1434000,"Powiat wołomiński",2002,NA
"13851",1435000,"Powiat wyszkowski",2002,NA
"13852",1436000,"Powiat zwoleński",2002,NA
"13853",1437000,"Powiat żuromiński",2002,NA
"13854",1438000,"Powiat żyrardowski",2002,NA
"13855",1461000,"Powiat m.Ostrołęka",2002,NA
"13856",1462000,"Powiat m.Płock",2002,NA
"13857",1463000,"Powiat m.Radom",2002,NA
"13858",1464000,"Powiat m.Siedlce",2002,NA
