"","Kod","Nazwa","rok","ZASOBY_MIESZKANIOWE_przecietna_liczba_osob_na_1_izbe"
"34328",1213000,"Powiat oświęcimski",2002,NA
"34329",1214000,"Powiat proszowicki",2002,NA
"34330",1215000,"Powiat suski",2002,NA
"34331",1216000,"Powiat tarnowski",2002,NA
"34332",1217000,"Powiat tatrzański",2002,NA
"34333",1218000,"Powiat wadowicki",2002,NA
"34334",1219000,"Powiat wielicki",2002,NA
"34335",1261000,"Powiat m.Kraków",2002,NA
"34336",1262000,"Powiat m.Nowy Sącz",2002,NA
"34337",1263000,"Powiat m.Tarnów",2002,NA
"34338",1401000,"Powiat białobrzeski",2002,NA
"34339",1402000,"Powiat ciechanowski",2002,NA
"34340",1403000,"Powiat garwoliński",2002,NA
"34341",1404000,"Powiat gostyniński",2002,NA
"34342",1405000,"Powiat grodziski",2002,NA
"34343",1406000,"Powiat grójecki",2002,NA
"34344",1407000,"Powiat kozienicki",2002,NA
"34345",1408000,"Powiat legionowski",2002,NA
"34346",1409000,"Powiat lipski",2002,NA
"34347",1410000,"Powiat łosicki",2002,NA
"34348",1411000,"Powiat makowski",2002,NA
"34349",1412000,"Powiat miński",2002,NA
"34350",1413000,"Powiat mławski",2002,NA
"34351",1414000,"Powiat nowodworski",2002,NA
"34352",1415000,"Powiat ostrołęcki",2002,NA
"34353",1416000,"Powiat ostrowski",2002,NA
"34354",1417000,"Powiat otwocki",2002,NA
"34355",1418000,"Powiat piaseczyński",2002,NA
"34356",1419000,"Powiat płocki",2002,NA
"34357",1420000,"Powiat płoński",2002,NA
"34358",1421000,"Powiat pruszkowski",2002,NA
"34359",1422000,"Powiat przasnyski",2002,NA
"34360",1423000,"Powiat przysuski",2002,NA
"34361",1424000,"Powiat pułtuski",2002,NA
"34362",1425000,"Powiat radomski",2002,NA
"34363",1426000,"Powiat siedlecki",2002,NA
"34364",1427000,"Powiat sierpecki",2002,NA
"34365",1428000,"Powiat sochaczewski",2002,NA
"34366",1429000,"Powiat sokołowski",2002,NA
"34367",1430000,"Powiat szydłowiecki",2002,NA
"34368",1432000,"Powiat warszawski zachodni",2002,NA
"34369",1433000,"Powiat węgrowski",2002,NA
"34370",1434000,"Powiat wołomiński",2002,NA
"34371",1435000,"Powiat wyszkowski",2002,NA
"34372",1436000,"Powiat zwoleński",2002,NA
"34373",1437000,"Powiat żuromiński",2002,NA
"34374",1438000,"Powiat żyrardowski",2002,NA
"34375",1461000,"Powiat m.Ostrołęka",2002,NA
"34376",1462000,"Powiat m.Płock",2002,NA
"34377",1463000,"Powiat m.Radom",2002,NA
"34378",1464000,"Powiat m.Siedlce",2002,NA
"34379",1465000,"Powiat m. st. Warszawa",2002,NA
"34380",1601000,"Powiat brzeski",2002,NA
"34381",1602000,"Powiat głubczycki",2002,NA
"34382",1603000,"Powiat kędzierzyńsko-kozielski",2002,NA
"34383",1604000,"Powiat kluczborski",2002,NA
"34384",1605000,"Powiat krapkowicki",2002,NA
"34385",1606000,"Powiat namysłowski",2002,NA
"34386",1607000,"Powiat nyski",2002,NA
"34387",1608000,"Powiat oleski",2002,NA
"34388",1609000,"Powiat opolski",2002,NA
"34389",1610000,"Powiat prudnicki",2002,NA
"34390",1611000,"Powiat strzelecki",2002,NA
"34391",1661000,"Powiat m.Opole",2002,NA
"34392",1801000,"Powiat bieszczadzki",2002,NA
"34393",1802000,"Powiat brzozowski",2002,NA
"34394",1803000,"Powiat dębicki",2002,NA
"34395",1804000,"Powiat jarosławski",2002,NA
"34396",1805000,"Powiat jasielski",2002,NA
"34397",1806000,"Powiat kolbuszowski",2002,NA
"34398",1807000,"Powiat krośnieński",2002,NA
"34399",1808000,"Powiat leżajski",2002,NA
"34400",1809000,"Powiat lubaczowski",2002,NA
"34401",1810000,"Powiat łańcucki",2002,NA
"34402",1811000,"Powiat mielecki",2002,NA
"34403",1812000,"Powiat niżański",2002,NA
"34404",1813000,"Powiat przemyski",2002,NA
"34405",1814000,"Powiat przeworski",2002,NA
"34406",1815000,"Powiat ropczycko-sędziszowski",2002,NA
"34407",1816000,"Powiat rzeszowski",2002,NA
"34408",1817000,"Powiat sanocki",2002,NA
"34409",1818000,"Powiat stalowowolski",2002,NA
"34410",1819000,"Powiat strzyżowski",2002,NA
"34411",1820000,"Powiat tarnobrzeski",2002,NA
"34412",1821000,"Powiat leski",2002,NA
"34413",1861000,"Powiat m.Krosno",2002,NA
"34414",1862000,"Powiat m.Przemyśl",2002,NA
"34415",1863000,"Powiat m.Rzeszów",2002,NA
"34416",1864000,"Powiat m.Tarnobrzeg",2002,NA
"34417",2001000,"Powiat augustowski",2002,NA
"34418",2002000,"Powiat białostocki",2002,NA
"34419",2003000,"Powiat bielski",2002,NA
"34420",2004000,"Powiat grajewski",2002,NA
"34421",2005000,"Powiat hajnowski",2002,NA
"34422",2006000,"Powiat kolneński",2002,NA
"34423",2007000,"Powiat łomżyński",2002,NA
"34424",2008000,"Powiat moniecki",2002,NA
"34425",2009000,"Powiat sejneński",2002,NA
"34426",2010000,"Powiat siemiatycki",2002,NA
"34427",2011000,"Powiat sokólski",2002,NA
"34428",2012000,"Powiat suwalski",2002,NA
"34429",2013000,"Powiat wysokomazowiecki",2002,NA
"34430",2014000,"Powiat zambrowski",2002,NA
"34431",2061000,"Powiat m.Białystok",2002,NA
"34432",2062000,"Powiat m.Łomża",2002,NA
"34433",2063000,"Powiat m.Suwałki",2002,NA
"34434",2201000,"Powiat bytowski",2002,NA
"34435",2202000,"Powiat chojnicki",2002,NA
"34436",2203000,"Powiat człuchowski",2002,NA
"34437",2204000,"Powiat gdański",2002,NA
"34438",2205000,"Powiat kartuski",2002,NA
"34439",2206000,"Powiat kościerski",2002,NA
"34440",2207000,"Powiat kwidzyński",2002,NA
"34441",2208000,"Powiat lęborski",2002,NA
"34442",2209000,"Powiat malborski",2002,NA
"34443",2210000,"Powiat nowodworski",2002,NA
"34444",2211000,"Powiat pucki",2002,NA
"34445",2212000,"Powiat słupski",2002,NA
"34446",2213000,"Powiat starogardzki",2002,NA
"34447",2214000,"Powiat tczewski",2002,NA
"34448",2215000,"Powiat wejherowski",2002,NA
"34449",2216000,"Powiat sztumski",2002,NA
"34450",2261000,"Powiat m.Gdańsk",2002,NA
"34451",2262000,"Powiat m.Gdynia",2002,NA
"34452",2263000,"Powiat m.Słupsk",2002,NA
"34453",2264000,"Powiat m.Sopot",2002,NA
"34454",2401000,"Powiat będziński",2002,NA
"34455",2402000,"Powiat bielski",2002,NA
"34456",2403000,"Powiat cieszyński",2002,NA
"34457",2404000,"Powiat częstochowski",2002,NA
"34458",2405000,"Powiat gliwicki",2002,NA
"34459",2406000,"Powiat kłobucki",2002,NA
"34460",2407000,"Powiat lubliniecki",2002,NA
"34461",2408000,"Powiat mikołowski",2002,NA
"34462",2409000,"Powiat myszkowski",2002,NA
"34463",2410000,"Powiat pszczyński",2002,NA
"34464",2411000,"Powiat raciborski",2002,NA
"34465",2412000,"Powiat rybnicki",2002,NA
"34466",2413000,"Powiat tarnogórski",2002,NA
"34467",2414000,"Powiat bieruńsko-lędziński",2002,NA
"34468",2415000,"Powiat wodzisławski",2002,NA
"34469",2416000,"Powiat zawierciański",2002,NA
"34470",2417000,"Powiat żywiecki",2002,NA
"34471",2461000,"Powiat m.Bielsko-Biała",2002,NA
"34472",2462000,"Powiat m.Bytom",2002,NA
"34473",2463000,"Powiat m.Chorzów",2002,NA
"34474",2464000,"Powiat m.Częstochowa",2002,NA
"34475",2465000,"Powiat m.Dąbrowa Górnicza",2002,NA
"34476",2466000,"Powiat m.Gliwice",2002,NA
"34477",2467000,"Powiat m.Jastrzębie-Zdrój",2002,NA
"34478",2468000,"Powiat m.Jaworzno",2002,NA
"34479",2469000,"Powiat m.Katowice",2002,NA
"34480",2470000,"Powiat m.Mysłowice",2002,NA
"34481",2471000,"Powiat m.Piekary Śląskie",2002,NA
"34482",2472000,"Powiat m.Ruda Śląska",2002,NA
"34483",2473000,"Powiat m.Rybnik",2002,NA
"34484",2474000,"Powiat m.Siemianowice Śląskie",2002,NA
"34485",2475000,"Powiat m.Sosnowiec",2002,NA
"34486",2476000,"Powiat m.Świętochłowice",2002,NA
"34487",2477000,"Powiat m.Tychy",2002,NA
"34488",2478000,"Powiat m.Zabrze",2002,NA
"34489",2479000,"Powiat m.Żory",2002,NA
"34490",2601000,"Powiat buski",2002,NA
"34491",2602000,"Powiat jędrzejowski",2002,NA
"34492",2603000,"Powiat kazimierski",2002,NA
"34493",2604000,"Powiat kielecki",2002,NA
"34494",2605000,"Powiat konecki",2002,NA
"34495",2606000,"Powiat opatowski",2002,NA
"34496",2607000,"Powiat ostrowiecki",2002,NA
"34497",2608000,"Powiat pińczowski",2002,NA
"34498",2609000,"Powiat sandomierski",2002,NA
"34499",2610000,"Powiat skarżyski",2002,NA
"34500",2611000,"Powiat starachowicki",2002,NA
"34501",2612000,"Powiat staszowski",2002,NA
"34502",2613000,"Powiat włoszczowski",2002,NA
"34503",2661000,"Powiat m.Kielce",2002,NA
"34504",2801000,"Powiat bartoszycki",2002,NA
"34505",2802000,"Powiat braniewski",2002,NA
"34506",2803000,"Powiat działdowski",2002,NA
"34507",2804000,"Powiat elbląski",2002,NA
"34508",2805000,"Powiat ełcki",2002,NA
"34509",2806000,"Powiat giżycki",2002,NA
"34510",2807000,"Powiat iławski",2002,NA
"34511",2808000,"Powiat kętrzyński",2002,NA
"34512",2809000,"Powiat lidzbarski",2002,NA
"34513",2810000,"Powiat mrągowski",2002,NA
"34514",2811000,"Powiat nidzicki",2002,NA
"34515",2812000,"Powiat nowomiejski",2002,NA
"34516",2813000,"Powiat olecki",2002,NA
"34517",2814000,"Powiat olsztyński",2002,NA
"34518",2815000,"Powiat ostródzki",2002,NA
"34519",2816000,"Powiat piski",2002,NA
"34520",2817000,"Powiat szczycieński",2002,NA
"34521",2818000,"Powiat gołdapski",2002,NA
"34522",2819000,"Powiat węgorzewski",2002,NA
"34523",2861000,"Powiat m.Elbląg",2002,NA
"34524",2862000,"Powiat m.Olsztyn",2002,NA
"34525",3001000,"Powiat chodzieski",2002,NA
"34526",3002000,"Powiat czarnkowsko-trzcianecki",2002,NA
"34527",3003000,"Powiat gnieźnieński",2002,NA
"34528",3004000,"Powiat gostyński",2002,NA
"34529",3005000,"Powiat grodziski",2002,NA
"34530",3006000,"Powiat jarociński",2002,NA
"34531",3007000,"Powiat kaliski",2002,NA
"34532",3008000,"Powiat kępiński",2002,NA
"34533",3009000,"Powiat kolski",2002,NA
"34534",3010000,"Powiat koniński",2002,NA
"34535",3011000,"Powiat kościański",2002,NA
"34536",3012000,"Powiat krotoszyński",2002,NA
"34537",3013000,"Powiat leszczyński",2002,NA
"34538",3014000,"Powiat międzychodzki",2002,NA
"34539",3015000,"Powiat nowotomyski",2002,NA
"34540",3016000,"Powiat obornicki",2002,NA
"34541",3017000,"Powiat ostrowski",2002,NA
