"","Kod","Nazwa","rok","TURYSTYCZNE_OBIEKTY_NOCLEGOWE_I_ICH_WYKORZYSTANIE_CTAB_udzielone_noclegi_turystom_zagranicznym_w_turystycznych_obiektach_noclegowych_na_10_tys_mieszkancow_ogolem"
"68708",1212000,"Powiat olkuski",2002,192
"68709",1213000,"Powiat oświęcimski",2002,2336
"68710",1214000,"Powiat proszowicki",2002,32
"68711",1215000,"Powiat suski",2002,380
"68712",1216000,"Powiat tarnowski",2002,94
"68713",1217000,"Powiat tatrzański",2002,24139
"68714",1218000,"Powiat wadowicki",2002,510
"68715",1219000,"Powiat wielicki",2002,147
"68716",1261000,"Powiat m.Kraków",2002,11656
"68717",1262000,"Powiat m.Nowy Sącz",2002,489
"68718",1263000,"Powiat m.Tarnów",2002,1340
"68719",1401000,"Powiat białobrzeski",2002,21
"68720",1402000,"Powiat ciechanowski",2002,303
"68721",1403000,"Powiat garwoliński",2002,118
"68722",1404000,"Powiat gostyniński",2002,53
"68723",1405000,"Powiat grodziski",2002,258
"68724",1406000,"Powiat grójecki",2002,325
"68725",1407000,"Powiat kozienicki",2002,154
"68726",1408000,"Powiat legionowski",2002,564
"68727",1409000,"Powiat lipski",2002,0
"68728",1410000,"Powiat łosicki",2002,0
"68729",1411000,"Powiat makowski",2002,150
"68730",1412000,"Powiat miński",2002,390
"68731",1413000,"Powiat mławski",2002,184
"68732",1414000,"Powiat nowodworski",2002,26
"68733",1415000,"Powiat ostrołęcki",2002,0
"68734",1416000,"Powiat ostrowski",2002,137
"68735",1417000,"Powiat otwocki",2002,255
"68736",1418000,"Powiat piaseczyński",2002,865
"68737",1419000,"Powiat płocki",2002,35
"68738",1420000,"Powiat płoński",2002,211
"68739",1421000,"Powiat pruszkowski",2002,258
"68740",1422000,"Powiat przasnyski",2002,0
"68741",1423000,"Powiat przysuski",2002,34
"68742",1424000,"Powiat pułtuski",2002,1139
"68743",1425000,"Powiat radomski",2002,64
"68744",1426000,"Powiat siedlecki",2002,237
"68745",1427000,"Powiat sierpecki",2002,104
"68746",1428000,"Powiat sochaczewski",2002,337
"68747",1429000,"Powiat sokołowski",2002,17
"68748",1430000,"Powiat szydłowiecki",2002,162
"68749",1432000,"Powiat warszawski zachodni",2002,119
"68750",1433000,"Powiat węgrowski",2002,337
"68751",1434000,"Powiat wołomiński",2002,104
"68752",1435000,"Powiat wyszkowski",2002,512
"68753",1436000,"Powiat zwoleński",2002,0
"68754",1437000,"Powiat żuromiński",2002,0
"68755",1438000,"Powiat żyrardowski",2002,346
"68756",1461000,"Powiat m.Ostrołęka",2002,447
"68757",1462000,"Powiat m.Płock",2002,838
"68758",1463000,"Powiat m.Radom",2002,361
"68759",1464000,"Powiat m.Siedlce",2002,372
