"","Kod","Nazwa","rok","TURYSTYCZNE_OBIEKTY_NOCLEGOWE_I_ICH_WYKORZYSTANIE_CTAB_udzielone_noclegi_turystom_zagranicznym_w_turystycznych_obiektach_noclegowych_na_10_tys_mieszkancow_ogolem"
"69794",617000,"Powiat świdnicki",2005,177
"69795",618000,"Powiat tomaszowski",2005,319
"69796",619000,"Powiat włodawski",2005,88
"69797",620000,"Powiat zamojski",2005,150
"69798",661000,"Powiat m.Biała Podlaska",2005,2315
"69799",662000,"Powiat m.Chełm",2005,632
"69800",663000,"Powiat m.Lublin",2005,1906
"69801",664000,"Powiat m.Zamość",2005,2427
"69802",801000,"Powiat gorzowski",2005,1569
"69803",802000,"Powiat krośnieński",2005,2184
"69804",803000,"Powiat międzyrzecki",2005,1732
"69805",804000,"Powiat nowosolski",2005,345
"69806",805000,"Powiat słubicki",2005,15395
"69807",806000,"Powiat strzelecko-drezdenecki",2005,402
"69808",807000,"Powiat sulęciński",2005,6274
"69809",808000,"Powiat świebodziński",2005,4247
"69810",809000,"Powiat zielonogórski",2005,1471
"69811",810000,"Powiat żagański",2005,637
"69812",811000,"Powiat żarski",2005,1403
"69813",812000,"Powiat wschowski",2005,519
"69814",861000,"Powiat m.Gorzów Wielkopolski",2005,2296
"69815",862000,"Powiat m.Zielona Góra",2005,1822
"69816",1001000,"Powiat bełchatowski",2005,683
"69817",1002000,"Powiat kutnowski",2005,394
"69818",1003000,"Powiat łaski",2005,9
"69819",1004000,"Powiat łęczycki",2005,22
"69820",1005000,"Powiat łowicki",2005,188
"69821",1006000,"Powiat łódzki wschodni",2005,685
"69822",1007000,"Powiat opoczyński",2005,497
"69823",1008000,"Powiat pabianicki",2005,360
"69824",1009000,"Powiat pajęczański",2005,0
"69825",1010000,"Powiat piotrkowski",2005,720
"69826",1011000,"Powiat poddębicki",2005,312
"69827",1012000,"Powiat radomszczański",2005,605
"69828",1013000,"Powiat rawski",2005,221
"69829",1014000,"Powiat sieradzki",2005,169
"69830",1015000,"Powiat skierniewicki",2005,37
"69831",1016000,"Powiat tomaszowski",2005,1004
"69832",1017000,"Powiat wieluński",2005,492
"69833",1018000,"Powiat wieruszowski",2005,684
"69834",1019000,"Powiat zduńskowolski",2005,219
"69835",1020000,"Powiat zgierski",2005,362
"69836",1021000,"Powiat brzeziński",2005,24
"69837",1061000,"Powiat m.Łódź",2005,1555
"69838",1062000,"Powiat m.Piotrków Trybunalski",2005,360
"69839",1063000,"Powiat m.Skierniewice",2005,640
"69840",1201000,"Powiat bocheński",2005,1197
"69841",1202000,"Powiat brzeski",2005,296
"69842",1203000,"Powiat chrzanowski",2005,141
"69843",1204000,"Powiat dąbrowski",2005,1
"69844",1205000,"Powiat gorlicki",2005,355
"69845",1206000,"Powiat krakowski",2005,1093
"69846",1207000,"Powiat limanowski",2005,167
"69847",1208000,"Powiat miechowski",2005,176
"69848",1209000,"Powiat myślenicki",2005,203
"69849",1210000,"Powiat nowosądecki",2005,1523
"69850",1211000,"Powiat nowotarski",2005,620
"69851",1212000,"Powiat olkuski",2005,290
"69852",1213000,"Powiat oświęcimski",2005,2537
"69853",1214000,"Powiat proszowicki",2005,1283
"69854",1215000,"Powiat suski",2005,812
"69855",1216000,"Powiat tarnowski",2005,67
"69856",1217000,"Powiat tatrzański",2005,33949
"69857",1218000,"Powiat wadowicki",2005,735
"69858",1219000,"Powiat wielicki",2005,628
"69859",1261000,"Powiat m.Kraków",2005,21289
"69860",1262000,"Powiat m.Nowy Sącz",2005,861
"69861",1263000,"Powiat m.Tarnów",2005,1047
"69862",1401000,"Powiat białobrzeski",2005,93
"69863",1402000,"Powiat ciechanowski",2005,392
"69864",1403000,"Powiat garwoliński",2005,174
"69865",1404000,"Powiat gostyniński",2005,24
"69866",1405000,"Powiat grodziski",2005,225
"69867",1406000,"Powiat grójecki",2005,438
"69868",1407000,"Powiat kozienicki",2005,82
"69869",1408000,"Powiat legionowski",2005,760
"69870",1409000,"Powiat lipski",2005,73
"69871",1410000,"Powiat łosicki",2005,9
"69872",1411000,"Powiat makowski",2005,33
"69873",1412000,"Powiat miński",2005,176
"69874",1413000,"Powiat mławski",2005,114
"69875",1414000,"Powiat nowodworski",2005,1418
"69876",1415000,"Powiat ostrołęcki",2005,0
"69877",1416000,"Powiat ostrowski",2005,442
"69878",1417000,"Powiat otwocki",2005,172
"69879",1418000,"Powiat piaseczyński",2005,219
"69880",1419000,"Powiat płocki",2005,85
"69881",1420000,"Powiat płoński",2005,318
"69882",1421000,"Powiat pruszkowski",2005,491
"69883",1422000,"Powiat przasnyski",2005,711
"69884",1423000,"Powiat przysuski",2005,23
"69885",1424000,"Powiat pułtuski",2005,690
"69886",1425000,"Powiat radomski",2005,161
"69887",1426000,"Powiat siedlecki",2005,145
"69888",1427000,"Powiat sierpecki",2005,6
"69889",1428000,"Powiat sochaczewski",2005,433
"69890",1429000,"Powiat sokołowski",2005,26
"69891",1430000,"Powiat szydłowiecki",2005,337
"69892",1432000,"Powiat warszawski zachodni",2005,88
"69893",1433000,"Powiat węgrowski",2005,87
"69894",1434000,"Powiat wołomiński",2005,81
"69895",1435000,"Powiat wyszkowski",2005,542
"69896",1436000,"Powiat zwoleński",2005,0
"69897",1437000,"Powiat żuromiński",2005,3
"69898",1438000,"Powiat żyrardowski",2005,371
"69899",1461000,"Powiat m.Ostrołęka",2005,621
"69900",1462000,"Powiat m.Płock",2005,1366
"69901",1463000,"Powiat m.Radom",2005,431
"69902",1464000,"Powiat m.Siedlce",2005,237
"69903",1465000,"Powiat m. st. Warszawa",2005,8472
"69904",1601000,"Powiat brzeski",2005,222
"69905",1602000,"Powiat głubczycki",2005,561
"69906",1603000,"Powiat kędzierzyńsko-kozielski",2005,298
"69907",1604000,"Powiat kluczborski",2005,265
"69908",1605000,"Powiat krapkowicki",2005,1100
"69909",1606000,"Powiat namysłowski",2005,415
"69910",1607000,"Powiat nyski",2005,645
"69911",1608000,"Powiat oleski",2005,723
"69912",1609000,"Powiat opolski",2005,269
"69913",1610000,"Powiat prudnicki",2005,89
"69914",1611000,"Powiat strzelecki",2005,276
"69915",1661000,"Powiat m.Opole",2005,2555
"69916",1801000,"Powiat bieszczadzki",2005,2540
"69917",1802000,"Powiat brzozowski",2005,19
"69918",1803000,"Powiat dębicki",2005,177
"69919",1804000,"Powiat jarosławski",2005,427
"69920",1805000,"Powiat jasielski",2005,85
"69921",1806000,"Powiat kolbuszowski",2005,19
"69922",1807000,"Powiat krośnieński",2005,398
"69923",1808000,"Powiat leżajski",2005,202
"69924",1809000,"Powiat lubaczowski",2005,150
"69925",1810000,"Powiat łańcucki",2005,502
"69926",1811000,"Powiat mielecki",2005,558
"69927",1812000,"Powiat niżański",2005,59
"69928",1813000,"Powiat przemyski",2005,493
"69929",1814000,"Powiat przeworski",2005,70
"69930",1815000,"Powiat ropczycko-sędziszowski",2005,121
"69931",1816000,"Powiat rzeszowski",2005,620
"69932",1817000,"Powiat sanocki",2005,279
"69933",1818000,"Powiat stalowowolski",2005,798
"69934",1819000,"Powiat strzyżowski",2005,34
"69935",1820000,"Powiat tarnobrzeski",2005,321
"69936",1821000,"Powiat leski",2005,3031
"69937",1861000,"Powiat m.Krosno",2005,483
"69938",1862000,"Powiat m.Przemyśl",2005,2385
"69939",1863000,"Powiat m.Rzeszów",2005,2527
"69940",1864000,"Powiat m.Tarnobrzeg",2005,340
"69941",2001000,"Powiat augustowski",2005,2819
"69942",2002000,"Powiat białostocki",2005,787
"69943",2003000,"Powiat bielski",2005,205
"69944",2004000,"Powiat grajewski",2005,95
"69945",2005000,"Powiat hajnowski",2005,2268
"69946",2006000,"Powiat kolneński",2005,0
"69947",2007000,"Powiat łomżyński",2005,1352
"69948",2008000,"Powiat moniecki",2005,113
"69949",2009000,"Powiat sejneński",2005,226
"69950",2010000,"Powiat siemiatycki",2005,88
"69951",2011000,"Powiat sokólski",2005,125
"69952",2012000,"Powiat suwalski",2005,1106
"69953",2013000,"Powiat wysokomazowiecki",2005,20
"69954",2014000,"Powiat zambrowski",2005,3
"69955",2061000,"Powiat m.Białystok",2005,2287
"69956",2062000,"Powiat m.Łomża",2005,891
"69957",2063000,"Powiat m.Suwałki",2005,847
"69958",2201000,"Powiat bytowski",2005,640
"69959",2202000,"Powiat chojnicki",2005,834
"69960",2203000,"Powiat człuchowski",2005,430
"69961",2204000,"Powiat gdański",2005,658
"69962",2205000,"Powiat kartuski",2005,340
"69963",2206000,"Powiat kościerski",2005,202
"69964",2207000,"Powiat kwidzyński",2005,445
"69965",2208000,"Powiat lęborski",2005,6243
"69966",2209000,"Powiat malborski",2005,2797
"69967",2210000,"Powiat nowodworski",2005,2124
"69968",2211000,"Powiat pucki",2005,3733
"69969",2212000,"Powiat słupski",2005,4093
"69970",2213000,"Powiat starogardzki",2005,331
"69971",2214000,"Powiat tczewski",2005,343
"69972",2215000,"Powiat wejherowski",2005,1245
"69973",2216000,"Powiat sztumski",2005,12
"69974",2261000,"Powiat m.Gdańsk",2005,7526
"69975",2262000,"Powiat m.Gdynia",2005,3187
"69976",2263000,"Powiat m.Słupsk",2005,1123
"69977",2264000,"Powiat m.Sopot",2005,23191
"69978",2401000,"Powiat będziński",2005,555
"69979",2402000,"Powiat bielski",2005,1780
"69980",2403000,"Powiat cieszyński",2005,9330
"69981",2404000,"Powiat częstochowski",2005,359
"69982",2405000,"Powiat gliwicki",2005,640
"69983",2406000,"Powiat kłobucki",2005,13
"69984",2407000,"Powiat lubliniecki",2005,275
"69985",2408000,"Powiat mikołowski",2005,200
"69986",2409000,"Powiat myszkowski",2005,104
"69987",2410000,"Powiat pszczyński",2005,298
"69988",2411000,"Powiat raciborski",2005,1212
"69989",2412000,"Powiat rybnicki",2005,1
"69990",2413000,"Powiat tarnogórski",2005,276
"69991",2414000,"Powiat bieruńsko-lędziński",2005,55
"69992",2415000,"Powiat wodzisławski",2005,129
"69993",2416000,"Powiat zawierciański",2005,317
"69994",2417000,"Powiat żywiecki",2005,229
"69995",2461000,"Powiat m.Bielsko-Biała",2005,2404
"69996",2462000,"Powiat m.Bytom",2005,256
"69997",2463000,"Powiat m.Chorzów",2005,490
"69998",2464000,"Powiat m.Częstochowa",2005,2746
"69999",2465000,"Powiat m.Dąbrowa Górnicza",2005,38
"70000",2466000,"Powiat m.Gliwice",2005,2526
"70001",2467000,"Powiat m.Jastrzębie-Zdrój",2005,475
"70002",2468000,"Powiat m.Jaworzno",2005,436
"70003",2469000,"Powiat m.Katowice",2005,3648
"70004",2470000,"Powiat m.Mysłowice",2005,270
"70005",2471000,"Powiat m.Piekary Śląskie",2005,276
"70006",2472000,"Powiat m.Ruda Śląska",2005,35
"70007",2473000,"Powiat m.Rybnik",2005,803
"70008",2474000,"Powiat m.Siemianowice Śląskie",2005,70
"70009",2475000,"Powiat m.Sosnowiec",2005,1107
"70010",2476000,"Powiat m.Świętochłowice",2005,0
"70011",2477000,"Powiat m.Tychy",2005,1459
"70012",2478000,"Powiat m.Zabrze",2005,1399
"70013",2479000,"Powiat m.Żory",2005,552
"70014",2601000,"Powiat buski",2005,345
"70015",2602000,"Powiat jędrzejowski",2005,18
"70016",2603000,"Powiat kazimierski",2005,49
"70017",2604000,"Powiat kielecki",2005,314
"70018",2605000,"Powiat konecki",2005,69
"70019",2606000,"Powiat opatowski",2005,10
"70020",2607000,"Powiat ostrowiecki",2005,1261
"70021",2608000,"Powiat pińczowski",2005,135
"70022",2609000,"Powiat sandomierski",2005,1077
"70023",2610000,"Powiat skarżyski",2005,159
"70024",2611000,"Powiat starachowicki",2005,295
"70025",2612000,"Powiat staszowski",2005,231
"70026",2613000,"Powiat włoszczowski",2005,18
"70027",2661000,"Powiat m.Kielce",2005,808
"70028",2801000,"Powiat bartoszycki",2005,290
"70029",2802000,"Powiat braniewski",2005,2162
"70030",2803000,"Powiat działdowski",2005,346
"70031",2804000,"Powiat elbląski",2005,1156
"70032",2805000,"Powiat ełcki",2005,861
"70033",2806000,"Powiat giżycki",2005,7037
"70034",2807000,"Powiat iławski",2005,542
"70035",2808000,"Powiat kętrzyński",2005,1726
"70036",2809000,"Powiat lidzbarski",2005,1235
"70037",2810000,"Powiat mrągowski",2005,48235
"70038",2811000,"Powiat nidzicki",2005,350
"70039",2812000,"Powiat nowomiejski",2005,36
"70040",2813000,"Powiat olecki",2005,291
"70041",2814000,"Powiat olsztyński",2005,1108
"70042",2815000,"Powiat ostródzki",2005,3675
"70043",2816000,"Powiat piski",2005,645
"70044",2817000,"Powiat szczycieński",2005,528
"70045",2818000,"Powiat gołdapski",2005,601
"70046",2819000,"Powiat węgorzewski",2005,1536
"70047",2861000,"Powiat m.Elbląg",2005,2474
"70048",2862000,"Powiat m.Olsztyn",2005,4272
"70049",3001000,"Powiat chodzieski",2005,475
"70050",3002000,"Powiat czarnkowsko-trzcianecki",2005,297
"70051",3003000,"Powiat gnieźnieński",2005,966
"70052",3004000,"Powiat gostyński",2005,292
"70053",3005000,"Powiat grodziski",2005,313
"70054",3006000,"Powiat jarociński",2005,235
"70055",3007000,"Powiat kaliski",2005,92
"70056",3008000,"Powiat kępiński",2005,171
"70057",3009000,"Powiat kolski",2005,225
"70058",3010000,"Powiat koniński",2005,852
"70059",3011000,"Powiat kościański",2005,279
"70060",3012000,"Powiat krotoszyński",2005,409
"70061",3013000,"Powiat leszczyński",2005,949
"70062",3014000,"Powiat międzychodzki",2005,580
"70063",3015000,"Powiat nowotomyski",2005,626
"70064",3016000,"Powiat obornicki",2005,434
"70065",3017000,"Powiat ostrowski",2005,684
"70066",3018000,"Powiat ostrzeszowski",2005,337
"70067",3019000,"Powiat pilski",2005,1950
"70068",3020000,"Powiat pleszewski",2005,232
"70069",3021000,"Powiat poznański",2005,1058
"70070",3022000,"Powiat rawicki",2005,35
"70071",3023000,"Powiat słupecki",2005,435
"70072",3024000,"Powiat szamotulski",2005,696
"70073",3025000,"Powiat średzki",2005,147
"70074",3026000,"Powiat śremski",2005,47
"70075",3027000,"Powiat turecki",2005,88
"70076",3028000,"Powiat wągrowiecki",2005,537
"70077",3029000,"Powiat wolsztyński",2005,1077
"70078",3030000,"Powiat wrzesiński",2005,522
"70079",3031000,"Powiat złotowski",2005,416
"70080",3061000,"Powiat m.Kalisz",2005,1084
"70081",3062000,"Powiat m.Konin",2005,1219
"70082",3063000,"Powiat m.Leszno",2005,1209
"70083",3064000,"Powiat m.Poznań",2005,5125
"70084",3201000,"Powiat białogardzki",2005,719
"70085",3202000,"Powiat choszczeński",2005,17
"70086",3203000,"Powiat drawski",2005,1511
"70087",3204000,"Powiat goleniowski",2005,327
"70088",3205000,"Powiat gryficki",2005,24147
"70089",3206000,"Powiat gryfiński",2005,1743
"70090",3207000,"Powiat kamieński",2005,46766
"70091",3208000,"Powiat kołobrzeski",2005,135336
"70092",3209000,"Powiat koszaliński",2005,16655
"70093",3210000,"Powiat myśliborski",2005,1707
"70094",3211000,"Powiat policki",2005,724
"70095",3212000,"Powiat pyrzycki",2005,244
"70096",3213000,"Powiat sławieński",2005,6349
"70097",3214000,"Powiat stargardzki",2005,862
"70098",3215000,"Powiat szczecinecki",2005,905
"70099",3216000,"Powiat świdwiński",2005,2834
"70100",3217000,"Powiat wałecki",2005,1023
"70101",3218000,"Powiat łobeski",2005,0
"70102",3261000,"Powiat m.Koszalin",2005,979
"70103",3262000,"Powiat m.Szczecin",2005,8719
"70104",3263000,"Powiat m.Świnoujście",2005,64888
"70105",201000,"Powiat bolesławiecki",2006,3882
"70106",202000,"Powiat dzierżoniowski",2006,1248
"70107",203000,"Powiat głogowski",2006,863
"70108",204000,"Powiat górowski",2006,0
"70109",205000,"Powiat jaworski",2006,436
"70110",206000,"Powiat jeleniogórski",2006,27902
"70111",207000,"Powiat kamiennogórski",2006,200
"70112",208000,"Powiat kłodzki",2006,5493
"70113",209000,"Powiat legnicki",2006,680
"70114",210000,"Powiat lubański",2006,28899
"70115",211000,"Powiat lubiński",2006,425
"70116",212000,"Powiat lwówecki",2006,2555
"70117",213000,"Powiat milicki",2006,319
"70118",214000,"Powiat oleśnicki",2006,1619
"70119",215000,"Powiat oławski",2006,179
"70120",216000,"Powiat polkowicki",2006,903
"70121",217000,"Powiat strzeliński",2006,469
"70122",218000,"Powiat średzki",2006,209
"70123",219000,"Powiat świdnicki",2006,2054
"70124",220000,"Powiat trzebnicki",2006,209
"70125",221000,"Powiat wałbrzyski",2006,1405
"70126",222000,"Powiat wołowski",2006,470
"70127",223000,"Powiat wrocławski",2006,434
"70128",224000,"Powiat ząbkowicki",2006,58
"70129",225000,"Powiat zgorzelecki",2006,3233
"70130",226000,"Powiat złotoryjski",2006,3172
"70131",261000,"Powiat m.Jelenia Góra",2006,10558
"70132",262000,"Powiat m.Legnica",2006,3274
"70133",263000,"Powiat m.Wałbrzych do 2002",2006,NA
"70134",264000,"Powiat m.Wrocław",2006,7474
"70135",265000,"Powiat m.Wałbrzych od 2013",2006,NA
"70136",401000,"Powiat aleksandrowski",2006,3328
"70137",402000,"Powiat brodnicki",2006,393
"70138",403000,"Powiat bydgoski",2006,396
"70139",404000,"Powiat chełmiński",2006,527
"70140",405000,"Powiat golubsko-dobrzyński",2006,41
"70141",406000,"Powiat grudziądzki",2006,24
"70142",407000,"Powiat inowrocławski",2006,269
"70143",408000,"Powiat lipnowski",2006,122
"70144",409000,"Powiat mogileński",2006,19
"70145",410000,"Powiat nakielski",2006,58
"70146",411000,"Powiat radziejowski",2006,0
"70147",412000,"Powiat rypiński",2006,0
"70148",413000,"Powiat sępoleński",2006,380
"70149",414000,"Powiat świecki",2006,328
"70150",415000,"Powiat toruński",2006,209
"70151",416000,"Powiat tucholski",2006,91
"70152",417000,"Powiat wąbrzeski",2006,75
"70153",418000,"Powiat włocławski",2006,56
"70154",419000,"Powiat żniński",2006,345
"70155",461000,"Powiat m.Bydgoszcz",2006,848
"70156",462000,"Powiat m.Grudziądz",2006,537
"70157",463000,"Powiat m.Toruń",2006,3946
"70158",464000,"Powiat m.Włocławek",2006,771
"70159",601000,"Powiat bialski",2006,1521
"70160",602000,"Powiat biłgorajski",2006,100
"70161",603000,"Powiat chełmski",2006,295
"70162",604000,"Powiat hrubieszowski",2006,72
"70163",605000,"Powiat janowski",2006,84
"70164",606000,"Powiat krasnostawski",2006,135
"70165",607000,"Powiat kraśnicki",2006,78
"70166",608000,"Powiat lubartowski",2006,40
"70167",609000,"Powiat lubelski",2006,67
"70168",610000,"Powiat łęczyński",2006,3
"70169",611000,"Powiat łukowski",2006,19
"70170",612000,"Powiat opolski",2006,50
"70171",613000,"Powiat parczewski",2006,42
"70172",614000,"Powiat puławski",2006,1048
"70173",615000,"Powiat radzyński",2006,97
"70174",616000,"Powiat rycki",2006,9
"70175",617000,"Powiat świdnicki",2006,128
"70176",618000,"Powiat tomaszowski",2006,307
"70177",619000,"Powiat włodawski",2006,85
"70178",620000,"Powiat zamojski",2006,156
"70179",661000,"Powiat m.Biała Podlaska",2006,2526
"70180",662000,"Powiat m.Chełm",2006,507
"70181",663000,"Powiat m.Lublin",2006,2126
"70182",664000,"Powiat m.Zamość",2006,2600
"70183",801000,"Powiat gorzowski",2006,1729
"70184",802000,"Powiat krośnieński",2006,1927
"70185",803000,"Powiat międzyrzecki",2006,1975
"70186",804000,"Powiat nowosolski",2006,326
"70187",805000,"Powiat słubicki",2006,16007
"70188",806000,"Powiat strzelecko-drezdenecki",2006,294
"70189",807000,"Powiat sulęciński",2006,8122
"70190",808000,"Powiat świebodziński",2006,4872
"70191",809000,"Powiat zielonogórski",2006,1439
"70192",810000,"Powiat żagański",2006,499
"70193",811000,"Powiat żarski",2006,1578
"70194",812000,"Powiat wschowski",2006,477
"70195",861000,"Powiat m.Gorzów Wielkopolski",2006,2341
"70196",862000,"Powiat m.Zielona Góra",2006,1981
"70197",1001000,"Powiat bełchatowski",2006,705
"70198",1002000,"Powiat kutnowski",2006,564
"70199",1003000,"Powiat łaski",2006,6
"70200",1004000,"Powiat łęczycki",2006,18
"70201",1005000,"Powiat łowicki",2006,305
"70202",1006000,"Powiat łódzki wschodni",2006,661
"70203",1007000,"Powiat opoczyński",2006,397
"70204",1008000,"Powiat pabianicki",2006,490
"70205",1009000,"Powiat pajęczański",2006,0
"70206",1010000,"Powiat piotrkowski",2006,895
"70207",1011000,"Powiat poddębicki",2006,687
"70208",1012000,"Powiat radomszczański",2006,423
"70209",1013000,"Powiat rawski",2006,298
"70210",1014000,"Powiat sieradzki",2006,191
"70211",1015000,"Powiat skierniewicki",2006,0
"70212",1016000,"Powiat tomaszowski",2006,932
"70213",1017000,"Powiat wieluński",2006,515
"70214",1018000,"Powiat wieruszowski",2006,576
"70215",1019000,"Powiat zduńskowolski",2006,326
"70216",1020000,"Powiat zgierski",2006,388
"70217",1021000,"Powiat brzeziński",2006,25
"70218",1061000,"Powiat m.Łódź",2006,1694
"70219",1062000,"Powiat m.Piotrków Trybunalski",2006,483
"70220",1063000,"Powiat m.Skierniewice",2006,744
"70221",1201000,"Powiat bocheński",2006,650
"70222",1202000,"Powiat brzeski",2006,1406
"70223",1203000,"Powiat chrzanowski",2006,106
"70224",1204000,"Powiat dąbrowski",2006,25
"70225",1205000,"Powiat gorlicki",2006,163
"70226",1206000,"Powiat krakowski",2006,1042
"70227",1207000,"Powiat limanowski",2006,215
"70228",1208000,"Powiat miechowski",2006,184
"70229",1209000,"Powiat myślenicki",2006,213
"70230",1210000,"Powiat nowosądecki",2006,1854
"70231",1211000,"Powiat nowotarski",2006,697
"70232",1212000,"Powiat olkuski",2006,230
"70233",1213000,"Powiat oświęcimski",2006,2400
"70234",1214000,"Powiat proszowicki",2006,1445
"70235",1215000,"Powiat suski",2006,456
"70236",1216000,"Powiat tarnowski",2006,93
"70237",1217000,"Powiat tatrzański",2006,35060
"70238",1218000,"Powiat wadowicki",2006,712
"70239",1219000,"Powiat wielicki",2006,1124
"70240",1261000,"Powiat m.Kraków",2006,22315
"70241",1262000,"Powiat m.Nowy Sącz",2006,959
"70242",1263000,"Powiat m.Tarnów",2006,1292
"70243",1401000,"Powiat białobrzeski",2006,25
"70244",1402000,"Powiat ciechanowski",2006,451
"70245",1403000,"Powiat garwoliński",2006,161
"70246",1404000,"Powiat gostyniński",2006,39
"70247",1405000,"Powiat grodziski",2006,188
"70248",1406000,"Powiat grójecki",2006,413
"70249",1407000,"Powiat kozienicki",2006,168
"70250",1408000,"Powiat legionowski",2006,631
"70251",1409000,"Powiat lipski",2006,12
"70252",1410000,"Powiat łosicki",2006,64
"70253",1411000,"Powiat makowski",2006,21
"70254",1412000,"Powiat miński",2006,317
"70255",1413000,"Powiat mławski",2006,148
"70256",1414000,"Powiat nowodworski",2006,262
"70257",1415000,"Powiat ostrołęcki",2006,0
"70258",1416000,"Powiat ostrowski",2006,522
"70259",1417000,"Powiat otwocki",2006,112
"70260",1418000,"Powiat piaseczyński",2006,112
"70261",1419000,"Powiat płocki",2006,125
"70262",1420000,"Powiat płoński",2006,351
"70263",1421000,"Powiat pruszkowski",2006,380
"70264",1422000,"Powiat przasnyski",2006,264
"70265",1423000,"Powiat przysuski",2006,6
"70266",1424000,"Powiat pułtuski",2006,1336
"70267",1425000,"Powiat radomski",2006,109
"70268",1426000,"Powiat siedlecki",2006,187
"70269",1427000,"Powiat sierpecki",2006,7
"70270",1428000,"Powiat sochaczewski",2006,600
"70271",1429000,"Powiat sokołowski",2006,51
"70272",1430000,"Powiat szydłowiecki",2006,267
"70273",1432000,"Powiat warszawski zachodni",2006,81
"70274",1433000,"Powiat węgrowski",2006,82
"70275",1434000,"Powiat wołomiński",2006,80
"70276",1435000,"Powiat wyszkowski",2006,613
"70277",1436000,"Powiat zwoleński",2006,0
"70278",1437000,"Powiat żuromiński",2006,3
"70279",1438000,"Powiat żyrardowski",2006,324
"70280",1461000,"Powiat m.Ostrołęka",2006,429
"70281",1462000,"Powiat m.Płock",2006,766
"70282",1463000,"Powiat m.Radom",2006,508
"70283",1464000,"Powiat m.Siedlce",2006,228
"70284",1465000,"Powiat m. st. Warszawa",2006,8121
"70285",1601000,"Powiat brzeski",2006,190
"70286",1602000,"Powiat głubczycki",2006,567
"70287",1603000,"Powiat kędzierzyńsko-kozielski",2006,475
"70288",1604000,"Powiat kluczborski",2006,575
"70289",1605000,"Powiat krapkowicki",2006,1506
"70290",1606000,"Powiat namysłowski",2006,981
"70291",1607000,"Powiat nyski",2006,601
"70292",1608000,"Powiat oleski",2006,731
"70293",1609000,"Powiat opolski",2006,300
"70294",1610000,"Powiat prudnicki",2006,105
"70295",1611000,"Powiat strzelecki",2006,337
"70296",1661000,"Powiat m.Opole",2006,2100
"70297",1801000,"Powiat bieszczadzki",2006,1270
"70298",1802000,"Powiat brzozowski",2006,32
"70299",1803000,"Powiat dębicki",2006,188
"70300",1804000,"Powiat jarosławski",2006,496
"70301",1805000,"Powiat jasielski",2006,79
"70302",1806000,"Powiat kolbuszowski",2006,24
"70303",1807000,"Powiat krośnieński",2006,228
"70304",1808000,"Powiat leżajski",2006,193
"70305",1809000,"Powiat lubaczowski",2006,184
"70306",1810000,"Powiat łańcucki",2006,507
"70307",1811000,"Powiat mielecki",2006,631
"70308",1812000,"Powiat niżański",2006,50
"70309",1813000,"Powiat przemyski",2006,412
"70310",1814000,"Powiat przeworski",2006,110
"70311",1815000,"Powiat ropczycko-sędziszowski",2006,190
"70312",1816000,"Powiat rzeszowski",2006,780
"70313",1817000,"Powiat sanocki",2006,409
"70314",1818000,"Powiat stalowowolski",2006,869
"70315",1819000,"Powiat strzyżowski",2006,70
"70316",1820000,"Powiat tarnobrzeski",2006,418
"70317",1821000,"Powiat leski",2006,2573
"70318",1861000,"Powiat m.Krosno",2006,546
"70319",1862000,"Powiat m.Przemyśl",2006,2295
"70320",1863000,"Powiat m.Rzeszów",2006,2571
"70321",1864000,"Powiat m.Tarnobrzeg",2006,364
"70322",2001000,"Powiat augustowski",2006,3117
"70323",2002000,"Powiat białostocki",2006,1150
"70324",2003000,"Powiat bielski",2006,277
"70325",2004000,"Powiat grajewski",2006,109
"70326",2005000,"Powiat hajnowski",2006,1605
"70327",2006000,"Powiat kolneński",2006,0
"70328",2007000,"Powiat łomżyński",2006,1013
"70329",2008000,"Powiat moniecki",2006,162
"70330",2009000,"Powiat sejneński",2006,260
"70331",2010000,"Powiat siemiatycki",2006,140
"70332",2011000,"Powiat sokólski",2006,129
"70333",2012000,"Powiat suwalski",2006,1063
"70334",2013000,"Powiat wysokomazowiecki",2006,22
"70335",2014000,"Powiat zambrowski",2006,4
"70336",2061000,"Powiat m.Białystok",2006,2128
"70337",2062000,"Powiat m.Łomża",2006,1065
"70338",2063000,"Powiat m.Suwałki",2006,976
"70339",2201000,"Powiat bytowski",2006,514
"70340",2202000,"Powiat chojnicki",2006,599
"70341",2203000,"Powiat człuchowski",2006,363
"70342",2204000,"Powiat gdański",2006,804
"70343",2205000,"Powiat kartuski",2006,414
"70344",2206000,"Powiat kościerski",2006,244
"70345",2207000,"Powiat kwidzyński",2006,305
"70346",2208000,"Powiat lęborski",2006,7008
"70347",2209000,"Powiat malborski",2006,2749
"70348",2210000,"Powiat nowodworski",2006,3622
"70349",2211000,"Powiat pucki",2006,4720
"70350",2212000,"Powiat słupski",2006,2695
"70351",2213000,"Powiat starogardzki",2006,183
"70352",2214000,"Powiat tczewski",2006,345
"70353",2215000,"Powiat wejherowski",2006,1412
"70354",2216000,"Powiat sztumski",2006,8
"70355",2261000,"Powiat m.Gdańsk",2006,7989
"70356",2262000,"Powiat m.Gdynia",2006,3366
"70357",2263000,"Powiat m.Słupsk",2006,1183
"70358",2264000,"Powiat m.Sopot",2006,21100
"70359",2401000,"Powiat będziński",2006,623
"70360",2402000,"Powiat bielski",2006,2073
