"","Kod","Nazwa","rok","Kluby_sportowe_lacznie_z_klubami_wyznaniowymi_i_UKS_cwiczacy_ogolem_osoba"
"9271",1211000,"Powiat nowotarski",1999,NA
"9272",1212000,"Powiat olkuski",1999,NA
"9273",1213000,"Powiat oświęcimski",1999,NA
"9274",1214000,"Powiat proszowicki",1999,NA
"9275",1215000,"Powiat suski",1999,NA
"9276",1216000,"Powiat tarnowski",1999,NA
"9277",1217000,"Powiat tatrzański",1999,NA
"9278",1218000,"Powiat wadowicki",1999,NA
"9279",1219000,"Powiat wielicki",1999,NA
"9280",1261000,"Powiat m.Kraków",1999,NA
"9281",1262000,"Powiat m.Nowy Sącz",1999,NA
"9282",1263000,"Powiat m.Tarnów",1999,NA
"9283",1401000,"Powiat białobrzeski",1999,NA
"9284",1402000,"Powiat ciechanowski",1999,NA
"9285",1403000,"Powiat garwoliński",1999,NA
"9286",1404000,"Powiat gostyniński",1999,NA
"9287",1405000,"Powiat grodziski",1999,NA
"9288",1406000,"Powiat grójecki",1999,NA
"9289",1407000,"Powiat kozienicki",1999,NA
"9290",1408000,"Powiat legionowski",1999,NA
"9291",1409000,"Powiat lipski",1999,NA
"9292",1410000,"Powiat łosicki",1999,NA
"9293",1411000,"Powiat makowski",1999,NA
"9294",1412000,"Powiat miński",1999,NA
"9295",1413000,"Powiat mławski",1999,NA
"9296",1414000,"Powiat nowodworski",1999,NA
"9297",1415000,"Powiat ostrołęcki",1999,NA
"9298",1416000,"Powiat ostrowski",1999,NA
"9299",1417000,"Powiat otwocki",1999,NA
"9300",1418000,"Powiat piaseczyński",1999,NA
"9301",1419000,"Powiat płocki",1999,NA
"9302",1420000,"Powiat płoński",1999,NA
"9303",1421000,"Powiat pruszkowski",1999,NA
"9304",1422000,"Powiat przasnyski",1999,NA
"9305",1423000,"Powiat przysuski",1999,NA
"9306",1424000,"Powiat pułtuski",1999,NA
"9307",1425000,"Powiat radomski",1999,NA
"9308",1426000,"Powiat siedlecki",1999,NA
"9309",1427000,"Powiat sierpecki",1999,NA
"9310",1428000,"Powiat sochaczewski",1999,NA
"9311",1429000,"Powiat sokołowski",1999,NA
"9312",1430000,"Powiat szydłowiecki",1999,NA
"9313",1432000,"Powiat warszawski zachodni",1999,NA
"9314",1433000,"Powiat węgrowski",1999,NA
"9315",1434000,"Powiat wołomiński",1999,NA
"9316",1435000,"Powiat wyszkowski",1999,NA
"9317",1436000,"Powiat zwoleński",1999,NA
"9318",1437000,"Powiat żuromiński",1999,NA
"9319",1438000,"Powiat żyrardowski",1999,NA
"9320",1461000,"Powiat m.Ostrołęka",1999,NA
"9321",1462000,"Powiat m.Płock",1999,NA
"9322",1463000,"Powiat m.Radom",1999,NA
"9323",1464000,"Powiat m.Siedlce",1999,NA
"9324",1465000,"Powiat m. st. Warszawa",1999,NA
"9325",1601000,"Powiat brzeski",1999,NA
"9326",1602000,"Powiat głubczycki",1999,NA
"9327",1603000,"Powiat kędzierzyńsko-kozielski",1999,NA
"9328",1604000,"Powiat kluczborski",1999,NA
"9329",1605000,"Powiat krapkowicki",1999,NA
"9330",1606000,"Powiat namysłowski",1999,NA
"9331",1607000,"Powiat nyski",1999,NA
"9332",1608000,"Powiat oleski",1999,NA
"9333",1609000,"Powiat opolski",1999,NA
"9334",1610000,"Powiat prudnicki",1999,NA
"9335",1611000,"Powiat strzelecki",1999,NA
"9336",1661000,"Powiat m.Opole",1999,NA
"9337",1801000,"Powiat bieszczadzki",1999,NA
"9338",1802000,"Powiat brzozowski",1999,NA
"9339",1803000,"Powiat dębicki",1999,NA
"9340",1804000,"Powiat jarosławski",1999,NA
"9341",1805000,"Powiat jasielski",1999,NA
"9342",1806000,"Powiat kolbuszowski",1999,NA
"9343",1807000,"Powiat krośnieński",1999,NA
"9344",1808000,"Powiat leżajski",1999,NA
"9345",1809000,"Powiat lubaczowski",1999,NA
"9346",1810000,"Powiat łańcucki",1999,NA
"9347",1811000,"Powiat mielecki",1999,NA
"9348",1812000,"Powiat niżański",1999,NA
"9349",1813000,"Powiat przemyski",1999,NA
"9350",1814000,"Powiat przeworski",1999,NA
"9351",1815000,"Powiat ropczycko-sędziszowski",1999,NA
"9352",1816000,"Powiat rzeszowski",1999,NA
"9353",1817000,"Powiat sanocki",1999,NA
"9354",1818000,"Powiat stalowowolski",1999,NA
"9355",1819000,"Powiat strzyżowski",1999,NA
"9356",1820000,"Powiat tarnobrzeski",1999,NA
