"","Kod","Nazwa","rok","Budynki_mieszkalne_podaaczone_do_infrastruktury_technicznej_w_proc_ogolu_budynkow_mieszkalnych_ogolem_kanalizacja_proc"
"1643",1208000,"Powiat miechowski",2015,15.1
"1644",1209000,"Powiat myślenicki",2015,47.9
"1645",1210000,"Powiat nowosądecki",2015,34.6
"1646",1211000,"Powiat nowotarski",2015,56.5
"1647",1212000,"Powiat olkuski",2015,32.2
"1648",1213000,"Powiat oświęcimski",2015,42.1
"1649",1214000,"Powiat proszowicki",2015,29.2
"1650",1215000,"Powiat suski",2015,24
"1651",1216000,"Powiat tarnowski",2015,46.2
"1652",1217000,"Powiat tatrzański",2015,48.3
"1653",1218000,"Powiat wadowicki",2015,37.7
"1654",1219000,"Powiat wielicki",2015,37.6
"1655",1261000,"Powiat m.Kraków",2015,87.8
"1656",1262000,"Powiat m.Nowy Sącz",2015,81.6
"1657",1263000,"Powiat m.Tarnów",2015,89.8
"1658",1401000,"Powiat białobrzeski",2015,20.1
"1659",1402000,"Powiat ciechanowski",2015,39.7
"1660",1403000,"Powiat garwoliński",2015,34.2
"1661",1404000,"Powiat gostyniński",2015,24.5
"1662",1405000,"Powiat grodziski",2015,49.5
"1663",1406000,"Powiat grójecki",2015,25.5
"1664",1407000,"Powiat kozienicki",2015,46
"1665",1408000,"Powiat legionowski",2015,34.8
"1666",1409000,"Powiat lipski",2015,15.6
"1667",1410000,"Powiat łosicki",2015,37.5
"1668",1411000,"Powiat makowski",2015,16.4
"1669",1412000,"Powiat miński",2015,38.8
"1670",1413000,"Powiat mławski",2015,27.5
"1671",1414000,"Powiat nowodworski",2015,31.7
"1672",1415000,"Powiat ostrołęcki",2015,24
"1673",1416000,"Powiat ostrowski",2015,23.3
"1674",1417000,"Powiat otwocki",2015,45.1
"1675",1418000,"Powiat piaseczyński",2015,60.2
"1676",1419000,"Powiat płocki",2015,29.8
"1677",1420000,"Powiat płoński",2015,18.2
"1678",1421000,"Powiat pruszkowski",2015,71.1
"1679",1422000,"Powiat przasnyski",2015,41.4
"1680",1423000,"Powiat przysuski",2015,27.6
"1681",1424000,"Powiat pułtuski",2015,22.7
"1682",1425000,"Powiat radomski",2015,28.5
"1683",1426000,"Powiat siedlecki",2015,31.7
"1684",1427000,"Powiat sierpecki",2015,28.9
"1685",1428000,"Powiat sochaczewski",2015,31.6
"1686",1429000,"Powiat sokołowski",2015,21.9
"1687",1430000,"Powiat szydłowiecki",2015,15.8
"1688",1432000,"Powiat warszawski zachodni",2015,50.7
"1689",1433000,"Powiat węgrowski",2015,26.2
"1690",1434000,"Powiat wołomiński",2015,49.3
"1691",1435000,"Powiat wyszkowski",2015,34.1
"1692",1436000,"Powiat zwoleński",2015,21.8
"1693",1437000,"Powiat żuromiński",2015,22.8
"1694",1438000,"Powiat żyrardowski",2015,30.8
"1695",1461000,"Powiat m.Ostrołęka",2015,74.7
"1696",1462000,"Powiat m.Płock",2015,43.2
"1697",1463000,"Powiat m.Radom",2015,48.4
"1698",1464000,"Powiat m.Siedlce",2015,51.2
"1699",1465000,"Powiat m. st. Warszawa",2015,59.6
"1700",1601000,"Powiat brzeski",2015,66.9
"1701",1602000,"Powiat głubczycki",2015,39.3
"1702",1603000,"Powiat kędzierzyńsko-kozielski",2015,67.4
"1703",1604000,"Powiat kluczborski",2015,46.6
"1704",1605000,"Powiat krapkowicki",2015,56.1
"1705",1606000,"Powiat namysłowski",2015,43.9
"1706",1607000,"Powiat nyski",2015,52.7
"1707",1608000,"Powiat oleski",2015,36.5
"1708",1609000,"Powiat opolski",2015,70.5
"1709",1610000,"Powiat prudnicki",2015,32.4
"1710",1611000,"Powiat strzelecki",2015,69.4
"1711",1661000,"Powiat m.Opole",2015,89.8
"1712",1801000,"Powiat bieszczadzki",2015,24.3
"1713",1802000,"Powiat brzozowski",2015,50.5
"1714",1803000,"Powiat dębicki",2015,54.6
"1715",1804000,"Powiat jarosławski",2015,66.2
"1716",1805000,"Powiat jasielski",2015,50.3
"1717",1806000,"Powiat kolbuszowski",2015,49.1
"1718",1807000,"Powiat krośnieński",2015,69.2
"1719",1808000,"Powiat leżajski",2015,57.1
"1720",1809000,"Powiat lubaczowski",2015,67.2
"1721",1810000,"Powiat łańcucki",2015,81
"1722",1811000,"Powiat mielecki",2015,50.8
"1723",1812000,"Powiat niżański",2015,59.1
"1724",1813000,"Powiat przemyski",2015,60
"1725",1814000,"Powiat przeworski",2015,73.7
"1726",1815000,"Powiat ropczycko-sędziszowski",2015,40.8
"1727",1816000,"Powiat rzeszowski",2015,68.6
"1728",1817000,"Powiat sanocki",2015,65.7
"1729",1818000,"Powiat stalowowolski",2015,35.9
"1730",1819000,"Powiat strzyżowski",2015,26.4
"1731",1820000,"Powiat tarnobrzeski",2015,59.1
"1732",1821000,"Powiat leski",2015,42.9
"1733",1861000,"Powiat m.Krosno",2015,89.5
"1734",1862000,"Powiat m.Przemyśl",2015,69.7
"1735",1863000,"Powiat m.Rzeszów",2015,95.3
"1736",1864000,"Powiat m.Tarnobrzeg",2015,67.7
"1737",2001000,"Powiat augustowski",2015,42.6
"1738",2002000,"Powiat białostocki",2015,44.7
"1739",2003000,"Powiat bielski",2015,30.5
"1740",2004000,"Powiat grajewski",2015,37.4
"1741",2005000,"Powiat hajnowski",2015,45.2
"1742",2006000,"Powiat kolneński",2015,20.7
"1743",2007000,"Powiat łomżyński",2015,15.8
"1744",2008000,"Powiat moniecki",2015,32.5
"1745",2009000,"Powiat sejneński",2015,15.1
"1746",2010000,"Powiat siemiatycki",2015,19.4
"1747",2011000,"Powiat sokólski",2015,25.4
"1748",2012000,"Powiat suwalski",2015,24.5
"1749",2013000,"Powiat wysokomazowiecki",2015,23.6
"1750",2014000,"Powiat zambrowski",2015,26.9
"1751",2061000,"Powiat m.Białystok",2015,81.6
"1752",2062000,"Powiat m.Łomża",2015,70.3
"1753",2063000,"Powiat m.Suwałki",2015,69.9
"1754",2201000,"Powiat bytowski",2015,68.7
"1755",2202000,"Powiat chojnicki",2015,75.7
"1756",2203000,"Powiat człuchowski",2015,68.5
"1757",2204000,"Powiat gdański",2015,75.4
"1758",2205000,"Powiat kartuski",2015,49.1
"1759",2206000,"Powiat kościerski",2015,67.2
"1760",2207000,"Powiat kwidzyński",2015,62.9
"1761",2208000,"Powiat lęborski",2015,56.5
"1762",2209000,"Powiat malborski",2015,71.6
"1763",2210000,"Powiat nowodworski",2015,66.4
"1764",2211000,"Powiat pucki",2015,80.4
"1765",2212000,"Powiat słupski",2015,72.8
"1766",2213000,"Powiat starogardzki",2015,40
"1767",2214000,"Powiat tczewski",2015,72.3
"1768",2215000,"Powiat wejherowski",2015,48.3
"1769",2216000,"Powiat sztumski",2015,45.9
"1770",2261000,"Powiat m.Gdańsk",2015,90.7
"1771",2262000,"Powiat m.Gdynia",2015,48.9
"1772",2263000,"Powiat m.Słupsk",2015,83.5
"1773",2264000,"Powiat m.Sopot",2015,100
"1774",2401000,"Powiat będziński",2015,44.6
"1775",2402000,"Powiat bielski",2015,44.4
"1776",2403000,"Powiat cieszyński",2015,46.6
"1777",2404000,"Powiat częstochowski",2015,36.3
"1778",2405000,"Powiat gliwicki",2015,40.7
"1779",2406000,"Powiat kłobucki",2015,44
"1780",2407000,"Powiat lubliniecki",2015,72.2
"1781",2408000,"Powiat mikołowski",2015,66.4
"1782",2409000,"Powiat myszkowski",2015,28.1
"1783",2410000,"Powiat pszczyński",2015,57.6
"1784",2411000,"Powiat raciborski",2015,36.2
"1785",2412000,"Powiat rybnicki",2015,32.8
"1786",2413000,"Powiat tarnogórski",2015,51.9
"1787",2414000,"Powiat bieruńsko-lędziński",2015,84.2
"1788",2415000,"Powiat wodzisławski",2015,48.1
"1789",2416000,"Powiat zawierciański",2015,29.9
"1790",2417000,"Powiat żywiecki",2015,76.9
"1791",2461000,"Powiat m.Bielsko-Biała",2015,76.8
"1792",2462000,"Powiat m.Bytom",2015,100
"1793",2463000,"Powiat m.Chorzów",2015,48.5
"1794",2464000,"Powiat m.Częstochowa",2015,66
"1795",2465000,"Powiat m.Dąbrowa Górnicza",2015,40.1
"1796",2466000,"Powiat m.Gliwice",2015,69.1
"1797",2467000,"Powiat m.Jastrzębie-Zdrój",2015,62.5
"1798",2468000,"Powiat m.Jaworzno",2015,45.7
"1799",2469000,"Powiat m.Katowice",2015,87
"1800",2470000,"Powiat m.Mysłowice",2015,79.5
"1801",2471000,"Powiat m.Piekary Śląskie",2015,90.6
"1802",2472000,"Powiat m.Ruda Śląska",2015,77.2
"1803",2473000,"Powiat m.Rybnik",2015,87.8
"1804",2474000,"Powiat m.Siemianowice Śląskie",2015,94.4
"1805",2475000,"Powiat m.Sosnowiec",2015,51.2
"1806",2476000,"Powiat m.Świętochłowice",2015,100
"1807",2477000,"Powiat m.Tychy",2015,100
"1808",2478000,"Powiat m.Zabrze",2015,72.7
"1809",2479000,"Powiat m.Żory",2015,97.7
"1810",2601000,"Powiat buski",2015,41.9
"1811",2602000,"Powiat jędrzejowski",2015,23.6
"1812",2603000,"Powiat kazimierski",2015,20.9
"1813",2604000,"Powiat kielecki",2015,46.1
"1814",2605000,"Powiat konecki",2015,35.7
"1815",2606000,"Powiat opatowski",2015,20
"1816",2607000,"Powiat ostrowiecki",2015,49.5
"1817",2608000,"Powiat pińczowski",2015,23.9
"1818",2609000,"Powiat sandomierski",2015,26.1
"1819",2610000,"Powiat skarżyski",2015,52.9
"1820",2611000,"Powiat starachowicki",2015,63.2
"1821",2612000,"Powiat staszowski",2015,42.1
"1822",2613000,"Powiat włoszczowski",2015,42.2
"1823",2661000,"Powiat m.Kielce",2015,82.7
"1824",2801000,"Powiat bartoszycki",2015,48.8
"1825",2802000,"Powiat braniewski",2015,51.4
"1826",2803000,"Powiat działdowski",2015,56.4
"1827",2804000,"Powiat elbląski",2015,33
"1828",2805000,"Powiat ełcki",2015,38.2
"1829",2806000,"Powiat giżycki",2015,63.5
"1830",2807000,"Powiat iławski",2015,58.9
"1831",2808000,"Powiat kętrzyński",2015,57.4
"1832",2809000,"Powiat lidzbarski",2015,43.3
"1833",2810000,"Powiat mrągowski",2015,59.1
"1834",2811000,"Powiat nidzicki",2015,50.9
"1835",2812000,"Powiat nowomiejski",2015,45.1
"1836",2813000,"Powiat olecki",2015,42.5
"1837",2814000,"Powiat olsztyński",2015,55.5
"1838",2815000,"Powiat ostródzki",2015,58.1
"1839",2816000,"Powiat piski",2015,51.5
"1840",2817000,"Powiat szczycieński",2015,45.3
"1841",2818000,"Powiat gołdapski",2015,47
"1842",2819000,"Powiat węgorzewski",2015,36.7
"1843",2861000,"Powiat m.Elbląg",2015,50.8
"1844",2862000,"Powiat m.Olsztyn",2015,100
"1845",3001000,"Powiat chodzieski",2015,71.8
"1846",3002000,"Powiat czarnkowsko-trzcianecki",2015,45.9
"1847",3003000,"Powiat gnieźnieński",2015,56.4
"1848",3004000,"Powiat gostyński",2015,62.2
"1849",3005000,"Powiat grodziski",2015,52.6
"1850",3006000,"Powiat jarociński",2015,70
"1851",3007000,"Powiat kaliski",2015,27.9
"1852",3008000,"Powiat kępiński",2015,60.7
"1853",3009000,"Powiat kolski",2015,29.4
"1854",3010000,"Powiat koniński",2015,32.5
"1855",3011000,"Powiat kościański",2015,65
"1856",3012000,"Powiat krotoszyński",2015,42.4
"1857",3013000,"Powiat leszczyński",2015,48.3
"1858",3014000,"Powiat międzychodzki",2015,51
"1859",3015000,"Powiat nowotomyski",2015,49.4
"1860",3016000,"Powiat obornicki",2015,59.1
"1861",3017000,"Powiat ostrowski",2015,45
"1862",3018000,"Powiat ostrzeszowski",2015,36.7
"1863",3019000,"Powiat pilski",2015,63.9
"1864",3020000,"Powiat pleszewski",2015,45.6
"1865",3021000,"Powiat poznański",2015,66.2
"1866",3022000,"Powiat rawicki",2015,60.4
"1867",3023000,"Powiat słupecki",2015,45.8
"1868",3024000,"Powiat szamotulski",2015,57.3
"1869",3025000,"Powiat średzki",2015,55
"1870",3026000,"Powiat śremski",2015,71.1
"1871",3027000,"Powiat turecki",2015,34.1
"1872",3028000,"Powiat wągrowiecki",2015,58.8
"1873",3029000,"Powiat wolsztyński",2015,72.1
"1874",3030000,"Powiat wrzesiński",2015,44.3
"1875",3031000,"Powiat złotowski",2015,60.2
"1876",3061000,"Powiat m.Kalisz",2015,66.3
"1877",3062000,"Powiat m.Konin",2015,53.8
"1878",3063000,"Powiat m.Leszno",2015,95.6
"1879",3064000,"Powiat m.Poznań",2015,93
"1880",3201000,"Powiat białogardzki",2015,79.3
"1881",3202000,"Powiat choszczeński",2015,59.4
"1882",3203000,"Powiat drawski",2015,56
"1883",3204000,"Powiat goleniowski",2015,54.1
"1884",3205000,"Powiat gryficki",2015,52.4
"1885",3206000,"Powiat gryfiński",2015,48.4
"1886",3207000,"Powiat kamieński",2015,50.7
"1887",3208000,"Powiat kołobrzeski",2015,87.3
"1888",3209000,"Powiat koszaliński",2015,64.2
"1889",3210000,"Powiat myśliborski",2015,51.3
"1890",3211000,"Powiat policki",2015,66.5
"1891",3212000,"Powiat pyrzycki",2015,47.7
"1892",3213000,"Powiat sławieński",2015,46.3
"1893",3214000,"Powiat stargardzki",2015,57.1
"1894",3215000,"Powiat szczecinecki",2015,70.5
"1895",3216000,"Powiat świdwiński",2015,67.5
"1896",3217000,"Powiat wałecki",2015,50
"1897",3218000,"Powiat łobeski",2015,42
"1898",3261000,"Powiat m.Koszalin",2015,90.2
"1899",3262000,"Powiat m.Szczecin",2015,66.1
"1900",3263000,"Powiat m.Świnoujście",2015,89.1
"1901",201000,"Powiat bolesławiecki",2016,72.9
"1902",202000,"Powiat dzierżoniowski",2016,56.6
"1903",203000,"Powiat głogowski",2016,56.4
"1904",204000,"Powiat górowski",2016,29.9
"1905",205000,"Powiat jaworski",2016,69.4
"1906",206000,"Powiat jeleniogórski",2016,61.9
"1907",207000,"Powiat kamiennogórski",2016,65.4
"1908",208000,"Powiat kłodzki",2016,46.5
"1909",209000,"Powiat legnicki",2016,68.2
"1910",210000,"Powiat lubański",2016,50.9
"1911",211000,"Powiat lubiński",2016,92.1
"1912",212000,"Powiat lwówecki",2016,37.9
"1913",213000,"Powiat milicki",2016,52.7
"1914",214000,"Powiat oleśnicki",2016,47.3
"1915",215000,"Powiat oławski",2016,50.2
"1916",216000,"Powiat polkowicki",2016,76.3
"1917",217000,"Powiat strzeliński",2016,41.3
"1918",218000,"Powiat średzki",2016,48.1
"1919",219000,"Powiat świdnicki",2016,57.1
"1920",220000,"Powiat trzebnicki",2016,28.8
"1921",221000,"Powiat wałbrzyski",2016,50.2
"1922",222000,"Powiat wołowski",2016,48.1
"1923",223000,"Powiat wrocławski",2016,54.2
"1924",224000,"Powiat ząbkowicki",2016,36.8
"1925",225000,"Powiat zgorzelecki",2016,50.9
"1926",226000,"Powiat złotoryjski",2016,53.9
"1927",261000,"Powiat m.Jelenia Góra",2016,85.8
"1928",262000,"Powiat m.Legnica",2016,94.8
"1929",264000,"Powiat m.Wrocław",2016,83.8
"1930",265000,"Powiat m.Wałbrzych od 2013",2016,84.4
"1931",401000,"Powiat aleksandrowski",2016,45.7
"1932",402000,"Powiat brodnicki",2016,50.2
"1933",403000,"Powiat bydgoski",2016,43.9
"1934",404000,"Powiat chełmiński",2016,48.8
"1935",405000,"Powiat golubsko-dobrzyński",2016,38.5
"1936",406000,"Powiat grudziądzki",2016,29.1
"1937",407000,"Powiat inowrocławski",2016,50.5
"1938",408000,"Powiat lipnowski",2016,31.5
"1939",409000,"Powiat mogileński",2016,47.2
"1940",410000,"Powiat nakielski",2016,38.3
"1941",411000,"Powiat radziejowski",2016,33.5
"1942",412000,"Powiat rypiński",2016,35
"1943",413000,"Powiat sępoleński",2016,50
"1944",414000,"Powiat świecki",2016,53.5
"1945",415000,"Powiat toruński",2016,45
"1946",416000,"Powiat tucholski",2016,64.6
"1947",417000,"Powiat wąbrzeski",2016,31.9
"1948",418000,"Powiat włocławski",2016,31.9
"1949",419000,"Powiat żniński",2016,44.7
"1950",461000,"Powiat m.Bydgoszcz",2016,94.2
"1951",462000,"Powiat m.Grudziądz",2016,60.9
