"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_do_40_m2_szt"
"21032",1217000,"Powiat tatrzański",2015,0
"21033",1218000,"Powiat wadowicki",2015,32
"21034",1219000,"Powiat wielicki",2015,20
"21035",1261000,"Powiat m.Kraków",2015,1393
"21036",1262000,"Powiat m.Nowy Sącz",2015,60
"21037",1263000,"Powiat m.Tarnów",2015,74
"21038",1401000,"Powiat białobrzeski",2015,0
"21039",1402000,"Powiat ciechanowski",2015,53
"21040",1403000,"Powiat garwoliński",2015,0
"21041",1404000,"Powiat gostyniński",2015,13
"21042",1405000,"Powiat grodziski",2015,34
"21043",1406000,"Powiat grójecki",2015,11
"21044",1407000,"Powiat kozienicki",2015,24
"21045",1408000,"Powiat legionowski",2015,46
"21046",1409000,"Powiat lipski",2015,0
"21047",1410000,"Powiat łosicki",2015,15
"21048",1411000,"Powiat makowski",2015,0
"21049",1412000,"Powiat miński",2015,19
"21050",1413000,"Powiat mławski",2015,30
"21051",1414000,"Powiat nowodworski",2015,47
"21052",1415000,"Powiat ostrołęcki",2015,0
"21053",1416000,"Powiat ostrowski",2015,16
"21054",1417000,"Powiat otwocki",2015,29
"21055",1418000,"Powiat piaseczyński",2015,115
"21056",1419000,"Powiat płocki",2015,10
"21057",1420000,"Powiat płoński",2015,23
"21058",1421000,"Powiat pruszkowski",2015,66
"21059",1422000,"Powiat przasnyski",2015,18
"21060",1423000,"Powiat przysuski",2015,0
"21061",1424000,"Powiat pułtuski",2015,14
"21062",1425000,"Powiat radomski",2015,12
"21063",1426000,"Powiat siedlecki",2015,3
"21064",1427000,"Powiat sierpecki",2015,9
"21065",1428000,"Powiat sochaczewski",2015,40
"21066",1429000,"Powiat sokołowski",2015,21
"21067",1430000,"Powiat szydłowiecki",2015,6
"21068",1432000,"Powiat warszawski zachodni",2015,32
"21069",1433000,"Powiat węgrowski",2015,5
"21070",1434000,"Powiat wołomiński",2015,94
"21071",1435000,"Powiat wyszkowski",2015,16
"21072",1436000,"Powiat zwoleński",2015,3
"21073",1437000,"Powiat żuromiński",2015,3
"21074",1438000,"Powiat żyrardowski",2015,60
"21075",1461000,"Powiat m.Ostrołęka",2015,33
"21076",1462000,"Powiat m.Płock",2015,134
"21077",1463000,"Powiat m.Radom",2015,46
"21078",1464000,"Powiat m.Siedlce",2015,72
"21079",1465000,"Powiat m. st. Warszawa",2015,3368
"21080",1601000,"Powiat brzeski",2015,57
"21081",1602000,"Powiat głubczycki",2015,20
"21082",1603000,"Powiat kędzierzyńsko-kozielski",2015,76
"21083",1604000,"Powiat kluczborski",2015,37
"21084",1605000,"Powiat krapkowicki",2015,28
"21085",1606000,"Powiat namysłowski",2015,25
"21086",1607000,"Powiat nyski",2015,64
"21087",1608000,"Powiat oleski",2015,12
"21088",1609000,"Powiat opolski",2015,27
"21089",1610000,"Powiat prudnicki",2015,31
"21090",1611000,"Powiat strzelecki",2015,26
"21091",1661000,"Powiat m.Opole",2015,148
"21092",1801000,"Powiat bieszczadzki",2015,14
"21093",1802000,"Powiat brzozowski",2015,5
"21094",1803000,"Powiat dębicki",2015,29
"21095",1804000,"Powiat jarosławski",2015,39
"21096",1805000,"Powiat jasielski",2015,18
"21097",1806000,"Powiat kolbuszowski",2015,0
"21098",1807000,"Powiat krośnieński",2015,0
"21099",1808000,"Powiat leżajski",2015,16
"21100",1809000,"Powiat lubaczowski",2015,10
"21101",1810000,"Powiat łańcucki",2015,10
"21102",1811000,"Powiat mielecki",2015,34
"21103",1812000,"Powiat niżański",2015,3
"21104",1813000,"Powiat przemyski",2015,7
"21105",1814000,"Powiat przeworski",2015,3
"21106",1815000,"Powiat ropczycko-sędziszowski",2015,10
"21107",1816000,"Powiat rzeszowski",2015,9
"21108",1817000,"Powiat sanocki",2015,10
"21109",1818000,"Powiat stalowowolski",2015,75
"21110",1819000,"Powiat strzyżowski",2015,4
"21111",1820000,"Powiat tarnobrzeski",2015,13
"21112",1821000,"Powiat leski",2015,8
"21113",1861000,"Powiat m.Krosno",2015,36
"21114",1862000,"Powiat m.Przemyśl",2015,54
"21115",1863000,"Powiat m.Rzeszów",2015,195
"21116",1864000,"Powiat m.Tarnobrzeg",2015,13
"21117",2001000,"Powiat augustowski",2015,21
"21118",2002000,"Powiat białostocki",2015,41
"21119",2003000,"Powiat bielski",2015,0
"21120",2004000,"Powiat grajewski",2015,13
"21121",2005000,"Powiat hajnowski",2015,9
"21122",2006000,"Powiat kolneński",2015,9
"21123",2007000,"Powiat łomżyński",2015,0
"21124",2008000,"Powiat moniecki",2015,0
"21125",2009000,"Powiat sejneński",2015,4
"21126",2010000,"Powiat siemiatycki",2015,0
"21127",2011000,"Powiat sokólski",2015,9
"21128",2012000,"Powiat suwalski",2015,5
"21129",2013000,"Powiat wysokomazowiecki",2015,0
"21130",2014000,"Powiat zambrowski",2015,19
"21131",2061000,"Powiat m.Białystok",2015,355
"21132",2062000,"Powiat m.Łomża",2015,30
"21133",2063000,"Powiat m.Suwałki",2015,39
"21134",2201000,"Powiat bytowski",2015,24
"21135",2202000,"Powiat chojnicki",2015,28
"21136",2203000,"Powiat człuchowski",2015,42
"21137",2204000,"Powiat gdański",2015,53
"21138",2205000,"Powiat kartuski",2015,15
"21139",2206000,"Powiat kościerski",2015,24
"21140",2207000,"Powiat kwidzyński",2015,40
"21141",2208000,"Powiat lęborski",2015,92
"21142",2209000,"Powiat malborski",2015,50
"21143",2210000,"Powiat nowodworski",2015,40
"21144",2211000,"Powiat pucki",2015,54
"21145",2212000,"Powiat słupski",2015,41
"21146",2213000,"Powiat starogardzki",2015,66
"21147",2214000,"Powiat tczewski",2015,107
"21148",2215000,"Powiat wejherowski",2015,181
"21149",2216000,"Powiat sztumski",2015,32
"21150",2261000,"Powiat m.Gdańsk",2015,717
"21151",2262000,"Powiat m.Gdynia",2015,347
"21152",2263000,"Powiat m.Słupsk",2015,112
"21153",2264000,"Powiat m.Sopot",2015,66
"21154",2401000,"Powiat będziński",2015,141
"21155",2402000,"Powiat bielski",2015,32
"21156",2403000,"Powiat cieszyński",2015,50
"21157",2404000,"Powiat częstochowski",2015,19
"21158",2405000,"Powiat gliwicki",2015,51
"21159",2406000,"Powiat kłobucki",2015,11
"21160",2407000,"Powiat lubliniecki",2015,6
"21161",2408000,"Powiat mikołowski",2015,28
"21162",2409000,"Powiat myszkowski",2015,25
"21163",2410000,"Powiat pszczyński",2015,28
"21164",2411000,"Powiat raciborski",2015,52
"21165",2412000,"Powiat rybnicki",2015,4
"21166",2413000,"Powiat tarnogórski",2015,63
"21167",2414000,"Powiat bieruńsko-lędziński",2015,35
"21168",2415000,"Powiat wodzisławski",2015,52
"21169",2416000,"Powiat zawierciański",2015,7
"21170",2417000,"Powiat żywiecki",2015,11
"21171",2461000,"Powiat m.Bielsko-Biała",2015,167
"21172",2462000,"Powiat m.Bytom",2015,264
"21173",2463000,"Powiat m.Chorzów",2015,102
"21174",2464000,"Powiat m.Częstochowa",2015,188
"21175",2465000,"Powiat m.Dąbrowa Górnicza",2015,106
"21176",2466000,"Powiat m.Gliwice",2015,237
"21177",2467000,"Powiat m.Jastrzębie-Zdrój",2015,41
"21178",2468000,"Powiat m.Jaworzno",2015,126
"21179",2469000,"Powiat m.Katowice",2015,301
"21180",2470000,"Powiat m.Mysłowice",2015,77
"21181",2471000,"Powiat m.Piekary Śląskie",2015,44
"21182",2472000,"Powiat m.Ruda Śląska",2015,100
"21183",2473000,"Powiat m.Rybnik",2015,44
"21184",2474000,"Powiat m.Siemianowice Śląskie",2015,81
"21185",2475000,"Powiat m.Sosnowiec",2015,190
"21186",2476000,"Powiat m.Świętochłowice",2015,64
"21187",2477000,"Powiat m.Tychy",2015,164
"21188",2478000,"Powiat m.Zabrze",2015,185
"21189",2479000,"Powiat m.Żory",2015,12
"21190",2601000,"Powiat buski",2015,15
"21191",2602000,"Powiat jędrzejowski",2015,20
"21192",2603000,"Powiat kazimierski",2015,0
"21193",2604000,"Powiat kielecki",2015,0
"21194",2605000,"Powiat konecki",2015,16
"21195",2606000,"Powiat opatowski",2015,7
"21196",2607000,"Powiat ostrowiecki",2015,31
"21197",2608000,"Powiat pińczowski",2015,12
"21198",2609000,"Powiat sandomierski",2015,18
"21199",2610000,"Powiat skarżyski",2015,23
"21200",2611000,"Powiat starachowicki",2015,51
"21201",2612000,"Powiat staszowski",2015,13
"21202",2613000,"Powiat włoszczowski",2015,16
"21203",2661000,"Powiat m.Kielce",2015,206
"21204",2801000,"Powiat bartoszycki",2015,43
"21205",2802000,"Powiat braniewski",2015,30
"21206",2803000,"Powiat działdowski",2015,32
"21207",2804000,"Powiat elbląski",2015,16
"21208",2805000,"Powiat ełcki",2015,73
"21209",2806000,"Powiat giżycki",2015,60
"21210",2807000,"Powiat iławski",2015,72
"21211",2808000,"Powiat kętrzyński",2015,62
"21212",2809000,"Powiat lidzbarski",2015,31
"21213",2810000,"Powiat mrągowski",2015,33
"21214",2811000,"Powiat nidzicki",2015,23
"21215",2812000,"Powiat nowomiejski",2015,15
"21216",2813000,"Powiat olecki",2015,18
"21217",2814000,"Powiat olsztyński",2015,60
"21218",2815000,"Powiat ostródzki",2015,98
"21219",2816000,"Powiat piski",2015,52
"21220",2817000,"Powiat szczycieński",2015,32
"21221",2818000,"Powiat gołdapski",2015,25
"21222",2819000,"Powiat węgorzewski",2015,20
"21223",2861000,"Powiat m.Elbląg",2015,174
"21224",2862000,"Powiat m.Olsztyn",2015,318
