"","Kod","Nazwa","rok","BEZROBOCIE_w_proc_ludnosci_aktywnej_zawodowo_proc"
"25968",1213000,"Powiat oświęcimski",2003,NA
"25969",1214000,"Powiat proszowicki",2003,NA
"25970",1215000,"Powiat suski",2003,NA
"25971",1216000,"Powiat tarnowski",2003,NA
"25972",1217000,"Powiat tatrzański",2003,NA
"25973",1218000,"Powiat wadowicki",2003,NA
"25974",1219000,"Powiat wielicki",2003,NA
"25975",1261000,"Powiat m.Kraków",2003,NA
"25976",1262000,"Powiat m.Nowy Sącz",2003,NA
"25977",1263000,"Powiat m.Tarnów",2003,NA
"25978",1401000,"Powiat białobrzeski",2003,NA
"25979",1402000,"Powiat ciechanowski",2003,NA
"25980",1403000,"Powiat garwoliński",2003,NA
"25981",1404000,"Powiat gostyniński",2003,NA
"25982",1405000,"Powiat grodziski",2003,NA
"25983",1406000,"Powiat grójecki",2003,NA
"25984",1407000,"Powiat kozienicki",2003,NA
"25985",1408000,"Powiat legionowski",2003,NA
"25986",1409000,"Powiat lipski",2003,NA
"25987",1410000,"Powiat łosicki",2003,NA
"25988",1411000,"Powiat makowski",2003,NA
"25989",1412000,"Powiat miński",2003,NA
"25990",1413000,"Powiat mławski",2003,NA
"25991",1414000,"Powiat nowodworski",2003,NA
"25992",1415000,"Powiat ostrołęcki",2003,NA
"25993",1416000,"Powiat ostrowski",2003,NA
"25994",1417000,"Powiat otwocki",2003,NA
"25995",1418000,"Powiat piaseczyński",2003,NA
"25996",1419000,"Powiat płocki",2003,NA
"25997",1420000,"Powiat płoński",2003,NA
"25998",1421000,"Powiat pruszkowski",2003,NA
"25999",1422000,"Powiat przasnyski",2003,NA
"26000",1423000,"Powiat przysuski",2003,NA
"26001",1424000,"Powiat pułtuski",2003,NA
"26002",1425000,"Powiat radomski",2003,NA
"26003",1426000,"Powiat siedlecki",2003,NA
"26004",1427000,"Powiat sierpecki",2003,NA
"26005",1428000,"Powiat sochaczewski",2003,NA
"26006",1429000,"Powiat sokołowski",2003,NA
"26007",1430000,"Powiat szydłowiecki",2003,NA
"26008",1432000,"Powiat warszawski zachodni",2003,NA
"26009",1433000,"Powiat węgrowski",2003,NA
"26010",1434000,"Powiat wołomiński",2003,NA
"26011",1435000,"Powiat wyszkowski",2003,NA
"26012",1436000,"Powiat zwoleński",2003,NA
"26013",1437000,"Powiat żuromiński",2003,NA
"26014",1438000,"Powiat żyrardowski",2003,NA
"26015",1461000,"Powiat m.Ostrołęka",2003,NA
"26016",1462000,"Powiat m.Płock",2003,NA
"26017",1463000,"Powiat m.Radom",2003,NA
"26018",1464000,"Powiat m.Siedlce",2003,NA
"26019",1465000,"Powiat m. st. Warszawa",2003,NA
"26020",1601000,"Powiat brzeski",2003,NA
"26021",1602000,"Powiat głubczycki",2003,NA
"26022",1603000,"Powiat kędzierzyńsko-kozielski",2003,NA
"26023",1604000,"Powiat kluczborski",2003,NA
"26024",1605000,"Powiat krapkowicki",2003,NA
"26025",1606000,"Powiat namysłowski",2003,NA
"26026",1607000,"Powiat nyski",2003,NA
"26027",1608000,"Powiat oleski",2003,NA
"26028",1609000,"Powiat opolski",2003,NA
"26029",1610000,"Powiat prudnicki",2003,NA
"26030",1611000,"Powiat strzelecki",2003,NA
"26031",1661000,"Powiat m.Opole",2003,NA
"26032",1801000,"Powiat bieszczadzki",2003,NA
"26033",1802000,"Powiat brzozowski",2003,NA
"26034",1803000,"Powiat dębicki",2003,NA
"26035",1804000,"Powiat jarosławski",2003,NA
"26036",1805000,"Powiat jasielski",2003,NA
"26037",1806000,"Powiat kolbuszowski",2003,NA
"26038",1807000,"Powiat krośnieński",2003,NA
"26039",1808000,"Powiat leżajski",2003,NA
"26040",1809000,"Powiat lubaczowski",2003,NA
"26041",1810000,"Powiat łańcucki",2003,NA
"26042",1811000,"Powiat mielecki",2003,NA
"26043",1812000,"Powiat niżański",2003,NA
"26044",1813000,"Powiat przemyski",2003,NA
"26045",1814000,"Powiat przeworski",2003,NA
"26046",1815000,"Powiat ropczycko-sędziszowski",2003,NA
"26047",1816000,"Powiat rzeszowski",2003,NA
"26048",1817000,"Powiat sanocki",2003,NA
"26049",1818000,"Powiat stalowowolski",2003,NA
"26050",1819000,"Powiat strzyżowski",2003,NA
"26051",1820000,"Powiat tarnobrzeski",2003,NA
"26052",1821000,"Powiat leski",2003,NA
"26053",1861000,"Powiat m.Krosno",2003,NA
"26054",1862000,"Powiat m.Przemyśl",2003,NA
"26055",1863000,"Powiat m.Rzeszów",2003,NA
"26056",1864000,"Powiat m.Tarnobrzeg",2003,NA
"26057",2001000,"Powiat augustowski",2003,NA
"26058",2002000,"Powiat białostocki",2003,NA
"26059",2003000,"Powiat bielski",2003,NA
"26060",2004000,"Powiat grajewski",2003,NA
"26061",2005000,"Powiat hajnowski",2003,NA
"26062",2006000,"Powiat kolneński",2003,NA
"26063",2007000,"Powiat łomżyński",2003,NA
"26064",2008000,"Powiat moniecki",2003,NA
"26065",2009000,"Powiat sejneński",2003,NA
"26066",2010000,"Powiat siemiatycki",2003,NA
"26067",2011000,"Powiat sokólski",2003,NA
"26068",2012000,"Powiat suwalski",2003,NA
"26069",2013000,"Powiat wysokomazowiecki",2003,NA
"26070",2014000,"Powiat zambrowski",2003,NA
"26071",2061000,"Powiat m.Białystok",2003,NA
"26072",2062000,"Powiat m.Łomża",2003,NA
"26073",2063000,"Powiat m.Suwałki",2003,NA
"26074",2201000,"Powiat bytowski",2003,NA
"26075",2202000,"Powiat chojnicki",2003,NA
"26076",2203000,"Powiat człuchowski",2003,NA
"26077",2204000,"Powiat gdański",2003,NA
"26078",2205000,"Powiat kartuski",2003,NA
"26079",2206000,"Powiat kościerski",2003,NA
"26080",2207000,"Powiat kwidzyński",2003,NA
"26081",2208000,"Powiat lęborski",2003,NA
"26082",2209000,"Powiat malborski",2003,NA
"26083",2210000,"Powiat nowodworski",2003,NA
"26084",2211000,"Powiat pucki",2003,NA
"26085",2212000,"Powiat słupski",2003,NA
"26086",2213000,"Powiat starogardzki",2003,NA
"26087",2214000,"Powiat tczewski",2003,NA
"26088",2215000,"Powiat wejherowski",2003,NA
"26089",2216000,"Powiat sztumski",2003,NA
"26090",2261000,"Powiat m.Gdańsk",2003,NA
"26091",2262000,"Powiat m.Gdynia",2003,NA
"26092",2263000,"Powiat m.Słupsk",2003,NA
"26093",2264000,"Powiat m.Sopot",2003,NA
"26094",2401000,"Powiat będziński",2003,NA
"26095",2402000,"Powiat bielski",2003,NA
"26096",2403000,"Powiat cieszyński",2003,NA
"26097",2404000,"Powiat częstochowski",2003,NA
