"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_ogolem_szt"
"9632",1217000,"Powiat tatrzański",2015,90
"9633",1218000,"Powiat wadowicki",2015,11
"9634",1219000,"Powiat wielicki",2015,215
"9635",1261000,"Powiat m.Kraków",2015,7334
"9636",1262000,"Powiat m.Nowy Sącz",2015,17
"9637",1263000,"Powiat m.Tarnów",2015,22
"9638",1401000,"Powiat białobrzeski",2015,0
"9639",1402000,"Powiat ciechanowski",2015,11
"9640",1403000,"Powiat garwoliński",2015,0
"9641",1404000,"Powiat gostyniński",2015,8
"9642",1405000,"Powiat grodziski",2015,20
"9643",1406000,"Powiat grójecki",2015,0
"9644",1407000,"Powiat kozienicki",2015,23
"9645",1408000,"Powiat legionowski",2015,127
"9646",1409000,"Powiat lipski",2015,0
"9647",1410000,"Powiat łosicki",2015,0
"9648",1411000,"Powiat makowski",2015,0
"9649",1412000,"Powiat miński",2015,341
"9650",1413000,"Powiat mławski",2015,129
"9651",1414000,"Powiat nowodworski",2015,253
"9652",1415000,"Powiat ostrołęcki",2015,0
"9653",1416000,"Powiat ostrowski",2015,20
"9654",1417000,"Powiat otwocki",2015,33
"9655",1418000,"Powiat piaseczyński",2015,265
"9656",1419000,"Powiat płocki",2015,5
"9657",1420000,"Powiat płoński",2015,55
"9658",1421000,"Powiat pruszkowski",2015,366
"9659",1422000,"Powiat przasnyski",2015,43
"9660",1423000,"Powiat przysuski",2015,0
"9661",1424000,"Powiat pułtuski",2015,71
"9662",1425000,"Powiat radomski",2015,0
"9663",1426000,"Powiat siedlecki",2015,0
"9664",1427000,"Powiat sierpecki",2015,0
"9665",1428000,"Powiat sochaczewski",2015,0
"9666",1429000,"Powiat sokołowski",2015,38
"9667",1430000,"Powiat szydłowiecki",2015,0
"9668",1432000,"Powiat warszawski zachodni",2015,345
"9669",1433000,"Powiat węgrowski",2015,4
"9670",1434000,"Powiat wołomiński",2015,649
"9671",1435000,"Powiat wyszkowski",2015,0
"9672",1436000,"Powiat zwoleński",2015,0
"9673",1437000,"Powiat żuromiński",2015,5
"9674",1438000,"Powiat żyrardowski",2015,40
"9675",1461000,"Powiat m.Ostrołęka",2015,25
"9676",1462000,"Powiat m.Płock",2015,228
"9677",1463000,"Powiat m.Radom",2015,158
"9678",1464000,"Powiat m.Siedlce",2015,315
"9679",1465000,"Powiat m. st. Warszawa",2015,10571
"9680",1601000,"Powiat brzeski",2015,39
"9681",1602000,"Powiat głubczycki",2015,0
"9682",1603000,"Powiat kędzierzyńsko-kozielski",2015,6
"9683",1604000,"Powiat kluczborski",2015,15
"9684",1605000,"Powiat krapkowicki",2015,3
"9685",1606000,"Powiat namysłowski",2015,26
"9686",1607000,"Powiat nyski",2015,20
"9687",1608000,"Powiat oleski",2015,0
"9688",1609000,"Powiat opolski",2015,0
"9689",1610000,"Powiat prudnicki",2015,0
"9690",1611000,"Powiat strzelecki",2015,0
"9691",1661000,"Powiat m.Opole",2015,304
"9692",1801000,"Powiat bieszczadzki",2015,4
"9693",1802000,"Powiat brzozowski",2015,11
"9694",1803000,"Powiat dębicki",2015,38
"9695",1804000,"Powiat jarosławski",2015,0
"9696",1805000,"Powiat jasielski",2015,13
"9697",1806000,"Powiat kolbuszowski",2015,0
"9698",1807000,"Powiat krośnieński",2015,0
"9699",1808000,"Powiat leżajski",2015,0
"9700",1809000,"Powiat lubaczowski",2015,0
