"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_80_m2_zl"
"7712",1021000,"Powiat brzeziński",2015,0
"7713",1061000,"Powiat m.Łódź",2015,3853
"7714",1062000,"Powiat m.Piotrków Trybunalski",2015,3336
"7715",1063000,"Powiat m.Skierniewice",2015,4054
"7716",1201000,"Powiat bocheński",2015,3821
"7717",1202000,"Powiat brzeski",2015,1663
"7718",1203000,"Powiat chrzanowski",2015,2281
"7719",1204000,"Powiat dąbrowski",2015,0
"7720",1205000,"Powiat gorlicki",2015,0
"7721",1206000,"Powiat krakowski",2015,4340
"7722",1207000,"Powiat limanowski",2015,0
"7723",1208000,"Powiat miechowski",2015,0
"7724",1209000,"Powiat myślenicki",2015,4407
"7725",1210000,"Powiat nowosądecki",2015,1909
"7726",1211000,"Powiat nowotarski",2015,4108
"7727",1212000,"Powiat olkuski",2015,0
"7728",1213000,"Powiat oświęcimski",2015,2617
"7729",1214000,"Powiat proszowicki",2015,0
"7730",1215000,"Powiat suski",2015,0
"7731",1216000,"Powiat tarnowski",2015,0
"7732",1217000,"Powiat tatrzański",2015,0
"7733",1218000,"Powiat wadowicki",2015,3045
"7734",1219000,"Powiat wielicki",2015,3539
"7735",1261000,"Powiat m.Kraków",2015,6357
"7736",1262000,"Powiat m.Nowy Sącz",2015,2329
"7737",1263000,"Powiat m.Tarnów",2015,2229
"7738",1401000,"Powiat białobrzeski",2015,0
"7739",1402000,"Powiat ciechanowski",2015,2540
"7740",1403000,"Powiat garwoliński",2015,0
"7741",1404000,"Powiat gostyniński",2015,0
"7742",1405000,"Powiat grodziski",2015,3512
"7743",1406000,"Powiat grójecki",2015,0
"7744",1407000,"Powiat kozienicki",2015,0
"7745",1408000,"Powiat legionowski",2015,2899
"7746",1409000,"Powiat lipski",2015,0
"7747",1410000,"Powiat łosicki",2015,0
"7748",1411000,"Powiat makowski",2015,0
"7749",1412000,"Powiat miński",2015,3780
"7750",1413000,"Powiat mławski",2015,1638
"7751",1414000,"Powiat nowodworski",2015,3684
"7752",1415000,"Powiat ostrołęcki",2015,0
"7753",1416000,"Powiat ostrowski",2015,0
"7754",1417000,"Powiat otwocki",2015,3512
"7755",1418000,"Powiat piaseczyński",2015,4082
"7756",1419000,"Powiat płocki",2015,0
"7757",1420000,"Powiat płoński",2015,2499
"7758",1421000,"Powiat pruszkowski",2015,4303
"7759",1422000,"Powiat przasnyski",2015,0
"7760",1423000,"Powiat przysuski",2015,0
"7761",1424000,"Powiat pułtuski",2015,0
"7762",1425000,"Powiat radomski",2015,0
"7763",1426000,"Powiat siedlecki",2015,0
"7764",1427000,"Powiat sierpecki",2015,1197
"7765",1428000,"Powiat sochaczewski",2015,2234
"7766",1429000,"Powiat sokołowski",2015,0
"7767",1430000,"Powiat szydłowiecki",2015,0
"7768",1432000,"Powiat warszawski zachodni",2015,3989
"7769",1433000,"Powiat węgrowski",2015,0
"7770",1434000,"Powiat wołomiński",2015,3511
"7771",1435000,"Powiat wyszkowski",2015,0
"7772",1436000,"Powiat zwoleński",2015,0
"7773",1437000,"Powiat żuromiński",2015,0
"7774",1438000,"Powiat żyrardowski",2015,3550
"7775",1461000,"Powiat m.Ostrołęka",2015,0
"7776",1462000,"Powiat m.Płock",2015,3818
"7777",1463000,"Powiat m.Radom",2015,2737
"7778",1464000,"Powiat m.Siedlce",2015,3498
"7779",1465000,"Powiat m. st. Warszawa",2015,7523
"7780",1601000,"Powiat brzeski",2015,2009
"7781",1602000,"Powiat głubczycki",2015,1079
"7782",1603000,"Powiat kędzierzyńsko-kozielski",2015,2205
"7783",1604000,"Powiat kluczborski",2015,1849
"7784",1605000,"Powiat krapkowicki",2015,1910
"7785",1606000,"Powiat namysłowski",2015,1825
"7786",1607000,"Powiat nyski",2015,1838
"7787",1608000,"Powiat oleski",2015,0
"7788",1609000,"Powiat opolski",2015,1547
"7789",1610000,"Powiat prudnicki",2015,1117
"7790",1611000,"Powiat strzelecki",2015,1913
"7791",1661000,"Powiat m.Opole",2015,3641
