"","Kod","Nazwa","rok","POJAZDY_CTAB_samochody_cieZarowe_o_ladownosci_10_ton_i_wiekszej_szt"
"32131",1211000,"Powiat nowotarski",1999,NA
"32132",1212000,"Powiat olkuski",1999,NA
"32133",1213000,"Powiat oświęcimski",1999,NA
"32134",1214000,"Powiat proszowicki",1999,NA
"32135",1215000,"Powiat suski",1999,NA
"32136",1216000,"Powiat tarnowski",1999,NA
"32137",1217000,"Powiat tatrzański",1999,NA
"32138",1218000,"Powiat wadowicki",1999,NA
"32139",1219000,"Powiat wielicki",1999,NA
"32140",1261000,"Powiat m.Kraków",1999,NA
"32141",1262000,"Powiat m.Nowy Sącz",1999,NA
"32142",1263000,"Powiat m.Tarnów",1999,NA
"32143",1401000,"Powiat białobrzeski",1999,NA
"32144",1402000,"Powiat ciechanowski",1999,NA
"32145",1403000,"Powiat garwoliński",1999,NA
"32146",1404000,"Powiat gostyniński",1999,NA
"32147",1405000,"Powiat grodziski",1999,NA
"32148",1406000,"Powiat grójecki",1999,NA
"32149",1407000,"Powiat kozienicki",1999,NA
"32150",1408000,"Powiat legionowski",1999,NA
"32151",1409000,"Powiat lipski",1999,NA
"32152",1410000,"Powiat łosicki",1999,NA
"32153",1411000,"Powiat makowski",1999,NA
"32154",1412000,"Powiat miński",1999,NA
"32155",1413000,"Powiat mławski",1999,NA
"32156",1414000,"Powiat nowodworski",1999,NA
"32157",1415000,"Powiat ostrołęcki",1999,NA
"32158",1416000,"Powiat ostrowski",1999,NA
"32159",1417000,"Powiat otwocki",1999,NA
"32160",1418000,"Powiat piaseczyński",1999,NA
"32161",1419000,"Powiat płocki",1999,NA
"32162",1420000,"Powiat płoński",1999,NA
"32163",1421000,"Powiat pruszkowski",1999,NA
"32164",1422000,"Powiat przasnyski",1999,NA
"32165",1423000,"Powiat przysuski",1999,NA
"32166",1424000,"Powiat pułtuski",1999,NA
"32167",1425000,"Powiat radomski",1999,NA
"32168",1426000,"Powiat siedlecki",1999,NA
"32169",1427000,"Powiat sierpecki",1999,NA
"32170",1428000,"Powiat sochaczewski",1999,NA
"32171",1429000,"Powiat sokołowski",1999,NA
"32172",1430000,"Powiat szydłowiecki",1999,NA
"32173",1432000,"Powiat warszawski zachodni",1999,NA
"32174",1433000,"Powiat węgrowski",1999,NA
"32175",1434000,"Powiat wołomiński",1999,NA
"32176",1435000,"Powiat wyszkowski",1999,NA
"32177",1436000,"Powiat zwoleński",1999,NA
"32178",1437000,"Powiat żuromiński",1999,NA
"32179",1438000,"Powiat żyrardowski",1999,NA
"32180",1461000,"Powiat m.Ostrołęka",1999,NA
"32181",1462000,"Powiat m.Płock",1999,NA
"32182",1463000,"Powiat m.Radom",1999,NA
"32183",1464000,"Powiat m.Siedlce",1999,NA
"32184",1465000,"Powiat m. st. Warszawa",1999,NA
"32185",1601000,"Powiat brzeski",1999,NA
"32186",1602000,"Powiat głubczycki",1999,NA
"32187",1603000,"Powiat kędzierzyńsko-kozielski",1999,NA
"32188",1604000,"Powiat kluczborski",1999,NA
"32189",1605000,"Powiat krapkowicki",1999,NA
"32190",1606000,"Powiat namysłowski",1999,NA
"32191",1607000,"Powiat nyski",1999,NA
"32192",1608000,"Powiat oleski",1999,NA
"32193",1609000,"Powiat opolski",1999,NA
"32194",1610000,"Powiat prudnicki",1999,NA
"32195",1611000,"Powiat strzelecki",1999,NA
"32196",1661000,"Powiat m.Opole",1999,NA
"32197",1801000,"Powiat bieszczadzki",1999,NA
"32198",1802000,"Powiat brzozowski",1999,NA
"32199",1803000,"Powiat dębicki",1999,NA
"32200",1804000,"Powiat jarosławski",1999,NA
"32201",1805000,"Powiat jasielski",1999,NA
"32202",1806000,"Powiat kolbuszowski",1999,NA
"32203",1807000,"Powiat krośnieński",1999,NA
